"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006396","RNA processing",147,-0.470736121546471,-3.96303876458799,1e-10,2.39714285714286e-08,1.62932330827068e-08,1624,"tags=67%, list=29%, signal=49%","zc3h3/alkbh1/dkc1/ppil1/pus1/brd2b/g15175/snrpb2/hnrnpa0a/g8748/gemin5/sde2/dhx37/g8091/prkra/mtpap/tut7/cpeb1b/trmt44/nol11/cwc27/prpf3/g15111/cwc25/ddx56/gemin6/rpp25l/g3bp1/dcps/cdc27/sf3a2/supt4h1/g18688/rrp9/ago1/rbmx/npm3/ssb/g8150/ppil2/mettl1/gnl3/ddx52/g21959/pelp1/ncbp2/LOC119025452/tarbp1/g16870/rbmx2/ppp1r9bb/txnl4b/mphosph10/rrs1/prpf31/tfip11/tarbp2/nono/srrm2/zmat2/elp1/ints11/mak16/exd3/dis3/rbm42/rpusd2/g19987/rrp36/gtf2f2a/nolc1/lrpprc/hnrnpub/pnn/bud13/ints5/exosc9/usp49/cdk7/sart1/nhp2/ltv1/pdcd11/g127/gemin4/mapkbp1/wdr43/bysl/mrto4/eri1/nrde2/nat10/mthfsd/rbm4.1/prcc/ftsj3/cdk13/LOC119005916/dgcr8"
"GO:0042254","ribosome biogenesis",50,-0.611766546347293,-3.9273110407826,1e-10,2.39714285714286e-08,1.62932330827068e-08,1820,"tags=88%, list=32%, signal=60%","nsun3/c1qbp/ddx49/nop53/malsu1/dkc1/dhx37/g8091/lsg1/nol11/ddx56/gtf3aa/aatf/znf622/rrp9/npm3/gnl3/ddx52/g21959/pelp1/LOC119025452/tarbp1/mphosph10/rrs1/xpo1a/mak16/dis3/nom1/rpusd2/g19987/rrp36/nolc1/exosc9/sart1/nhp2/ltv1/pdcd11/gemin4/wdr43/bysl/mrto4/eri1/nat10/ftsj3"
"GO:0022613","ribonucleoprotein complex biogenesis",74,-0.523317478317718,-3.68922010818476,1e-10,2.39714285714286e-08,1.62932330827068e-08,1743,"tags=77%, list=31%, signal=54%","c1qbp/ddx49/nop53/malsu1/dkc1/gemin5/dhx37/g8091/lsg1/nol11/prpf3/ddx56/gemin6/g3bp1/gtf3aa/sf3a2/aatf/znf622/g18688/rrp9/ago1/rbmx/npm3/gnl3/ddx52/g21959/pelp1/LOC119025452/sirt6/tarbp1/txnl4b/mphosph10/rrs1/prpf31/tarbp2/nocta/xpo1a/mak16/dis3/nom1/rpusd2/g19987/rrp36/nolc1/patl1/exosc9/sart1/nhp2/ltv1/pdcd11/gemin4/wdr43/bysl/mrto4/eri1/nat10/ftsj3"
"GO:0016072","rRNA metabolic process",47,-0.582383063357814,-3.66290415981177,1e-10,2.39714285714286e-08,1.62932330827068e-08,1609,"tags=81%, list=28%, signal=58%","ddx49/dkc1/dhx37/g8091/nol11/ddx56/gtf3aa/rrp9/npm3/polr1b/gnl3/ddx52/g21959/pelp1/LOC119025452/tarbp1/mphosph10/rrs1/mak16/dis3/rpusd2/g19987/rrp36/nolc1/tp53/gtf3c4/exosc9/sart1/nhp2/ltv1/pdcd11/gemin4/wdr43/bysl/mrto4/eri1/nat10/ftsj3"
"GO:0006364","rRNA processing",40,-0.611428839614196,-3.58575522882503,1e-10,2.39714285714286e-08,1.62932330827068e-08,1703,"tags=85%, list=30%, signal=60%","ddx49/dkc1/dhx37/g8091/nol11/ddx56/rrp9/npm3/gnl3/ddx52/g21959/pelp1/LOC119025452/tarbp1/mphosph10/rrs1/mak16/dis3/rpusd2/g19987/rrp36/nolc1/exosc9/sart1/nhp2/ltv1/pdcd11/gemin4/wdr43/bysl/mrto4/eri1/nat10/ftsj3"
"GO:0090304","nucleic acid metabolic process",478,-0.312919327114414,-3.28537768112098,1e-10,2.39714285714286e-08,1.62932330827068e-08,1864,"tags=55%, list=33%, signal=40%","etaa1a/tada1/stox1/ddit3/LOC119013556/LOC119013016/cpdp/nsun3/ten1/tbrg4/LOC119009792/cdk2/ppp1r8a/smc2/glrx2/trmt1/zbtb1/pttg1/ddx49/rfwd3/g3880/arid3b/abraxas1/cdt1/rad51ap1/hmga1b/tbpl1/rbpms2b/tdp1/mcm6/espl1/nop53/g13437/zc3h3/alkbh1/dkc1/ppil1/pus1/brd2b/g15175/snrpb2/hnrnpa0a/tfec/si:dkey-206d17.12/pms2/g8748/mcmbp/gemin5/slx1b/sde2/klf10/dhx37/dek/g8091/prkra/rfc1/cdc6/eaf2/mtpap/tut7/cpeb1b/trmt44/nol11/g9599/cwc27/prpf3/g15111/ogg1/cwc25/foxh1/n4bp2/tefm/ddx56/baz1a/men1/polh/epc1a/gemin6/bmi1a/rpp25l/g3bp1/gtf3aa/neil1/dcps/cdk2ap1/cdc27/ercc5/sf3a2/mlh1/supt4h1/eif4e1c/nat14/g7332/mycb/ddx51/g18688/rchy1/mettl8/g8941/rrp9/dtd2/ago1/rbmx/npm3/ssb/wars2/pias4a/g8150/nup62l/polr1b/ppil2/apex2/ube2b/tk2/rars2/mettl1/atf2/gnl3/xrcc4/ercc1/ddx52/ccne1/slx4/atad5b/g21959/pelp1/ddx10/xpa/smarcal1/ncbp2/LOC119025452/sirt6/tfdp1a/pym1/tarbp1/xrcc1/g16870/rbmx2/kat7b/ppp1r9bb/clspn/lsm12b/cnot8/txnl4b/preb/mphosph10/rrs1/prpf31/nr4a2a/mterf2/kpnb1/g7331/tfip11/kat8/ddx59/tarbp2/nono/nocta/terf1/irf6/smg9/srrm2/dnajb11/mios/zmat2/elp1/ints11/paxip1/mak16/ehmt2/exd3/dis3/med4/rbm42/sirt1/rpusd2/mbd3a/g19987/rrp36/mars2/g15268/grwd1/pds5a/gtf2f2a/taf11/usf2/kmt2e/nolc1/lrpprc/patl1/cdk9/tp53/hnrnpub/taf12/pnn/dclre1a/psmd14/bud13/pold3/lin37/gtf3c4/nfrkb/ints5/exosc9/usp49/polb/cdk7/ercc4/ighmbp2/sart1/eloa/nhp2/ltv1/pdcd11/g127/rnf4/med7/klf5a/hspd1/pan2/usp3/gemin4/mapkbp1/wdr43/pds5b/rnaseh1/med24/prmt6/ccng2/bysl/mrto4/eri1/nrde2/nat10/ssbp3b/lars2/polk/ice2/mthfsd/dmap1/cnp/acads/ehmt1b/blm/mir7146/fastkd1/dnmt1/polm/rbm4.1/gtf2e1/prcc/lin54/kat5b/ftsj3/ppp4r3b/toporsa/cdk13/pinx1/LOC119005916/rif1/nkrf/dgcr8"
"GO:1902494","catalytic complex",256,-0.331077468962041,-3.15393322161837,1e-10,2.39714285714286e-08,1.62932330827068e-08,1332,"tags=47%, list=23%, signal=38%","baz1a/tox4a/men1/epc1a/bmi1a/rpp25l/bub1ba/cdc27/sf3a2/pigh/klhl15/rchy1/cdc23/ago1/rbmx/nudcd3/pias4a/polr1b/fbxo43/ube2b/mettl1/brpf3a/ercc1/ccne1/atad5b/pigc/pelp1/g11729/e2f6/htra2-3/klhl26/dcun1d1/mccc1/rbmx2/kat7b/ppp1r9bb/mccc2/g11676/noxa1/prpf31/ptar1/tfip11/kat8/tarbp2/spopla/srrm2/ulk1a/elp1/ints11/paxip1/dis3/med4/mbd3a/naa25/fbxo28/LOC119008642/gtf2f2a/taf11/ctdnep1a/psmc4/supt20/nolc1/pigs/cdk9/g10607/hnrnpub/taf12/pnn/psmd14/ube2ia/pold3/g7360/pdss1/nfrkb/naa15a/ints5/kbtbd4/cul2/exosc9/cdk7/ercc4/sart1/piga/kbtbd2/nhp2/g127/rnf4/g11220/med7/ing1/uchl5/afg3l1/naa15b/etfdh/g13212/mapkbp1/med24/jade3/nrde2/dcaf17/yeats2/dmap1/phf12b/afg3l2/mir7146/ide/g7361/gtf2e1/anapc4/kat5b/ppp4r3b/toporsa/cdk13/brap/klhl13/g7362/abcd4/btbd2a/dgcr8/cop1/dcun1d3"
"GO:0005730","nucleolus",161,-0.345846754128632,-2.98832406038509,1e-10,2.39714285714286e-08,1.62932330827068e-08,2011,"tags=63%, list=35%, signal=42%","cenph/g7254/fancg/g3741/mettl22/pkmyt1/kif20bb/cdca8/stox1/meaf6/smc2/zcchc7/plk3/ddx49/nop53/dkc1/pus1/brd2b/snrpb2/g3973/dhx37/g8091/rfc1/cdc6/g3972/skp2/nol11/rps19bp1/g15111/ddx56/zfp91/aatf/mycb/znf622/ddx51/rrp9/mrps31/npm3/polr1b/apex2/mettl1/gnl3/ddx52/cpt2/g21959/pelp1/ddx10/LOC119025452/pym1/dsn1/xrcc1/prkrip1/mphosph10/rrs1/tfip11/dnttip2/ddx59/nono/terf1/xpo1a/elp1/get4/mak16/nom1/sirt1/g19987/mtus1a/rrp36/grwd1/gle1/phf6/supt20/nolc1/mki67/tp53/dclre1a/ube2ia/katnbl1/usp42/cul2/exosc9/cdk7/nhp2/pdcd11/g8086/ctsla/gemin4/wdr43/prmt6/bysl/mrto4/eri1/nat10/blm/tspy/rbm4.1/kat5b/ftsj3/gzf1/pinx1/LOC119005916/nkrf"
"GO:1990234","transferase complex",150,-0.352894730479613,-2.98160127296414,1e-10,2.39714285714286e-08,1.62932330827068e-08,1318,"tags=49%, list=23%, signal=39%","men1/epc1a/bmi1a/bub1ba/cdc27/pigh/klhl15/rchy1/cdc23/pias4a/polr1b/fbxo43/ube2b/mettl1/brpf3a/ercc1/ccne1/pigc/pelp1/g11729/e2f6/klhl26/dcun1d1/kat7b/prpf31/ptar1/kat8/spopla/ulk1a/elp1/ints11/paxip1/med4/naa25/fbxo28/LOC119008642/gtf2f2a/taf11/supt20/cdk9/g10607/taf12/ube2ia/pold3/pdss1/naa15a/ints5/kbtbd4/cul2/cdk7/ercc4/piga/kbtbd2/rnf4/g11220/med7/naa15b/g13212/med24/jade3/dcaf17/yeats2/dmap1/mir7146/gtf2e1/anapc4/kat5b/toporsa/cdk13/brap/klhl13/btbd2a/cop1/dcun1d3"
"GO:0006259","DNA metabolic process",183,-0.329696019518875,-2.9229204713807,1e-10,2.39714285714286e-08,1.62932330827068e-08,2519,"tags=75%, list=44%, signal=43%","g11493/nabp1a/bard1/g16373/uhrf1/prim2/mms22l/gins2/faap24/pola2/mcm3/fancf/slbp/polg2/nrg2b/rad54b/ddx11/hmgb2a/mcm7/esco2/faap100/rhno1/terf2ip/wdhd1/msh6/hells/rad18/ccnh/h2ax/hinfp/g4191/fancg/exo1/cdc45/ddb2/cry-dash/sprtn/etaa1a/cpdp/ten1/LOC119009792/cdk2/smc2/glrx2/zbtb1/rfwd3/g3880/abraxas1/cdt1/rad51ap1/hmga1b/tdp1/mcm6/espl1/nop53/alkbh1/dkc1/g15175/pms2/mcmbp/slx1b/rfc1/cdc6/ogg1/tefm/baz1a/men1/polh/bmi1a/neil1/cdk2ap1/ercc5/mlh1/rchy1/g8941/pias4a/apex2/ube2b/tk2/xrcc4/ercc1/ccne1/slx4/atad5b/xpa/smarcal1/sirt6/tfdp1a/xrcc1/kat7b/clspn/kpnb1/tfip11/kat8/terf1/mios/paxip1/ehmt2/sirt1/mbd3a/g15268/grwd1/pds5a/kmt2e/cdk9/tp53/dclre1a/psmd14/pold3/lin37/polb/cdk7/ercc4/ighmbp2/nhp2/ltv1/g127/rnf4/hspd1/usp3/pds5b/rnaseh1/prmt6/ccng2/eri1/polk/dmap1/ehmt1b/blm/dnmt1/polm/lin54/kat5b/ppp4r3b/pinx1/LOC119005916/rif1"
