"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"dre04510","Focal adhesion",94,0.412039511679028,3.3274111374136,1e-10,1.14e-08,6.31578947368421e-09,1693,"tags=79%, list=40%, signal=48%","394174/561901/30654/100331874/100151255/556752/321107/494453/503893/386787/541320/360144/378972/415151/560400/100005469/553355/378478/554269/100149273/317747/567771/795752/321243/569755/557176/325675/393953/566796/386856/492549/553337/100334859/556605/558958/260303/541374/327204/100333114/323695/336471/404211/406659/796537/554268/564005/556734/337767/394012/323561/562529/100318165/559529/100535241/570643/337158/65236/335269/569510/323818/406493/554230/100334116/245701/564246/30121/100149794/286832/561737/445393/393543/568309/100003223/563556"
"dre04820","Cytoskeleton in muscle cells",95,0.385957578247614,3.13313023883232,2.71190471651962e-09,1.54578568841618e-07,8.56390963111459e-08,1769,"tags=75%, list=42%, signal=44%","567576/561901/64615/100331874/100151255/556752/64610/494453/324023/322921/503893/386787/541320/368360/555454/556029/100006456/553503/100005469/565429/553355/554269/286829/567771/567639/562690/569755/555202/571786/560091/325675/100321011/100334859/569553/790915/564821/796761/100333114/336471/554268/564005/334269/556734/282667/565373/100330961/560060/394012/407694/30324/323561/64698/100535241/337158/335269/406493/554168/571695/30240/100334431/334116/103909035/368230/564246/415209/798465/791132/563556/83773/560145/387528"
"dre04512","ECM-receptor interaction",46,0.480990296160735,3.09211842745798,7.2504034750468e-08,2.75515332051778e-06,1.5264007315888e-06,1388,"tags=76%, list=33%, signal=52%","561901/100331874/100151255/556752/503893/386787/541320/100005469/565429/553355/554269/286829/563428/567771/321243/569755/325675/566796/553337/100216326/556605/558958/260303/336471/554268/564005/556734/337767/565373/394012/323561/100535241/570643/337158/335269"
"dre03008","Ribosome biogenesis in eukaryotes",22,-0.585431072915224,-2.69023234878641,2.50936196248711e-06,7.15168159308826e-05,3.96215046708491e-05,1646,"tags=95%, list=39%, signal=59%","445391/334362/494152/394196/436992/550241/613144/557254/550264/323464/492761/436813/393291/321897/393237/556379/323426/558395/100003787/317637/393617"
"dre04810","Regulation of actin cytoskeleton",80,0.328098413324974,2.52733374048391,4.29344608223531e-06,9.78905706749651e-05,5.4233003144025e-05,1693,"tags=72%, list=40%, signal=44%","394174/556951/557797/100001221/100331874/101885659/100151255/556752/286739/335474/321099/503893/386787/541320/562475/555454/556029/799355/557983/360144/378972/558288/415151/560400/100005469/378478/114447/317747/557176/386856/492549/100334859/403063/327204/404211/406659/556734/394012/559529/562455/406363/335269/569510/406493/554168/100000160/352940/100149794/336613/393837/561737/403009/445393/58129/568935/568309/100003223/563556"
"dre04144","Endocytosis",76,0.326060838604288,2.49668224172812,8.67123933653469e-06,0.000164753547394159,9.12762035424704e-05,1681,"tags=71%, list=40%, signal=44%","793882/559690/334632/777738/100334572/567272/335474/557199/393902/406525/378478/114447/560761/321938/445397/406837/562719/565859/100009646/327026/386856/100334729/619412/492549/337401/100141338/569240/100151491/573376/561288/406621/323695/406659/394001/393152/100005765/558931/323579/559483/794862/393945/393881/569096/394098/560542/100000160/561771/352940/321378/245701/562949/387529/58129/568935"
"dre04620","Toll-like receptor signaling pathway",36,0.442295782733993,2.61647502378277,1.97055932884454e-05,0.000280804704360347,0.000155570473329832,1829,"tags=89%, list=43%, signal=51%","394174/100002318/567460/30280/100270764/30768/494163/541530/550475/557302/360144/378972/100149273/393287/100003132/557176/777653/415099/327204/404211/403145/563560/65236/565756/564854/100149794/561737/100192215/565200/335916/393650/323099"
"dre04110","Cell cycle",76,-0.345377413260469,-2.3775608268204,1.79943003252473e-05,0.000280804704360347,0.000155570473329832,1963,"tags=83%, list=46%, signal=45%","554509/402908/406304/101886806/334315/403012/100307076/192323/100534898/445386/492353/30222/192333/30678/192295/445395/337598/567006/322854/541325/317763/767751/791138/406695/100049158/192338/368316/406715/58025/100307086/566787/566409/797406/406353/791894/327471/566753/192302/402825/563708/445411/798352/406741/415165/30450/751740/393141/393907/393886/280649/30188/406813/393223/57925/550585/550258/393967/445392/30590/322060/405897/565592/494046"
"dre05168","Herpes simplex virus 1 infection",66,0.343210579803507,2.49757391602772,3.86884100404202e-05,0.00044104787446079,0.000244347852886864,1151,"tags=55%, list=27%, signal=40%","556826/100333043/394174/393426/368771/58113/562867/30280/368614/333979/565759/30768/494163/541530/100150889/386787/557302/30163/378972/30248/406471/393287/767781/557176/393702/556399/30307/100535903/777653/557526/796425/415099/557665/404211/403145/321046"
"dre04148","Efferocytosis",51,0.363095289818687,2.43656015658542,3.85209205064028e-05,0.00044104787446079,0.000244347852886864,1062,"tags=55%, list=25%, signal=42%","393426/561901/768180/100002318/100151255/333979/561460/561772/406370/568265/550361/324140/553634/548341/393902/360144/30248/566044/57933/570626/558580/335573/100534737/30307/553548/562064/327204/563149"
"dre04625","C-type lectin receptor signaling pathway",50,0.364617902542403,2.45273507754803,5.38330254521724e-05,0.000511413741795638,0.000283331712906171,1831,"tags=78%, list=43%, signal=45%","100149388/394174/393426/334571/561108/100002318/556823/561747/561914/100004261/333979/561772/30768/541530/557302/360144/378972/57933/259196/100149273/393287/557176/796425/415099/404211/406659/792160/563560/562455/65236/565756/100149794/561737/100192215/565200/561682/335916/323099/571242"
"dre04010","MAPK signaling pathway",93,0.288718732695725,2.33528445626881,5.01818070871414e-05,0.000511413741795638,0.000283331712906171,1577,"tags=62%, list=37%, signal=40%","30093/100002318/563904/100004261/100009657/321107/561772/798408/494163/100126011/100000665/541530/559247/558453/678610/561959/64274/360144/378972/415151/30672/378478/406471/100149273/393287/568718/557693/393953/386856/564873/245699/403063/557526/30704/573376/415099/327204/796537/403145/563560/557063/562529/559529/541376/445076/65236/100000160/554230/553179/565756/100334116/352940/321378/368243/337670/245701/30121/100149794"
"dre04514","Cell adhesion molecules",34,0.427814741859715,2.49782972458268,7.55557670836087e-05,0.000662565957502414,0.000367072552632917,1220,"tags=62%, list=29%, signal=44%","561971/557797/30291/368614/100151255/556752/100270764/559154/541474/565531/503893/541320/799867/569931/570830/557665/30634/30726/556734/282667/394012"
"dre03050","Proteasome",11,0.668397853233913,2.48442529140086,0.000117920600368661,0.000874205200035242,0.00048432421054584,402,"tags=73%, list=10%, signal=66%","83917/793897/30666/30665/64280/796450/436816/64279"
"dre03010","Ribosome",28,-0.475558624180914,-2.36055782309466,0.000121196569173007,0.000874205200035242,0.00048432421054584,1992,"tags=89%, list=47%, signal=48%","777746/768305/571210/550391/436829/751639/100536515/436791/553709/445321/394122/556778/100034614/553580/751681/503880/393723/553805/555760/791211/407642/567309/445150/550252/445041"
"dre03040","Spliceosome",29,-0.468038455269559,-2.33348143834285,0.000122695466671613,0.000874205200035242,0.00048432421054584,1284,"tags=69%, list=30%, signal=48%","558042/402896/403072/394018/321860/321544/560127/192325/393476/378453/324476/402950/402972/606595/445383/334490/406691/436946/368925/492495"
"dre04217","Necroptosis",53,0.342589441273239,2.30790244499079,0.000154742241103183,0.00103768326386841,0.000574893774996347,1106,"tags=51%, list=26%, signal=38%","373114/560788/561108/561370/30767/556823/567460/569903/30280/337413/30768/557302/406768/57933/406471/100149273/445397/436866/30307/777653/100004555/562064/557526/406621/541374/393386/406529"
"dre04120","Ubiquitin mediated proteolysis",48,-0.367886601034851,-2.21227027109164,0.000191021212051933,0.00120980100966224,0.000670249866848887,1599,"tags=71%, list=38%, signal=45%","322854/406672/100004133/100136859/777766/406353/565498/563708/798352/170784/30450/751740/324089/321875/373108/393907/406712/393966/437020/321544/393223/335444/30100/564991/406335/114445/336088/567370/80955/321695/494046/402829/323951/100037391"
"dre04621","NOD-like receptor signaling pathway",66,0.317847751916889,2.31300636160505,0.000226683206991299,0.0012920942798504,0.000715841706288312,1829,"tags=71%, list=43%, signal=41%","100149388/100330160/324211/334571/100002318/562867/567460/569903/30280/30768/494163/541530/100330810/557302/445223/360144/57933/100149273/393287/777696/393551/777653/100004555/101886206/557526/796425/415099/563907/393386/406659/406529/403145/557335/563560/407700/65236/565756/431715/564854/100192215/368359/565200/564497/335916/560841/393650/323099"
"dre03030","DNA replication",20,-0.518183979082482,-2.27070455116147,0.000218534765598922,0.0012920942798504,0.000715841706288312,2048,"tags=100%, list=48%, signal=52%","553610/407653/322059/192323/192320/30440/192333/30678/337598/556456/192338/393774/556995/566409/559535/100037336/553405/692256/436932"
"dre03018","RNA degradation",24,-0.477093683834018,-2.23067373553727,0.000322787430728078,0.00175227462395242,0.000970789265347604,1167,"tags=67%, list=28%, signal=49%","378963/504054/326786/550234/402850/492479/569055/474329/406788/791461/100003553/386629/100009659/450057/282676/792831"
"dre04920","Adipocytokine signaling pathway",31,0.408330507042411,2.29201572032178,0.000360945379978576,0.00187035333261626,0.00103620683247438,1829,"tags=81%, list=43%, signal=46%","393426/572074/30767/333979/550361/541530/378972/406440/406471/100149273/436740/393287/30307/557526/415099/100037357/30530/563560/65236/556236/565756/100149794/572001/560140/323099"
"dre04145","Phagosome",44,0.345383242389786,2.18487163607084,0.000425199694424981,0.00210751152888904,0.00116759641489697,1318,"tags=59%, list=31%, signal=41%","556826/100333043/368771/561901/557797/100332402/767746/368614/100151255/100002113/559502/386787/393902/30248/100004793/573266/393551/386701/393386/327204/100538038/321046/403014/556734/393945/100535241"
"dre04081","Hormone signaling",41,0.370409558931928,2.28136465860892,0.000663392697477039,0.00290872182739933,0.00161148023678633,2056,"tags=85%, list=49%, signal=44%","394174/30767/100151255/561607/30628/566313/195820/436740/557176/493624/30307/245699/101886206/404211/406659/402920/407700/559170/445076/570652/571825/336421/555939/245701/30742/561737/393946/572001/100333702/560140/570108/563724/560653/317734/100001424"
"dre03013","Nucleocytoplasmic transport",33,-0.408962431805339,-2.13732294568354,0.00062569108394224,0.00290872182739933,0.00161148023678633,744,"tags=52%, list=18%, signal=43%","393125/560127/335236/192325/393566/568298/570700/558395/445408/100317326/407733/114445/559225/436950/30707/321739/569455"
"dre04020","Calcium signaling pathway",60,0.29868880093716,2.10552785876856,0.000650850129630774,0.00290872182739933,0.00161148023678633,1996,"tags=75%, list=47%, signal=40%","100149388/563904/561747/406689/561772/568265/378478/114447/393953/386856/562064/101886206/556199/796537/563901/406529/373867/402920/407700/559529/445076/114410/569510/100000160/554230/571825/100334116/352940/572183/555939/30121/794026/569706/58129/561682/565669/100333702/493781/560875/570245/768182/100144566/798565/570108/563724"
"dre04070","Phosphatidylinositol signaling system",34,0.379193935588382,2.21395335648517,0.000697332937719595,0.00294429462592718,0.00163118815840841,1484,"tags=71%, list=35%, signal=46%","100149388/337236/394174/30644/559103/561747/325179/790916/570007/791142/100150463/100148744/557176/393953/492549/553380/101886206/404211/373867/407700/436662/567938/393838/560881"
"dre05132","Salmonella infection",95,0.259551478032862,2.10698955064088,0.000764394466676424,0.0031121774714683,0.00172419804513479,1670,"tags=63%, list=40%, signal=39%","394174/556951/100332402/100002318/567460/767746/30556/559154/494163/335474/553634/541530/100330810/557302/393902/799355/406525/360144/378972/57933/393928/406471/767738/100149273/321938/317747/393287/327026/573266/436866/563365/100141338/572542/100004555/557526/386701/559276/415099/327204/445472/406659/403145/564823/406276/563560/562529/393945/567938/65236/327373/406493/565756/565649/100149794/336613/561737/30701/497649/100192215/100006857"
"dre04622","RIG-I-like receptor signaling pathway",28,0.416347507419636,2.20754966164782,0.000792147288087242,0.00311395830489468,0.00172518465645134,1829,"tags=86%, list=43%, signal=49%","561108/100002318/562867/556823/567460/565759/100148871/541530/557302/58119/100149273/393287/557526/415099/557335/563560/65236/565756/564854/100192215/393144/406377/393650/323099"
"dre00562","Inositol phosphate metabolism",28,0.384838863553126,2.04048514254554,0.00272749064995114,0.0103644644698143,0.00574208557884451,1484,"tags=71%, list=35%, signal=47%","337236/394174/30644/559103/561747/325179/790916/570007/791142/100148744/492549/101886206/561891/373867/100334605/407700/436662/567938/393838/560881"
"dre03420","Nucleotide excision repair",21,-0.460561457784961,-2.07465733182889,0.00322064130483473,0.0118436486693922,0.00656157821018961,2048,"tags=95%, list=48%, signal=49%","796456/550263/553610/449992/192320/30678/541325/556456/100004133/393774/556995/100037336/553405/541502/100001425/100003720/393443/692256/405897/327322"
"dre03460","Fanconi anemia pathway",21,-0.452879021715181,-2.04005082698775,0.00383235654841169,0.0132421965428283,0.00733639697663615,2080,"tags=95%, list=49%, signal=49%","100332307/563218/565685/692127/559470/692250/100001169/402936/406839/565276/100001845/678520/393632/100001425/100538153/322007/327322/562749/572540/100006685"
"dre04910","Insulin signaling pathway",54,0.288161994274311,1.96348251066752,0.00383326742029239,0.0132421965428283,0.00733639697663615,1766,"tags=69%, list=42%, signal=40%","394174/494533/572074/30654/563432/550427/325179/245698/799867/360144/378972/406440/100007521/100149273/559001/767781/557176/393702/245699/403063/556199/404211/563560/560455/445076/65236/337167/323818/556236/572183/557893/100149794/561737/569706/100003223/793274/572001"
"dre03430","Mismatch repair",12,-0.544533619459258,-1.94710509383709,0.00439113551078944,0.0147232190655881,0.0081569080695779,1729,"tags=92%, list=41%, signal=54%","30678/565400/406845/260437/556456/406778/556995/565276/100037336/393632/692256"
"dre04382","Cornified envelope formation",41,0.324890686981508,2.00101242885851,0.00636543262907951,0.0207331234204304,0.0114864949697675,1388,"tags=63%, list=33%, signal=43%","394114/324023/566581/503893/541320/406768/557286/553355/797433/352912/554269/406610/406725/567639/321243/768289/100321011/562460/393540/554268/449936/406276/323561/565849/100333215/335269"
"dre04060","Cytokine-cytokine receptor interaction",35,0.305847042885605,1.79069505022436,0.0113649944033316,0.0350164692426974,0.0193997059516329,1603,"tags=60%, list=38%, signal=38%","100534674/100006778/100270764/561494/100134935/64274/114447/406471/553366/493624/436866/100535903/777653/100000764/559725/100037357/795788/541493/334010/30612/30742"
