,MEblack,MEblue,MEgreen,MEturquoise,MEred,MEbrown,MEyellow,MEgrey
X1_Male,0.108665615,0.094821998,0.32871654,-0.049354252,-0.095604732,0.169474706,0.114015555,0.215644981
X10_Female,-0.100781192,-0.270483674,-2.26E-05,0.234570646,-0.090240163,-0.201587524,-0.02723166,-0.039939914
X11_Female,0.085216131,-0.026109592,0.150017385,0.172470282,-0.074800757,-0.123916046,-0.161134631,0.008211673
X12_Female,-0.026703142,-0.240680733,0.151294626,0.229231756,-0.090352926,-0.139091444,-0.071920364,0.081213999
X14_Male,-0.049841308,0.122196728,0.174519887,-0.083208803,-0.068258727,0.168488192,0.190733822,0.131011032
X15_Male,0.039719852,0.181669394,-0.015372329,-0.1353184,-0.068089979,0.103483444,0.003882347,-0.004152428
X16_Female,-0.192048862,-0.191311946,0.001055619,0.238751307,-0.083972541,-0.160520041,0.046101396,-0.062406066
X17_Male,0.530419884,0.400229566,-0.624477048,-0.442193629,-0.134452908,-0.310900179,-0.515507891,-0.675918036
X18_Male,0.323916818,-2.18E-05,0.383443513,0.036740358,0.393728501,0.143772931,-0.240496181,0.262008341
X2_Male,-0.146185149,0.078130791,-0.066651795,-0.066994171,0.766174657,0.298643491,0.126734529,0.219267442
X20_Female,-0.148741532,-0.213661561,0.043025513,0.210918623,-0.080538183,-0.14437924,0.012630603,-0.006516746
X21_Female,-0.045844104,-0.275893459,-0.02100205,0.237798418,-0.079375916,-0.210755406,-0.143689358,-0.046427836
X3_Female,-0.064307773,-0.168713082,0.122923738,0.210517227,-0.094460994,-0.14391734,-0.014041897,0.016389464
X35_Female,-0.079781422,-0.366349372,-0.043022337,0.259421818,-0.098596292,-0.264080363,-0.126349264,-0.089823412
X36_Female,-0.326144381,-0.249556237,-0.160825309,0.192952611,-0.105304945,-0.19567817,0.194726865,-0.164885879
X4_Male,-0.12871247,0.251605263,-0.263565934,-0.30797367,-0.033222121,0.236706613,0.237104765,-0.030935775
X5_Male,-0.06306689,0.158153461,0.160003348,-0.134024173,-0.069400041,0.215883668,0.24018589,0.140842432
X6_Male,0.488579245,0.360761677,-0.325823228,-0.355258263,-0.13321313,-0.197240051,-0.418933087,-0.432537738
X7_Male,0.149711933,0.130065364,0.068916289,-0.041208718,-0.083242307,0.020199734,-0.054950599,0.029573294
X8_Male,-0.042814361,0.134507096,0.071674805,-0.166028026,-0.021603217,0.272337514,0.192897047,0.185190923
X9_Male,-0.311256894,0.090640124,-0.134828631,-0.241810941,0.34482672,0.463075511,0.415242112,0.264190246
