,module_colors
42sp43,green
a2ml_ChrAur1,turquoise
a2ml_ChrAur2,turquoise
a2ml_ChrAur3,turquoise
aaas,turquoise
aacs,brown
aadac,turquoise
aadat,turquoise
aagab,turquoise
aak1a,turquoise
aak1b,blue
aamdc,turquoise
aamp,turquoise
aar2,blue
aars1,turquoise
aars2,turquoise
aarsd1,grey
aasdh,turquoise
aasdhppt,grey
aass,grey
aatf,turquoise
aatka,turquoise
aatkb,blue
abat,blue
abca12,brown
abca1b,turquoise
abca3b,turquoise
abca4a,turquoise
abca5,blue
abca7,turquoise
abcb10,turquoise
abcb11b,turquoise
abcb4,grey
abcb6a,turquoise
abcb7,turquoise
abcb8,turquoise
abcb9,brown
abcc1,blue
abcc10,blue
abcc12,blue
abcc2,turquoise
abcc3,blue
abcc4_ChrAur1,turquoise
abcc4_ChrAur2,brown
abcc4_ChrAur3,turquoise
abcc6a,turquoise
abcc6b.2,turquoise
abcc8,turquoise
abcc9,blue
abcd1,turquoise
abcd2,blue
abcd3a,turquoise
abcd4,turquoise
abce1,turquoise
abcf1,blue
abcf2a,turquoise
abcf3,turquoise
abcg2a_ChrAur1,turquoise
abcg2a_ChrAur2,brown
abcg2b,turquoise
abcg8,brown
abch1,blue
abhd10b,turquoise
abhd11,turquoise
abhd12,green
abhd13,turquoise
abhd14a,turquoise
abhd14b,blue
abhd16a,grey
abhd17ab,blue
abhd17c,turquoise
abhd18,blue
abhd3,turquoise
abhd4,grey
abhd5a_ChrAur1,turquoise
abhd5a_ChrAur2,turquoise
abhd8a,brown
abhd8b,brown
abi1a,grey
abi1b,blue
abi3a_ChrAur1,blue
abi3b,turquoise
abi3bpb_ChrAur1,turquoise
abitram,turquoise
abl1,turquoise
abl2,turquoise
ablim1a,blue
ablim2,turquoise
ablim3,turquoise
abr,blue
abracl,turquoise
abraxas1,turquoise
abraxas2,turquoise
abt1,turquoise
abtb1,turquoise
abtb2b,turquoise
acaa1,grey
acaa2,turquoise
acaca,turquoise
acacb,blue
acad11,turquoise
acad8,grey
acad9_ChrAur1,grey
acad9_ChrAur2,turquoise
acadl,blue
acadm,turquoise
acads,turquoise
acadsb,turquoise
acadvl,blue
acana,brown
acap1,blue
acap2a,blue
acap2b,turquoise
acap3b_ChrAur1,blue
acap3b_ChrAur2,brown
acat1,turquoise
acat2,turquoise
acbd3,black
acbd4,turquoise
acbd5a,turquoise
acbd5b,green
acbd6,turquoise
acbd7,grey
accs,turquoise
acd,turquoise
ace,turquoise
ace2,brown
acer2,turquoise
acer3,turquoise
ache,brown
acin1a,brown
acin1b_ChrAur1,turquoise
acin1b_ChrAur2,turquoise
ackr3a,blue
ackr3b,grey
ackr4a,turquoise
ackr4b,turquoise
aclya,turquoise
aclyb,turquoise
aco1,blue
aco2_ChrAur1,blue
aco2_ChrAur2,turquoise
acot11b,turquoise
acot13,turquoise
acot17,turquoise
acot19_ChrAur1,blue
acot19_ChrAur3,turquoise
acot20_ChrAur1,turquoise
acot20_ChrAur2,turquoise
acot7,brown
acot8,turquoise
acot9.1,grey
acox1,blue
acox3,turquoise
acp1,grey
acp2,blue
acp5a,turquoise
acp6,blue
acp7,yellow
acsbg1,turquoise
acsbg2,turquoise
acsf2,blue
acsf3,blue
acsl1a_ChrAur1,brown
acsl1a_ChrAur2,turquoise
acsl2,turquoise
acsl3b_ChrAur1,turquoise
acsl3b_ChrAur2,turquoise
acsl4a,turquoise
acsl5,turquoise
acss2,grey
acss2l,turquoise
acss3,turquoise
actb2_ChrAur1,brown
actb2_ChrAur2,grey
actb2_ChrAur3,turquoise
