,MEblack,MEblack_p,MEblue,MEblue_p,MEgreen,MEgreen_p,MEturquoise,MEturquoise_p,MEred,MEred_p,MEbrown,MEbrown_p,MEyellow,MEyellow_p,MEgrey,MEgrey_p,module_colors
42sp43,-0.448100217,0.041631531,-0.319792576,0.15760614,0.834390681,2.58E-06,0.412596438,0.06305841,0.154745391,0.503009206,0.432450204,0.050240152,0.545297761,0.010570532,0.530044753,0.013453873,green
gnl3,-0.470075694,0.031530221,-0.952687606,2.81E-11,0.530452755,0.013369223,0.995331211,9.25E-21,-0.163879481,0.477811975,-0.446463407,0.042474069,0.04587805,0.843460249,0.130654568,0.57241317,turquoise
npm3,-0.443889313,0.04382577,-0.933604987,6.52E-10,0.533353057,0.012779855,0.993794997,1.37E-19,-0.124329942,0.591298946,-0.439686505,0.046104106,0.02051987,0.929650381,0.156452325,0.498252059,turquoise
marcksa_ChrAur2,-0.4705854,0.031321294,-0.946142355,9.39E-11,0.48777339,0.024890481,0.993644096,1.72E-19,-0.105641937,0.648571601,-0.451947653,0.039702213,0.028110221,0.903728517,0.16928339,0.463209624,turquoise
med4,-0.507210965,0.018931569,-0.955454733,1.60E-11,0.469938053,0.031586828,0.992676203,6.60E-19,-0.11198989,0.628881093,-0.444065807,0.043732039,0.059318975,0.798404135,0.171694434,0.456769118,turquoise
g18141,-0.223279111,0.33060458,0.468997806,0.031975656,0.264718426,0.24619341,-0.496775016,0.021968935,0.545158401,0.010594378,0.986791819,1.75E-16,0.665967744,0.000981976,0.600148121,0.00402448,brown
gtf2f1,-0.450775223,0.040282604,-0.957592698,1.01E-11,0.47407715,0.029919182,0.992394417,9.43E-19,-0.147623628,0.523092144,-0.490651609,0.023924619,0.005131803,0.982386622,0.106076756,0.647215436,turquoise
ranbp1,-0.509342073,0.018354889,-0.95675121,1.22E-11,0.499543271,0.021127777,0.992334996,1.02E-18,-0.170381495,0.460270561,-0.445996465,0.042716834,0.080685901,0.728083569,0.117092679,0.61322605,turquoise
riox1,-0.466995886,0.032816066,-0.929472253,1.14E-09,0.545547546,0.010527899,0.992006271,1.51E-18,-0.086148631,0.710413851,-0.411777552,0.063635769,0.046520584,0.841294476,0.203021041,0.377434134,turquoise
irf6,-0.456160114,0.037670473,-0.94058078,2.34E-10,0.467039239,0.032797685,0.991631497,2.33E-18,-0.124006872,0.592270672,-0.477331827,0.028657299,0.002577965,0.991151414,0.142709132,0.537167373,turquoise
