"","JM","JM_p","JF","JF_p"
"42sp43",-0.0609778166138387,0.792882981284788,0.0609778166138387,0.792882981284788
"a2ml_ChrAur1",0.545140206480351,0.0105974949115623,-0.545140206480351,0.0105974949115623
"a2ml_ChrAur2",-0.833022198123424,2.77217509980065e-06,0.833022198123424,2.77217509980065e-06
"a2ml_ChrAur3",-0.876493629541503,1.88755667435918e-07,0.876493629541503,1.88755667435918e-07
"aaas",-0.692595676476879,0.000501886870124382,0.692595676476879,0.000501886870124382
"aacs",0.672780374800986,0.000832256299207784,-0.672780374800986,0.000832256299207784
"aadac",0.684402702039124,0.000621477805169406,-0.684402702039124,0.000621477805169406
"aadat",-0.770035192235015,4.45324831003793e-05,0.770035192235015,4.45324831003793e-05
"aagab",-0.78865355345793,2.16062113719156e-05,0.78865355345793,2.16062113719156e-05
"aak1a",0.604219652814583,0.00372054692992389,-0.604219652814583,0.00372054692992389
"aak1b",0.900339800033717,2.70758557687211e-08,-0.900339800033717,2.70758557687211e-08
"aamdc",0.617390882193446,0.00286510480455854,-0.617390882193446,0.00286510480455854
"aamp",-0.625816300905381,0.00240951234110836,0.625816300905381,0.00240951234110836
"aar2",-0.483324846141884,0.0264439936575769,0.483324846141884,0.0264439936575769
"aars1",-0.880397241904165,1.41338577530489e-07,0.880397241904165,1.41338577530489e-07
"aars2",-0.583408456332897,0.00549987890999537,0.583408456332897,0.00549987890999537
"aarsd1",-0.274920121026724,0.227775177480608,0.274920121026724,0.227775177480608
"aasdh",-0.757896532305656,6.89333004464841e-05,0.757896532305656,6.89333004464841e-05
"aasdhppt",0.382482697155173,0.0870444155775156,-0.382482697155173,0.0870444155775156
"aass",-0.326124808201605,0.149084081061765,0.326124808201605,0.149084081061765
"aatf",-0.841134757911672,1.78596642912091e-06,0.841134757911672,1.78596642912091e-06
"aatka",0.451551839559279,0.0398974208485653,-0.451551839559279,0.0398974208485653
"aatkb",0.741360630166539,0.00012028266799662,-0.741360630166539,0.00012028266799662
"abat",0.795645211042297,1.61645551254353e-05,-0.795645211042297,1.61645551254353e-05
"abca12",0.337878688466833,0.134131768680251,-0.337878688466833,0.134131768680251
"abca1b",-0.77542426129195,3.63729873974228e-05,0.77542426129195,3.63729873974228e-05
"abca3b",0.661230578978667,0.0010990487566418,-0.661230578978667,0.0010990487566418
"abca4a",0.553378762615362,0.0092607409202896,-0.553378762615362,0.0092607409202896
"abca5",-0.560350267170898,0.00824039250958994,0.560350267170898,0.00824039250958994
"abca7",0.904637776599791,1.81210894769066e-08,-0.904637776599791,1.81210894769066e-08
"abcb10",0.791353361347273,1.93408282902908e-05,-0.791353361347273,1.93408282902908e-05
"abcb11b",0.47426150686775,0.029846553736027,-0.47426150686775,0.029846553736027
"abcb4",0.228242584426256,0.319683220671116,-0.228242584426256,0.319683220671116
"abcb6a",-0.70368358062299,0.000371702782858056,0.70368358062299,0.000371702782858056
"abcb7",-0.937778578491676,3.57910929565173e-10,0.937778578491676,3.57910929565173e-10
"abcb8",-0.638672455154962,0.00183220747890014,0.638672455154962,0.00183220747890014
"abcb9",0.445329564490278,0.0430654238490559,-0.445329564490278,0.0430654238490559
"abcc1",0.815931603549099,6.51733733392924e-06,-0.815931603549099,6.51733733392924e-06
"abcc10",0.49151040446521,0.0236422800183074,-0.49151040446521,0.0236422800183074
"abcc12",-0.591599690549555,0.00473018964900587,0.591599690549555,0.00473018964900587
"abcc2",0.703173487370773,0.00037698248878309,-0.703173487370773,0.00037698248878309
"abcc3",0.864932302586407,4.21385377975472e-07,-0.864932302586407,4.21385377975472e-07
"abcc4_ChrAur1",-0.619215190307435,0.00276079269682512,0.619215190307435,0.00276079269682512
"abcc4_ChrAur2",0.448140298168559,0.0416110636980903,-0.448140298168559,0.0416110636980903
"abcc4_ChrAur3",-0.82726576226342,3.73517925619109e-06,0.82726576226342,3.73517925619109e-06
"abcc6a",0.652643722974481,0.00134150384043801,-0.652643722974481,0.00134150384043801
"abcc6b.2",-0.718890296427114,0.000240810853686239,0.718890296427114,0.000240810853686239
"abcc8",0.509384196055626,0.0183436341191544,-0.509384196055626,0.0183436341191544
"abcc9",0.711959072168785,0.000294476479909209,-0.711959072168785,0.000294476479909209
"abcd1",0.867643041299701,3.51422527913209e-07,-0.867643041299701,3.51422527913209e-07
"abcd2",0.801311083942307,1.26731889921887e-05,-0.801311083942307,1.26731889921887e-05
"abcd3a",-0.859208928135808,6.1060610908451e-07,0.859208928135808,6.1060610908451e-07
"abcd4",-0.969726785215171,4.32327172782908e-13,0.969726785215171,4.32327172782908e-13
"abce1",-0.717833902716817,0.000248401708620372,0.717833902716817,0.000248401708620372
"abcf1",-0.879224175104192,1.54335823684356e-07,0.879224175104192,1.54335823684356e-07
"abcf2a",-0.898609156455856,3.16662268566428e-08,0.898609156455856,3.16662268566428e-08
"abcf3",-0.806708770539078,9.97853695940443e-06,0.806708770539078,9.97853695940443e-06
"abcg2a_ChrAur1",-0.53862567183714,0.0117624847225229,0.53862567183714,0.0117624847225229
"abcg2a_ChrAur2",0.414433868861778,0.0617773912165339,-0.414433868861778,0.0617773912165339
"abcg2b",0.843924097604254,1.52677625342491e-06,-0.843924097604254,1.52677625342491e-06
"abcg8",0.740049426290375,0.000125491128537113,-0.740049426290375,0.000125491128537113
"abch1",0.91521959192944,6.18416255703904e-09,-0.91521959192944,6.18416255703904e-09
"abhd10b",-0.533326486021015,0.0127851567475187,0.533326486021015,0.0127851567475187
"abhd11",-0.78273042388192,2.74003951656916e-05,0.78273042388192,2.74003951656916e-05
"abhd12",-0.115006432835497,0.619607456534692,0.115006432835497,0.619607456534692
"abhd13",-0.7754039450515,3.64011223821241e-05,0.7754039450515,3.64011223821241e-05
"abhd14a",-0.831785548491761,2.95830926306173e-06,0.831785548491761,2.95830926306173e-06
"abhd14b",0.401325395811199,0.0713620253495946,-0.401325395811199,0.0713620253495946
"abhd16a",-0.266659230593836,0.242617823261884,0.266659230593836,0.242617823261884
"abhd17ab",0.566045681236344,0.00747698586297909,-0.566045681236344,0.00747698586297909
"abhd17c",-0.877349276793653,1.77306090206194e-07,0.877349276793653,1.77306090206194e-07
"abhd18",0.87089768119765,2.81098225145544e-07,-0.87089768119765,2.81098225145544e-07
"abhd3",0.667564735365793,0.000944974058564046,-0.667564735365793,0.000944974058564046
"abhd4",0.399285762862346,0.0729485944131633,-0.399285762862346,0.0729485944131633
"abhd5a_ChrAur1",0.629970009281536,0.00220831923721354,-0.629970009281536,0.00220831923721354
"abhd5a_ChrAur2",-0.800626619491748,1.3056541233236e-05,0.800626619491748,1.3056541233236e-05
"abhd8a",0.606728623509012,0.00354296699612916,-0.606728623509012,0.00354296699612916
"abhd8b",0.491561595211455,0.0236255346336457,-0.491561595211455,0.0236255346336457
"abi1a",0.118570743724851,0.608721152430934,-0.118570743724851,0.608721152430934
"abi1b",0.854946207629684,7.9662341864725e-07,-0.854946207629684,7.9662341864725e-07
"abi3a_ChrAur1",0.887994293548457,7.81329077616476e-08,-0.887994293548457,7.81329077616476e-08
