"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"dre04110","Cell cycle",52,0.590953441092775,3.24178712173213,1e-10,9.7e-09,6.31578947368421e-09,1101,"tags=71%, list=23%, signal=55%","117604/30450/415165/564533/563708/406685/323055/566753/550434/406353/58025/791894/30678/100307086/80973/568795/30639/57925/565969/445392/317763/791138/794669/445386/406610/797406/404206/767751/393716/327226/280649/393223/568846/492353/406740/550585/550576"
"dre03013","Nucleocytoplasmic transport",24,0.70446037050612,3.14367397174659,7.67319703911404e-10,3.72150056397031e-08,2.42311485445707e-08,1073,"tags=88%, list=22%, signal=68%","767677/322969/562350/393635/403025/570700/798071/406852/558395/327020/192339/553305/406491/445027/114445/327214/100319138/436607/406783/445408/192325"
"dre04080","Neuroactive ligand-receptor interaction",139,-0.307675267245741,-2.71150838839719,3.71730407401163e-09,1.20192831726376e-07,7.8259033137087e-08,2974,"tags=94%, list=62%, signal=37%","564832/100037375/557276/368461/100329657/100007598/503564/550520/768183/100001636/541314/407651/83412/102216340/368416/556202/555939/564017/566514/100002627/100001828/407657/798390/100334689/100333578/445193/562469/393704/100073342/368475/100000981/561406/560100/368228/735302/100038769/556502/353151/100137117/266752/556507/568126/560057/100149598/100536970/30661/100001586/566497/654782/560609/393608/266751/565838/101885196/569662/170457/561906/100007926/102216338/558708/792634/360139/567057/566411/555634/407735/353180/286834/394199/564461/30281/798001/100537567/503772/100334247/100538116/100001530/100003503/567956/566118/562973/566633/387298/555576/565237/30713/30607/195820/100535309/266750/567940/445508/110438919/569038/100001424/571773/100008558/30676/561701/100148468/558427/336252/30714/570493/64617/373879/449808/565450/794698/30629/114550/282554/567241/100002125/561989/30650/568984/557259/100537117/100331377/100333455/100004589/492350/571591/503565/100331190/100005675/792371/565781/798791"
"dre03050","Proteasome",23,0.674526830456135,2.97314896601468,1.20787599197598e-08,2.92909928054176e-07,1.90717261890945e-07,1029,"tags=83%, list=21%, signal=65%","554967/326687/30649/436882/30388/393518/799058/554153/327330/393544/322265/322269/30387/321585/64278/436862/445033/415221/445413"
"dre03082","ATP-dependent chromatin remodeling",20,0.695219181584068,2.89025414423458,1.63875178380345e-08,3.1791784605787e-07,2.07000225322541e-07,1322,"tags=95%, list=28%, signal=69%","322248/282615/393709/405852/561095/334173/565366/317678/437025/494160/799918/403077/393774/321726/337105/317679/192313/100003763/57935"
"dre04120","Ubiquitin mediated proteolysis",34,0.592091535713565,2.88987034941451,2.41859957540432e-08,3.91006931357032e-07,2.54589428989929e-07,1175,"tags=74%, list=24%, signal=56%","406335/30450/563708/335444/406672/415162/445100/406353/492364/393934/566441/324237/368425/568795/323951/436873/565498/114445/393716/556864/324015/393223/393313/550576/324243"
"dre03015","mRNA surveillance pathway",21,0.662754373637325,2.83035515537043,2.83335691493319e-07,3.43544525935649e-06,2.23686072231568e-06,1196,"tags=86%, list=25%, signal=65%","393701/406685/403025/327020/192339/404041/562801/406326/436657/566032/406610/100003223/406783/445408/192325/550585/406543/394111"
"dre04060","Cytokine-cytokine receptor interaction",68,-0.374286318460562,-2.79759881246443,2.61296222542623e-07,3.43544525935649e-06,2.23686072231568e-06,3028,"tags=100%, list=63%, signal=37%","795469/101883597/445381/796604/30612/369195/571368/559723/555717/100535903/407651/100144562/556728/100135755/64274/100331351/30739/654692/798119/563003/791973/567542/405770/793920/799352/445373/553366/799982/100333821/553961/30275/566470/30180/114447/369194/100270764/751109/100134973/406247/436866/30457/564338/798441/338101/394026/100334210/797527/565958/100134971/140619/796370/100001424/100538314/368326/493624/100534674/406471/100134935/100003167/567241/553960/572204/799475/768248/564874/795788/100134976"
"dre00020","Citrate cycle (TCA cycle)",11,0.762849979105725,2.59557892194801,2.03926305822978e-06,2.19787240720321e-05,1.43106179524897e-05,1146,"tags=100%, list=24%, signal=76%","386951/322339/415247/322670/100006589/406702/794259/399662/550579/436850/393926"
"dre04114","Oocyte meiosis",49,0.462429712808243,2.50392501477852,2.79852645476437e-06,2.71457066112143e-05,1.76749039248276e-05,1343,"tags=63%, list=28%, signal=46%","117604/791855/30450/415165/406685/323055/550434/406353/58025/100005885/100307086/80973/568795/445246/100333151/445392/791138/393403/562769/192322/406610/797406/100003223/393716/280649/550585/550576/678633/324475/445076/368316"
"dre04814","Motor proteins",85,0.386852815812734,2.41114399266846,3.34364564098449e-06,2.94848751977724e-05,1.91979654027818e-05,1666,"tags=62%, list=35%, signal=41%","566459/30627/550267/447926/393796/100101641/553438/100334507/100333131/30453/561612/447906/195818/767754/100148193/393209/266676/555454/565913/393882/100535326/394163/100536916/100334351/569394/553797/394141/373083/555705/336681/100005529/101884977/393664/325449/561639/799461/573122/567632/447884/393452/100317899/57935/565740/767746/373080/445048/100001191/553436/569992/556023/557863/565345/445164"
"dre03040","Spliceosome",21,0.597205592626845,2.55042289442879,1.08689028900133e-05,8.70409571553485e-05,5.66734392764071e-05,1073,"tags=76%, list=22%, signal=59%","406691/557103/393920/393476/393480/335396/447922/192328/415167/558042/402972/394172/321931/322206/393292/192325"
"dre04141","Protein processing in endoplasmic reticulum",41,0.45961944593615,2.37703847006616,1.25626123729369e-05,8.70409571553485e-05,5.66734392764071e-05,1051,"tags=59%, list=22%, signal=46%","334658/335444/327447/798071/550411/550581/393536/393934/327197/559811/334633/327268/767700/324855/553582/553324/100332314/324164/386709/394079/393716/553407/324015/406753"
