"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0043062","extracellular structure organization",76,0.37872396725851,2.30400861820291,1.87436700657111e-05,0.0116584016020632,0.00970033326928626,797,"tags=51%, list=26%, signal=39%","fech/mmp14b/sh3pxd2b/lamb1b/adam8a/hspg2/col4a2/g21459/mmp11b/fn1a/pdgfra/col1a1b/g21998/lama5/ddr1/sparc/nid1a/col5a2a/lpla/col4a1/myh11a/aplp1/itga6b/itga3b/itgb5/serpinh1a/exoc8/lamc3/vwf/fbn1/col6a2/kdr/LOC119023411/col12a1a/g122/col6a1/tgfbi/hpse2/uap1"
"GO:0030198","extracellular matrix organization",72,0.378429916624421,2.26917794422431,1.64169866944005e-05,0.0116584016020632,0.00970033326928626,797,"tags=51%, list=26%, signal=39%","mmp14b/sh3pxd2b/lamb1b/adam8a/hspg2/col4a2/g21459/mmp11b/fn1a/pdgfra/col1a1b/g21998/lama5/ddr1/sparc/nid1a/col5a2a/col4a1/myh11a/aplp1/itga6b/itga3b/itgb5/serpinh1a/exoc8/lamc3/vwf/fbn1/col6a2/kdr/LOC119023411/col12a1a/g122/col6a1/tgfbi/hpse2/uap1"
"GO:0060562","epithelial tube morphogenesis",129,0.311938827867714,2.09858332007845,1.35668722516765e-05,0.0116584016020632,0.00970033326928626,1233,"tags=59%, list=40%, signal=37%","LOC119031157/kdm4aa/tln2b/megf8/dvl1b/ndst2a/LOC119005803/mmp14b/ppm1ba/jak2b/lamb1b/jak1/fhdc1/LOC119005872/wnt9b/lama5/LOC119021085/nr5a1b/rp2/ddr1/msna/sparc/kdm5ba/hipk3b/LOC119031487/fryl/col4a1/ehd3/myh11a/dlg5a/triob/rps6ka3b/notch3/arhgap21a/itga6b/itga3b/sema4c/hs6st2/rac2/fgfr2/ipmkb/smad6b/vegfaa/myo1d/gsna/fzd6/mapk8b/tns1b/kdr/tns3.2/grk4/gata4/uap1/auts2a/rhebl1/LOC119020232/pleca/smo/nrp1a/jak2a/egfl7/crb2a/shank3b/fat4/dll4/myo6b/tbx2b/kdrl/sema5a/dla/dst/chn2/nr5a2/tjp1a/si:dkey-91i10.2/nrg2a"
"GO:0035295","tube development",200,0.280668652438989,2.00146746265058,1.95446799699299e-05,0.0116584016020632,0.00970033326928626,976,"tags=46%, list=31%, signal=34%","LOC119031157/kdm4aa/nr6a1a/tln2b/megf8/dvl1b/ndst2a/LOC119005803/mmp14b/numbl/ppm1ba/jak2b/lamb1b/adam8a/hspg2/jak1/fhdc1/pdgfra/LOC119005872/wnt9b/lama5/LOC119021085/nr5a1b/rp2/ddr1/msna/sptlc2b/erap1b/sparc/kdm5ba/hipk3b/ash1l/LOC119031487/fryl/col4a1/shc1/ehd3/myh11a/dlg5a/triob/mylka/rps6ka3b/notch3/arhgap21a/lnc.tie1/fstl3/itga6b/foxp4/itga3b/sema4c/hs6st2/rac2/LOC119007001/fgfr2/ipmkb/LOC119009669/smad6b/vegfaa/wasf1/lamc3/myo1d/adipor2/gsna/fzd6/myocd/amotl2a/ltbp3/mapk8b/tns1b/kdr/rc3h2/tns3.2/plcd1a/grk4/tgfbi/gata4/uap1/auts2a/arg1/rhebl1/LOC119020232/pleca/smo/serpine1/nrp1a/ramp2/jak2a/egfl7/reln/mef2aa/crb2a/ptprna/shank3b"
"GO:0035239","tube morphogenesis",168,0.291996979529234,2.02831048911986,3.27636384836371e-05,0.0156348082843916,0.0130088888800294,920,"tags=46%, list=30%, signal=34%","LOC119031157/kdm4aa/tln2b/megf8/dvl1b/ndst2a/LOC119005803/mmp14b/ppm1ba/jak2b/lamb1b/adam8a/jak1/fhdc1/pdgfra/LOC119005872/wnt9b/lama5/LOC119021085/nr5a1b/rp2/ddr1/msna/erap1b/sparc/kdm5ba/hipk3b/LOC119031487/fryl/col4a1/shc1/ehd3/myh11a/dlg5a/triob/mylka/rps6ka3b/notch3/arhgap21a/lnc.tie1/itga6b/foxp4/itga3b/sema4c/hs6st2/rac2/fgfr2/ipmkb/smad6b/vegfaa/wasf1/lamc3/myo1d/adipor2/gsna/fzd6/myocd/amotl2a/mapk8b/tns1b/kdr/tns3.2/plcd1a/grk4/tgfbi/gata4/uap1/auts2a/rhebl1/LOC119020232/pleca/smo/serpine1/nrp1a/ramp2/jak2a/egfl7"
"GO:0005198","structural molecule activity",44,0.438649855998064,2.32922207324895,4.76489914002205e-05,0.0187891513805695,0.0156334492891667,976,"tags=64%, list=31%, signal=44%","tln2b/dvl1b/flot2a/lamb1b/hspg2/col4a2/fn1a/col1a1b/msna/nid1a/csrp1b/col4a1/myh11a/dlg5a/g16676/g10576/sorbs3/rca2.2/ahnak/disc1/lamc3/fbn1/LOC119023411/pdlim3a/pleca/add3a/wwc1/shank3b"
"GO:0062023","collagen-containing extracellular matrix",44,0.435930149664787,2.3147804863258,5.51232437820565e-05,0.0187891513805695,0.0156334492891667,1151,"tags=70%, list=37%, signal=45%","tln2b/lamb1b/hspg2/col4a2/cst3/fn1a/col1a1b/lama5/LOC119021085/sparc/nid1a/col5a2a/col4a1/aplp1/itga6b/p3h2/vegfaa/lamc3/fbn1/adamts12/LOC119023411/col12a1a/tgfbi/serpine1/efemp1/LOC119026128/hmcn1/tfa/ccdc80/LOC119016673/dst"
"GO:0048646","anatomical structure formation involved in morphogenesis",184,0.273128804668118,1.92277686818396,7.35688415651712e-05,0.0219419069968123,0.0182566888410412,1195,"tags=54%, list=39%, signal=35%","tln2b/prkdc/dvl1b/ndst2a/mmp14b/numbl/LOC119012690/jak2b/lamb1b/adam8a/hspg2/col4a2/jak1/fn1a/pdgfra/wnt9b/g17216/col1a1b/lama5/LOC119021085/rp2/msna/erap1b/csrp1b/ash1l/LOC119031487/col4a1/shc1/ehd3/myh11a/diaph2/g10576/notch3/dusp5/itga6b/lrp8/itga3b/sema4c/LOC119009241/hs6st2/nbeal2/elmo2/rac2/itgb5/LOC119007001/fgfr2/ipmkb/LOC119009669/vegfaa/wasf1/mtmr2/tnni1b/adipor2/fzd6/amotl2a/mapk8b/sbno2a/kdr/col12a1a/plcd1a/col6a1/tgfbi/gata4/uap1/pfkla/LOC119020232/pmp22b/pleca/smo/csnk1g1/serpine1/ptpn6/nrp1a/ramp2/jak2a/reln/mef2aa/alg5/crb2a/shank3b/mypn/fat4/pwp1/dll4/myo6b/g19866/tmod1/tbx2b/kdrl/sema5a/ccdc80/dla/dst/gapdhs/chn2/lmod1b/aplnra/itga2.2/fam20a"
"GO:0006986","response to unfolded protein",12,0.648534843625435,2.27204907223038,9.6212883949167e-05,0.0255071045669681,0.0212230993132315,605,"tags=75%, list=20%, signal=61%","gfpt1/dnajb1a/g3405/herpud2/shc1/hspb1/vapb/serpinh1a/edem1"
"GO:0008270","zinc ion binding",40,0.419347966121343,2.1785929622346,0.000223419081901479,0.0296623062908076,0.0246804207281348,547,"tags=45%, list=18%, signal=38%","g17280/LOC119031157/kdm4aa/mgrn1b/g8340/mmp14b/adam8a/ubr3/thap1/yy1a/erap1b/pam/csrp1b/kdm5ba/g9431/lnpep/g4034/bbox1"
