"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044782","cilium organization",173,0.622796275812696,4.51379424348236,1e-10,3.81478260869565e-09,2.86681922196796e-09,3244,"tags=89%, list=31%, signal=62%","ywhag1/ocrl/tbc1d32/ofd1/pibf1/g17435/mapre1b/fxr2/fmr1/g6122/LOC119031171_fusion_2/hyls1/cfap410/g1356/sclt1/odf2a/traf3ip1/g8350/ulk4/cfap100/sdccag8/cpeb3/dnah6/lca5/ehd1b/ruvbl2/dync2i1/cenpj/LOC119029135/odad1/kifap3a/rfx2/ift70/haus5/cpeb4b/rab3ip/cep97/spata6/cplane2/cdk1/g4003/nphp3/ttc21b/ift81/dync1i2b/stil/sfi1/ift88/septin7b/ccdc103/cep152/ccdc40/kif19/fam161a/agbl5/atmin/cfap53/iqcg/cc2d2a/dctn2/ccdc39/pcm1/rsph9/ift140/ak7b/spag6/rab23/b9d2/tekt2/ift172/fnbp1l/odad4/cfap157/cep135/cfap298/dnah7/dnajb13/ube2b/oscp1b/dnai2b/g11028/cep162/odad2/ift27/tmem67/dnaaf2/g802/ift20/bbs7/dync2li1/tmem216/nek1/ift57/tubg1/dnaaf11/rttn/hspb11/cep72/cep63/dynlt5/g4091/nme7/dnali1/cep192/nphp1/rsph4a/cdk20/iqub/cep76/wdr19/cep19/LOC119030522/cluap1/g4485/mks1/dnah10/cfap46/ak7a/LOC119031922/foxj1a/zmynd10/rsph1/ift56/g700/bbs5/g21913/g11933/g5657/bbs4/tekt4/cfap161/crocc2/wdr35/dnal1/g10590/ssna1/dync2i2/poc1a/cfap36/ehd3/bbs1/tekt1/rab28/onecut2/fxr1/dynlt2b/lrguk/tmem107l/ttll1/stk36/tmem138/mkks/bbip1/arl6"
"GO:0060271","cilium assembly",167,0.623786149450218,4.49302315546402,1e-10,3.81478260869565e-09,2.86681922196796e-09,3244,"tags=89%, list=31%, signal=62%","ywhag1/ocrl/tbc1d32/ofd1/pibf1/g17435/mapre1b/fxr2/fmr1/g6122/LOC119031171_fusion_2/hyls1/cfap410/g1356/sclt1/odf2a/traf3ip1/g8350/ulk4/cfap100/sdccag8/cpeb3/dnah6/ehd1b/ruvbl2/dync2i1/cenpj/LOC119029135/odad1/kifap3a/rfx2/ift70/haus5/cpeb4b/rab3ip/cep97/spata6/cplane2/cdk1/g4003/nphp3/ttc21b/ift81/dync1i2b/stil/sfi1/ift88/septin7b/ccdc103/cep152/ccdc40/fam161a/agbl5/atmin/cfap53/iqcg/cc2d2a/dctn2/ccdc39/pcm1/rsph9/ift140/ak7b/spag6/rab23/b9d2/tekt2/ift172/fnbp1l/odad4/cfap157/cep135/cfap298/dnah7/dnajb13/ube2b/oscp1b/dnai2b/g11028/cep162/odad2/ift27/tmem67/dnaaf2/g802/ift20/bbs7/dync2li1/tmem216/nek1/ift57/tubg1/dnaaf11/hspb11/cep72/cep63/dynlt5/g4091/dnali1/cep192/nphp1/rsph4a/cdk20/iqub/cep76/wdr19/cep19/LOC119030522/cluap1/g4485/mks1/dnah10/cfap46/ak7a/LOC119031922/foxj1a/zmynd10/rsph1/ift56/g700/bbs5/g21913/g11933/g5657/bbs4/tekt4/cfap161/wdr35/dnal1/g10590/ssna1/dync2i2/poc1a/cfap36/ehd3/bbs1/tekt1/rab28/onecut2/fxr1/dynlt2b/lrguk/tmem107l/ttll1/stk36/tmem138/mkks/bbip1/arl6"
"GO:0005813","centrosome",158,0.590193118859801,4.19812137087662,1e-10,3.81478260869565e-09,2.86681922196796e-09,2902,"tags=80%, list=28%, signal=58%","cdc27/dlgap5/ofd1/pibf1/g17435/mapre1b/g3834/akna/dnm2a/ccdc77/g6122/slain2/poc5/LOC119031171_fusion_2/tbc1d31/hyls1/kif20bb/sclt1/g9752/odf2a/traf3ip1/g5991/g270/sdccag8/cdc20/melk/txndc9/ccnb1/ruvbl2/dync2i1/cenpj/ppp4r3b/LOC119029135/kiz/mdm1/kifap3a/g7768/ift70/aurkb/haus5/ttk/rab3ip/cep97/cdk1/espl1/ccdc61/ccdc15/ift81/dync1i2b/gpsm2/stil/ift88/mad2l1/hook1/cep152/fam161a/aurka/mapre3b/cep85/aspm/tapt1b/dctn2/pcm1/ift140/hook3/cep350/rab23/spice1/b9d2/dnajb6b/g9750/kifc1/cep135/ccdc92/ankfn1a/hmmr/cep162/dync1li2/ift27/tmem67/g802/skp1/ift20/cep120/ppp1r42/bbs7/dync2li1/nek1/ift57/tubg1/hspb11/mknk1/cep72/cep63/g11388/nme7/psmb5/cep192/rab41/cep76/slf1/ckap2l/cep19/cluap1/mzt2b/g4485/mks1/apc/cetn3/ccdc88aa/ddx11/ranbp2/zmynd10/ift56/fignl1/bbs5/bbs4/g20850/atf5a/g10605/wdr35/g10590/ssna1/poc1a/g7472/g11055"
"GO:0007017","microtubule-based process",314,0.524025999011656,4.18078339979151,1e-10,3.81478260869565e-09,2.86681922196796e-09,3175,"tags=73%, list=31%, signal=52%","g11298/dlgap5/xrn2/strip1/ranbp9/casc3/ap3b1a/ptbp1b/kpnb1/tbc1d32/ofd1/pibf1/pi4kb/g17435/mapre1b/fxr2/srpk1b/arl8a/fmr1/g18688/kif16ba/xpo1a/slain2/ptbp2a/dlg1a/LOC119031171_fusion_2/kif20bb/LOC119009792/g1356/fer/opa1/kif9/odf2a/psd2/mast3b/ubb/traf3ip1/g8350/ulk4/cfap100/sdccag8/cpeb3/cops3/cdc20/dnah6/txndc9/gadd45ab/ttf2/lca5/ccnb1/ruvbl2/dync2i1/cenpj/LOC119029135/odad1/kiz/birc5a/dock7/kifap3a/ift70/aurkb/haus5/cpeb4b/ttk/map7d3/g3880/cep97/vrk1/anapc1/LOC119024341/cdk1/kif14/pacsin1b/espl1/lmnb1/g4003/g4474/gle1/ttc21b/ift81/dync1i2b/gpsm2/stil/atl3/ift88/g11418/racgap1/hook1/cfap91/ccdc103/cep152/ccdc40/kif19/dnai3/ttll11/g11544/pacsin2/aurka/ppp1r2/mapre3b/trim46a/g7590/aspm/cfap53/iqcg/cc2d2a/clip1b/dctn2/ccdc39/pcm1/kif18a/rsph9/ift140/hook3/ak7b/zyg11/spag6/spice1/b9d2/dnah9/tekt2/ift172/g7133/kifc1/elmo2/cfap157/kif22/cep135/ankfn1a/dnah7/dnajb13/ube2b/pelo/dnai2b/dync1li2/odad2/ift27/lin9/dnaaf2/g802/skp1/ift20/cep120/bbs7/dync2li1/ift57/myb/tubg1/dnaaf11/degs1/rttn/hspb11/mknk1/anp32a/cep72/cep63/dynlt5/mybl1/g4091/cdc42bpab/nme7/ropn1l/psmb5/dnali1/cep192/map9/ruvbl1/rsph4a/rab41/zw10/wdr19/fbxo5/kif20a/g13042/cep19/LOC119030522/g2221/cluap1/g4485/hdac3/mks1/dynlt1b/apc/dnah10/cfap46/cetn3/ak7a/mcrs1/lyst/LOC119031922/ccdc88aa/ranbp2/foxj1a/zmynd10/rsph1/ift56/g700/toporsa/fignl1/g21913/g5657/bbs4/g13269/g20850/tekt4/crocc2/g10605/wdr35/dnal1/g10590/cks2/rhot2/ssna1/dync2i2/poc1a/hormad1/sybl1/ino80/uchl1/mlh1/bbs1/tekt1/rab28/fxr1/psmb4/g673/lrguk/ttll1/stk36/LOC119009472"
"GO:0005815","microtubule organizing center",211,0.549325432142952,4.13668799938441,1e-10,3.81478260869565e-09,2.86681922196796e-09,3188,"tags=78%, list=31%, signal=55%","daam1b/cdc27/dlgap5/cep128/ofd1/pibf1/g17435/mapre1b/tbc1d30/g3834/akna/dnm2a/ccdc77/sytl4/g6122/mtus1a/slain2/poc5/LOC119031171_fusion_2/tbc1d31/hyls1/cfap410/kif20bb/sclt1/g9752/odf2a/traf3ip1/g5991/g270/sdccag8/cdc20/melk/txndc9/lca5/ccnb1/ruvbl2/dync2i1/cenpj/ppp4r3b/LOC119029135/kiz/birc5a/mdm1/kifap3a/g7768/ift70/aurkb/haus5/ttk/rab3ip/cep97/cplane2/cdk1/espl1/ccdc61/ccdc15/LOC119029789/ift81/dync1i2b/gpsm2/stil/cchcr1/ift88/mad2l1/hook1/cep152/fam161a/aurka/mapre3b/cep85/aspm/tapt1b/dctn2/pcm1/kif18a/ift140/hook3/cep350/rab23/spice1/b9d2/tekt2/ift172/dnajb6b/g9750/kifc1/topbp1/bub1ba/cfap157/cep135/ccdc92/ankfn1a/hmmr/agbl2/cep162/dync1li2/ift27/evi5b/tmem67/dnaaf2/g802/skp1/ift20/cep120/ppp1r42/bbs7/dync2li1/nek1/ift57/tubg1/rttn/hspb11/mknk1/cep72/cep63/g11388/ccdc146/nme7/psmb5/cep192/nphp1/ruvbl1/rab41/cep76/slf1/ckap2l/cep19/cluap1/mzt2b/g4485/mks1/apc/cetn3/ccdc88aa/ddx11/ranbp2/rp2/g2081/zmynd10/ift56/herc2/toporsa/fignl1/bbs5/g19962/bbs4/g20850/atf5a/g10605/wdr35/g10590/ssna1/dync2i2/poc1a/g7472/g11055/bbs1/trappc14/rab28/tbccd1/g673/tbc1d7/LOC119009472/mkks"
"GO:0007018","microtubule-based movement",130,0.587470389336272,4.03713453928298,1e-10,3.81478260869565e-09,2.86681922196796e-09,3173,"tags=83%, list=31%, signal=58%","dlgap5/ap3b1a/kpnb1/ofd1/arl8a/fmr1/kif16ba/LOC119031171_fusion_2/kif20bb/LOC119009792/opa1/kif9/mast3b/ubb/traf3ip1/g8350/ulk4/cfap100/dnah6/lca5/ccnb1/ruvbl2/dync2i1/LOC119029135/odad1/kifap3a/ift70/g3880/LOC119024341/kif14/lmnb1/g4003/g4474/gle1/ttc21b/ift81/dync1i2b/ift88/g11418/racgap1/cfap91/ccdc103/ccdc40/kif19/dnai3/trim46a/cfap53/dctn2/ccdc39/pcm1/kif18a/rsph9/ift140/ak7b/zyg11/dnah9/tekt2/ift172/kifc1/kif22/dnah7/dnai2b/dync1li2/odad2/ift27/g802/ift20/bbs7/dync2li1/ift57/dnaaf11/hspb11/dynlt5/g4091/nme7/ropn1l/dnali1/rsph4a/rab41/wdr19/kif20a/LOC119030522/g2221/cluap1/dynlt1b/dnah10/cfap46/ak7a/LOC119031922/foxj1a/ift56/g700/g21913/g5657/g20850/tekt4/wdr35/g10590/rhot2/ssna1/dync2i2/sybl1/uchl1/bbs1/tekt1/g673/ttll1/stk36"
"GO:0000280","nuclear division",129,0.58174168056512,3.9802353711476,1e-10,3.81478260869565e-09,2.86681922196796e-09,2974,"tags=80%, list=29%, signal=58%","dlgap5/nup107/kpnb1/pibf1/pi4kb/mapre1b/srpk1b/g18688/LOC119031171_fusion_2/LOC119009792/spdya/g13456/ubb/socs2/ncapd2/cpeb3/cdc20/ttf2/slx4/ncapg/ccnb1/cenpj/birc5a/aurkb/cpeb4b/ttk/g3880/vrk1/LOC119024341/cdk1/kif14/pacsin1b/espl1/lmnb1/g4474/smc2/sycp1/ccna1/pttg1/racgap1/mad2l1/ube2s/ythdc2/g11544/pacsin2/aurka/g8953/eif4eb/mapre3b/rad54b/aspm/kif18a/zyg11/spice1/g7133/kifc1/topbp1/bub1ba/kif22/cep135/moto/ube2b/pelo/lin9/nup98/fancd2/g21456/ube2ia/tubg1/degs1/cdca8/cep63/mybl1/meiob/cep192/map9/ruvbl1/cntd1/zw10/dsn1/fbxo5/m1ap/g13042/g2221/dmc1/brdt/eri1/toporsa/LOC119020420/fignl1/stx5a/top2a/g13269/mcmdc2/g20850/eif4e1c/cks2/terb2/hormad1/slc2a8/ino80/g11882/mlh1"
"GO:0070925","organelle assembly",285,0.504108803248672,3.95620616365214,1e-10,3.81478260869565e-09,2.86681922196796e-09,3188,"tags=72%, list=31%, signal=51%","daam1b/dlgap5/rab14/ywhag1/ocrl/kpnb1/tbc1d32/ofd1/g3bp1/pibf1/g17435/mapre1b/fxr2/srpk1b/fmr1/g18688/g6122/xpo1a/g13257/LOC119031171_fusion_2/hyls1/hira/cfap410/noctb/g1356/vps37c/sec23ip/sclt1/odf2a/traf3ip1/g8350/ulk4/cfap100/sdccag8/cpeb3/cdc20/dnah6/nap1l4b/ehd1b/ruvbl2/dync2i1/cenpj/LOC119029135/odad1/birc5a/kifap3a/rfx2/ift70/aurkb/haus5/cpeb4b/rab3ip/cep97/vrk1/spata6/cplane2/LOC119024341/cdk1/hipk3b/pacsin1b/ptenb/g4003/g4474/cenpt/nphp3/ttc21b/ift81/dync1i2b/stil/sfi1/ift88/racgap1/septin7b/ccdc103/cep152/ccdc40/fam161a/g11544/pacsin2/aurka/agbl5/mapre3b/atmin/aspm/cfap53/iqcg/cc2d2a/dctn2/ccdc39/pcm1/kif18a/rsph9/ift140/ak7b/knl1/spag6/rab23/spice1/b9d2/tekt2/ift172/sntb1/fnbp1l/kifc1/odad4/cfap157/cep135/cfap298/dnah7/dnajb13/ube2b/oscp1b/dnai2b/g11028/cep162/rictorb/odad2/ift27/tmem67/dnaaf2/g802/ift20/bbs7/dync2li1/tmem216/nek1/mpv17l2/ift57/myb/tubg1/dnaaf11/degs1/rttn/hspb11/cep72/cep63/g11388/dynlt5/mybl1/dcst1/g4091/g2236/dnali1/cep192/nphp1/map9/ruvbl1/rsph4a/cdk20/iqub/cep76/wdr19/fbxo5/mapkap1/cep19/LOC119030522/cluap1/g4485/hdac3/mks1/dnah10/cfap46/ak7a/mcrs1/LOC119031922/foxj1a/zmynd10/rsph1/ift56/g700/bbs5/g21913/g11933/g5657/bbs4/g13269/g20850/tekt4/cfap161/wdr35/dnal1/g10590/cks2/ssna1/dync2i2/poc1a/sh3pxd2aa/cfap36/ino80/ehd3/mlh1/g13235/bbs1/tekt1/g8120/rab28/tbpl1/onecut2/fxr1/dynlt2b/lrguk/tmem107l/ttll1/stk36/tmem138/mkks"
"GO:0120031","plasma membrane bounded cell projection assembly",214,0.522728880131291,3.94150153004169,1e-10,3.81478260869565e-09,2.86681922196796e-09,3244,"tags=76%, list=31%, signal=53%","wasf3b/abl2/ywhag1/ocrl/tbc1d32/ofd1/pibf1/g17435/mapre1b/fxr2/fmr1/g6122/LOC119031171_fusion_2/hyls1/cfap410/g1356/sclt1/odf2a/traf3ip1/g8350/ulk4/cfap100/sdccag8/cpeb3/dnah6/ppp1r9bb/ehd1b/ruvbl2/dync2i1/cenpj/LOC119029135/odad1/kifap3a/rfx2/ift70/haus5/cpeb4b/rab3ip/cep97/spata6/cplane2/cdk1/g4003/nphp3/ttc21b/ift81/dync1i2b/stil/sfi1/ttyh1/ift88/septin7b/ccdc103/cep152/ccdc40/fam161a/agbl5/atmin/cfap53/iqcg/cc2d2a/dctn2/ccdc39/pcm1/rsph9/ift140/ak7b/spag6/rab23/b9d2/tekt2/ift172/fnbp1l/abi1b/odad4/cfap157/cep135/cfap298/dnah7/dnajb13/ube2b/oscp1b/dnm3a/dnai2b/g11028/g22069/cep162/odad2/ift27/tmem67/dnaaf2/g802/ift20/bbs7/dync2li1/tmem216/nek1/ift57/tubg1/dnaaf11/hspb11/cep72/cep63/dynlt5/rap1aa/g4091/dnali1/cep192/nphp1/rsph4a/cdk20/iqub/cep76/wdr19/nck1b/cep19/LOC119030522/wasf3a/cluap1/g4485/mks1/dnah10/cfap46/ak7a/LOC119031922/ccdc88aa/foxj1a/zmynd10/rsph1/ift56/g700/bbs5/g21913/g11933/g5657/bbs4/tekt4/cfap161/wdr35/dnal1/g10590/ssna1/dync2i2/poc1a/g3549/cfap36/ehd3/itga6a/bbs1/tekt1/rab28/onecut2/fxr1/dynlt2b/lrguk/tmem107l/ttll1/stk36/tmem138/mkks/bbip1/arl6"
"GO:0048285","organelle fission",142,0.563513647188386,3.94013447844471,1e-10,3.81478260869565e-09,2.86681922196796e-09,2974,"tags=77%, list=29%, signal=56%","dlgap5/nup107/kpnb1/pibf1/pi4kb/mapre1b/srpk1b/g18688/dnm2a/LOC119031171_fusion_2/LOC119009792/spdya/g13456/opa1/ubb/socs2/ncapd2/cpeb3/cdc20/ttf2/slx4/ncapg/ccnb1/ehd1b/cenpj/birc5a/aurkb/cpeb4b/ttk/g3880/vrk1/LOC119024341/cdk1/kif14/pacsin1b/espl1/lmnb1/g4474/smc2/sycp1/ccna1/pttg1/racgap1/mad2l1/ube2s/ythdc2/g11544/pacsin2/aurka/g8953/eif4eb/mapre3b/rad54b/aspm/kif18a/zyg11/spice1/g7133/kifc1/topbp1/bub1ba/kif22/cep135/moto/ube2b/dnm3a/pelo/lin9/nup98/fancd2/g21456/ube2ia/tubg1/degs1/cdca8/cep63/mybl1/meiob/slc25a46/cep192/map9/ruvbl1/cntd1/zw10/dsn1/fbxo5/m1ap/g13042/g2221/dmc1/brdt/eri1/g17663/toporsa/LOC119020420/fignl1/stx5a/top2a/g13269/mcmdc2/g20850/eif4e1c/cks2/terb2/hormad1/slc2a8/ino80/ehd3/g11882/mlh1"
