"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0043043","peptide biosynthetic process",125,-0.610911594781726,-4.29199116819398,1e-10,7.01323529411765e-09,6.04953560371517e-09,3464,"tags=85%, list=28%, signal=62%","dhx33/rps5/rpl17/rpl37/rpl18/eif3g/rpl18a/rpl21/LOC119013016/rpl24/mrpl14/mtrf1l/rpl9/rps7/mrpl33/rps26/usb1/LOC119018159/mrpl51/g16869/elp3/mrps24/dars1/rps6/rpl35/mrpl57/rpl8/qrsl1/mrpl21/g2937/rpl11/mrpl54/rpl38/mrpl32/mrrf/rps9/rps20/polg2/oplah/mrpl9/lars2/oxa1l/mrpl4/otulina/mrto4/mrps18a/eif1axb/eif1/mrpl27/rars2/aurkaip1/mtif3/srfb/mrps30/mrpl10/rpl7/mrps11/fdxacb1/eral1/mrpl42/gclm/eef1b2/rpl22l1/mrpl17/mrpl12/mrps10/mrpl41/eif4e1c/sars2/rpl6/mrpl20/rps11/cpeb1b/g2486/eefsec/mcts1/mrpl1/eif2b2/rars1/mrpl45/mrpl47/mrpl15/g2487/mrpl46/qars1/selenot1a/mrps23/rbm4.1/mrpl40/mars2/mrpl55/mrps22/utp11/rsl1d1/gclc/mrps2/g16870/tsfm/eef1g/wars2/nars1/chac1/nhp2/eif4a1a/mrps17/rrbp1a"
"GO:0042254","ribosome biogenesis",92,-0.672308919353267,-4.2896078077347,1e-10,7.01323529411765e-09,6.04953560371517e-09,2774,"tags=83%, list=22%, signal=65%","mtg1/rrp36/rps6/rpl35/tsc1b/wdr3/rpl11/wdr74/noc4l/aatf/nat10/utp15/rcl1/mphosph10/otulina/dcaf13/exosc1/mrto4/bop1/g20072/g21959/ddx52/abt1/ltv1/ddx1/rpl7/mrps11/snu13b/eral1/malsu1/nop16/rpusd2/mterf4/pdcd11/nolc1/riok1/dhx37/ppan/bxdc2/utp23/utp18/dkc1/rpf1/pelp1/ddx49/rpl6/mrpl20/exosc8/gemin4/mrpl1/gtpbp4/g19987/lsg1/exosc9/LOC119025452/ddx56/bysl/nol9/utp11/rsl1d1/dimt1l/nop2/ebna1bp2/rrp9/nhp2/rrs1/znf622/c1qbp/gnl3/nol11/mak16/wdr43/nop53/ftsj3/npm3/gtf3aa"
"GO:0006412","translation",120,-0.61313372319944,-4.23882022360916,1e-10,7.01323529411765e-09,6.04953560371517e-09,3464,"tags=85%, list=28%, signal=62%","dhx33/rps5/rpl17/rpl37/rpl18/eif3g/rpl18a/rpl21/LOC119013016/rpl24/mrpl14/mtrf1l/rpl9/rps7/mrpl33/rps26/usb1/LOC119018159/mrpl51/g16869/elp3/mrps24/dars1/rps6/rpl35/mrpl57/rpl8/qrsl1/mrpl21/g2937/rpl11/mrpl54/rpl38/mrpl32/mrrf/rps9/rps20/polg2/mrpl9/lars2/oxa1l/mrpl4/otulina/mrto4/mrps18a/eif1axb/eif1/mrpl27/rars2/aurkaip1/mtif3/srfb/mrps30/mrpl10/rpl7/mrps11/fdxacb1/eral1/mrpl42/eef1b2/rpl22l1/mrpl17/mrpl12/mrps10/mrpl41/eif4e1c/sars2/rpl6/mrpl20/rps11/cpeb1b/g2486/eefsec/mcts1/mrpl1/eif2b2/rars1/mrpl45/mrpl47/mrpl15/g2487/mrpl46/qars1/selenot1a/mrps23/rbm4.1/mrpl40/mars2/mrpl55/mrps22/utp11/rsl1d1/mrps2/g16870/tsfm/eef1g/wars2/nars1/nhp2/eif4a1a/mrps17/rrbp1a"
"GO:0044391","ribosomal subunit",62,-0.720694637468559,-4.11484346795799,1e-10,7.01323529411765e-09,6.04953560371517e-09,3457,"tags=98%, list=27%, signal=72%","rps5/rpl17/rpl37/rpl18/rpl18a/rpl21/rpl24/mrpl14/rpl9/rps7/mrpl33/rps26/LOC119018159/rps12/mrpl51/mrps24/rps6/rpl35/rpl8/mrpl21/rpl11/mrpl54/rpl38/mrpl32/rps9/rps20/mrpl9/mrpl4/mrto4/mrps18a/mrpl27/ltv1/srfb/mrps30/mrpl10/rpl7/mrps11/mrpl42/mterf4/rpl22l1/mrpl17/mrpl12/mrps10/mrpl41/rpl6/mrpl20/rps11/mcts1/mrpl1/mrpl45/mrpl47/mrpl15/mrpl46/mrps23/mrpl40/mrpl55/mrps22/rsl1d1/mrps2/znf622/mrps17"
"GO:0140053","mitochondrial gene expression",56,-0.724740990102881,-4.06129293730458,1e-10,7.01323529411765e-09,6.04953560371517e-09,3102,"tags=96%, list=25%, signal=73%","mterf2/mrpl14/mtrf1l/mrpl33/mrpl51/mrps24/mrpl57/qrsl1/mrpl21/mrpl54/mrpl32/mrrf/polg2/mrpl9/lars2/oxa1l/mrpl4/mrps18a/mrpl27/rars2/aurkaip1/mtif3/srfb/mrps30/mrpl10/mrps11/prorp/eral1/mrpl42/mterf4/mrpl17/mrpl12/mrps10/mrpl41/sars2/tbrg4/mrpl20/trmt10c/mrpl1/mrpl45/mrpl47/mrpl15/mrpl46/mrps23/mrpl40/mrpl55/mrps22/lrpprc/hsd17b10/pus1/mrps2/tsfm/mtpap/mrps17"
"GO:0043604","amide biosynthetic process",160,-0.55212685022722,-4.05880693556506,1e-10,7.01323529411765e-09,6.04953560371517e-09,3464,"tags=76%, list=28%, signal=56%","dhx33/rps5/rpl17/rpl37/rpl18/eif3g/rpl18a/rpl21/LOC119013016/rpl24/mrpl14/mtrf1l/rpl9/rps7/mrpl33/rps26/usb1/LOC119018159/mrpl51/g16869/elp3/asnsd1/mrps24/dars1/gba1/rps6/rpl35/mrpl57/rpl8/qrsl1/cers6/mrpl21/g2937/rpl11/mrpl54/rpl38/mrpl32/mrrf/rps9/b3galt2/rps20/polg2/oplah/mrpl9/lars2/oxa1l/mrpl4/otulina/mrto4/mrps18a/mpc2b/eif1axb/eif1/asl/mrpl27/rars2/aurkaip1/mtif3/srfb/mrps30/mrpl10/rpl7/mrps11/fdxacb1/eral1/mrpl42/acsl5/degs2/gclm/sptlc2a/eef1b2/rpl22l1/mrpl17/mrpl12/mrps10/mrpl41/eif4e1c/sars2/rpl6/mrpl20/otc/rps11/cers2a/cpeb1b/p2rx7/g2486/eefsec/mcts1/mrpl1/eif2b2/rars1/mrpl45/mrpl47/mrpl15/g2487/mrpl46/qars1/selenot1a/mrps23/rbm4.1/mrpl40/mars2/mrpl55/mrps22/utp11/rsl1d1/ppt1/gclc/mrps2/atic/g16870/tsfm/eef1g/wars2/nars1/chac1/nhp2/eif4a1a/smpd1/mrps17/rrbp1a/acat1"
"GO:0005759","mitochondrial matrix",143,-0.557635130172235,-4.02254100588204,1e-10,7.01323529411765e-09,6.04953560371517e-09,3125,"tags=73%, list=25%, signal=55%","dtymk/mterf2/mrpl14/mtrf1l/mrpl33/acads/mtg1/mrpl51/lias/aass/mrps24/mrpl57/g17689/mrpl21/maip1/mrpl54/mrpl32/pdss2/mrrf/polg2/mrpl9/lars2/oxa1l/mrpl4/mrps18a/lonp1/hibch/mrpl27/coq5/rars2/mtif3/srfb/mrps30/mrpl10/g7959/mrps11/prorp/decr1/eral1/malsu1/mrpl42/mterf4/lyrm7/prdx3/mdh2/nadk2/nudt13/mrpl17/hadhb/mrpl12/mrps10/dmgdh/mrpl41/sars2/ndufaf7/tbrg4/mrpl20/otc/trmt10c/hibadhb/pdss1/mrpl1/grsf1/mrpl45/sod1/mrpl47/mrpl15/mrpl46/qars1/fxn/mrps23/lrrc59/mrpl40/hmgcl/mars2/poldip2/pcca/mrpl55/atp5f1c/mrps22/lrpprc/dimt1l/hsd17b10/pus1/mrps2/gsr/tsfm/mccc1/wars2/mcat/tp53/ivd/got2a/c1qbp/prdx5/etfdh/hspd1/g21261/grpel1/acaa2/pmpca/mrps17/akap1b/acat1"
"GO:0003735","structural constituent of ribosome",57,-0.719529902134079,-4.02126518462316,1e-10,7.01323529411765e-09,6.04953560371517e-09,3457,"tags=98%, list=27%, signal=72%","rps5/rpl17/rpl37/rpl18/rpl18a/rpl21/rpl24/mrpl14/rpl9/mrpl33/rps26/LOC119018159/rps12/mrpl51/mrps24/rps6/rpl35/mrpl57/rpl8/mrpl21/rpl11/mrpl54/rpl38/mrpl32/rps9/rps20/mrpl9/mrpl4/mrto4/mrps18a/mrpl27/srfb/mrps30/mrpl10/rpl7/mrps11/mrpl42/rpl22l1/mrpl17/mrpl12/mrps10/mrpl41/rpl6/mrpl20/rps11/mrpl1/mrpl45/mrpl47/mrpl15/mrpl46/mrps23/mrpl40/mrpl55/mrps22/mrps2/mrps17"
"GO:0006518","peptide metabolic process",158,-0.548743562481015,-4.01366136295627,1e-10,7.01323529411765e-09,6.04953560371517e-09,3464,"tags=75%, list=28%, signal=55%","dhx33/rps5/rpl17/rpl37/g1482/rpl18/eif3g/rpl18a/rpl21/LOC119013016/rpl24/mrpl14/mtrf1l/rpl9/g11656/rps7/mrpl33/g7340/rps26/usb1/LOC119018159/mrpl51/g16869/elp3/ide/mrps24/dars1/rps6/rpl35/mrpl57/rpl8/qrsl1/glrx2/mrpl21/g2937/rpl11/psenen/mrpl54/g3741/rpl38/mrpl32/mrrf/rps9/nln/rps20/polg2/oplah/mrpl9/lars2/oxa1l/mrpl4/otulina/mrto4/mrps18a/eif1axb/eif1/mrpl27/rars2/aurkaip1/mtif3/srfb/mrps30/mrpl10/rpl7/mrps11/sppl3/fdxacb1/eral1/mrpl42/gclm/eef1b2/rpl22l1/mrpl17/spcs1/mrpl12/mmachc/mrps10/mrpl41/eif4e1c/sars2/rpl6/mrpl20/rps11/cpeb1b/g2486/eefsec/mcts1/mrpl1/eif2b2/rars1/mrpl45/sod1/mrpl47/mrpl15/g2487/mrpl46/qars1/selenot1a/mrps23/rbm4.1/mrpl40/mars2/mrpl55/mrps22/utp11/rsl1d1/gclc/mrps2/gsr/g16870/tsfm/eef1g/wars2/nars1/chac1/nhp2/eif4a1a/mrps17/rrbp1a"
"GO:0022613","ribonucleoprotein complex biogenesis",131,-0.568835435630123,-4.01128467909217,1e-10,7.01323529411765e-09,6.04953560371517e-09,2777,"tags=73%, list=22%, signal=58%","prmt5/mtg1/g3bp1/rrp36/tarbp2/rps6/rpl35/tsc1b/prpf31/sf3a1/wdr3/g2937/rpl11/g6878/rpl38/wdr74/noc4l/snw1/thg1l/snrpd3/aatf/nat10/utp15/rcl1/mphosph10/otulina/dcaf13/exosc1/mrto4/bop1/eif1/patl1/g20072/g21959/ddx52/patl2/abt1/ltv1/ddx1/rpl7/lsm1/mrps11/snu13b/eral1/malsu1/nop16/rpusd2/mterf4/pdcd11/nolc1/riok1/dhx37/ppan/bxdc2/utp23/utp18/dkc1/rpf1/pelp1/ddx49/rpl6/mrpl20/prpf3/exosc8/gemin4/mcts1/mrpl1/gtpbp4/g19987/lsg1/exosc9/LOC119025452/ddx56/smn1/bysl/nol9/utp11/rsl1d1/dimt1l/nop2/ebna1bp2/sirt6/rrp9/nocta/nhp2/rrs1/znf622/c1qbp/gnl3/nol11/mak16/wdr43/nop53/ftsj3/npm3/gtf3aa"
