"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"dre03010","Ribosome",104,-0.689898784165536,-4.68502840688598,1e-10,7.85e-09,5.94736842105263e-09,2646,"tags=99%, list=31%, signal=69%","415168/327089/567309/336712/192297/336641/415159/337148/336713/445038/394035/100000341/336568/777746/192301/394122/336702/436829/393725/100536515/393723/336662/449547/406387/337007/567819/797002/554098/322571/553711/336726/393788/415169/445028/192299/393686/100000836/337810/432383/768305/337010/557397/100093703/415229/100034614/795846/436759/751730/768187/114420/378961/406489/406485/572170/445053/553771/503593/560828/30722/558080/553709/323305/550455/571210/415196/555760/541330/336710/556272/568235/393738/337240/406565/735250/447945/550252/394027/100007768/550391/58101/337090/562703/565937/553805/336727/751640/751681/406686/393818/445321/445150/553284/393277/557789/445041/436791/445221/447873/556778/791211/503880/558658/553580"
"dre03008","Ribosome biogenesis in eukaryotes",37,-0.672224742856186,-3.44227878761551,1e-10,7.85e-09,5.94736842105263e-09,1926,"tags=95%, list=23%, signal=73%","334446/100004610/553787/415238/445391/751738/321058/436813/556379/393617/436798/325106/445388/323426/394196/321114/406268/492761/767797/550241/613144/494152/541444/393237/436992/406571/334050/323464/393291/100003787/550264/334362/321897/317637/557254"
"dre00190","Oxidative phosphorylation",55,-0.526445092193066,-2.98956950924809,1.03296672638878e-09,5.40585920143464e-08,4.09562245901518e-08,2595,"tags=75%, list=31%, signal=52%","335751/554101/326975/767750/556538/359840/393478/554154/406599/566723/402883/550451/393781/541328/554103/335191/449787/447914/326977/553384/559659/394181/324307/100005158/100537318/436768/100333064/321724/81541/450017/436930/553755/406301/336957/554135/325402/394110/436799/415158/195824/337583"
"dre00970","Aminoacyl-tRNA biosynthesis",27,-0.640671717098062,-2.97434443727512,2.13852410111786e-08,8.39370709688759e-07,6.35929535332416e-07,1959,"tags=81%, list=23%, signal=63%","324025/327329/561673/393123/556680/100126021/751732/393589/692329/114427/368235/100330276/368284/394154/337070/556702/394188/566565/503745/568332/445405/337230"
"dre04814","Motor proteins",118,0.35791054807235,2.23366501964504,2.047846696305e-06,6.43023862639769e-05,4.87171950910452e-05,1409,"tags=33%, list=17%, signal=28%","100317899/561639/100334351/799461/569992/101884977/555705/570113/553436/100332402/100333131/553797/266676/553438/565740/556023/565913/569394/557863/100148193/100535326/445048/565563/567632/561489/561525/447884/447906/555454/100149555/406681/100001191/447926/565345/573122/563752/767746/334108/562188"
"dre04141","Protein processing in endoplasmic reticulum",96,-0.334333078638069,-2.18836279822533,3.44600768535223e-05,0.000901705344333834,0.000683155909552284,1708,"tags=43%, list=20%, signal=34%","378851/100000479/553288/327133/562839/557960/559775/554960/568308/402801/558108/170784/100000526/368488/393239/326701/553627/751643/30248/406408/322073/368331/58081/406289/562720/325561/378848/266797/386590/324944/556410/335444/566527/192298/266757/554998/373100/394028/553448/406757/83414"
"dre03060","Protein export",12,-0.696252461023173,-2.42404131456883,7.34794829968468e-05,0.00164803983292928,0.00124859873363063,2032,"tags=92%, list=24%, signal=70%","791986/394071/562963/404632/606666/335756/378848/541342/619260/192298/327335"
"dre00280","Valine, leucine and isoleucine degradation",29,-0.501790988773398,-2.39786873771714,0.00013034799558602,0.00252353997836231,0.00191190088873578,1689,"tags=59%, list=20%, signal=47%","445182/793834/798364/405861/336606/541388/394135/323653/394190/437019/450078/777632/368775/445121/406283/406325/445290"
"dre03020","RNA polymerase",17,-0.610479564756284,-2.39181602444272,0.000144661527422044,0.00252353997836231,0.00191190088873578,2168,"tags=82%, list=26%, signal=61%","100003720/393257/553733/100000978/541428/550263/393201/334669/572258/325603/436749/402856/393538/436826"
"dre03040","Spliceosome",44,-0.390082093390348,-2.08806778110623,0.000501266106387154,0.00786987787027832,0.00596242842334194,2129,"tags=59%, list=25%, signal=44%","192325/192331/322206/445383/286774/393476/796388/793027/192330/321852/415171/334283/321544/560127/321114/334490/415140/567461/446168/402896/406495/324121/403072/492495/378453/393388"
"dre04144","Endocytosis",150,0.275282394040462,1.78747437971045,0.000618675861713513,0.00883019184445651,0.00668998778694995,3192,"tags=54%, list=38%, signal=34%","557996/393152/565563/245701/569240/562949/569403/323203/100331274/406414/560542/557199/445397/777738/406704/406837/767670/492549/393562/567272/619412/554561/58092/573631/566120/798876/568935/793882/406820/393351/792928/334632/334108/100334572/393945/794862/100005449/568800/568170/567190/394001/327026/336426/393902/792229/555340/571453/492497/100005765/117507/561653/100148154/563511/336368/100334729/566086/100333543/560446/571897/798901/555737/406621/561288/553656/30637/368822/100006041/796345/447839/100329879/394098/556132/321938/436688/378838/101882925/337737/571626/565383/569096/558153"
"dre04070","Phosphatidylinositol signaling system",58,0.373550401201156,1.95717510212956,0.000730387745716734,0.00955590633979394,0.00723980835666587,2674,"tags=53%, list=32%, signal=37%","322041/724010/393838/559198/606579/492549/100149388/792527/553750/337236/798876/325179/100003514/571356/560360/407700/406667/557324/561737/100333967/548346/100002015/30644/404211/791142/567938/323929/790916/556956/101886206/337690"
"dre00270","Cysteine and methionine metabolism",26,-0.453065501865479,-2.08832187203206,0.00115747469814822,0.0139787328930208,0.0105906591814371,1359,"tags=46%, list=16%, signal=39%","791592/447941/678634/327512/333974/406405/394009/335715/326857/387530/406688/394240"
"dre04216","Ferroptosis",27,-0.443722280618093,-2.05999868860989,0.00142382868572888,0.0154990377955694,0.0117424825403912,1931,"tags=52%, list=23%, signal=40%","555566/436827/393268/796322/100332846/569184/447860/333974/494478/326857/321844/30590/436651/322126"
"dre04142","Lysosome",80,-0.302070556394218,-1.89656617346105,0.00148079978938561,0.0154990377955694,0.0117424825403912,1635,"tags=42%, list=19%, signal=35%","445487/559072/541416/403021/65225/406801/569262/450022/571441/327635/324307/406713/541519/321724/321453/798361/406645/445165/564342/323613/447897/560778/406648/325402/100330411/559850/195824/393549/556700/553594/336746/282673/368704/559959"
"dre03018","RNA degradation",39,-0.401951802196671,-2.09369121479708,0.00163799274493686,0.0160728038096929,0.0121771829064385,1759,"tags=51%, list=21%, signal=41%","317641/751632/504054/558857/394064/100009659/791461/445157/550234/323016/373085/450057/474329/100126012/492479/393712/445224/326786/282676/378963"
"dre00670","One carbon pool by folate",19,-0.512013949312206,-2.0913856744091,0.00204603200598469,0.018895707349388,0.014315889577478,1407,"tags=53%, list=17%, signal=44%","58141/394021/567547/678634/100141496/260441/140622/387530/100004977/394240"
"dre00480","Glutathione metabolism",27,-0.420970428976117,-1.95437229436926,0.00300131257603611,0.0261781152465371,0.0198332351515836,1560,"tags=44%, list=18%, signal=36%","100151110/436894/386951/798788/333974/394009/494154/564619/326857/553575/562854/563855"
"dre04146","Peroxisome",43,-0.366236430535966,-1.94936791162825,0.00390942799843432,0.0309527912243332,0.02345065644217,1361,"tags=40%, list=16%, signal=33%","573990/100332846/394140/550370/386951/393618/447860/767748/556815/447868/30553/406803/394190/406829/554105/565760/791455"
"dre00562","Inositol phosphate metabolism",49,0.358934969440849,1.79181924365866,0.00394303072921442,0.0309527912243332,0.02345065644217,2674,"tags=53%, list=32%, signal=36%","322041/100334605/393838/559198/606579/492549/792527/553750/337236/798876/325179/571356/560360/407700/406667/561737/548346/406598/30644/791142/567938/323929/790916/556956/101886206/337690"
"dre01240","Biosynthesis of cofactors",74,-0.293558115341813,-1.79640445577582,0.00469851402648325,0.0350791011578501,0.0265768584031985,1540,"tags=39%, list=18%, signal=32%","550502/751732/561272/553384/494176/571441/100000559/447802/394021/394181/64608/678634/327512/30617/431743/333974/445071/321793/550338/447838/402868/338290/323653/192305/326857/260441/116991/100004977/30083"
"dre01200","Carbon metabolism",60,-0.308296346720265,-1.79578342291659,0.00491554283740574,0.0350791011578501,0.0265768584031985,1526,"tags=37%, list=18%, signal=30%","116517/403086/406702/798364/394021/386951/335231/405861/327512/406405/334897/321664/335715/445494/246094/437019/553283/406688/378713/324556/378963/445290"
"dre03410","Base excision repair",21,-0.451458178348185,-1.93183399521903,0.00633497601362937,0.0416976367580582,0.0315912366990317,2708,"tags=71%, list=32%, signal=49%","553610/259256/30678/566516/492463/100037336/571485/558951/100150674/791194/554204/692256/406730/406697/393253"
"dre00860","Porphyrin metabolism",23,-0.429805189919821,-1.87569285687009,0.00637416103307896,0.0416976367580582,0.0315912366990317,1657,"tags=48%, list=20%, signal=39%","664750/751732/553384/571441/394181/64608/30617/550338/338290/556389/436651"
