"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0044782","cilium organization",167,0.709259058280047,4.79832433127905,1e-10,4.1156862745098e-09,3.38493292053664e-09,1849,"tags=78%, list=18%, signal=65%","dnah10/wdr19/g5657/odf2a/g700/dnah7/dync2i2/traf3ip1/cfap46/tctn1/rsph9/tmem67/kifap3a/nme7/ift172/bbs10/odad1/poc1a/odad2/wdr35/rab28/kif19/dnai2b/fxr1/ak7b/rfx2/ift140/rsph4a/dnaaf11/odad4/agbl5/g8350/ift56/mks1/g4485/g11933/oscp1b/zmynd10/ift27/g10590/g21913/cep63/ift70/bbs5/cfap298/lca5/iqub/ift88/atmin/tekt2/nphp1/spag6/dnaaf2/ccdc39/arl6/cep97/LOC119029135/dynlt2b/cep72/hspb11/g802/dync2i1/dnal1/haus5/cep152/ift20/ift81/rsph1/lrguk/tekt1/bbs1/bbs4/cep20/cep192/cfap100/cfap53/mkks/spata6/rab3ip/cfap161/g17435/pcm1/ccdc40/rab23/sdccag8/ttc21b/tekt4/ak7a/LOC119031922/cfap157/fam161a/crocc2/g6122/cenpj/nek1/tmem138/cplane2/cby1/cc2d2a/dnali1/cep162/g11028/foxj1a/cfap36/ift57/dynlt5/cpeb4b/bbip1/ehd3/dnajb13/g7930/g4003/dnah6/cdk20/iqcg/ttll1/sfi1/haus4/nphp3/g4091/cep135/prkar2b/bbs7/dync1i2b/tubg1/LOC119030522/cep19/ro60/cluap1/g5876/dync2li1"
"GO:0060271","cilium assembly",162,0.709033936413368,4.78773922013716,1e-10,4.1156862745098e-09,3.38493292053664e-09,1849,"tags=78%, list=18%, signal=65%","dnah10/wdr19/g5657/odf2a/g700/dnah7/dync2i2/traf3ip1/cfap46/tctn1/rsph9/tmem67/kifap3a/ift172/bbs10/odad1/poc1a/odad2/wdr35/rab28/dnai2b/fxr1/ak7b/rfx2/ift140/rsph4a/dnaaf11/odad4/agbl5/g8350/ift56/mks1/g4485/g11933/oscp1b/zmynd10/ift27/g10590/g21913/cep63/ift70/bbs5/cfap298/iqub/ift88/atmin/tekt2/nphp1/spag6/dnaaf2/ccdc39/arl6/cep97/LOC119029135/dynlt2b/cep72/hspb11/g802/dync2i1/dnal1/haus5/cep152/ift20/ift81/rsph1/lrguk/tekt1/bbs1/bbs4/cep20/cep192/cfap100/cfap53/mkks/spata6/rab3ip/cfap161/g17435/pcm1/ccdc40/rab23/sdccag8/ttc21b/tekt4/ak7a/LOC119031922/cfap157/fam161a/g6122/cenpj/nek1/tmem138/cplane2/cby1/cc2d2a/dnali1/cep162/g11028/foxj1a/cfap36/ift57/dynlt5/cpeb4b/bbip1/ehd3/dnajb13/g7930/g4003/dnah6/cdk20/iqcg/ttll1/sfi1/haus4/nphp3/g4091/cep135/prkar2b/bbs7/dync1i2b/tubg1/LOC119030522/cep19/ro60/cluap1/g5876/dync2li1"
"GO:0005840","ribosome",74,-0.710106766480446,-4.49913851292492,1e-10,4.1156862745098e-09,3.38493292053664e-09,2102,"tags=85%, list=20%, signal=68%","rps5/mrps23/rpl29/rpl23a/mrpl12/mrpl17/rpl37/LOC119018159/mrpl20/rpl9/rps24/rps15a/mrpl54/mrpl21/mrps6/mrpl38/rps29/mrps11/rps18/mrpl46/rps7/rpl28/rpl21/rpl11/srfb/mrpl57/rpl18/rpl35/rrbp1a/mrpl42/mrps2/rps26/rpl24/mrpl9/mterf4/mrps22/mrpl1/rps20/rpl18a/rpl8/mrpl47/rpl6/mrpl4/mrpl40/mrps10/rpl36a/rsl1d1/mcts1/rpl7/rps11/mrpl55/mrpl45/rps6/rps12/rpl17/rpl38/rps9/rpl22l1/g2487/znf622/mrps17/g2486/canx"
"GO:0043043","peptide biosynthetic process",123,-0.638666163334903,-4.45643888259656,1e-10,4.1156862745098e-09,3.38493292053664e-09,2140,"tags=77%, list=21%, signal=62%","oxa1l/rps5/fars2/mrps23/rpl29/rpl23a/mrpl12/qrsl1/eif3s6ip/mrpl17/rpl37/LOC119018159/eif4e1c/mrpl20/eif1axb/rpl9/aurkaip1/rps24/rbm4.1/rps15a/mrpl54/mrpl21/mrps6/mrrf/mtif3/mrpl38/rps29/g2937/eif3hb/polg2/mrps11/dars1/rps18/nhp2/mrpl46/rps7/rpl28/rpl21/rpl11/srfb/mrpl57/rpl18/rpl35/rrbp1a/mrpl42/mars2/mrps2/wars2/otulina/rps26/oplah/rpl24/mrpl9/mrps22/mrpl1/rps20/fdxacb1/rpl18a/rpl8/g16870/mrpl47/rpl6/mrpl4/mrpl40/mrps10/cpeb1b/rpl36a/rsl1d1/farsb/chac1/eif1/mcts1/rpl7/rps11/mrpl55/mrpl45/rps6/rpl17/sars2/eif2b2/rpl38/rps9/rpl22l1/g2487/tsfm/qars1/gclc/eef1b2/rars1/utp11/mrps17/g2486/eef1g/nars1/eif4a1a"
"GO:0044391","ribosomal subunit",64,-0.737398110247366,-4.43744432148927,1e-10,4.1156862745098e-09,3.38493292053664e-09,2102,"tags=91%, list=20%, signal=73%","rps5/mrps23/rpl29/rpl23a/mrpl12/mrpl17/rpl37/LOC119018159/mrpl20/rpl9/rps24/rps15a/mrpl54/mrpl21/mrps6/mrpl38/rps29/mrps11/rps18/mrpl46/rps7/rpl28/rpl21/rpl11/srfb/rpl18/rpl35/mrpl42/mrps2/rps26/rpl24/mrpl9/mterf4/mrps22/mrpl1/rps20/rpl18a/rpl8/mrpl47/rpl6/mrpl4/mrpl40/mrps10/rpl36a/rsl1d1/mcts1/rpl7/rps11/mrpl55/mrpl45/rps6/rps12/rpl17/rpl38/rps9/rpl22l1/znf622/mrps17"
"GO:0006412","translation",119,-0.638346765126479,-4.38143464092382,1e-10,4.1156862745098e-09,3.38493292053664e-09,2140,"tags=77%, list=21%, signal=62%","oxa1l/rps5/fars2/mrps23/rpl29/rpl23a/mrpl12/qrsl1/eif3s6ip/mrpl17/rpl37/LOC119018159/eif4e1c/mrpl20/eif1axb/rpl9/aurkaip1/rps24/rbm4.1/rps15a/mrpl54/mrpl21/mrps6/mrrf/mtif3/mrpl38/rps29/g2937/eif3hb/polg2/mrps11/dars1/rps18/nhp2/mrpl46/rps7/rpl28/rpl21/rpl11/srfb/mrpl57/rpl18/rpl35/rrbp1a/mrpl42/mars2/mrps2/wars2/otulina/rps26/rpl24/mrpl9/mrps22/mrpl1/rps20/fdxacb1/rpl18a/rpl8/g16870/mrpl47/rpl6/mrpl4/mrpl40/mrps10/cpeb1b/rpl36a/rsl1d1/farsb/eif1/mcts1/rpl7/rps11/mrpl55/mrpl45/rps6/rpl17/sars2/eif2b2/rpl38/rps9/rpl22l1/g2487/tsfm/qars1/eef1b2/rars1/utp11/mrps17/g2486/eef1g/nars1/eif4a1a"
"GO:0120031","plasma membrane bounded cell projection assembly",200,0.62172700494424,4.35413825449518,1e-10,4.1156862745098e-09,3.38493292053664e-09,1347,"tags=60%, list=13%, signal=54%","dnah10/wdr19/g5657/odf2a/g700/dnah7/dync2i2/traf3ip1/cfap46/tctn1/rsph9/tmem67/kifap3a/ift172/bbs10/odad1/poc1a/odad2/wdr35/rab28/ccdc88aa/dnai2b/fxr1/ak7b/rfx2/ift140/rsph4a/dnaaf11/odad4/agbl5/g8350/ift56/mks1/g4485/g11933/oscp1b/zmynd10/ift27/g10590/g21913/cep63/ift70/bbs5/cfap298/iqub/ift88/atmin/tekt2/nphp1/spag6/dnaaf2/ccdc39/arl6/cep97/LOC119029135/dynlt2b/cep72/hspb11/g802/dync2i1/dnal1/haus5/cep152/ift20/ift81/rsph1/lrguk/tekt1/bbs1/bbs4/cep20/cep192/cfap100/cfap53/mkks/spata6/rab3ip/cfap161/g17435/pcm1/ccdc40/rab23/sdccag8/ttc21b/tekt4/ak7a/LOC119031922/cfap157/fam161a/g6122/cenpj/nek1/tmem138/cplane2/cby1/cc2d2a/dnali1/cep162/g11028/foxj1a/cfap36/ift57/dnm3a/dynlt5/cpeb4b/g22069/bbip1/ehd3/dnajb13/g7930/g4003/rapgef6/dnah6/cdk20/iqcg/ttll1/sfi1/haus4/nphp3/g4091/cep135"
"GO:0005929","cilium",214,0.616361901863575,4.34502125551943,1e-10,4.1156862745098e-09,3.38493292053664e-09,1851,"tags=64%, list=18%, signal=54%","dnah10/nek4/wdr19/g5657/odf2a/g700/dnah7/dync2i2/traf3ip1/cfap46/tctn1/rsph9/cfap91/tmem67/kifap3a/nme7/ift172/odad1/poc1a/efcab7/odad2/wdr35/rab28/kif19/enkur/ccdc88aa/dnai2b/ift140/rsph4a/dnaaf11/dnah9/g8350/ift56/mks1/g4485/tulp3/agbl2/g20850/cfap144/ift27/g10590/g21913/ift70/bbs5/inpp5e/adgrv1/lca5/iqub/ift88/tekt2/nphp1/spag6/dnaaf2/ccdc39/arl6/LOC119029135/dynlt2b/ccdc135/hspb11/g802/dync2i1/dnal1/cep152/rp2/ift20/ift81/rsph1/tekt1/bbs1/bbs4/cep20/cfap100/cfap53/mkks/spata6/rab3ip/cfap161/tapt1a/g17435/g19962/pcm1/ccdc40/spef1/ttc21b/mapre3b/tekt4/LOC119031922/cfap157/fam161a/crocc2/g6122/cenpj/atp2b2/tmem138/cplane2/cby1/cc2d2a/dnali1/ccdc181/cep162/g11028/cfap36/g2081/cfap418/fam49bb/ift57/cetn3/bbip1/ehd3/grk3/dnajb13/mdm1/g7930/g4003/ropn1l/dnah6/iqcg/tulp1a/g4956/nphp3/cep135/prkar2b/bbs7/septin4a/slc26a6l1/dync1i2b/LOC119018635/tubg1/tbc1d7/LOC119030522/cep19/cacna1fb/cluap1/g18141/g5876/cabcoco1/dync2li1/spata18"
"GO:0003735","structural constituent of ribosome",60,-0.732161243453077,-4.33388786672679,1e-10,4.1156862745098e-09,3.38493292053664e-09,2102,"tags=90%, list=20%, signal=72%","rps5/mrps23/rpl29/rpl23a/mrpl12/mrpl17/rpl37/LOC119018159/mrpl20/rpl9/rps24/rps15a/mrpl54/mrpl21/mrps6/mrpl38/rps29/mrps11/rps18/mrpl46/rpl28/rpl21/rpl11/srfb/mrpl57/rpl18/rpl35/mrpl42/mrps2/rps26/rpl24/mrpl9/mrps22/mrpl1/rps20/rpl18a/rpl8/mrpl47/rpl6/mrpl4/mrpl40/mrps10/rpl36a/rpl7/rps11/mrpl55/mrpl45/rps6/rps12/rpl17/rpl38/rps9/rpl22l1/mrps17"
"GO:0097014","ciliary plasm",64,0.769887301279263,4.32259691926286,1e-10,4.1156862745098e-09,3.38493292053664e-09,1302,"tags=80%, list=13%, signal=70%","dnah10/nek4/g5657/dnah7/dync2i2/traf3ip1/cfap46/rsph9/cfap91/kifap3a/ift172/odad1/odad2/wdr35/rab28/dnai2b/ift140/rsph4a/dnah9/g8350/tulp3/g20850/g10590/g21913/ift70/bbs5/inpp5e/lca5/ift88/spag6/ccdc39/arl6/dynlt2b/dync2i1/dnal1/ift20/bbs1/cfap100/cfap53/ccdc40/spef1/LOC119031922/dnali1/cep162/ift57/dnajb13/g7930/g4003/dnah6/tulp1a/g4956"
"GO:0042254","ribosome biogenesis",79,-0.674081649395126,-4.30908041754822,1e-10,4.1156862745098e-09,3.38493292053664e-09,1751,"tags=80%, list=17%, signal=67%","fbl/pdcd11/riok1/gar1/snu13b/ddx52/mrpl20/bysl/rps24/LOC119025452/exosc9/mrps11/nolc1/ddx1/rps18/nhp2/nop2/rps7/rpl11/dimt1l/rpl35/wdr43/ddx49/nsa2/otulina/pelp1/g21959/rpl24/mterf4/aatf/mrpl1/wdr3/exosc8/wdr74/dhx37/rpl6/rcl1/rrp9/bop1/mak16/utp23/rsl1d1/c1qbp/rpl7/ftsj3/ddx56/rps6/abt1/g20072/nol11/nop16/gnl3/znf622/gtpbp4/utp18/lsg1/rpf1/dkc1/npm3/gtf3aa/utp11/nop53/rrs1"
"GO:0005930","axoneme",63,0.767392451477002,4.28963976069227,1e-10,4.1156862745098e-09,3.38493292053664e-09,1302,"tags=79%, list=13%, signal=70%","dnah10/g5657/dnah7/dync2i2/traf3ip1/cfap46/rsph9/cfap91/kifap3a/ift172/odad1/odad2/wdr35/rab28/dnai2b/ift140/rsph4a/dnah9/g8350/tulp3/g20850/g10590/g21913/ift70/bbs5/inpp5e/lca5/ift88/spag6/ccdc39/arl6/dynlt2b/dync2i1/dnal1/ift20/bbs1/cfap100/cfap53/ccdc40/spef1/LOC119031922/dnali1/cep162/ift57/dnajb13/g7930/g4003/dnah6/tulp1a/g4956"
"GO:0030031","cell projection assembly",209,0.604262964600613,4.2535439513433,1e-10,4.1156862745098e-09,3.38493292053664e-09,2075,"tags=66%, list=20%, signal=54%","dnah10/wdr19/g5657/odf2a/g700/dnah7/dync2i2/traf3ip1/cfap46/tctn1/rsph9/tmem67/kifap3a/ift172/bbs10/odad1/poc1a/odad2/wdr35/rab28/ccdc88aa/dnai2b/fxr1/ak7b/rfx2/ift140/rsph4a/dnaaf11/odad4/agbl5/g8350/ift56/mks1/g4485/g11933/oscp1b/zmynd10/ift27/g10590/g21913/cep63/ift70/bbs5/cfap298/iqub/ift88/atmin/tekt2/nphp1/spag6/dnaaf2/ccdc39/arl6/cep97/LOC119029135/dynlt2b/cep72/hspb11/g802/dync2i1/dnal1/haus5/cep152/ift20/ift81/rsph1/lrguk/tekt1/bbs1/bbs4/cep20/cep192/cfap100/cfap53/mkks/spata6/rab3ip/cfap161/g17435/pcm1/ccdc40/rab23/sdccag8/ttc21b/tekt4/ak7a/LOC119031922/cfap157/fam161a/g6122/cenpj/nek1/tmem138/cplane2/cby1/cc2d2a/dnali1/cep162/g11028/foxj1a/cfap36/ift57/dnm3a/dynlt5/cpeb4b/g22069/bbip1/ehd3/dnajb13/g7930/g4003/rapgef6/dnah6/cdk20/iqcg/ttll1/sfi1/haus4/nphp3/g4091/cep135/prkar2b/bbs7/dync1i2b/tubg1/LOC119030522/cep19/ro60/pip5k1ab/cluap1/g5876/dync2li1/tbc1d32/wasf1/erbb3a/ttyh1/ulk4/tmem107l"
"GO:0006518","peptide metabolic process",154,-0.572531128728321,-4.21238655046854,1e-10,4.1156862745098e-09,3.38493292053664e-09,2163,"tags=68%, list=21%, signal=55%","trhde.2/oxa1l/g1482/rps5/aldh5a1/fars2/mrps23/rpl29/rpl23a/mrpl12/qrsl1/eif3s6ip/mrpl17/spcs1/rpl37/LOC119018159/sppl3/eif4e1c/mrpl20/eif1axb/rpl9/aurkaip1/rps24/rbm4.1/rps15a/mrpl54/mrpl21/mrps6/mrrf/mtif3/mrpl38/rps29/g2937/eif3hb/polg2/mrps11/dars1/rps18/nhp2/mrpl46/rps7/rpl28/rpl21/rpl11/srfb/mrpl57/sod1/spcs3/rpl18/rpl35/rrbp1a/mrpl42/mars2/g3741/mrps2/wars2/otulina/rps26/oplah/rpl24/mrpl9/mrps22/mrpl1/rps20/fdxacb1/rpl18a/rpl8/g16870/mrpl47/rpl6/mrpl4/mrpl40/mrps10/mmachc/cpeb1b/rpl36a/rsl1d1/farsb/chac1/eif1/mcts1/rpl7/rps11/mrpl55/mrpl45/rps6/gsr/rpl17/sars2/eif2b2/rpl38/rps9/rpl22l1/g2487/tsfm/qars1/gclc/eef1b2/rars1/utp11/mrps17/g2486/eef1g/nars1/eif4a1a"
"GO:0043604","amide biosynthetic process",148,-0.572713378702661,-4.17391355461759,1e-10,4.1156862745098e-09,3.38493292053664e-09,2140,"tags=70%, list=21%, signal=56%","oxa1l/rps5/fars2/mrps23/rpl29/rpl23a/mrpl12/qrsl1/eif3s6ip/mrpl17/rpl37/LOC119018159/p2rx7/eif4e1c/mrpl20/eif1axb/rpl9/aurkaip1/rps24/rbm4.1/asnsd1/rps15a/mrpl54/mrpl21/mrps6/mrrf/mtif3/mrpl38/rps29/g2937/eif3hb/polg2/mrps11/asl/dars1/rps18/nhp2/mrpl46/rps7/rpl28/acsl5/rpl21/cers2a/rpl11/srfb/mrpl57/rpl18/rpl35/rrbp1a/mrpl42/mars2/mrps2/wars2/otulina/rps26/oplah/rpl24/mrpl9/mrps22/mrpl1/rps20/fdxacb1/rpl18a/rpl8/g16870/mrpl47/rpl6/mrpl4/mrpl40/mrps10/smpd1/cpeb1b/rpl36a/rsl1d1/farsb/chac1/eif1/mcts1/rpl7/rps11/mrpl55/mrpl45/rps6/rpl17/sars2/eif2b2/rpl38/rps9/rpl22l1/g2487/tsfm/qars1/acat1/gclc/eef1b2/rars1/utp11/mrps17/g2486/eef1g/nars1/eif4a1a/ppt1"
"GO:0006364","rRNA processing",58,-0.715897256594582,-4.16702470818475,1e-10,4.1156862745098e-09,3.38493292053664e-09,1751,"tags=84%, list=17%, signal=70%","fbl/pdcd11/riok1/gar1/snu13b/ddx52/bysl/rps24/LOC119025452/exosc9/mrps11/nolc1/nhp2/nop2/rps7/rpl11/dimt1l/rpl35/wdr43/ddx49/nsa2/pelp1/g21959/mterf4/mrpl1/wdr3/exosc8/dhx37/rcl1/rrp9/bop1/mak16/utp23/rsl1d1/rpl7/ftsj3/ddx56/rps6/abt1/g20072/nol11/gnl3/gtpbp4/utp18/rpf1/dkc1/npm3/utp11/rrs1"
"GO:0036064","ciliary basal body",64,0.739379394115304,4.15130771199712,1e-10,4.1156862745098e-09,3.38493292053664e-09,1849,"tags=84%, list=18%, signal=70%","nek4/odf2a/dync2i2/traf3ip1/kifap3a/nme7/ift172/poc1a/wdr35/rab28/ccdc88aa/ift140/ift56/mks1/g4485/agbl2/g10590/ift70/bbs5/lca5/ift88/nphp1/dnaaf2/LOC119029135/g802/cep152/rp2/ift20/ift81/bbs1/bbs4/cep20/mkks/rab3ip/tapt1a/g17435/g19962/pcm1/cfap157/fam161a/g6122/cenpj/cplane2/cby1/g2081/ift57/cetn3/cep135/bbs7/tubg1/tbc1d7/cep19/g5876/dync2li1"
