"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"dre03010","Ribosome",115,-0.700689462042845,-4.82664704691046,1e-10,1.47e-08,1.09473684210526e-08,1628,"tags=89%, list=24%, signal=69%","394097/336713/192297/393723/406489/432383/445221/445040/335539/336812/550391/415169/336726/393788/445321/447945/406307/436760/415159/677758/751640/337010/503880/337148/336702/394194/571210/556556/336764/100034614/557397/323365/767758/768305/751746/405881/405889/768187/556272/322571/100000341/192300/436791/393725/394036/336568/337810/415229/550455/445038/192299/415168/568235/406387/791211/751681/393738/336662/192301/572170/337090/445053/556778/553284/406485/378961/394035/393686/336550/58101/557789/336727/393818/553771/394121/449547/447873/565937/323305/100007768/325618/406565/195819/337240/415196/100093703/336710/30722/406686/394027/393277/445028/327089/337007/336641/560828/436759/100000836/114420/735250/553580/558658"
"dre04814","Motor proteins",106,0.412516629267295,2.59829130146846,7.51682665460334e-09,5.52486759113345e-07,4.11447353725656e-07,1837,"tags=51%, list=27%, signal=38%","569992/561639/799461/100333131/100334351/553438/447906/553436/565740/565913/101884977/100535326/569394/553797/266676/100317899/557863/556023/445048/100001191/555705/570113/100332402/406681/567632/447926/447884/30453/562365/393209/100148193/334108/100101641/767746/573988/100005529/394163/561525/561612/393882/393452/562188/566481/573266/100536916/561489/449979/559005/767754/402901/252846/563752/100002040/565563"
"dre00970","Aminoacyl-tRNA biosynthesis",21,-0.680886826705267,-2.87703033680349,1.94434549866635e-07,7.14546970759883e-06,5.32136662792896e-06,1526,"tags=86%, list=22%, signal=67%","793097/327329/368235/324025/692329/566565/368284/556702/503745/556680/100330276/493608/445405/394154/337230/394188/337070/568332"
"dre03008","Ribosome biogenesis in eukaryotes",34,-0.56954344932704,-2.83227192948329,1.52884521116155e-07,7.14546970759883e-06,5.32136662792896e-06,2143,"tags=88%, list=31%, signal=61%","436813/334446/323426/445391/751738/556379/406275/406268/436798/393950/321114/393237/100003787/550241/317637/321058/494152/492761/445388/394196/436992/550264/406571/334362/321897/557254/334050/767797/323464/613144"
"dre04060","Cytokine-cytokine receptor interaction",64,-0.41955201157139,-2.54006400536861,5.074537507434e-07,1.49191402718559e-05,1.1110566332066e-05,3543,"tags=91%, list=51%, signal=45%","100134973/654826/100001424/799982/564874/793920/798119/100334210/564338/799352/553500/768248/553366/735295/101886252/101883301/561050/30742/404605/100537421/567542/64274/796604/795788/100535903/369195/100329171/436866/100534674/100144562/100270764/58151/654692/563003/791973/101883597/559723/100134935/777717/797527/678622/557567/798892/559725/445373/30612/563152/100000764/100331351/799556/30275/30739/30457/497643/571368/334183/373093/30125"
"dre00190","Oxidative phosphorylation",38,-0.503182713761991,-2.59640188755318,1.79272538629423e-06,4.39217719642086e-05,3.2709375469228e-05,1853,"tags=61%, list=27%, signal=45%","100333064/402883/406599/566723/81541/436768/436799/326977/554103/336957/100005158/553755/447914/335751/325402/450017/394110/100537318/554135/406301/195824/415158/337583"
"dre03060","Protein export",11,-0.764978964166546,-2.54744846114858,4.88424528325532e-06,0.000102569150948362,7.63851893922636e-05,1632,"tags=100%, list=24%, signal=76%","562963/606666/619260/405884/541342/404632/192298/335756/327335/378848"
"dre04621","NOD-like receptor signaling pathway",64,-0.343227294356401,-2.07797667991017,0.000244836325233773,0.00406782547465332,0.00302938667643355,2871,"tags=69%, list=42%, signal=41%","563907/30768/415099/562585/403145/100007048/393386/393551/564854/335916/564497/556289/796425/403013/100536675/323099/431715/796505/566547/30573/563887/563560/393650/777696/565155/100007897/562317/387298/393268/792697/565200/562720/767660/406529/793673/393132/406645/436718/322126/436734/373108/402938/403147/65237"
"dre04110","Cell cycle",82,0.338801835170121,2.02484458970559,0.000249050539264489,0.00406782547465332,0.00302938667643355,1713,"tags=49%, list=25%, signal=37%","324475/393223/571082/404206/327226/565969/568795/799015/777733/100148604/570900/100333252/797354/323299/449996/795522/406740/560751/794669/562282/566831/562014/406582/406610/327060/562283/402908/393554/406715/568846/567770/317763/323883/445395/393548/569515/566841/445386/100141368/80973"
"dre00513","Various types of N-glycan biosynthesis",21,-0.52964461325189,-2.23796901376951,0.000415514403612531,0.00610806173310421,0.00454878926060034,1333,"tags=57%, list=19%, signal=46%","450072/553725/325561/324944/407614/393239/569494/393598/323613/393742/334161/566527"
"dre04216","Ferroptosis",23,-0.506118599610757,-2.21068199074752,0.000525545385493315,0.00702319742431976,0.00523030814270859,1412,"tags=52%, list=20%, signal=42%","569184/494478/100320152/393268/796322/447860/406529/322126/436651/326857/321844/30590"
"dre03040","Spliceosome",35,-0.417746256036029,-2.12913267349169,0.000663952029651307,0.00750776525836478,0.00559117498653732,1367,"tags=51%, list=20%, signal=41%","796388/321114/415171/550373/393889/324121/793027/402896/334490/403072/327336/393388/446168/322206/560127/567461/415140/378453"
"dre04142","Lysosome",70,-0.32184368116283,-1.9974948387455,0.000644440175549723,0.00750776525836478,0.00559117498653732,846,"tags=31%, list=12%, signal=28%","445487/566506/447897/100330411/393549/321453/327635/559959/406645/556700/541519/325402/559850/323613/406713/560778/553594/336746/195824/368704/406648/282673"
"dre03020","RNA polymerase",15,-0.567296097191209,-2.13337339597959,0.000935568244276991,0.0098234665649084,0.00731572160938399,1649,"tags=73%, list=24%, signal=56%","436588/553733/402856/334669/393538/100000978/325603/541428/393257/393201/436826"
"dre03015","mRNA surveillance pathway",37,0.402169029388219,1.93903268186565,0.00133632840652238,0.0130960183839193,0.00975285293181246,2262,"tags=70%, list=33%, signal=48%","569006/561459/100003223/393593/100334020/393100/562282/404041/406582/565575/436657/406783/406610/394111/393929/393856/432372/403025/327495/566032/394058/558810/324554/373878/566608/563448"
"dre00280","Valine, leucine and isoleucine degradation",20,-0.508170641205413,-2.116227478198,0.00162787356919335,0.0149560884169639,0.0111380823155335,727,"tags=55%, list=11%, signal=49%","394135/445182/323653/445121/541388/436647/406283/450078/394190/445290/406325"
"dre00030","Pentose phosphate pathway",12,-0.59422960020613,-2.03465792905717,0.00329318034018536,0.0284763241180734,0.0212068579182215,1332,"tags=67%, list=19%, signal=54%","334897/560827/403070/450077/321664/246094/406762/378713"
"dre00071","Fatty acid degradation",18,-0.481113593594172,-1.915022539641,0.00438789713390637,0.0322510439342118,0.024017963259277,1094,"tags=50%, list=16%, signal=42%","100005717/116517/447860/393860/323653/445121/406283/445290/406325"
"dre04141","Protein processing in endoplasmic reticulum",75,-0.288848415536617,-1.80628808407447,0.00416459197801924,0.0322510439342118,0.024017963259277,1469,"tags=40%, list=21%, signal=32%","554998/553627/565155/170784/561924/100000526/568308/325561/324944/562720/553448/735249/335444/322073/393239/402801/192298/30248/559775/393742/373100/562839/378848/394028/83414/368331/266757/406757/556410/566527"
"dre04120","Ubiquitin mediated proteolysis",63,0.31932573792936,1.79261174569753,0.00420999467267292,0.0322510439342118,0.024017963259277,2144,"tags=56%, list=31%, signal=39%","393223/556864/564866/557513/692325/568795/336598/436873/368425/558479/100148604/100331274/449811/324237/562014/406606/324243/393933/406255/323883/445100/100003679/572370/796547/334133/436602/559439/437020/100001914/30637/393934/393907/100073331/192341/619412"
"dre03018","RNA degradation",32,-0.382633895905093,-1.871451278748,0.0046082937936003,0.0322580565552021,0.0240231856909489,1812,"tags=56%, list=26%, signal=42%","378946/791461/386629/492479/474329/751632/100009659/450057/550234/564633/323016/445157/100126012/326786/378963/282676/393712/445224"
"dre00510","N-Glycan biosynthesis",26,-0.400951066875001,-1.84466412517813,0.00483256712372436,0.0322903348721582,0.0240472239649442,1044,"tags=42%, list=15%, signal=36%","553725/325561/324944/407614/393239/569494/101884072/393598/393742/334161/566527"
"dre04620","Toll-like receptor signaling pathway",42,-0.332312800096314,-1.77935464251282,0.0068791993983057,0.0439670570239538,0.0327431001109287,2857,"tags=71%, list=41%, signal=42%","30768/415099/403125/406728/403145/100270764/394198/100003132/564854/335916/403013/403127/798892/100536675/445373/323099/100000252/563560/563727/405811/393650/562317/565200/562720/393132/100002263/403052/403147/65237/563181"
"dre00350","Tyrosine metabolism",14,-0.506163663803688,-1.83467750931705,0.00826216885135083,0.0485815528459429,0.0361796025490731,1417,"tags=57%, list=21%, signal=46%","110437932/557008/116517/553762/322372/751093/565370/282559"
"dre03013","Nucleocytoplasmic transport",37,0.35240862014214,1.69911599823157,0.00795655167584309,0.0485815528459429,0.0361796025490731,1911,"tags=59%, list=28%, signal=43%","556400/569006/100529857/100319138/561138/445490/777756/406491/553305/406783/100005536/393929/558883/327214/321744/100004503/572542/403025/100149852/327495/333980/553494"
