"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042254","ribosome biogenesis",92,-0.672568142420948,-4.45536713946281,1e-10,6.81285714285714e-09,5.78796992481203e-09,2774,"tags=83%, list=22%, signal=65%","mtg1/rrp36/rps6/rpl35/tsc1b/wdr3/rpl11/wdr74/noc4l/aatf/nat10/utp15/rcl1/mphosph10/otulina/dcaf13/exosc1/mrto4/bop1/g20072/g21959/ddx52/abt1/ltv1/ddx1/rpl7/mrps11/snu13b/eral1/malsu1/nop16/rpusd2/mterf4/pdcd11/nolc1/riok1/dhx37/ppan/bxdc2/utp23/utp18/dkc1/rpf1/pelp1/ddx49/rpl6/mrpl20/exosc8/gemin4/mrpl1/gtpbp4/g19987/lsg1/exosc9/LOC119025452/ddx56/bysl/nol9/utp11/rsl1d1/dimt1l/nop2/ebna1bp2/rrp9/nhp2/rrs1/znf622/c1qbp/gnl3/nol11/mak16/wdr43/nop53/ftsj3/npm3/gtf3aa"
"GO:0044391","ribosomal subunit",62,-0.721019387433406,-4.3393176508967,1e-10,6.81285714285714e-09,5.78796992481203e-09,3457,"tags=98%, list=27%, signal=72%","rps5/rpl17/rpl37/rpl18/rpl18a/rpl21/rpl24/mrpl14/rpl9/rps7/mrpl33/rps26/LOC119018159/rps12/mrpl51/mrps24/rps6/rpl35/rpl8/mrpl21/rpl11/mrpl54/rpl38/mrpl32/rps9/rps20/mrpl9/mrpl4/mrto4/mrps18a/mrpl27/ltv1/srfb/mrps30/mrpl10/rpl7/mrps11/mrpl42/mterf4/rpl22l1/mrpl17/mrpl12/mrps10/mrpl41/rpl6/mrpl20/rps11/mcts1/mrpl1/mrpl45/mrpl47/mrpl15/mrpl46/mrps23/mrpl40/mrpl55/mrps22/rsl1d1/mrps2/znf622/mrps17"
"GO:0006412","translation",120,-0.613458219839917,-4.29587581758577,1e-10,6.81285714285714e-09,5.78796992481203e-09,3464,"tags=85%, list=28%, signal=62%","dhx33/rps5/rpl17/rpl37/rpl18/eif3g/rpl18a/rpl21/LOC119013016/rpl24/mrpl14/mtrf1l/rpl9/rps7/mrpl33/rps26/usb1/LOC119018159/mrpl51/g16869/elp3/mrps24/dars1/rps6/rpl35/mrpl57/rpl8/qrsl1/mrpl21/g2937/rpl11/mrpl54/rpl38/mrpl32/mrrf/rps9/rps20/polg2/mrpl9/lars2/oxa1l/mrpl4/otulina/mrto4/mrps18a/eif1axb/eif1/mrpl27/rars2/aurkaip1/mtif3/srfb/mrps30/mrpl10/rpl7/mrps11/fdxacb1/eral1/mrpl42/eef1b2/rpl22l1/mrpl17/mrpl12/mrps10/mrpl41/eif4e1c/sars2/rpl6/mrpl20/rps11/cpeb1b/g2486/eefsec/mcts1/mrpl1/eif2b2/rars1/mrpl45/mrpl47/mrpl15/g2487/mrpl46/qars1/selenot1a/mrps23/rbm4.1/mrpl40/mars2/mrpl55/mrps22/utp11/rsl1d1/mrps2/g16870/tsfm/eef1g/wars2/nars1/nhp2/eif4a1a/mrps17/rrbp1a"
"GO:0043043","peptide biosynthetic process",125,-0.61123596541509,-4.28849841826285,1e-10,6.81285714285714e-09,5.78796992481203e-09,3464,"tags=85%, list=28%, signal=62%","dhx33/rps5/rpl17/rpl37/rpl18/eif3g/rpl18a/rpl21/LOC119013016/rpl24/mrpl14/mtrf1l/rpl9/rps7/mrpl33/rps26/usb1/LOC119018159/mrpl51/g16869/elp3/mrps24/dars1/rps6/rpl35/mrpl57/rpl8/qrsl1/mrpl21/g2937/rpl11/mrpl54/rpl38/mrpl32/mrrf/rps9/rps20/polg2/oplah/mrpl9/lars2/oxa1l/mrpl4/otulina/mrto4/mrps18a/eif1axb/eif1/mrpl27/rars2/aurkaip1/mtif3/srfb/mrps30/mrpl10/rpl7/mrps11/fdxacb1/eral1/mrpl42/gclm/eef1b2/rpl22l1/mrpl17/mrpl12/mrps10/mrpl41/eif4e1c/sars2/rpl6/mrpl20/rps11/cpeb1b/g2486/eefsec/mcts1/mrpl1/eif2b2/rars1/mrpl45/mrpl47/mrpl15/g2487/mrpl46/qars1/selenot1a/mrps23/rbm4.1/mrpl40/mars2/mrpl55/mrps22/utp11/rsl1d1/gclc/mrps2/g16870/tsfm/eef1g/wars2/nars1/chac1/nhp2/eif4a1a/mrps17/rrbp1a"
"GO:0006364","rRNA processing",69,-0.684962434740508,-4.26354340717307,1e-10,6.81285714285714e-09,5.78796992481203e-09,2699,"tags=84%, list=21%, signal=66%","rrp36/rps6/rpl35/wdr3/rpl11/noc4l/nat10/utp15/rcl1/mphosph10/dcaf13/exosc1/mrto4/bop1/g20072/g21959/ddx52/abt1/ltv1/rpl7/mrps11/snu13b/rpusd2/mterf4/pdcd11/nolc1/riok1/dhx37/utp23/utp18/dkc1/rpf1/pelp1/ddx49/exosc8/gemin4/mrpl1/gtpbp4/g19987/exosc9/LOC119025452/ddx56/bysl/nol9/utp11/rsl1d1/dimt1l/nop2/ebna1bp2/rrp9/nhp2/rrs1/gnl3/nol11/mak16/wdr43/ftsj3/npm3"
"GO:0003735","structural constituent of ribosome",57,-0.719854870816019,-4.25422815019868,1e-10,6.81285714285714e-09,5.78796992481203e-09,3457,"tags=98%, list=27%, signal=72%","rps5/rpl17/rpl37/rpl18/rpl18a/rpl21/rpl24/mrpl14/rpl9/mrpl33/rps26/LOC119018159/rps12/mrpl51/mrps24/rps6/rpl35/mrpl57/rpl8/mrpl21/rpl11/mrpl54/rpl38/mrpl32/rps9/rps20/mrpl9/mrpl4/mrto4/mrps18a/mrpl27/srfb/mrps30/mrpl10/rpl7/mrps11/mrpl42/rpl22l1/mrpl17/mrpl12/mrps10/mrpl41/rpl6/mrpl20/rps11/mrpl1/mrpl45/mrpl47/mrpl15/mrpl46/mrps23/mrpl40/mrpl55/mrps22/mrps2/mrps17"
"GO:0140053","mitochondrial gene expression",56,-0.725032172900465,-4.2465572065148,1e-10,6.81285714285714e-09,5.78796992481203e-09,3102,"tags=96%, list=25%, signal=73%","mterf2/mrpl14/mtrf1l/mrpl33/mrpl51/mrps24/mrpl57/qrsl1/mrpl21/mrpl54/mrpl32/mrrf/polg2/mrpl9/lars2/oxa1l/mrpl4/mrps18a/mrpl27/rars2/aurkaip1/mtif3/srfb/mrps30/mrpl10/mrps11/prorp/eral1/mrpl42/mterf4/mrpl17/mrpl12/mrps10/mrpl41/sars2/tbrg4/mrpl20/trmt10c/mrpl1/mrpl45/mrpl47/mrpl15/mrpl46/mrps23/mrpl40/mrpl55/mrps22/lrpprc/hsd17b10/pus1/mrps2/tsfm/mtpap/mrps17"
"GO:0016072","rRNA metabolic process",78,-0.65057686395098,-4.20437958972467,1e-10,6.81285714285714e-09,5.78796992481203e-09,2062,"tags=78%, list=16%, signal=66%","rps6/rpl35/wdr3/rpl11/noc4l/gtf3c4/nat10/utp15/rcl1/mphosph10/dcaf13/exosc1/mrto4/bop1/g20072/g21959/ddx52/abt1/ltv1/rpl7/mrps11/snu13b/rpusd2/mterf4/pdcd11/polr1b/nolc1/riok1/dhx37/utp23/utp18/dkc1/rpf1/pelp1/ddx49/exosc8/gemin4/mrpl1/gtpbp4/g19987/exosc9/LOC119025452/ddx56/bysl/nol9/utp11/rsl1d1/dimt1l/nop2/ebna1bp2/rrp9/nhp2/tp53/rrs1/gnl3/nol11/mak16/wdr43/ftsj3/npm3/gtf3aa"
"GO:0098798","mitochondrial protein-containing complex",78,-0.647719719632101,-4.18591517771616,1e-10,6.81285714285714e-09,5.78796992481203e-09,3063,"tags=85%, list=24%, signal=64%","mrpl14/afg3l1/mrpl33/mtg1/mrpl51/mrps24/ndufb6/mrpl57/mrpl21/mrpl54/timm8b/mrpl32/mrpl9/mrpl4/g391/mrps18a/mrpl27/atp5mea/atp5md/srfb/mrps30/mrpl10/ndufv3/mrps11/prorp/mrpl42/mterf4/dnajc19/mrpl17/hadhb/mrpl12/immt/timm13/mrps10/mrpl41/mrpl20/trmt10c/ankzf1/timm10/mrpl1/afg3l2/baxa/tomm40l/g11676/mrpl45/mrpl47/mrpl15/mrpl46/mrps23/mrpl40/timm21/timm22/mrpl55/atp5f1c/mrps22/tomm22/hsd17b10/timm17a/mrps2/mccc1/timm10b/etfdh/grpel1/pmpca/mrps17/tomm40"
"GO:0005840","ribosome",77,-0.651141035424422,-4.16460267319559,1e-10,6.81285714285714e-09,5.78796992481203e-09,3457,"tags=87%, list=27%, signal=64%","rps5/rpl17/rpl37/rpl18/rpl18a/rpl21/rpl24/mrpl14/rpl9/rps7/mrpl33/rps26/LOC119018159/mtg1/rps12/mrpl51/mrps24/rps6/rpl35/mrpl57/rpl8/mrpl21/rpl11/mrpl54/rpl38/mrpl32/rps9/rps20/mrpl9/mrpl4/mrto4/mrps18a/mrpl27/ltv1/srfb/mrps30/mrpl10/rpl7/mrps11/mrpl42/mterf4/rpl22l1/mrpl17/mrpl12/mrps10/mrpl41/rpl6/mrpl20/rps11/g2486/mcts1/mrpl1/mrpl45/mrpl47/mrpl15/g2487/mrpl46/mrps23/mrpl40/mrpl55/mrps22/rsl1d1/mrps2/znf622/mrps17/rrbp1a/canx"
