"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007275","multicellular organism development",18,-0.513361321151043,-2.14860624067872,0.00154470135512574,0.0217748094306323,0.0111131403792701,20,"tags=56%, list=15%, signal=55%","mki67/g3813/fa2h/ccdc40/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0050794","regulation of cellular process",25,-0.457118506082435,-2.11551860569066,0.000758801832928103,0.0217748094306323,0.0111131403792701,27,"tags=52%, list=21%, signal=51%","neu1/g21852/g3834/mki67/g3813/fa2h/ccdc40/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0032502","developmental process",20,-0.471669028593325,-2.06831845655684,0.00184267279586211,0.0217748094306323,0.0111131403792701,20,"tags=50%, list=15%, signal=50%","mki67/g3813/fa2h/ccdc40/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0048856","anatomical structure development",20,-0.471669028593325,-2.06831845655684,0.00184267279586211,0.0217748094306323,0.0111131403792701,20,"tags=50%, list=15%, signal=50%","mki67/g3813/fa2h/ccdc40/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0048513","animal organ development",13,-0.551879550533339,-2.00579532483125,0.00252349810596628,0.0217748094306323,0.0111131403792701,20,"tags=62%, list=15%, signal=58%","mki67/fa2h/ccdc40/cyp19a1b/top2a/ccn2a/cryaba/fus"
"GO:0043229","intracellular organelle",31,-0.395494425251448,-1.99181947413005,0.00264440285086051,0.0217748094306323,0.0111131403792701,27,"tags=45%, list=21%, signal=47%","neu1/g21852/g3834/mki67/g3813/fa2h/ccdc40/ch25hl1.1/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0048731","system development",17,-0.483659396620542,-1.97599368247584,0.00296929219508622,0.0217748094306323,0.0111131403792701,20,"tags=53%, list=15%, signal=52%","mki67/fa2h/ccdc40/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0042221","response to chemical",15,-0.514323750882025,-1.97009906067809,0.00185655548274871,0.0217748094306323,0.0111131403792701,10,"tags=40%, list=8%, signal=42%","cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0051128","regulation of cellular component organization",11,-0.567368034562982,-1.95323169542207,0.00259124201777545,0.0217748094306323,0.0111131403792701,27,"tags=73%, list=21%, signal=63%","neu1/g3834/mki67/g3813/top2a/ccn2a/cryaba/fus"
"GO:0012505","endomembrane system",14,-0.521633666860934,-1.95806013913514,0.00333030449166748,0.0219800096450054,0.0112178677614063,27,"tags=57%, list=21%, signal=51%","neu1/g21852/g3813/fa2h/ch25hl1.1/cyp19a1b/ccn2a/cryaba"
"GO:0005622","intracellular anatomical structure",35,-0.385903489211692,-2.01254930995924,0.0043509560117762,0.0220894689828638,0.0112737321762622,27,"tags=43%, list=21%, signal=46%","neu1/g21852/g3834/mki67/g3813/fa2h/ccdc40/ch25hl1.1/LOC119009157/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0043231","intracellular membrane-bounded organelle",24,-0.432382097392988,-1.98782235527988,0.00395824541300939,0.0220894689828638,0.0112737321762622,27,"tags=50%, list=21%, signal=49%","neu1/g21852/mki67/g3813/fa2h/ch25hl1.1/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0048518","positive regulation of biological process",12,-0.532949357630096,-1.88687670836826,0.00430722189018386,0.0220894689828638,0.0112737321762622,27,"tags=67%, list=21%, signal=58%","neu1/g21852/g3834/cyp19a1b/top2a/ccn2a/g21902/fus"
"GO:0050789","regulation of biological process",28,-0.396987645905916,-1.95819553108328,0.00723137250532588,0.028781119768676,0.0146889287495635,27,"tags=46%, list=21%, signal=47%","neu1/g21852/g3834/mki67/g3813/fa2h/ccdc40/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0043226","organelle",33,-0.367723550215584,-1.90152354736542,0.00927020756738617,0.028781119768676,0.0146889287495635,27,"tags=42%, list=21%, signal=45%","neu1/g21852/g3834/mki67/g3813/fa2h/ccdc40/ch25hl1.1/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0032501","multicellular organismal process",23,-0.408296540260847,-1.85046093149437,0.00830951868167223,0.028781119768676,0.0146889287495635,20,"tags=43%, list=15%, signal=45%","mki67/g3813/fa2h/ccdc40/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0016043","cellular component organization",13,-0.499806165088721,-1.81653563406719,0.00950978397931723,0.028781119768676,0.0146889287495635,16,"tags=54%, list=12%, signal=52%","g3813/fa2h/ccdc40/top2a/ccn2a/cryaba/fus"
"GO:0071840","cellular component organization or biogenesis",13,-0.499806165088721,-1.81653563406719,0.00950978397931723,0.028781119768676,0.0146889287495635,16,"tags=54%, list=12%, signal=52%","g3813/fa2h/ccdc40/top2a/ccn2a/cryaba/fus"
"GO:0009987","cellular process",31,-0.357065480127082,-1.79828066199553,0.00959370658955867,0.028781119768676,0.0146889287495635,27,"tags=42%, list=21%, signal=44%","neu1/g21852/g3834/mki67/g3813/fa2h/ccdc40/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0048523","negative regulation of cellular process",12,-0.505218423009462,-1.78869692094974,0.00947494960576662,0.028781119768676,0.0146889287495635,26,"tags=67%, list=20%, signal=59%","g21852/g3834/g3813/cyp19a1b/top2a/ccn2a/cryaba/g21902"
"GO:0051716","cellular response to stimulus",15,-0.465477844637578,-1.78299653265926,0.0070792125642516,0.028781119768676,0.0146889287495635,10,"tags=40%, list=8%, signal=42%","cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0070887","cellular response to chemical stimulus",10,-0.534748756218884,-1.77156353717064,0.00906242118778674,0.028781119768676,0.0146889287495635,10,"tags=40%, list=8%, signal=40%","cyp19a1b/ccn2a/g21902/fus"
"GO:0065007","biological regulation",29,-0.383369371451987,-1.91664384161541,0.0107736472598046,0.0309156834411783,0.0157783392363271,27,"tags=45%, list=21%, signal=46%","neu1/g21852/g3834/mki67/g3813/fa2h/ccdc40/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
"GO:0005575","cellular_component",39,-0.335646802227425,-1.82114564821451,0.0115504257297679,0.0317636707568616,0.0162111238312531,27,"tags=38%, list=21%, signal=44%","neu1/g21852/g3834/mki67/g3813/fa2h/ccdc40/ch25hl1.1/LOC119009157/cyp19a1b/top2a/ccn2a/cryaba/g21902/fus"
