"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051276","chromosome organization",27,-0.623192005648163,-3.33505450764007,5.57907769520739e-09,3.18007428626821e-06,2.51939403288839e-06,174,"tags=93%, list=36%, signal=63%","ccna2/dscc1/cdc20/kif14/h1-0/exo1/dlgap5/timeless/aspm/knl1/aurkb/ncapd3/ccnb1/fancd2/wdhd1/kifc1/racgap1/ncapg/g4474/mcm6/phf19/cdk1/smc2/top2a/mcm7"
"GO:0007059","chromosome segregation",18,-0.645022079790697,-2.86702435077721,1.21630646995233e-06,0.000346647343936415,0.000274629197689237,165,"tags=94%, list=34%, signal=65%","dscc1/g10962/cdc20/kif14/dlgap5/timeless/knl1/aurkb/ncapd3/ccnb1/fancd2/kifc1/racgap1/ncapg/g4474/smc2/top2a"
"GO:0007049","cell cycle",36,-0.461689771808241,-2.85930123367168,2.8568918687255e-06,0.000421764792269561,0.00033414052794763,174,"tags=81%, list=36%, signal=56%","ccna2/tyms/dscc1/g10962/cdc20/kif14/dlgap5/timeless/aspm/knl1/aurkb/ncapd3/ccnb1/fancd2/wdhd1/kifc1/klf11a/kif20a/g3834/racgap1/ncapg/g4474/mcm6/cdk1/smc2/klf11b/top2a/mki67/mcm7"
"GO:0098813","nuclear chromosome segregation",17,-0.641697172822886,-2.80255370934753,2.95975292820745e-06,0.000421764792269561,0.00033414052794763,165,"tags=94%, list=34%, signal=64%","dscc1/cdc20/kif14/dlgap5/timeless/knl1/aurkb/ncapd3/ccnb1/fancd2/kifc1/racgap1/ncapg/g4474/smc2/top2a"
"GO:0000280","nuclear division",19,-0.608713859257091,-2.75881855607194,6.11709770100143e-06,0.000581124281595136,0.000460392090128003,165,"tags=89%, list=34%, signal=61%","dscc1/cdc20/kif14/dlgap5/timeless/aspm/aurkb/ncapd3/ccnb1/fancd2/kifc1/racgap1/ncapg/g4474/cdk1/smc2/top2a"
"GO:0048285","organelle fission",19,-0.608713859257091,-2.75881855607194,6.11709770100143e-06,0.000581124281595136,0.000460392090128003,165,"tags=89%, list=34%, signal=61%","dscc1/cdc20/kif14/dlgap5/timeless/aspm/aurkb/ncapd3/ccnb1/fancd2/kifc1/racgap1/ncapg/g4474/cdk1/smc2/top2a"
"GO:0022402","cell cycle process",34,-0.464671998445752,-2.7979181481151,7.44235019825761e-06,0.000606019944715262,0.000480115524068047,174,"tags=82%, list=36%, signal=57%","ccna2/tyms/dscc1/g10962/cdc20/kif14/dlgap5/timeless/aspm/knl1/aurkb/ncapd3/ccnb1/fancd2/wdhd1/kifc1/klf11a/kif20a/g3834/racgap1/ncapg/g4474/mcm6/cdk1/smc2/klf11b/top2a/mcm7"
"GO:0000070","mitotic sister chromatid segregation",15,-0.633826204526605,-2.63181561841006,1.67129484774285e-05,0.000866034602921297,0.000686110516441803,165,"tags=93%, list=34%, signal=63%","dscc1/cdc20/kif14/dlgap5/timeless/aurkb/ncapd3/ccnb1/kifc1/racgap1/ncapg/g4474/smc2/top2a"
"GO:0000819","sister chromatid segregation",15,-0.633826204526605,-2.63181561841006,1.67129484774285e-05,0.000866034602921297,0.000686110516441803,165,"tags=93%, list=34%, signal=63%","dscc1/cdc20/kif14/dlgap5/timeless/aurkb/ncapd3/ccnb1/kifc1/racgap1/ncapg/g4474/smc2/top2a"
"GO:0140014","mitotic nuclear division",15,-0.633826204526605,-2.63181561841006,1.67129484774285e-05,0.000866034602921297,0.000686110516441803,165,"tags=93%, list=34%, signal=63%","dscc1/cdc20/kif14/dlgap5/timeless/aurkb/ncapd3/ccnb1/kifc1/racgap1/ncapg/g4474/smc2/top2a"
"GO:1903047","mitotic cell cycle process",32,-0.45074676616476,-2.57921742698384,1.49582031529414e-05,0.000866034602921297,0.000686110516441803,174,"tags=81%, list=36%, signal=56%","ccna2/tyms/dscc1/g10962/cdc20/kif14/dlgap5/timeless/aspm/aurkb/ncapd3/ccnb1/fancd2/kifc1/klf11a/kif20a/g3834/racgap1/ncapg/g4474/mcm6/cdk1/smc2/klf11b/top2a/mcm7"
"GO:0033044","regulation of chromosome organization",12,-0.680084745762712,-2.56306864197193,1.91786576249761e-05,0.000910986237186366,0.000721723168518839,164,"tags=100%, list=34%, signal=68%","cdc20/dlgap5/timeless/aurkb/ccnb1/wdhd1/kifc1/g4474/phf19/top2a/mki67"
"GO:0000278","mitotic cell cycle",34,-0.442722552659043,-2.66575448662244,2.56238394926491e-05,0.00108713598634898,0.000861276709406668,174,"tags=79%, list=36%, signal=55%","ccna2/tyms/dscc1/g10962/cdc20/kif14/dlgap5/timeless/aspm/aurkb/ncapd3/ccnb1/fancd2/wdhd1/kifc1/klf11a/kif20a/g3834/racgap1/ncapg/g4474/mcm6/cdk1/smc2/klf11b/top2a/mcm7"
"GO:0071103","DNA conformation change",13,-0.646452722682371,-2.52030157077652,2.6701585629624e-05,0.00108713598634898,0.000861276709406668,157,"tags=92%, list=32%, signal=64%","kif14/h1-0/knl1/aurkb/ncapd3/ccnb1/ncapg/mcm6/cdk1/smc2/top2a/mcm7"
"GO:0051321","meiotic cell cycle",15,-0.617584623288354,-2.56437623697516,3.43767033300039e-05,0.00122467005613139,0.000970237218984979,174,"tags=93%, list=36%, signal=62%","ccna2/cdc20/kif14/timeless/aspm/aurkb/ncapd3/fancd2/kifc1/racgap1/cdk1/smc2/top2a/mki67"
"GO:0000793","condensed chromosome",14,-0.633973136140247,-2.5316019212459,3.2504161977065e-05,0.00122467005613139,0.000970237218984979,164,"tags=93%, list=34%, signal=63%","g10962/ncapg2/cdc20/knl1/aurkb/ncapd3/ccnb1/fancd2/ncapg/g4474/smc2/top2a/mki67"
"GO:0005819","spindle",16,-0.59794855121397,-2.56073309714176,3.97072333387798e-05,0.00133136017665321,0.00105476180200226,161,"tags=88%, list=33%, signal=60%","cdc20/kif14/dlgap5/aspm/aurkb/ccnb1/ckap2l/kifc1/kif20a/g3834/racgap1/g4474/cdk1/cep162"
"GO:0006163","purine nucleotide metabolic process",11,0.703829741814789,2.34859464088617,5.99452978489573e-05,0.00155312817154117,0.00123045611374176,103,"tags=82%, list=21%, signal=66%","g11053/g11052/acsbg2/acsl4a/adcy2a/rhoq/ndufb6/ckbb/pgam2"
"GO:0009150","purine ribonucleotide metabolic process",11,0.703829741814789,2.34859464088617,5.99452978489573e-05,0.00155312817154117,0.00123045611374176,103,"tags=82%, list=21%, signal=66%","g11053/g11052/acsbg2/acsl4a/adcy2a/rhoq/ndufb6/ckbb/pgam2"
"GO:0009259","ribonucleotide metabolic process",11,0.703829741814789,2.34859464088617,5.99452978489573e-05,0.00155312817154117,0.00123045611374176,103,"tags=82%, list=21%, signal=66%","g11053/g11052/acsbg2/acsl4a/adcy2a/rhoq/ndufb6/ckbb/pgam2"
"GO:0019693","ribose phosphate metabolic process",11,0.703829741814789,2.34859464088617,5.99452978489573e-05,0.00155312817154117,0.00123045611374176,103,"tags=82%, list=21%, signal=66%","g11053/g11052/acsbg2/acsl4a/adcy2a/rhoq/ndufb6/ckbb/pgam2"
"GO:0072521","purine-containing compound metabolic process",11,0.703829741814789,2.34859464088617,5.99452978489573e-05,0.00155312817154117,0.00123045611374176,103,"tags=82%, list=21%, signal=66%","g11053/g11052/acsbg2/acsl4a/adcy2a/rhoq/ndufb6/ckbb/pgam2"
"GO:0048878","chemical homeostasis",18,0.596510620181923,2.340663972345,0.000152928416623783,0.00378996510763288,0.00300257623485597,136,"tags=78%, list=28%, signal=58%","tfr1b/lipg/fam20a/trpa1b/mttp/acsbg2/adcy2a/serpine1/grm1a/ckbb/ca4a/slc29a1a/tfa/pdgfra"
"GO:0140013","meiotic nuclear division",12,-0.628931615461134,-2.37028533807994,0.000171424619318085,0.00390848132045234,0.00309646996578772,161,"tags=92%, list=33%, signal=63%","cdc20/timeless/aspm/aurkb/ncapd3/fancd2/kifc1/racgap1/cdk1/smc2/top2a"
"GO:1903046","meiotic cell cycle process",12,-0.628931615461134,-2.37028533807994,0.000171424619318085,0.00390848132045234,0.00309646996578772,161,"tags=92%, list=33%, signal=63%","cdc20/timeless/aspm/aurkb/ncapd3/fancd2/kifc1/racgap1/cdk1/smc2/top2a"
"GO:0090407","organophosphate biosynthetic process",12,0.661185097607652,2.28315098479356,0.000291192381136854,0.00585979167048767,0.00464238342869661,103,"tags=75%, list=21%, signal=61%","g11053/g11052/acsbg2/naxe/acsl4a/adcy2a/fgf22/ckbb/pgam2"
"GO:0042592","homeostatic process",30,0.488660061282712,2.23702782471607,0.00029812975165639,0.00585979167048767,0.00464238342869661,136,"tags=60%, list=28%, signal=46%","tfr1b/lipg/g11053/g11052/fam20a/trpa1b/mttp/acsbg2/adcy2a/serpine1/nrf1/grm1a/ckbb/ca4a/prdx4/slc29a1a/tfa/pdgfra"
"GO:0043228","non-membrane-bounded organelle",62,-0.298693322275255,-2.18283834665576,0.000279400144262878,0.00585979167048767,0.00464238342869661,167,"tags=61%, list=35%, signal=46%","tyms/dscc1/g10962/ncapg2/cdc20/kif14/h1-0/adam8a/gpd1b/dlgap5/prph/timeless/aspm/knl1/pdlim3a/aurkb/ncapd3/ccnb1/hmmr/fancd2/g2062/wdhd1/ckap2l/kifc1/cby1/kif20a/g3834/racgap1/ncapg/g4474/mcm6/g3813/cdk1/cep162/smc2/top2a/mki67/mcm7"
"GO:0043232","intracellular non-membrane-bounded organelle",62,-0.298693322275255,-2.18283834665576,0.000279400144262878,0.00585979167048767,0.00464238342869661,167,"tags=61%, list=35%, signal=46%","tyms/dscc1/g10962/ncapg2/cdc20/kif14/h1-0/adam8a/gpd1b/dlgap5/prph/timeless/aspm/knl1/pdlim3a/aurkb/ncapd3/ccnb1/hmmr/fancd2/g2062/wdhd1/ckap2l/kifc1/cby1/kif20a/g3834/racgap1/ncapg/g4474/mcm6/g3813/cdk1/cep162/smc2/top2a/mki67/mcm7"
"GO:0006793","phosphorus metabolic process",39,0.42833663916031,2.11431210973215,0.000333549873722846,0.00613301380716201,0.00485884196356879,104,"tags=46%, list=21%, signal=39%","lipg/scg2a/g11053/g11052/fam20a/acsbg2/naxe/csnk1e/plk3/acsl4a/adcy2a/fgf22/rhoq/slc20a1a/ndufb6/ckbb/pgam2/nefla"
"GO:0006796","phosphate-containing compound metabolic process",39,0.42833663916031,2.11431210973215,0.000333549873722846,0.00613301380716201,0.00485884196356879,104,"tags=46%, list=21%, signal=39%","lipg/scg2a/g11053/g11052/fam20a/acsbg2/naxe/csnk1e/plk3/acsl4a/adcy2a/fgf22/rhoq/slc20a1a/ndufb6/ckbb/pgam2/nefla"
"GO:0005576","extracellular region",46,0.41261235819205,2.11669853400185,0.000350658858846555,0.00624611092320426,0.00494844244885434,190,"tags=67%, list=39%, signal=45%","tfr1b/lipg/scg2a/g11053/g11052/fam20a/naxe/aga/serpine1/pyyb/dnajc3a/fgf22/ckbb/fetub/ahsg2/ptn/ncanb/ca4a/prdx4/epd/fsta/tfa/vegfd/pcolcea/gpc3/tnr/g16512/g20065/lect2.1/sele/g261"
"GO:0005654","nucleoplasm",41,-0.357089185838563,-2.28245280079243,0.000482395545194971,0.00833228668973133,0.00660120219740487,165,"tags=68%, list=34%, signal=49%","dscc1/g10962/ncapg2/cdc20/h1-0/exo1/dlgap5/timeless/knl1/aurkb/ncapd3/ccnb1/fancd2/wdhd1/klf11a/cby1/kif20a/cdca7a/racgap1/g4474/mcm6/phf19/cdk1/smc2/klf11b/top2a/mki67/mcm7"
"GO:0005615","extracellular space",30,0.47191398067474,2.16036625311835,0.000549009304154308,0.00920397951082222,0.00729179540192564,145,"tags=60%, list=30%, signal=45%","tfr1b/lipg/scg2a/g11053/g11052/fam20a/naxe/aga/serpine1/fgf22/ckbb/ahsg2/ptn/ca4a/prdx4/fsta/tfa/vegfd"
"GO:0051301","cell division",13,-0.560165424062489,-2.18389643762558,0.000674147971728064,0.010978981253857,0.00869802946981472,161,"tags=85%, list=33%, signal=58%","cdc20/kif14/aspm/aurkb/ccnb1/kif20a/g3834/racgap1/ncapg/cdk1/top2a"
"GO:0019637","organophosphate metabolic process",21,0.532699527020003,2.20430766129162,0.000739995537066374,0.0117165960035509,0.00928240015793785,103,"tags=57%, list=21%, signal=47%","lipg/g11053/g11052/acsbg2/naxe/acsl4a/adcy2a/fgf22/rhoq/ndufb6/ckbb/pgam2"
"GO:0000775","chromosome, centromeric region",11,-0.612972059659741,-2.24988292277906,0.000791928272289581,0.0118787144124234,0.0094108374569338,165,"tags=91%, list=34%, signal=61%","dscc1/cdc20/knl1/aurkb/ncapd3/ccnb1/wdhd1/g4474/smc2/mki67"
"GO:0098687","chromosomal region",11,-0.612972059659741,-2.24988292277906,0.000791928272289581,0.0118787144124234,0.0094108374569338,165,"tags=91%, list=34%, signal=61%","dscc1/cdc20/knl1/aurkb/ncapd3/ccnb1/wdhd1/g4474/smc2/mki67"
"GO:0051656","establishment of organelle localization",13,-0.5493113030436,-2.14157987325287,0.000812754144007919,0.0118787144124234,0.0094108374569338,157,"tags=85%, list=32%, signal=59%","kif14/dlgap5/aspm/aurkb/ncapd3/ccnb1/g2062/kifc1/g4474/prrt2/top2a"
"GO:0005783","endoplasmic reticulum",24,0.506630504178311,2.18054893568164,0.000942812553601138,0.0131073940378695,0.0103842512322179,135,"tags=67%, list=28%, signal=51%","scg2a/gpx7/fam20a/mttp/spcs3/g18587/aga/pigx/acsl4a/fkbp7/dnajc3a/ahsg2/ptn/ca4a/prdx4/tfa"
"GO:0065008","regulation of biological quality",64,0.365887684693396,2.01028617155283,0.000923601938516378,0.0131073940378695,0.0103842512322179,136,"tags=47%, list=28%, signal=39%","tfr1b/lipg/g11053/ywhag1/g11052/fam20a/trpa1b/mttp/nlgn4xb/acsbg2/csnk1e/noctb/plk3/acsl4a/adcy2a/serpine1/nrf1/rhoq/grm1a/ckbb/nefla/ahsg2/ptn/ncanb/ca4a/prdx4/slc29a1a/fsta/tfa/pdgfra"
"GO:0006996","organelle organization",56,-0.285472933782694,-2.02314038103918,0.00105596245175712,0.0143309189881324,0.0113535812482157,165,"tags=62%, list=34%, signal=47%","dscc1/g10962/cdc20/kif14/h1-0/exo1/dlgap5/prph/timeless/aspm/knl1/pdlim3a/aurkb/ncapd3/ccnb1/fancd2/g2062/wdhd1/htra1a/kifc1/cby1/kif20a/racgap1/ncapg/g4474/tymp/mcm6/prrt2/g3813/phf19/cdk1/cep162/smc2/top2a/mcm7"
"GO:0006753","nucleoside phosphate metabolic process",16,0.570080419278895,2.13145005711552,0.00115290630916295,0.0149353771868837,0.0118324594887776,103,"tags=62%, list=21%, signal=51%","g11053/g11052/acsbg2/naxe/acsl4a/adcy2a/rhoq/ndufb6/ckbb/pgam2"
"GO:0009117","nucleotide metabolic process",16,0.570080419278895,2.13145005711552,0.00115290630916295,0.0149353771868837,0.0118324594887776,103,"tags=62%, list=21%, signal=51%","g11053/g11052/acsbg2/naxe/acsl4a/adcy2a/rhoq/ndufb6/ckbb/pgam2"
"GO:0005694","chromosome",25,-0.421004763678229,-2.16196398634421,0.00128877604377324,0.016324496554461,0.0129329806497946,165,"tags=80%, list=34%, signal=56%","dscc1/g10962/ncapg2/cdc20/kif14/h1-0/timeless/knl1/aurkb/ncapd3/ccnb1/fancd2/wdhd1/ncapg/g4474/mcm6/smc2/top2a/mki67/mcm7"
"GO:0015031","protein transport",11,0.607437952810359,2.02694691043149,0.00187997831326185,0.0212366778020952,0.0168246256271447,37,"tags=45%, list=8%, signal=43%","tfr1b/scg2a/ywhag1/mttp/spcs3"
"GO:0015833","peptide transport",11,0.607437952810359,2.02694691043149,0.00187997831326185,0.0212366778020952,0.0168246256271447,37,"tags=45%, list=8%, signal=43%","tfr1b/scg2a/ywhag1/mttp/spcs3"
"GO:0042886","amide transport",11,0.607437952810359,2.02694691043149,0.00187997831326185,0.0212366778020952,0.0168246256271447,37,"tags=45%, list=8%, signal=43%","tfr1b/scg2a/ywhag1/mttp/spcs3"
"GO:0031983","vesicle lumen",11,0.60593267823085,2.02192399139231,0.00193738113282272,0.0212366778020952,0.0168246256271447,145,"tags=82%, list=30%, signal=59%","g11053/g11052/aga/serpine1/dnajc3a/ahsg2/prdx4/tfa/vegfd"
"GO:0034774","secretory granule lumen",11,0.60593267823085,2.02192399139231,0.00193738113282272,0.0212366778020952,0.0168246256271447,145,"tags=82%, list=30%, signal=59%","g11053/g11052/aga/serpine1/dnajc3a/ahsg2/prdx4/tfa/vegfd"
