"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0065008","regulation of biological quality",66,0.391463989770545,2.41422843039646,3.1079115285116e-05,0.0159746652565496,0.0128896541287744,97,"tags=45%, list=24%, signal=41%","tfr1b/gpcpd1/lipg/g3894/noctb/fsta/acsbg2/rhoq/tenm2a/trpa1b/acsl4a/plk3/hmgcra/mycb/ltk/csnk1e/fam20a/slc35g1/serpine1/adcy2a/nrf1/hcar1-1/chga/prom1b/ahsg2/dusp5/sema5a/ptn/hdac9b/etv5a"
"GO:0005576","extracellular region",34,0.463422076572064,2.34691418888106,0.000104047361642171,0.0178267812946919,0.0143840913989527,139,"tags=68%, list=34%, signal=49%","tfr1b/lipg/g3894/fsta/tenm2a/p3h2/fam20a/serpine1/chga/prom1b/ahsg2/epd/sema5a/ptn/vegfd/fgf22/gpc3/g20065/sostdc1a/ckbb/ncanb/fetub/pcolcea"
"GO:0051051","negative regulation of transport",10,0.715206389230926,2.29565817136591,0.000100112791768034,0.0178267812946919,0.0143840913989527,76,"tags=80%, list=18%, signal=67%","g3894/fsta/rhoq/acsl4a/hmgcra/mycb/cbarpb/chga"
"GO:0007049","cell cycle",25,-0.422619801800428,-2.32496776185256,0.000934204351893998,0.0252726861512376,0.0203920506729216,150,"tags=76%, list=36%, signal=51%","racgap1/LOC119024341/kifc1/kif20a/ccnb1/g3834/ncapg/wdhd1/cdc20/fancd2/mcm3/klf11a/cdk1/smc2/mcm6/klf11b/top2a/mki67/mcm7"
"GO:0048878","chemical homeostasis",22,0.527204772372828,2.31415897888911,0.000264893321730773,0.0252726861512376,0.0203920506729216,66,"tags=50%, list=16%, signal=44%","tfr1b/gpcpd1/lipg/g3894/acsbg2/trpa1b/mycb/fam20a/slc35g1/serpine1/adcy2a"
"GO:0051049","regulation of transport",30,0.468010189235834,2.29257955453154,0.000355745722690319,0.0252726861512376,0.0203920506729216,78,"tags=50%, list=19%, signal=44%","lipg/g3894/fsta/rhoq/trpa1b/acsl4a/plk3/hmgcra/mycb/csnk1e/cbarpb/serpine1/hcar1-1/chga/ahsg2"
"GO:0005615","extracellular space",24,0.507454949843255,2.29155282908903,0.000313576755376732,0.0252726861512376,0.0203920506729216,118,"tags=67%, list=29%, signal=51%","tfr1b/lipg/g3894/fsta/fam20a/serpine1/chga/prom1b/ahsg2/sema5a/ptn/vegfd/fgf22/g20065/sostdc1a/ckbb"
"GO:0042592","homeostatic process",30,0.460241878446002,2.25452595890556,0.000455484928366035,0.0252726861512376,0.0203920506729216,119,"tags=60%, list=29%, signal=46%","tfr1b/gpcpd1/lipg/g3894/acsbg2/trpa1b/mycb/fam20a/slc35g1/serpine1/adcy2a/nrf1/hcar1-1/prom1b/hdac9b/mttp/ckbb/flvcr1"
"GO:0051093","negative regulation of developmental process",23,0.502086559071779,2.23033275665701,0.00042004773538881,0.0252726861512376,0.0203920506729216,114,"tags=65%, list=28%, signal=50%","g3894/noctb/fsta/acsl4a/mycb/serpine1/adcy2a/nrf1/chga/ahsg2/sema5a/ptn/hdac9b/g20065/sostdc1a"
"GO:0051241","negative regulation of multicellular organismal process",25,0.488304286734157,2.22857729545275,0.000693372780406552,0.0252726861512376,0.0203920506729216,114,"tags=64%, list=28%, signal=49%","g3894/noctb/fsta/acsl4a/mycb/serpine1/adcy2a/nrf1/chga/ahsg2/dusp5/sema5a/ptn/hdac9b/g20065/sostdc1a"
"GO:0051046","regulation of secretion",15,0.569679832097624,2.15472304552849,0.000668492749073711,0.0252726861512376,0.0203920506729216,76,"tags=60%, list=18%, signal=51%","g3894/fsta/trpa1b/acsl4a/hmgcra/csnk1e/cbarpb/hcar1-1/chga"
"GO:0051239","regulation of multicellular organismal process",63,0.350038003155802,2.12886421715734,0.000810738731102025,0.0252726861512376,0.0203920506729216,119,"tags=49%, list=29%, signal=41%","tfr1b/lipg/g3894/noctb/fsta/tmem65/acsbg2/trpa1b/acsl4a/hmgcra/mycb/ltk/csnk1e/serpine1/adcy2a/nrf1/hcar1-1/chga/prom1b/ahsg2/dusp5/nfil3-5/sema5a/ptn/hdac9b/vegfd/etv5a/gpc3/g20065/sostdc1a/flvcr1"
"GO:0048518","positive regulation of biological process",75,0.332820553481037,2.11894782851154,0.000739360034606682,0.0252726861512376,0.0203920506729216,97,"tags=41%, list=24%, signal=39%","tfr1b/lipg/g3894/noctb/fsta/acsbg2/rhoq/tenm2a/trpa1b/acsl4a/plk3/hmgcra/mycb/tet3/ltk/csnk1e/g5960/fam20a/serpine1/nrf1/hcar1-1/chga/prom1b/ahsg2/dusp5/nfil3-5/sema5a/ptn/hdac9b/vegfd/etv5a"
"GO:0007548","sex differentiation",10,0.649157037243699,2.0836540046163,0.000886051590354056,0.0252726861512376,0.0203920506729216,78,"tags=70%, list=19%, signal=58%","g3894/fsta/tenm2a/hmgcra/mycb/serpine1/ahsg2"
"GO:0008406","gonad development",10,0.649157037243699,2.0836540046163,0.000886051590354056,0.0252726861512376,0.0203920506729216,78,"tags=70%, list=19%, signal=58%","g3894/fsta/tenm2a/hmgcra/mycb/serpine1/ahsg2"
"GO:0045137","development of primary sexual characteristics",10,0.649157037243699,2.0836540046163,0.000886051590354056,0.0252726861512376,0.0203920506729216,78,"tags=70%, list=19%, signal=58%","g3894/fsta/tenm2a/hmgcra/mycb/serpine1/ahsg2"
"GO:0048608","reproductive structure development",10,0.649157037243699,2.0836540046163,0.000886051590354056,0.0252726861512376,0.0203920506729216,78,"tags=70%, list=19%, signal=58%","g3894/fsta/tenm2a/hmgcra/mycb/serpine1/ahsg2"
"GO:0061458","reproductive system development",10,0.649157037243699,2.0836540046163,0.000886051590354056,0.0252726861512376,0.0203920506729216,78,"tags=70%, list=19%, signal=58%","g3894/fsta/tenm2a/hmgcra/mycb/serpine1/ahsg2"
