"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051276","chromosome organization",34,-0.593404720449085,-3.21350092998557,6.15797039398493e-09,1.86894401457442e-06,1.43902044996279e-06,160,"tags=76%, list=29%, signal=58%","dlgap5/cdc45/ncapg/myb/aspm/fancd2/smc2/ccna2/chaf1b/LOC119024341/racgap1/uhrf1/g4697/ncapd3/cdk1/kifc1/timeless/wdhd1/phf19/knl1/hells/g4474/cdc20/mcm6/top2a/mcm7"
"GO:0007049","cell cycle",49,-0.531970974379831,-3.17619274705788,3.81922334185431e-09,1.86894401457442e-06,1.43902044996279e-06,163,"tags=71%, list=30%, signal=55%","g7374/dlgap5/ecrg4a/dla/cdc45/ncapg/pbk/LOC119012384/myb/aspm/fancd2/smc2/ccna2/LOC119024341/tyms/racgap1/g3834/ncapd3/cdk1/kifc1/timeless/wdhd1/knl1/klf11a/g4474/cdc20/mcm6/mcm3/sox4b/si:ch211-186j3.6/klf11b/kif20a/top2a/mki67/mcm7"
"GO:0000278","mitotic cell cycle",44,-0.530444108172789,-3.07128012755378,1.70547993222624e-08,3.45075439620442e-06,2.65695821020509e-06,163,"tags=73%, list=30%, signal=55%","g7374/dlgap5/dla/cdc45/ncapg/pbk/LOC119012384/myb/aspm/fancd2/smc2/ccna2/LOC119024341/tyms/racgap1/g3834/ncapd3/cdk1/kifc1/timeless/wdhd1/klf11a/g4474/cdc20/mcm6/mcm3/sox4b/si:ch211-186j3.6/klf11b/kif20a/top2a/mcm7"
"GO:0022402","cell cycle process",46,-0.511917700908857,-3.00672270013988,9.31677637960123e-08,1.41382081560449e-05,1.08859176645867e-05,163,"tags=70%, list=30%, signal=53%","g7374/dlgap5/ecrg4a/cdc45/ncapg/LOC119012384/myb/aspm/fancd2/smc2/ccna2/LOC119024341/tyms/racgap1/g3834/ncapd3/cdk1/kifc1/timeless/wdhd1/knl1/klf11a/g4474/cdc20/mcm6/mcm3/sox4b/si:ch211-186j3.6/klf11b/kif20a/top2a/mcm7"
"GO:1903047","mitotic cell cycle process",41,-0.512292710505059,-2.87239541688607,6.68691399450403e-07,8.11791358932789e-05,6.25050487065219e-05,163,"tags=71%, list=30%, signal=54%","g7374/dlgap5/cdc45/ncapg/LOC119012384/myb/aspm/fancd2/smc2/ccna2/LOC119024341/tyms/racgap1/g3834/ncapd3/cdk1/kifc1/timeless/klf11a/g4474/cdc20/mcm6/mcm3/sox4b/si:ch211-186j3.6/klf11b/kif20a/top2a/mcm7"
"GO:0005654","nucleoplasm",53,-0.436958689350152,-2.64707938165539,3.89103734239933e-06,0.000393643277806066,0.000303091329829001,133,"tags=57%, list=24%, signal=47%","myb/fancd2/smc2/ccna2/fosl1a/chaf1b/LOC119024341/racgap1/g7174/uhrf1/ncapd3/cdk1/timeless/cdca7a/wdhd1/phf19/cby1/knl1/klf11a/g4474/cdc20/mcm6/mcm3/sox4b/g4827/klf11b/kif20a/top2a/mki67/mcm7"
"GO:0031981","nuclear lumen",60,-0.396753889135456,-2.46883767456243,8.41483899271116e-06,0.000729686752653668,0.000561832859062219,133,"tags=53%, list=24%, signal=45%","myb/fancd2/smc2/ccna2/fosl1a/chaf1b/LOC119024341/tyms/racgap1/g7174/uhrf1/ncapd3/cdk1/timeless/cdca7a/wdhd1/phf19/cby1/knl1/klf11a/g4474/cdc20/mcm6/g3813/mcm3/sox4b/g4827/klf11b/kif20a/top2a/mki67/mcm7"
"GO:0006996","organelle organization",67,-0.374027101561321,-2.38854558835462,2.12642125280213e-05,0.00161342212556362,0.00124227767926861,170,"tags=60%, list=31%, signal=47%","arrb1/tymp/g7374/dlgap5/prrt2/dla/cdc45/ncapg/LOC119012384/myb/aspm/lrguk/fancd2/smc2/foxj1a/ccna2/chaf1b/LOC119024341/racgap1/uhrf1/g4697/g21872/ncapd3/cdk1/kifc1/timeless/wdhd1/phf19/cby1/knl1/hells/g4474/cdc20/mcm6/g3813/si:ch211-186j3.6/hsp90b1/kif20a/top2a/mcm7"
"GO:0009790","embryo development",29,-0.50269797540738,-2.54463298278161,4.04864043279508e-05,0.00190706501169314,0.00146837226253664,174,"tags=72%, list=32%, signal=52%","ccnb1/cebpb/arrb1/dla/g16544/myb/smc2/foxj1a/fosl1a/g7174/ncapd3/cdk1/timeless/wdhd1/klf11a/LOC119029429/sox4b/si:ch211-186j3.6/klf11b/ace/top2a"
"GO:0051321","meiotic cell cycle",18,-0.604825434185359,-2.54422990125008,3.86994932741555e-05,0.00190706501169314,0.00146837226253664,130,"tags=72%, list=24%, signal=57%","aspm/fancd2/smc2/ccna2/LOC119024341/racgap1/ncapd3/cdk1/kifc1/timeless/cdc20/top2a/mki67"
