"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007049","cell cycle",42,-0.512190755221594,-2.87717973599079,1.08533103577772e-07,2.61173105608316e-05,1.99850744179201e-05,135,"tags=71%, list=31%, signal=55%","tyms/ccna2/si:dkey-22o22.2/racgap1/ncapd3/kif14/ecrg4a/wdhd1/dlgap5/LOC119012384/ttk/smc2/ccnb1/LOC119024341/kifc1/knl1/timeless/klf11a/mcm3/cdk1/g4474/cdc20/g3834/mcm6/klf11b/si:ch211-186j3.6/mcm7/kif20a/top2a/mki67"
"GO:0022402","cell cycle process",40,-0.515616543081007,-2.85642949241165,2.36142048470449e-07,2.61173105608316e-05,1.99850744179201e-05,135,"tags=72%, list=31%, signal=55%","tyms/ccna2/si:dkey-22o22.2/racgap1/ncapd3/kif14/ecrg4a/wdhd1/dlgap5/LOC119012384/ttk/smc2/ccnb1/LOC119024341/kifc1/knl1/timeless/klf11a/mcm3/cdk1/g4474/cdc20/g3834/mcm6/klf11b/si:ch211-186j3.6/mcm7/kif20a/top2a"
"GO:0031974","membrane-enclosed lumen",61,-0.445753084295249,-2.81758513238621,2.06155409034018e-07,2.61173105608316e-05,1.99850744179201e-05,93,"tags=52%, list=21%, signal=48%","pcsk9/vwf/wdhd1/dlgap5/ddb2/col6a1/ttk/cby1/zbtb16a/smc2/ccnb1/LOC119024341/cdca7a/pdia4/hsp90b1/phf19/knl1/timeless/g4827/klf11a/mcm3/cdk1/g4474/cdc20/mcm6/col6a2/klf11b/g3813/mcm7/kif20a/top2a/mki67"
"GO:0043233","organelle lumen",61,-0.445753084295249,-2.81758513238621,2.06155409034018e-07,2.61173105608316e-05,1.99850744179201e-05,93,"tags=52%, list=21%, signal=48%","pcsk9/vwf/wdhd1/dlgap5/ddb2/col6a1/ttk/cby1/zbtb16a/smc2/ccnb1/LOC119024341/cdca7a/pdia4/hsp90b1/phf19/knl1/timeless/g4827/klf11a/mcm3/cdk1/g4474/cdc20/mcm6/col6a2/klf11b/g3813/mcm7/kif20a/top2a/mki67"
"GO:0070013","intracellular organelle lumen",61,-0.445753084295249,-2.81758513238621,2.06155409034018e-07,2.61173105608316e-05,1.99850744179201e-05,93,"tags=52%, list=21%, signal=48%","pcsk9/vwf/wdhd1/dlgap5/ddb2/col6a1/ttk/cby1/zbtb16a/smc2/ccnb1/LOC119024341/cdca7a/pdia4/hsp90b1/phf19/knl1/timeless/g4827/klf11a/mcm3/cdk1/g4474/cdc20/mcm6/col6a2/klf11b/g3813/mcm7/kif20a/top2a/mki67"
"GO:1903047","mitotic cell cycle process",35,-0.52855507339344,-2.80746235180086,4.64772902335704e-07,4.28365691652741e-05,3.27787204805181e-05,135,"tags=74%, list=31%, signal=56%","tyms/ccna2/si:dkey-22o22.2/racgap1/ncapd3/kif14/dlgap5/LOC119012384/ttk/smc2/ccnb1/LOC119024341/kifc1/timeless/klf11a/mcm3/cdk1/g4474/cdc20/g3834/mcm6/klf11b/si:ch211-186j3.6/mcm7/kif20a/top2a"
"GO:0000278","mitotic cell cycle",38,-0.498538845643601,-2.74351692889128,1.53761797696007e-06,0.000106287842657365,8.13318982549933e-05,135,"tags=71%, list=31%, signal=54%","tyms/ccna2/si:dkey-22o22.2/racgap1/ncapd3/kif14/wdhd1/dlgap5/LOC119012384/ttk/smc2/ccnb1/LOC119024341/kifc1/timeless/klf11a/mcm3/cdk1/g4474/cdc20/g3834/mcm6/klf11b/si:ch211-186j3.6/mcm7/kif20a/top2a"
"GO:0031981","nuclear lumen",47,-0.463906532429754,-2.71124600184748,1.45665778954342e-06,0.000106287842657365,8.13318982549933e-05,87,"tags=55%, list=20%, signal=50%","wdhd1/dlgap5/ddb2/ttk/cby1/zbtb16a/smc2/ccnb1/LOC119024341/cdca7a/phf19/knl1/timeless/g4827/klf11a/mcm3/cdk1/g4474/cdc20/mcm6/klf11b/g3813/mcm7/kif20a/top2a/mki67"
"GO:0005654","nucleoplasm",43,-0.459922079275147,-2.60865096031424,6.84987330965356e-06,0.000420886660026491,0.000322064218769676,87,"tags=56%, list=20%, signal=50%","wdhd1/dlgap5/ddb2/cby1/zbtb16a/smc2/ccnb1/LOC119024341/cdca7a/phf19/knl1/timeless/g4827/klf11a/mcm3/cdk1/g4474/cdc20/mcm6/klf11b/mcm7/kif20a/top2a/mki67"
"GO:0051321","meiotic cell cycle",15,-0.635071090047393,-2.44404301430057,5.42583584193781e-05,0.00300048722059161,0.0022959852720621,170,"tags=100%, list=39%, signal=63%","aspm/ccna2/racgap1/ncapd3/kif14/ttk/smc2/LOC119024341/kifc1/timeless/cdk1/cdc20/top2a/mki67"
