"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"bmp15"	Inf	10	FALSE	Inf
"ccl20b"	Inf	22	FALSE	Inf
"ctrb.2_ChrAur1"	Inf	9	FALSE	Inf
"gdf3"	Inf	20	FALSE	Inf
"gdf9"	Inf	11	FALSE	Inf
"prss59.1_ChrAur8"	Inf	10	FALSE	Inf
"olfml2bb"	2.06220630525033	1430	FALSE	1.86716773589012
"pdyn"	2.01212552798415	656	FALSE	1.82182347946842
"nog2"	1.98578143919761	17	FALSE	1.79797095196503
"angptl2b"	1.94868241831482	1143	FALSE	1.7643806682727
"kitlgb"	1.88893113720161	26	FALSE	1.71028052126576
"bmp6"	1.85181063598928	303	FALSE	1.67667078880239
"myoc_ChrAur1"	1.81137582203636	8	FALSE	1.64006020341751
"angptl4"	1.81044411620837	312	FALSE	1.63921661611156
"lamc3"	1.71322445432315	823	FALSE	1.55119175870322
"grna.1"	1.70781704145769	3	FALSE	1.54629576609021
"emilin1a_ChrAur2"	1.68958436923266	0	FALSE	1.5297874966552
"thbs4b"	1.68599029638054	292	FALSE	1.52653334266836
"pomca_ChrAur1"	1.67465677258806	0	FALSE	1.5162717166102
"igfbp6b"	1.67340522977022	48	FALSE	1.51513854173647
"wu:fj39g12"	1.66049768842809	0	FALSE	1.50345176496621
"olfml1"	1.65657527389284	465	FALSE	1.49990032307198
"paplna"	1.65265073287841	166	FALSE	1.49634695581592
"ucmaa"	1.6523126974553	0	FALSE	1.49604089097943
"b2m_ChrAur2"	1.64004447113989	0	FALSE	1.48493296434066
"pcsk2"	1.62120459642258	1	FALSE	1.46787492018144
"vegfaa"	1.61981341217663	208	FALSE	1.46661531083387
"nampt2"	1.61218561285522	0	FALSE	1.45970893063684
"ntn1b"	1.60586106769753	0	FALSE	1.45398254592326
"wnt3"	1.60579942677977	0	FALSE	1.45392673485695
"pcsk9"	1.60183679191978	26	FALSE	1.45033887658067
"amh"	1.58388924040364	15	FALSE	1.4340887618158
"c1ql1l2_ChrAur1"	1.58162654069907	0	FALSE	1.43204006286962
"pla1a"	1.5795186438644	0	FALSE	1.43013152590595
"ndnfl"	1.56767313757226	0	FALSE	1.41940633943568
"fgfbp3"	1.55245660295155	56	FALSE	1.40562894848139
"tac1"	1.54557801309294	30	FALSE	1.39940091929744
"acp7"	1.5443028633964	0	FALSE	1.39824637022747
"cbln1"	1.528297590233	0	FALSE	1.38375483774659
"wnt4"	1.51425625743912	0	FALSE	1.37104150082444
"tfpia"	1.51239793423042	0	FALSE	1.36935893340657
"tgfb3_ChrAur2"	1.50899227850269	15	FALSE	1.36627537650047
"comtb"	1.49921674391581	0	FALSE	1.35742438873303
"calr"	1.49384393013886	24	FALSE	1.352559722909
"anxa2a_ChrAur2"	1.49257979022753	0	FALSE	1.35141514234493
"cbln2b"	1.48808525341424	2	FALSE	1.34734568813747
"pm20d1.2"	1.48740817357511	1	FALSE	1.34673264489974
"efemp1"	1.4779910900325	3	FALSE	1.33820620672904
"nsun2"	1.46097015917117	28	FALSE	1.32279507504053
"b3gat1a_ChrAur1"	1.45111011891671	0	FALSE	1.31386757395063
"tub"	1.44726511406245	0	FALSE	1.31038622051381
"ahsg2"	1.44482455220484	0	FALSE	1.30817648119415
"ppfibp2b"	1.44323543393327	0	FALSE	1.3067376579505
"ccdc80"	1.44131949338664	5	FALSE	1.30500292250554
"arsk"	1.43844729583574	0	FALSE	1.30240237057022
"ccbe1"	1.4359719500019	0	FALSE	1.30016113706009
"angptl2a"	1.43077270982258	7	FALSE	1.2954536286555
"sst7"	1.42967554744384	1	FALSE	1.29446023328599
"mmp13a_ChrAur1"	1.42084870700716	0	FALSE	1.28646821443159
"c1qc"	1.41804527524331	1	FALSE	1.28392992457868
