"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"loxl2b"	2.39691282736724	2417	FALSE	2.31213052478773
"hmgb2b"	2.31087115274254	2032	FALSE	2.2291322696855
"tgfb3_ChrAur2"	2.27211717664203	2118	FALSE	2.19174907824199
"vegfaa"	2.23671947873498	1855	FALSE	2.15760344853713
"asah1b"	2.22029455273627	1857	FALSE	2.1417594961266
"nsun2"	2.1935673278815	1738	FALSE	2.11597765219636
"calr"	2.15535833381664	1659	FALSE	2.07912016597904
"bdnf"	2.14904752137255	1506	FALSE	2.07303257617536
"cd9a_ChrAur2"	2.07102228075629	1276	FALSE	1.9977672021188
"ccn4a"	2.07069758238592	1235	FALSE	1.99745398880336
"lgi1b_ChrAur1"	2.05847088940815	1004	FALSE	1.98565977178873
"fgfbp3"	2.03740375663694	1201	FALSE	1.96533781422986
"enpp2"	2.02152633172765	879	FALSE	1.95002199699669
"tinagl1"	2.01933608596171	963	FALSE	1.94790922341795
"anxa2a_ChrAur2"	2.00413284138142	1069	FALSE	1.93324373977226
"grem2b"	1.985649217015	775	FALSE	1.91541390815787
"efemp1"	1.98482389119146	957	FALSE	1.91461777531244
"thbs4b"	1.97838013551254	1118	FALSE	1.90840194467005
"pcsk9"	1.97353416337724	845	FALSE	1.90372738163698
"gfod2"	1.97174780189157	638	FALSE	1.90200420636245
"olfml1"	1.94804947495376	903	FALSE	1.87914412381222
"inhbab"	1.91581843674548	830	FALSE	1.84805314443405
"ppfibp2b"	1.91400885022482	836	FALSE	1.84630756562789
"vwc2"	1.89195928984067	458	FALSE	1.82503793035361
"ahsg2"	1.87803719833929	657	FALSE	1.81160828353387
"col12a1b"	1.87189644426013	578	FALSE	1.80568473688273
"abcb6a"	1.87014886226564	314	FALSE	1.80399896941222
"angptl1a_ChrAur1"	1.86471173268234	410	FALSE	1.79875415903228
"grp"	1.86420267293539	311	FALSE	1.79826310547104
"olfml2bb"	1.86057586242665	673	FALSE	1.79476458053966
"cxcl12a"	1.85102764262511	308	FALSE	1.7855540951985
"angptl2a"	1.8378399584254	469	FALSE	1.77283287862305
"ognb"	1.82695444427797	74	FALSE	1.76233240098743
"b3gat1a_ChrAur2"	1.82576470820421	471	FALSE	1.76118474761382
"nampt2"	1.82241740532415	581	FALSE	1.75795584371864
"adamtsl5"	1.80302603497311	4	FALSE	1.73925037441906
"prf1.5"	1.79813352972521	252	FALSE	1.73453092421745
"angptl1a_ChrAur2"	1.78717974583538	163	FALSE	1.72396459163979
"a2ml_ChrAur1"	1.78064135326842	239	FALSE	1.71765747155411
"pla2g12a"	1.77352875266496	248	FALSE	1.71079645400766
"si:ch73-52e5.2"	1.77240675872426	309	FALSE	1.70971414662906
"scg3"	1.76497832192619	533	FALSE	1.70254846447485
"bmper"	1.75284321327125	0	FALSE	1.69084259231198
"crp1"	1.75018988831963	0	FALSE	1.68828311933375
"rspo3"	1.7429740612343	254	FALSE	1.68132252657664
"st3gal2"	1.73640975864553	1	FALSE	1.67499041294441
"hpse"	1.7356089828482	0	FALSE	1.67421796175496
"si:ch211-196i2.1"	1.73101327944325	5	FALSE	1.66978481508223
"lgi3"	1.73056053795676	0	FALSE	1.66934808772244
"paplna"	1.72899614615965	130	FALSE	1.66783903074485
"sost"	1.72473014355731	258	FALSE	1.66372392287648
"spon1a_ChrAur2"	1.7241589322702	0	FALSE	1.6631729161657
"fndc4a"	1.71427160083947	44	FALSE	1.65363531406826
"farp1_ChrAur1"	1.71378361233775	0	FALSE	1.65316458643157
"ccka"	1.71150188803682	99	FALSE	1.65096357004704
"nid2a"	1.71113357396041	0	FALSE	1.65060828377669
"nmbb"	1.7070629233152	279	FALSE	1.64668161798181
"pcsk2"	1.6908106436089	0	FALSE	1.63100420511252
"col4a6"	1.68967235202668	2	FALSE	1.62990617656376
"cckb"	1.6873377861785	2	FALSE	1.62765418771457
"tfpi2"	1.68307349263709	168	FALSE	1.62354072845515
"itih3a.1"	1.67504520451059	0	FALSE	1.61579641258887
"loxl1"	1.67240041414526	9	FALSE	1.61324517231616
"bmp5"	1.67195061172289	0	FALSE	1.61281128006151
"col22a1"	1.66761632952462	4	FALSE	1.6086303077461
"sparc"	1.66563731070012	6	FALSE	1.6067212897038
"grna.1"	1.66435953867985	336	FALSE	1.60548871434351
"adgrb2"	1.65960452705839	48	FALSE	1.60090189441824
"c1qtnf6b"	1.65772529587905	209	FALSE	1.59908913438656
"wnt5a"	1.63982928049637	2	FALSE	1.58182612716914
"rnaset2"	1.63576637697608	0	FALSE	1.57790693447207
"sfrp1a"	1.63190854959697	0	FALSE	1.57418556407396
"mgat4a"	1.63014645347738	15	FALSE	1.57248579586412
"il1fma"	1.62900395554195	378	FALSE	1.57138370974699
"c1ql4l_ChrAur1"	1.62843347571911	8	FALSE	1.57083340862753
"angptl4"	1.62650699628756	55	FALSE	1.56897507158322
"amh"	1.6262679081937	47	FALSE	1.56874444038395
"kitlga"	1.62434462766034	49	FALSE	1.56688918908814
"bmp6"	1.62243641633052	1	FALSE	1.56504847397617
"gldn"	1.61840334918837	0	FALSE	1.56115806230103
"ca6"	1.60303445505004	1	FALSE	1.54633278836376
"naxe"	1.60074641986924	1	FALSE	1.54412568432439
"c1qb_ChrAur2"	1.59652528624167	3	FALSE	1.54005385834971
"adcyap1b"	1.59389816399876	0	FALSE	1.53751966125216
"rspo1"	1.58629423141615	0	FALSE	1.53018469085527
"fam3c"	1.58274214437428	0	FALSE	1.52675824631275
"wnt8b"	1.57942934262088	0	FALSE	1.52356262318906
"lamb2"	1.57801793167359	0	FALSE	1.52220113590551
"tgfb2"	1.57591188917981	1	FALSE	1.52016958720638
"ptn"	1.56778601708642	14	FALSE	1.51233113906044
"epoa"	1.56101548458304	124	FALSE	1.50580009016647
"nrg2b"	1.56086662096161	0	FALSE	1.50565649206844
"mmp13a_ChrAur3"	1.55698636047838	2	FALSE	1.50191348205783
"spon2b"	1.55581895823641	4	FALSE	1.5007873725358
"scg2b"	1.54337576732203	0	FALSE	1.48878431543235
"draxina_ChrAur1"	1.5427578852937	1	FALSE	1.48818828879253
"adamts12"	1.53970384513311	0	FALSE	1.48524227448671
"igfbp5b"	1.53484173926013	0	FALSE	1.4805521483898
"clu"	1.53424849319739	0	FALSE	1.47997988630554
"svep1"	1.53416498048548	2	FALSE	1.47989932756005
"col5a3a"	1.53121949345154	0	FALSE	1.47705802669847
"kitlgb"	1.5285173122193	10	FALSE	1.47445142555752
"dcn"	1.52281209026462	0	FALSE	1.46894800562439
"nampt1"	1.52089842772126	0	FALSE	1.46710203211625
"fgf22"	1.51953729350849	0	FALSE	1.46578904320579
"ada2a"	1.50402995180468	0	FALSE	1.45083021879536
"adamts6"	1.49590172103105	0	FALSE	1.44298949539914
"qsox1"	1.48831791615919	33	FALSE	1.43567394076651
"dkk3b"	1.48776103230681	9	FALSE	1.4351367547082
"timp2a"	1.47799113769569	0	FALSE	1.42571243551878
"apoeb_ChrAur1"	1.4772899712397	0	FALSE	1.42503607034298
"tnfsf10l"	1.47591584291078	1	FALSE	1.42371054693721
"bmp16"	1.47442929759264	0	FALSE	1.42227658289508
"bgnb"	1.4691712321637	0	FALSE	1.4172045029092
"wnt3"	1.46653213348077	0	FALSE	1.41465875299579
"kazald3"	1.46517929184559	0	FALSE	1.41335376334235
"tac1"	1.46371905933316	0	FALSE	1.41194518138362
"cbln2b"	1.45814947149925	0	FALSE	1.40657259799459
"mmp2"	1.4491311768645	0	FALSE	1.39787329359418
"si:ch211-136a13.1"	1.44789313605458	0	FALSE	1.39667904409337
"ucmaa"	1.44315072542664	4	FALSE	1.39210437944611
"bmp7b"	1.442721784553	0	FALSE	1.39169061083677
"tcn2"	1.43346241939253	0	FALSE	1.38275876292673
"pros1"	1.43025996484006	0	FALSE	1.37966958386253
"selenop"	1.42773540955689	0	FALSE	1.37723432578177
"c1ql1l2_ChrAur1"	1.41920045990897	2	FALSE	1.36900126975104
"reln"	1.41782636560298	0	FALSE	1.36767577916476
"cd74a"	1.41644637580942	0	FALSE	1.3663446016229
"cpamd8"	1.41120366043902	0	FALSE	1.3612873287416
"lamb2l"	1.40965727945383	0	FALSE	1.35979564550724
"ncana"	1.40805997722879	0	FALSE	1.35825484219155
"igfbp1a"	1.40718585502323	31	FALSE	1.3574116389633
"spon1a_ChrAur1"	1.40384749009611	0	FALSE	1.35419135687263
"emilin2a"	1.40278301475447	0	FALSE	1.35316453357635
"ambp"	1.40066762239903	0	FALSE	1.3511239657338
"lamc2"	1.39820833377209	0	FALSE	1.34875166573245
"lamc3"	1.39748663393386	0	FALSE	1.34805549347009
"c1qa"	1.39580743127659	0	FALSE	1.34643568665991
"fgf13a"	1.39523984177377	0	FALSE	1.34588817362563
"igfbp2a"	1.39350688496845	0	FALSE	1.34421651403001
"hapln2"	1.3867973399085	0	FALSE	1.33774429536464
"igfbp6b"	1.3862444122764	0	FALSE	1.33721092558933
"c1qc"	1.38397730744429	0	FALSE	1.33502401156168
"lamb1a"	1.38376370247504	0	FALSE	1.33481796211174
"igfbp3_ChrAur2"	1.38144363834863	0	FALSE	1.33257996203727
"adamts18"	1.38142552254324	0	FALSE	1.33256248701434
"col4a1"	1.38131594428323	0	FALSE	1.3324567846972
"mmrn2a_ChrAur1"	1.37664514406843	0	FALSE	1.32795119749832
"sfrp5"	1.36474755777411	0	FALSE	1.31647444618375
"ggh"	1.36309081013448	0	FALSE	1.31487630012449
"coch"	1.3620495691457	0	FALSE	1.31387188934812
"galnt1"	1.35992034615862	0	FALSE	1.31181798008355
"st3gal1l3"	1.35854604412008	0	FALSE	1.31049228911252
"pla1a"	1.35823015094992	0	FALSE	1.31018756954451
"scg5"	1.35807397291333	0	FALSE	1.31003691575286
"fam3a"	1.35744491423089	2	FALSE	1.3094301077935
"nell2a"	1.3557578559836	0	FALSE	1.30780272325697
"smpd1"	1.35317461672952	0	FALSE	1.30531085694294
"acp7"	1.35093832875753	0	FALSE	1.30315366973812
"ngrn"	1.35039610127345	1	FALSE	1.30263062163099
