"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"cbln18_ChrAur2"	Inf	2	FALSE	Inf
"vegfaa"	2.87030648309505	3882	FALSE	2.72627323115077
"hmgb2b"	2.70780434626984	3486	FALSE	2.57192552360086
"nsun2"	2.67904864260208	3510	FALSE	2.54461279389271
"asah1b"	2.56529443915004	3120	FALSE	2.43656682680568
"calr"	2.54447373304437	3079	FALSE	2.41679091296378
"tgfb3_ChrAur2"	2.54288700557363	3078	FALSE	2.41528380818104
"cd9a_ChrAur2"	2.47789763241465	2926	FALSE	2.35355563058185
"bdnf"	2.46006354706904	2680	FALSE	2.33661646754607
"ccn4a"	2.42578680885291	2486	FALSE	2.30405975125108
"olfml1"	2.40956217947551	2619	FALSE	2.28864928096944
"loxl2b"	2.36929876302438	2423	FALSE	2.25040630060762
"thbs4b"	2.31924992337296	2197	FALSE	2.20286893392032
"il1fma"	2.30414028281825	1914	FALSE	2.18851750182789
"fgfbp3"	2.30190233894831	2309	FALSE	2.18639185897359
"col12a1b"	2.30032618032529	2125	FALSE	2.1848947926891
"ppfibp2b"	2.29327563866147	2233	FALSE	2.17819805033201
"prf1.5"	2.29203852087931	2069	FALSE	2.17702301166866
"anxa2a_ChrAur2"	2.25439116743381	2001	FALSE	2.14126481911096
"olfml2bb"	2.25431426375452	1990	FALSE	2.14119177449239
"tinagl1"	2.24323054780905	2022	FALSE	2.13066424432731
"ahsg2"	2.20477887580084	1679	FALSE	2.09414209426899
"angptl2a"	2.20386123712848	1774	FALSE	2.09327050311207
"pcsk9"	2.17418807646303	1619	FALSE	2.06508635480515
"pla2g12a"	2.15770796678411	1501	FALSE	2.04943322433679
"lgi1b_ChrAur1"	2.11707311706643	1019	FALSE	2.01083744939442
"cxcl12a"	2.10815838947938	1231	FALSE	2.00237006679026
"a2ml_ChrAur1"	2.0984100542314	1351	FALSE	1.9931109073272
"rspo3"	2.09617803979646	1038	FALSE	1.99099089636622
"abcb6a"	2.07117166109189	1055	FALSE	1.96723934883225
"nmbb"	2.05843485996439	1179	FALSE	1.95514168603251
"ccka"	2.01839336019283	1262	FALSE	1.91710948647289
"c1qtnf6b"	2.01471009393916	1166	FALSE	1.9136110481529
"epoa"	2.00525759009727	1029	FALSE	1.9046328751448
"nid2a"	1.98871730906387	567	FALSE	1.88892259274721
"scg3"	1.98374887665543	904	FALSE	1.8842034784799
"sost"	1.97837232758262	831	FALSE	1.8790967270234
"igfbp1a"	1.97788710470236	961	FALSE	1.8786358528424
"enpp2"	1.96996474905496	402	FALSE	1.87111104451397
"gfod2"	1.95055769147567	450	FALSE	1.85267784168861
"mgat4a"	1.94392642162083	274	FALSE	1.84637933189523
"cckb"	1.9319060172021	36	FALSE	1.83496211669978
"efemp1"	1.92961717938372	458	FALSE	1.83278813377794
