Gene_symbol	score_df_2	n_cor	is_deg	Ssec_norm
cart2	inf	15	False	inf
cbln1	inf	9	False	inf
crhb	inf	6	False	inf
gnrh3	inf	15	False	inf
nog2	inf	9	False	inf
nts	inf	11	False	inf
nxph2a	inf	9	False	inf
dag1_ChrAur2	2.04019857155161	190	False	1.84724144132022
ndnfl	2.004729133502	0	False	1.81512661839112
il12ba	1.99576226772681	664	False	1.80700781746182
loxl4_ChrAur1	1.94523464505386	288	True	1.76125897720953
pdgfc	1.93514934516304	0	False	1.75212752100412
eda	1.92866259611726	4	False	1.74625427326054
dhh	1.91930993238602	41	True	1.73778616222861
tulp3	1.90602739777923	29	False	1.7257598581651
mgp	1.83744131974561	0	False	1.66366048832534
spon2b	1.82412686829489	0	False	1.65160528603711
fgf8b	1.72361029749409	0	True	1.56059533351988
eys	1.71377478370292	0	False	1.55169003923869
arsk	1.70955269592941	531	True	1.54786726648859
adgrl2b.1	1.70183821525396	0	True	1.54088240305389
hyal1	1.69133349366645	0	False	1.53137119305867
olfml1	1.680600362133	0	True	1.52165317558714
bag6l	1.6801030453881	0	False	1.52120289387758
reln	1.67423372483954	0	True	1.51588867971192
impg1b	1.6460601887245	0	False	1.49037972965876
fgf12a	1.5823513191505	0	False	1.4326962934983
grnb	1.57599687274416	0	True	1.42694283552509
myoc_ChrAur1	1.5547257874911	0	False	1.40768351894228
sema3d	1.54411536063341	0	False	1.39807660103001
qsox1	1.53891798552206	0	True	1.39337078129969
ghra	1.53589151872735	0	True	1.39063055053886
fgfbp1a	1.52517222882337	0	False	1.3809250655884
chga	1.52408875643485	1	False	1.37994406544238
pthlha	1.52012688300594	0	False	1.37635689658284
sema3aa	1.51897840657867	0	False	1.3753170403255
lum	1.51257425859512	0	False	1.36951858143208
dipk2ab	1.50380544022474	0	False	1.3615790970549
scg5	1.50228038393218	0	False	1.3601982769606
ucmaa	1.49652722936463	0	False	1.35498924207366
proza	1.4878264603994	0	False	1.34711137115068
smpd1	1.48680003654806	0	True	1.34618202402683
cd9a_ChrAur2	1.48439753239487	0	True	1.34400674300439
epoa	1.47533682919506	0	False	1.33580297957098
farp1_ChrAur2	1.45880899341952	0	False	1.3208383072074
igfbp1a	1.41884304367522	0	True	1.28465224196903
gatd1	1.39959628798442	0	False	1.26722579867142
igfbp5b	1.39537508407304	0	False	1.26340382618987
