Gene_symbol	score_df_1	n_cor	is_deg	Ssec_norm
b3gat1a_ChrAur1	inf	5	False	inf
cart2	inf	12	False	inf
cbln1	inf	15	False	inf
crhb	inf	7	False	inf
nxph2a	inf	15	False	inf
spink4	inf	6	False	inf
thpo_ChrAur1	inf	4	False	inf
vip	inf	8	False	inf
impg1b	1.93930037993978	968	False	1.7529186436863
qsox1	1.89789109076279	555	True	1.71548910684354
arsk	1.83513600712103	829	True	1.65876527115535
bag6l	1.71101677741543	77	False	1.54657485751882
loxl4_ChrAur1	1.70389624147644	66	True	1.54013866004802
mgp	1.6340292369573	4	False	1.47698641397672
clcf1	1.62463730232913	96	False	1.46849711676403
acana	1.61054896130175	2	True	1.45576277405933
dag1_ChrAur2	1.6049103179772	0	False	1.45066604788377
matn3a_ChrAur1	1.56259627850527	46	False	1.41241871423331
rnaset2	1.53575952843619	0	True	1.38816118300264
si:ch73-52e5.2	1.53569770450415	18	True	1.3881053008277
il12ba	1.5169732303004	0	False	1.37118039313187
ghra	1.51419457172015	0	True	1.36866878509005
ambp	1.49844404712893	1	False	1.35443200749263
prss12	1.49541281395434	0	False	1.35169209922465
prss59.1_ChrAur8	1.45502013559231	0	False	1.31518146905016
igfbp1a	1.44220369973669	10	True	1.30359679161219
epoa	1.4343146040099	0	False	1.29646589888182
olfm2a	1.43315101174194	0	False	1.29541413681275
dhh	1.42858219732188	27	True	1.2912844207258
ccbe1	1.42640193893679	2	False	1.28931370200125
si:ch211-196i2.1	1.42505142986846	0	True	1.28809298727916
ctrb.2_ChrAur2	1.41774133471556	0	False	1.28148544869814
fam3c	1.39997945084768	0	False	1.26543061897653
fbln2_ChrAur1	1.39631430372123	1	False	1.26211772078073
bmp5	1.3849939396441	0	False	1.25188533107495
ybx1	1.38361540568762	0	False	1.25063928487279
adgrl2b.1	1.37976127880602	0	True	1.24715556933508
scg5	1.37904172612192	2	False	1.24650517121825
hyal1	1.37308273829364	0	False	1.24111888811856
fndc5b_ChrAur1	1.36693748599105	0	False	1.23556424199834
htra1a	1.35985440418556	0	False	1.2291618990297
farp1_ChrAur2	1.35945186848399	0	False	1.22879805011628
apoc1_ChrAur1	1.34710655014807	0	False	1.21763921216775
ntn4_ChrAur1	1.33899778030623	32	True	1.21030975770048
eda	1.33817484188569	1	False	1.20956591001453
wnt8a	1.33803749343463	0	False	1.20944176180983
loxl3b	1.32616070459931	0	True	1.19870642406025
plat	1.32611018401083	0	False	1.1986607588903
net1_ChrAur1	1.32536803863921	0	False	1.19798993941762
lum	1.32056114430278	0	False	1.19364502473203
pthlha	1.31691228663787	0	False	1.19034685045478
spon1a_ChrAur1	1.31526335880836	0	True	1.188856397318
lipib	1.30878495501248	17	False	1.18300061813465
sema3c	1.30866469252677	0	False	1.18289191380214
wnt7bb	1.3007098124702	0	False	1.17570155912388
elna	1.30010106037921	0	True	1.17515131280788
fetub	1.29965121891668	0	False	1.17474470458229
prss59.1_ChrAur7	1.29730579442667	0	False	1.17262469349044
grnb	1.29626627214864	16	True	1.17168507732755
c1ql1l2_ChrAur2	1.29618796293198	2	False	1.17161429423109
ctrb.2_ChrAur1	1.28958521728486	0	False	1.16564612340821
b3gat1a_ChrAur2	1.28950686838203	0	False	1.16557530443973
zp2.5_ChrAur2	1.28905550837745	3	True	1.16516732361571
spock2_ChrAur2	1.27822495194193	1	False	1.15537766725628
ccl36.1_ChrAur1	1.26981946134936	0	False	1.14778000919286
col27a1b_ChrAur2	1.26343228913222	0	True	1.14200669352929
col12a1b	1.25514723027309	0	True	1.1345178927801
nbl1	1.25220044210511	0	False	1.13185431370175
spon2b	1.24571530523437	0	False	1.125992448544
pcolce2b	1.24421500633965	0	False	1.12463633995409
bdnf	1.24364860147263	0	False	1.12412437096695
sema3ab	1.23850988921256	0	False	1.11947952862154
sostdc1b	1.23538075918029	0	False	1.11665113213958
reln	1.23277664898821	0	True	1.11429729703846
ognb	1.23090612746322	7	False	1.11260654707085
hmgb2a	1.23083373886111	0	True	1.11254111557218
st3gal2	1.22949902229357	0	True	1.11133467556965
il1b_ChrAur1	1.22029167612534	0	False	1.10301222644103
chga	1.21816149919073	0	False	1.10108677595298
ccn1l2	1.21533418184503	0	False	1.09853118562868
gdf9	1.21273834495149	0	True	1.09618482869825
qpct	1.21163663504387	0	False	1.09518900161701
c1qtnf13	1.21008140287461	0	False	1.09378323926428
gatd1	1.2082252979156	0	False	1.09210552031937
bmp4	1.20640714518098	0	False	1.09046210609713
tac1	1.19947479557644	0	False	1.0841960088014
cfd	1.19811615444119	0	True	1.0829679435668
kcp	1.19516379896608	1	True	1.08029933224251
fgf13a	1.19304982185043	0	False	1.07838852464577
cd9a_ChrAur2	1.18906277373689	0	True	1.07478466263254
otomp	1.18631493842153	7	False	1.07230091550193
ecrg4a	1.18481650280281	7	False	1.07094649111281
nrg2b	1.18455992808709	0	True	1.07071457520781
st3gal1l3	1.18403882730313	0	False	1.07024355623164
pcsk9	1.17663194229733	2	True	1.06354853004972
lamb2l	1.17611853338157	0	True	1.06308446369384
chid1	1.17379188236599	0	True	1.06098142180061
draxina_ChrAur2	1.17365930995202	0	False	1.06086159061897
smtla	1.17364623720928	0	False	1.06084977426772
hhipl1	1.17237313042986	0	False	1.0596990228771
timp2a	1.16963020522701	0	False	1.05721971395928
zp3b_ChrAur1	1.1606834674093	0	True	1.04913282670702
tnca	1.15970983186869	0	True	1.0482527650575
c3a.1_ChrAur1	1.15926514597939	0	True	1.04785081691475
sst1.2	1.15563335580915	0	False	1.04456806981419
col4a2	1.15519391063936	0	True	1.04417085871736
c1qtnf6b	1.15447598986723	0	False	1.04352193567317
manf	1.15148857496095	2	True	1.04082163439967
bag6	1.15141779050872	0	False	1.04075765287969
proza	1.15074733769692	0	False	1.04015163575843
mgat4a	1.15007706178899	1	False	1.03954577853921
net1_ChrAur2	1.14927686056722	0	False	1.03882248283172
c8g	1.14853223663118	0	False	1.03814942300379
creg1	1.14520736486093	0	False	1.03514409707583
pdgfaa	1.14395075726162	0	True	1.03400825916675
sfrp5	1.14238851489759	0	False	1.03259616035308
ccl20b	1.14080434838041	0	False	1.03116424446661
f8	1.14076497941809	0	True	1.03112865916547
fgf8b	1.13752177176113	0	True	1.02819714879913
paplna	1.13532730070027	0	True	1.02621358334666
prss59.1_ChrAur6	1.13431322295039	0	False	1.02529696629636
c1qtnf2	1.13370360861159	0	False	1.02474594060122
tulp3	1.13327422059161	0	False	1.02435782008447
gdf3	1.1315939527245	0	True	1.02283903892962
pamr1b	1.13097868493177	0	True	1.02228290312111
map4l	1.12959847588916	0	False	1.02103534282153
adamts18	1.12737863589186	0	False	1.01902884658324
comtb	1.12498944104253	0	True	1.01686927180147
adm2a_ChrAur1	1.12364341478874	0	False	1.01565260906084
tgfa	1.12064041490651	0	False	1.01293822064789
entpd5a	1.11689331055553	0	False	1.00955124194948
adamts10	1.11566364820538	0	False	1.00843975964312
pla1a	1.11506567510228	0	False	1.00789925637107
tgm8_ChrAur2	1.1143476427	0	False	1.00725023242525
tnfsf10l	1.11090866013273	1	False	1.0041417626287
vegfaa	1.10824048730405	0	True	1.00173002180487
col2a1a	1.10695378612065	0	True	1.00056698253742
enpp2	1.10321617870896	0	False	0.997188588049131
zp3b_ChrAur2	1.10311377138257	0	True	0.997096022857305
npc2.1	1.10236972965921	0	True	0.996423489286925
calr	1.10221997552978	0	False	0.996288127685307
ndnf	1.10149582389396	0	True	0.995633572611522
odc1	1.10142324388043	0	False	0.995567968097547
lpla	1.09987120320377	0	True	0.994165090510342
ccdc126	1.09969275861279	0	True	0.994003795821995
tnr	1.09936198003142	0	True	0.993704807615622
pnocb	1.0979682888192	0	False	0.992445060887001
hmgb2b	1.09687019289248	0	False	0.991452500455201
olfml1	1.09424470267972	0	True	0.989079340118428
hpse	1.09356658480483	0	False	0.988466394605805
luzp2	1.09204313585011	0	False	0.987089360855357
ccl19a.2	1.08954855554626	1	False	0.984834528974735
col4a1	1.08847608063364	0	True	0.983865127179807
postnb_ChrAur2	1.08844340127699	0	False	0.983835588561588
psap	1.0874091498699	0	False	0.982900736698256
fbln2_ChrAur3	1.08700509191468	0	False	0.982535511831515
meltf	1.08567987166439	0	False	0.981337655476845
c5	1.08533760462625	0	True	0.98102828294308
sparcl1	1.08340804673016	0	False	0.979284170455341
angptl3_ChrAur1	1.08074013489902	0	False	0.976872665545173
fgf22	1.07952543871787	0	False	0.975774711043448
gas6	1.07751641604977	0	False	0.97395877096169
prf1.5	1.07717117414727	0	True	0.973646709470992
ggh	1.07545128391243	0	False	0.972092113963803
st3gal8	1.07408662226231	0	True	0.970858606832281
trh	1.07291052404533	0	False	0.969795540732426
vwc2	1.07263908778651	0	False	0.969550191593334
a2ml_ChrAur1	1.0722792387647	0	True	0.969224926840247
galnt1	1.07058698528801	0	False	0.967695311985417
ccn1	1.06974957965435	0	False	0.966938387497208
twsg1a	1.06558751244403	0	True	0.963176327073401
creld2	1.06455976441365	0	True	0.962247353562076
ism1	1.06323727720955	0	False	0.961051967586761
lhb	1.06176193838848	0	False	0.959718420214751
ada2a	1.05810055448501	0	True	0.956408923567158
adamtsl4	1.05769342435244	0	False	0.956040921783025
gh1	1.05720740456858	0	False	0.955601612252051
col4a5_ChrAur2	1.05658320993682	0	False	0.955037407542652
cela1.6_ChrAur2	1.05382252317602	0	False	0.952542044089707
ppfibp2b	1.04956471713841	0	True	0.948693446078934
bmp7b	1.04845547030979	1	True	0.947690806432982
lamc2	1.0482451695527	0	False	0.947500717201991
tnfrsf1b	1.04805327665972	0	False	0.947327266697275
loxl1	1.04594262180273	0	False	0.945419462064493
wnt6b	1.04443505007836	0	False	0.94405677962
adamts1	1.04443218619554	0	False	0.944054190978426
lama2	1.04184863545508	0	True	0.941718939406928
olfml3a	1.0403922877294	0	False	0.940402557939445
qrfp	1.03927415455499	0	False	0.939391885994128
bpifcl	1.03896765680318	0	True	0.939114845042168
proca1	1.0388770997723	0	False	0.939032991240978
cyb5d2	1.03831181487239	0	True	0.938522034583466
anxa2a_ChrAur2	1.03686300430252	0	False	0.93721246589294
adma	1.03626609494978	0	False	0.936672924136628
edn2_ChrAur1	1.03540883432922	0	False	0.935898052879023
