Gene_symbol	score_df_1	n_cor	is_deg	Ssec_norm
cart2	inf	13	False	inf
cart4	inf	3	False	inf
cbln1	inf	12	False	inf
cbln18_ChrAur2	inf	3	False	inf
col10a1b	inf	15	False	inf
nxph2a	inf	12	False	inf
spink4	inf	5	False	inf
arsk	2.15964169086327	1754	True	2.06725660294446
il12ba	2.09469532941343	1293	False	2.00508851501005
loxl4_ChrAur1	2.08610360838157	1227	True	1.99686433036455
igfbp1a	1.99697752562813	852	True	1.91155088052419
dag1_ChrAur2	1.87563373543446	214	False	1.79539793137275
mgp	1.85943240612877	0	False	1.77988966204948
impg1b	1.8469612726723	37	False	1.76795201836851
qsox1	1.77091224189272	64	True	1.69515621076222
adgrl2b.1	1.71314849228386	0	True	1.63986347711342
ghra	1.69415898124558	2	True	1.62168629881266
dhh	1.62505914488513	2	True	1.55554241319365
olfm2a	1.62393072053398	0	False	1.55446226054578
si:ch211-196i2.1	1.61152206095831	14	True	1.5425844182398
spon2b	1.55455847922345	0	False	1.48805762290752
ntn4_ChrAur1	1.5272509742547	3	True	1.46191827757287
ctrb.2_ChrAur2	1.52687484196937	0	False	1.46155823546323
eda	1.52312261527929	6	False	1.45796652141473
pthlha	1.51771309969985	0	False	1.4527884139316
sema3ab	1.50578876399073	0	False	1.44137417710024
tulp3	1.4761358584501	4	False	1.4129897626695
clcf1	1.46799172352952	0	False	1.40519401730995
net1_ChrAur1	1.46678335036883	0	False	1.40403733590033
scg5	1.46108394864626	0	False	1.39858174301487
bmp5	1.4558664829413	0	False	1.39358746990242
gatd1	1.43891518125929	0	False	1.3773613104988
ccn1l2	1.43682466355014	18	False	1.37536022089394
ccbe1	1.43533123851782	0	False	1.37393068155317
rnaset2	1.40526152601841	0	True	1.34514729031932
zp3b_ChrAur1	1.4034672793751	0	True	1.34342979790547
bag6l	1.39853137028985	0	False	1.33870503699203
pamr1b	1.38869103230292	36	True	1.32928564869038
apoc1_ChrAur1	1.38429692427994	0	False	1.32507951168951
reln	1.38006168248238	0	True	1.3210254449394
cpb1	1.37827832491612	0	False	1.31931837578999
tnca	1.37495511817653	1	True	1.31613732908931
col12a1b	1.36945413521069	0	True	1.31087166700892
grnb	1.35274506651964	0	True	1.29487737836059
hyal1	1.35146624267525	0	False	1.29365326000452
olfml2bb	1.34790821213681	1	False	1.29024743479047
lum	1.34731268221386	0	False	1.28967738042882
ybx1	1.34536596974467	0	False	1.28781394436765
cd9a_ChrAur2	1.32685273191536	0	True	1.27009266527471
smtla	1.32617577440188	0	False	1.26944466662958
fgf17	1.32517168604825	1	False	1.26848353113763
qpct	1.32340020090653	0	False	1.26678782653453
ndnf	1.31771882000251	0	True	1.26134948357358
ctrb.2_ChrAur1	1.30559267882618	0	False	1.24974207410327
bmp4	1.30082993012131	0	False	1.24518306612062
hhipl1	1.29859124480411	2	False	1.24304014721723
c8g	1.29648731412379	0	False	1.24102621842088
fbln2_ChrAur1	1.29242440301265	1	False	1.23713711040023
farp1_ChrAur1	1.29066767924228	0	False	1.23545553570698
sema3d	1.28519184516199	0	False	1.23021394669385
wnt11	1.28306329186072	1	False	1.2281764485823
col27a1b_ChrAur2	1.27953310972704	0	True	1.22479728047477
pdgfrl	1.27923288056057	26	False	1.22450989450264
adm2a_ChrAur1	1.27753082601757	5	False	1.22288065039818
myoc_ChrAur2	1.27035446972761	0	False	1.21601128406382
gdf3	1.26897600254752	0	True	1.2146917849117
farp1_ChrAur2	1.25209763226424	0	False	1.19853543704961
postnb_ChrAur2	1.24133945846915	1	False	1.18823747609266
matn3a_ChrAur1	1.23787523408432	0	False	1.18492144419536
fbln2_ChrAur3	1.23422366206747	1	False	1.18142607901748
acana	1.23332175558394	0	True	1.18056275426263
pnoca	1.22368481159504	0	False	1.17133805917662
ncanb	1.21880299796595	0	False	1.16666507962553
tgfa	1.21604575616174	0	False	1.16402578702908
zp2.5_ChrAur2	1.21309931991265	0	True	1.16120539334209
ndnfl	1.21021338555984	0	False	1.15844291340305
a2ml_ChrAur2	1.2071796918064	0	False	1.15553899491063
loxl1	1.20645378092814	0	False	1.1548441370263
a2ml_ChrAur3	1.20054985537144	1	False	1.14919276942119
gas6	1.19949479892857	0	False	1.1481828461514
proca1	1.19876790748041	0	False	1.14748704964396
col2a1a	1.19822725125684	1	True	1.14696952159622
tnfrsf1b	1.19707458994747	0	False	1.145866168798
si:ch73-52e5.2	1.19632181964987	0	True	1.14514560048577
ada2a	1.19588531832208	0	True	1.14472777179878
scube1	1.19529545748443	0	False	1.14416314401047
sfrp5	1.19483165284727	0	False	1.14371917999426
lipg	1.19452536236582	0	True	1.1434259919979
col11a1a_ChrAur2	1.19260501246981	0	False	1.14158779077254
elna	1.18840082499959	0	True	1.13756344990868
adamts1	1.18677830321024	0	False	1.1360103363081
bmp7b	1.18449977663736	1	True	1.13382928047708
ccdc126	1.18332032925033	0	True	1.13270028745524
ppfibp2b	1.18308542220081	0	True	1.13247542925249
c6.2	1.1816204173791	14	False	1.1310730943634
pnocb	1.18144801186173	0	False	1.13090806400412
col4a5_ChrAur2	1.17951386079966	0	False	1.12905665199857
gldn	1.17614270021527	1	False	1.12582970282123
epd	1.17500830807336	0	False	1.12474383767258
fgf13a	1.17392676430926	0	False	1.1237085601554
f8	1.17377587193014	0	True	1.12356412264598
wnt7bb	1.17109516270587	0	False	1.12099808872105
fgf22	1.17038996339437	0	False	1.12032305640469
c7b	1.16587736881039	0	False	1.1160035014574
fbln1	1.16526003318679	0	False	1.11541257419872
fgf8b	1.16039040868292	0	True	1.11075126234681
col4a1	1.16024745627507	0	True	1.11061442515281
htra1a	1.1591269457488	0	False	1.10954184779245
creld2	1.155138759364	0	True	1.10572426792602
c3a.1_ChrAur1	1.1538191215864	0	True	1.10446108157396
comtb	1.15358511354551	0	True	1.10423708392207
c5	1.15281736923166	0	True	1.10350218215161
