"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"
"rbp4l_ChrAur1"	Inf	5	FALSE	Inf
"timp2a"	2.35562804877868	2076	FALSE	2.27230604903132
"hmgb2b"	2.34736491993241	2118	FALSE	2.26433519910404
"prg4b"	2.32720286383097	2032	FALSE	2.24488630433308
"fbln2_ChrAur3"	2.28046756960795	1384	FALSE	2.19980410562973
"igfbp6b"	2.23919208329092	1261	FALSE	2.15998859346365
"gnrh3"	2.21507226737578	566	FALSE	2.13672193061596
"ca6"	2.19070017585483	689	FALSE	2.11321191551858
"bmp1a_ChrAur1"	2.16610175487156	967	FALSE	2.08948357656207
"sparcl1"	2.13644466148892	1	FALSE	2.06087549782697
"reln"	2.13341562129064	920	FALSE	2.05795359919833
"sxph"	2.1089382104885	691	FALSE	2.03434199011634
"col22a1"	2.03588421678329	1276	FALSE	1.96387202271707
"vegfaa"	2.02888182054729	1260	FALSE	1.95711731144887
"calr"	2.01577151692542	1123	FALSE	1.94447073838736
"gatd1"	2.01174470592923	48	FALSE	1.94058636156918
"lamb2"	1.99671129436083	235	FALSE	1.92608470369404
"nsun2"	1.97221429784881	941	FALSE	1.9024542016773
"dkk3b"	1.96367618956234	585	FALSE	1.89421809873368
"matn3a_ChrAur2"	1.96143971243553	235	FALSE	1.89206072906472
"scg5"	1.95730300986414	500	FALSE	1.88807034769663
"arsk"	1.95652554026548	994	FALSE	1.8873203783316
"loxa"	1.95652468401954	853	FALSE	1.88731955237233
"angptl2a"	1.93892130252511	943	FALSE	1.87033882815573
"bdnf"	1.93459474290896	945	FALSE	1.86616530526345
"smpd1"	1.91740758878556	10	FALSE	1.8495860858487
"fgfbp3"	1.91255116603732	0	FALSE	1.84490144185612
"asah1b"	1.90097153338149	439	FALSE	1.83373139769611
"adamts10"	1.88992605892885	0	FALSE	1.82307661778459
"fam3a"	1.88923310070371	415	FALSE	1.82240817050254
"lipg"	1.87740043733552	647	FALSE	1.81099404569552
"si:ch211-136a13.1"	1.8431780974702	0	FALSE	1.77798219990421
"ntn4_ChrAur2"	1.79614945417902	406	FALSE	1.73261702831708
"nrg2b"	1.79444465044035	624	FALSE	1.73097252597309
"ccn4a"	1.77897527442446	534	FALSE	1.71605032434883
"luzp2"	1.77687420538092	0	FALSE	1.71402357318175
"manba"	1.76159603082894	0	FALSE	1.69928580994675
"anxa2a_ChrAur2"	1.75741615957738	0	FALSE	1.69525378683766
"hhipl1"	1.75498094533312	0	FALSE	1.69290470967296
"enpp2"	1.74485806277403	0	FALSE	1.68313988823411
"fgf2"	1.73926176911247	0	FALSE	1.67774154364151
"st3gal1l3"	1.73901446998252	2	FALSE	1.67750299184247
"angptl1a_ChrAur1"	1.72696880101397	290	FALSE	1.66588339575383
"loxl2b"	1.7247276857559	397	FALSE	1.66372155201109
"sost"	1.72262348875888	67	FALSE	1.6616917835308
"col5a1_ChrAur1"	1.72235348296795	0	FALSE	1.6614313282385
"col4a1"	1.71864341674465	0	FALSE	1.65785249246862
"cpe"	1.71130535018423	0	FALSE	1.65077398402494
"qpct"	1.70515635225878	0	FALSE	1.64484248512437
"cbln1"	1.69614659830998	0	FALSE	1.63615141931339
"fbln1"	1.6920461782483	0	FALSE	1.63219603708971
"igfbp7"	1.68944470777406	0	FALSE	1.62968658442037
"col5a2b"	1.67522754189366	0	FALSE	1.61597230043276
"angptl3_ChrAur1"	1.66070722010047	423	FALSE	1.60196558359916
"dag1_ChrAur2"	1.65288988461239	0	FALSE	1.5944247586688
"mgat4a"	1.6498111087405	9	FALSE	1.59145488358987
"hmgb2a"	1.64168387002594	0	FALSE	1.58361511716215
"edn2_ChrAur2"	1.64147322404641	373	FALSE	1.58341192203814
"nid2a"	1.61469400064953	50	FALSE	1.55757991883006
"a2ml_ChrAur1"	1.61306559946526	0	FALSE	1.55600911657068
"paplnb"	1.60315027735517	0	FALSE	1.54644451386503
"clcf1"	1.59968760484711	1	FALSE	1.54310432113386
"loxl1"	1.59050354886262	0	FALSE	1.5342451186044
"odc1"	1.58636274389774	0	FALSE	1.53025077995046
"tg_ChrAur1"	1.5853997729716	0	TRUE	1.52932187071046
"naxe"	1.58271479559483	0	FALSE	1.52673186489952
"fgf11a"	1.58053996916616	1	FALSE	1.5246339652536
"bmp1a_ChrAur2"	1.57975699990701	0	FALSE	1.5238786907591
"apoeb_ChrAur1"	1.57721146995889	1	TRUE	1.52142319991788
"ybx1"	1.56780091289059	1	FALSE	1.51234550797829
"wnt7bb"	1.56617140366022	1	FALSE	1.51077363686603
"pgrmc1"	1.56388210272372	0	FALSE	1.50856531184257
"ltbp4"	1.56050262738753	2	FALSE	1.50530537347796
"pla2g12a"	1.54628133600262	1	FALSE	1.49158710991096
"angptl2b"	1.52939206243185	229	FALSE	1.47529523457924
"lipib"	1.5268999396104	2	FALSE	1.47289126177672
"pamr1b"	1.51546046547345	0	FALSE	1.46185641852436
