"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"
"cela1.6_ChrAur2"	Inf	10	FALSE	Inf
"ctrb.2_ChrAur1"	Inf	9	FALSE	Inf
"ctrb.2_ChrAur2"	Inf	16	FALSE	Inf
"gdf3"	Inf	9	FALSE	Inf
"igf3"	Inf	16	FALSE	Inf
"prss59.1_ChrAur5"	Inf	10	FALSE	Inf
"prss59.1_ChrAur7"	Inf	10	FALSE	Inf
"sostdc1b"	Inf	10	FALSE	Inf
"dkk3b"	1.9313665336599	1038	FALSE	1.74574730127643
"col5a2a"	1.89033300639779	0	FALSE	1.70865741272796
"scg5"	1.84193303568482	614	FALSE	1.66490905280691
"gal"	1.83066331329006	17	TRUE	1.65472243772691
"elna"	1.82442139354734	5	FALSE	1.64908041465375
"ca6"	1.81593971077717	218	FALSE	1.64141388706914
"dkk3a"	1.78966718410865	0	FALSE	1.61766635301491
"hapln4"	1.78522164433528	0	FALSE	1.61364806392953
"b3gat1a_ChrAur2"	1.77917404854637	0	FALSE	1.6081816887782
"prg4b"	1.77765589982043	566	FALSE	1.60680944586364
"tub"	1.7656923300888	0	FALSE	1.59599566753175
"hapln2"	1.75653700771445	0	FALSE	1.58772024230884
"proza"	1.73918616707649	1	FALSE	1.57203695138984
"draxina_ChrAur2"	1.72854239123601	6	TRUE	1.56241612456848
"ognb"	1.69697878756393	0	TRUE	1.53388602685333
"tnr"	1.69226468589903	4	FALSE	1.52962498674726
"acana"	1.66590817858033	0	FALSE	1.5058015432316
"vegfaa"	1.66567993485131	230	FALSE	1.50559523548678
"ndnfl"	1.65295428279422	2	TRUE	1.49409261682354
"fbln1"	1.65035808121061	1	FALSE	1.49174593025257
"ndnf"	1.60381965142453	0	TRUE	1.44968020280583
"angptl2a"	1.60025075334962	254	FALSE	1.44645430338476
"ucmaa"	1.5888340428444	0	FALSE	1.43613482688634
"timp2a"	1.58381411292815	0	FALSE	1.43159735098461
"npc2.1"	1.57214413989821	0	FALSE	1.42104895244506
"adamts15a_ChrAur1"	1.5583201721717	0	FALSE	1.40855357472628
"mgp"	1.54834048901003	0	FALSE	1.39953301615107
"pomca_ChrAur2"	1.54489242191375	0	TRUE	1.39641633491888
"cbln12_ChrAur2"	1.54300241862007	0	TRUE	1.39470797553093
"mgat4a"	1.53599205163515	0	FALSE	1.3883713589273
"tgfb1a"	1.53401531218019	0	FALSE	1.3865845993927
"tg_ChrAur1"	1.52305297710418	0	TRUE	1.37667582933735
"nicol1"	1.51520719197511	0	FALSE	1.36958408472194
"adamts18"	1.49755253740972	0	FALSE	1.35362617873913
"c1ql4l_ChrAur1"	1.47902778864135	0	FALSE	1.33688180132262
"col8a2_ChrAur1"	1.477898154936	0	FALSE	1.33586073413617
"vip"	1.47288421580261	95	FALSE	1.33132867325682
"lamb2"	1.4712751352971	0	FALSE	1.32987423780861
"fgf14_ChrAur2"	1.4659978186925	0	FALSE	1.32510411206609
"cart2"	1.45756510545657	0	FALSE	1.31748184766547
"cpe"	1.45335586736717	0	FALSE	1.31367714984818
"nsun2"	1.44879183018641	1	FALSE	1.30955175187096
"adcyap1b"	1.44716875775646	0	TRUE	1.30808466923026
"sxph"	1.44018951237418	1	FALSE	1.30177618320302
"tac3a"	1.43036494678436	0	FALSE	1.29289583420363
"olfm2a"	1.42477009767201	0	FALSE	1.28783869327843
"prss12"	1.42413535300465	0	FALSE	1.28726495247329
"sst1.1"	1.41056847633336	1	TRUE	1.27500195737481
"crp1"	1.39348344094608	0	FALSE	1.25955892577011
"nucb1"	1.38900498605108	1	FALSE	1.25551088496037
"itih5"	1.38862646050638	0	FALSE	1.25516873864241
"hmgb2b"	1.3838116454251	10	FALSE	1.25081666445669
"ache"	1.37475564711221	0	FALSE	1.24263101748624
"tgfa"	1.37398866167813	0	FALSE	1.24193774527285
"igfbp6b"	1.36929320684006	5	FALSE	1.23769355988961
"olfm3b"	1.36928330783984	0	FALSE	1.23768461225972
"pcsk2"	1.3689140018258	0	FALSE	1.23735079940436
"asah1b"	1.36209007247332	0	FALSE	1.23118270233756
"tnfsf10_ChrAur1"	1.35373054634646	0	FALSE	1.22362659119988
"emid1"	1.35328780932916	0	FALSE	1.2232264046275
"eda"	1.33568673010206	0	FALSE	1.20731692497941
"bag6"	1.33114413629587	0	FALSE	1.20321090950293
"st3gal2"	1.33090353631564	1	FALSE	1.20299343303803
"st3gal1l3"	1.32990616252645	0	FALSE	1.20209191456885
"fga"	1.31885842183161	0	FALSE	1.1921059470339
"paplnb"	1.31502770178944	0	FALSE	1.18864338875767
"wnt9b"	1.31148223021995	2	FALSE	1.18543866437402
"npy"	1.31007560758341	1	FALSE	1.18416722903077
"tfpia"	1.30794744780582	0	FALSE	1.18224360183538
"spock1"	1.30521454784127	0	FALSE	1.17977335465308
"dag1_ChrAur2"	1.30185759834179	0	FALSE	1.17673903391328
"tnfsf10l"	1.29904668463344	0	FALSE	1.17419827071015
"bmp1a_ChrAur1"	1.29605401980562	0	FALSE	1.1714932240731
"bdnf"	1.29396932266848	0	FALSE	1.16960888242292
"tnfsf10_ChrAur2"	1.2901241255748	0	FALSE	1.16613323845158
"ccn4a"	1.2850506658401	2	FALSE	1.16154737736016
"arsk"	1.28249895149642	0	FALSE	1.15924090246196
"lgi1b_ChrAur2"	1.28053201089957	0	FALSE	1.15746300003956
"penka"	1.27826200115657	0	TRUE	1.1554111557554
"nmbb"	1.2694244568505	2	FALSE	1.14742296767543
"lipg"	1.26382738197832	0	FALSE	1.1423638149031
"zp3b_ChrAur2"	1.25956870784292	0	FALSE	1.13851443222544
"ltbp4"	1.25576103574797	0	FALSE	1.13507270681079
"fgfbp3"	1.25401631684079	0	FALSE	1.13349566885833
"loxa"	1.2499899873038	1	FALSE	1.12985630066966
"pnocb"	1.24944872021408	0	TRUE	1.12936705352539
"nxph1_ChrAur1"	1.24197566806414	0	TRUE	1.12261221937263
"col11a1a_ChrAur1"	1.24065557382903	0	FALSE	1.12141899638351
"pyyb"	1.23808007263017	0	FALSE	1.11909102073053
"endouc"	1.23428750655371	0	FALSE	1.11566294952939
"pdyn"	1.23395344185562	1	TRUE	1.11536099102748
"col22a1"	1.23312708870152	2	FALSE	1.11461405679023
"col5a1_ChrAur1"	1.23163838570245	0	FALSE	1.11326842964088
"scg2b"	1.22857314524494	0	FALSE	1.11049778245237
"comtb"	1.22247502710296	0	FALSE	1.1049857405361
"edn2_ChrAur2"	1.21767452615808	0	FALSE	1.10064660478778
"ntn4_ChrAur1"	1.21723131529218	0	FALSE	1.10024598990731
"bmp1a_ChrAur2"	1.21543367500849	0	FALSE	1.09862111673113
"matn3a_ChrAur1"	1.21426323624401	11	FALSE	1.0975631661667
"col11a1a_ChrAur2"	1.21359879629725	0	FALSE	1.09696258402773
"pi15a"	1.20341577501683	0	TRUE	1.08775822969658
"loxl2b"	1.20316447622423	0	FALSE	1.08753108265776
"a2ml_ChrAur1"	1.20053855168063	0	FALSE	1.08515752973269
"wnt8a"	1.19965372750682	0	FALSE	1.08435774399207
"angptl6"	1.18958216268935	0	FALSE	1.07525413429743
"bmp4"	1.1890147148248	0	FALSE	1.07474122255288
"lamb1b"	1.18819760480575	0	FALSE	1.07400264311405
"sema3aa"	1.1855375953747	0	FALSE	1.07159828112232
"anxa2a_ChrAur2"	1.18382540049223	1	FALSE	1.07005064138474
"lgi3"	1.18346099722985	0	FALSE	1.06972126008876
"nrg2a"	1.18229470566156	0	FALSE	1.06866705814295
"mmp13a_ChrAur1"	1.1781073981421	0	FALSE	1.06488218319855
"zp3b_ChrAur1"	1.17060000439652	0	FALSE	1.05809630794258
"dcn"	1.16912801456077	0	FALSE	1.05676578769255
"reln"	1.16439376566953	0	FALSE	1.05248653666411
"calr"	1.1637520613794	0	FALSE	1.05190650510967
"clcf1"	1.16351689087871	0	FALSE	1.05169393630941
"lipib"	1.1631096859469	0	FALSE	1.05132586691482
"crhb"	1.16210471700926	0	FALSE	1.05041748324959
"farp1_ChrAur2"	1.16021980565922	0	FALSE	1.0487137264302
"sparcl1"	1.15906727843402	0	FALSE	1.04767196596786
"cxcl12a"	1.15659445253325	0	FALSE	1.04543679772426
"fgf13a"	1.15298992062524	0	FALSE	1.04217868915651
"nrg2b"	1.15209931697071	0	FALSE	1.04137367938788
"odc1"	1.15140183787973	0	FALSE	1.04074323342149
"emilin1a_ChrAur1"	1.14070933588563	0	FALSE	1.031078363406
"hapln1a"	1.13853914017749	0	FALSE	1.02911674025747
"fbln7"	1.13767839343863	0	FALSE	1.02833871792444
"col14a1a"	1.13521176567071	0	FALSE	1.02610915212527
"c6.2"	1.13257826599242	0	FALSE	1.02372875209444
"adamts17"	1.13074826010392	0	FALSE	1.0220746238979
"acp7"	1.13020338419413	0	FALSE	1.02158211476902
"smpd1"	1.1271164540861	0	FALSE	1.01879186247283
"c1ql2_ChrAur2"	1.12560586978523	0	FALSE	1.0174264569837
"gpx3"	1.12460335070579	0	FALSE	1.01652028772638
"manba"	1.12438278659324	0	FALSE	1.01632092152761
"il1fma"	1.1241782098688	0	FALSE	1.01613600620555
"col27a1b_ChrAur2"	1.12178110822033	0	FALSE	1.01396928452907
"ppfibp2b"	1.11936689322503	0	FALSE	1.0117870942305
"hbegfa"	1.11572298185206	0	FALSE	1.00849339086835
"col5a3a"	1.10979686688495	0	FALSE	1.00313682129412
"tgfb3_ChrAur2"	1.10740991755555	0	FALSE	1.00097927622048
"ism1"	1.10701040725326	0	FALSE	1.00061816194212
"epoa"	1.10655064172057	0	FALSE	1.00020258342612
"ybx1"	1.10594591805913	1	FALSE	0.999655978376496
"fam3a"	1.10012318696875	0	FALSE	0.994392856690408
"col4a1"	1.09861494093388	0	FALSE	0.993029564741859
"gfod2"	1.09853102777507	0	FALSE	0.992953716285349
"edn2_ChrAur1"	1.09516325894567	0	FALSE	0.989909616036751
"igf2b"	1.09119752442585	0	FALSE	0.986325019216366
"olfml3b_ChrAur1"	1.0907745154028	0	FALSE	0.985942664625699
"olfml3b_ChrAur2"	1.08853283051407	0	FALSE	0.983916422958667
"gdf9"	1.08765443774115	1	FALSE	0.983122450511666
"il1b_ChrAur1"	1.08628782190763	1	FALSE	0.981887177008854
"ambp"	1.08565936591549	0	FALSE	0.981319120488702
"sema3ab"	1.08529598493668	0	FALSE	0.980990663226946
"tgm8_ChrAur1"	1.08516753773022	0	FALSE	0.980874560788529
"c1qtnf6b"	1.08450752794341	0	FALSE	0.980277983036943
"nampt2"	1.08424798660668	0	FALSE	0.98004338562611
"luzp2"	1.08088389593986	0	FALSE	0.977002610040276
"s100b"	1.07960679765983	0	TRUE	0.975848250763064
"fam3c"	1.0781872154105	0	FALSE	0.974565101325856
"ifi30b"	1.07762315871195	0	FALSE	0.974055254830072
"pcolce2b"	1.07534651890127	0	FALSE	0.971997417678912
"ecrg4a"	1.074642038518	0	FALSE	0.97136064329846
"bmp3"	1.07413168920717	0	FALSE	0.970899342495862
"hmcn1"	1.0734430254835	0	FALSE	0.970276864671932
"bpifcl"	1.07274725513823	0	TRUE	0.969647963227594
"angptl3_ChrAur1"	1.0719195589737	0	FALSE	0.968899815053583
"col5a3b"	1.07126449445579	0	TRUE	0.968307707292382
"pm20d1.2"	1.0707587903688	0	FALSE	0.967850605271755
"fndc4a"	1.07070870246513	0	FALSE	0.967805331202264
"igfbp1a"	1.0702574523423	0	FALSE	0.967397449699503
"hmcn2"	1.06851299821363	0	FALSE	0.965820651078293
"sst1.2"	1.06802266385782	0	TRUE	0.965377441639038
"smpdl3a"	1.06680588901304	0	FALSE	0.964277608249303
"sst7"	1.0635353839435	0	TRUE	0.96132142396245
"them6"	1.05850272626514	0	FALSE	0.956772443534795
"optc"	1.05813648299522	0	FALSE	0.9564413990702
"bmp5"	1.05720182645475	0	FALSE	0.955596570238018
"sfrp5"	1.05674542109335	0	FALSE	0.955184028954908
"sost"	1.05621064580843	0	FALSE	0.954700649702877
"angptl1a_ChrAur1"	1.05424944885257	0	FALSE	0.952927938913239
"dao.2"	1.05161831797062	0	FALSE	0.950549680019126
"ada2a"	1.050554657393	0	FALSE	0.949588245433566
"tnfrsf1b"	1.04968309989194	0	FALSE	0.948800451336037
"gpc1b"	1.04918549548268	0	FALSE	0.948350670551587
"hhipl1"	1.04859141951304	0	FALSE	0.947813689868388
"spon1a_ChrAur1"	1.04660174421725	0	FALSE	0.946015237727116
"adgrb2"	1.04622535499237	0	FALSE	0.94567502241215
"cbln2b"	1.04621503882208	0	TRUE	0.945665697705457
"ghra"	1.04607411413931	0	FALSE	0.94553831697252
"mmrn2a_ChrAur1"	1.04604454102497	1	FALSE	0.945511586062747
"zp2.5_ChrAur2"	1.04583693853263	12	FALSE	0.945323935772435
"c1qtnf5"	1.04539209639288	0	FALSE	0.944921846396116
"cxcl8a"	1.04507648185014	0	FALSE	0.944636564847207
"gldn"	1.0439602193677	0	FALSE	0.943627583805922
"cd74a"	1.04194721728183	0	TRUE	0.94180804675916
"col1a1a"	1.04139341550945	0	TRUE	0.941307469611982
"a2ml_ChrAur3"	1.04097771970949	0	FALSE	0.940931725387214
"nxpe3_ChrAur1"	1.04092716821259	0	FALSE	0.940886032279381
"ntn4_ChrAur2"	1.03891547030826	0	FALSE	0.939067674072245
"ccka"	1.03816345912248	0	FALSE	0.938387936966302
"lamc1"	1.03793548223412	0	FALSE	0.9381818704167
"cd74b"	1.03680419544745	0	TRUE	0.937159309022796
"npnta"	1.03656665767719	0	TRUE	0.936944600465846
"angptl2b"	1.03640845978561	0	FALSE	0.9368016066128
"dipk2ab"	1.0355047827634	0	FALSE	0.935984779928038
"b3gat1a_ChrAur1"	1.03539497605679	0	FALSE	0.935885526493547
"angptl7"	1.03535752519921	1	FALSE	0.935851674952469
"ecm1a"	1.03490405784341	0	FALSE	0.935441789309942
"bmper"	1.03445558208315	0	FALSE	0.935036415532093
"itih3a.1"	1.03117829293624	0	TRUE	0.932074099170072
"loxl1"	1.03001607064932	0	FALSE	0.931023575416287
"si:ch211-196i2.1"	1.02709611871202	0	FALSE	0.928384253399695
"col1a2"	1.02635547519962	0	TRUE	0.927714791445971
"dhh"	1.026197789857	0	FALSE	0.927572260881973
"fgf11a"	1.02581027641638	0	FALSE	0.927221990474269
"pgrmc1"	1.02570270412525	0	FALSE	0.927124756710683
"fgf9"	1.02481009509724	0	FALSE	0.926317934300444
"cd9a_ChrAur2"	1.02157519430838	0	FALSE	0.923393932448062
"apoeb_ChrAur1"	1.02077195563969	0	TRUE	0.922667891215749
"olfml2bb"	1.02064140092308	0	FALSE	0.922549883815176
"pamr1b"	1.02025634985918	0	FALSE	0.922201839130782
"si:ch211-136a13.1"	1.01935994845588	0	FALSE	0.921391588821792
"nid2a"	1.01850242359215	0	FALSE	0.920616478716825
"tulp3"	1.01767549445392	0	FALSE	0.919869023851965
"cyb5d2"	1.01501111696849	0	FALSE	0.917460713609602
"col8a2_ChrAur2"	1.014961079194	0	FALSE	0.917415484851489
"bmp7b"	1.01425113794425	0	FALSE	0.91677377443598
"angptl4"	1.0135514364752	0	TRUE	0.916141319679203
"pdgfaa"	1.0133337139427	0	FALSE	0.915944521962708
"adm2a_ChrAur1"	1.01319216220597	0	FALSE	0.915816574440536
"bag6l"	1.01278562003944	0	FALSE	0.915449104114367
"wnt5a"	1.01269379484895	0	FALSE	0.915366104033495
"c1qtnf12"	1.01122385931054	0	FALSE	0.914037440646973
"lgi2a"	1.01063056194034	0	FALSE	0.913501163733797
"angpt2a"	1.01007770775207	0	FALSE	0.913001443100582
"lama1"	1.00935753371145	0	FALSE	0.912350483344393
"gh1"	1.00667871007911	0	FALSE	0.90992911534135
"proca1"	1.00656829786471	0	TRUE	0.909829314593042
"tgm2a"	1.00638287482486	0	FALSE	0.909661712138629
"dkk2"	1.0049801378311	0	FALSE	0.9083937889979
"lgi1b_ChrAur1"	1.00479601412826	0	FALSE	0.90822736100418
"calub"	1.00455533809665	0	FALSE	0.908009815797021
"apodb"	1.00362867160245	0	FALSE	0.907172209105987
"spock2_ChrAur2"	1.00343032146865	0	FALSE	0.906992921951138
"ccl36.1_ChrAur1"	1.00167330426222	0	FALSE	0.905404767660917
"qpct"	1.00132797508415	0	FALSE	0.905092627282506
"mfap5"	1.00024954465891	0	FALSE	0.904117842345693
"cfbl_ChrAur1"	0.999743336082612	0	FALSE	0.903660284321074
"manf"	0.996660909961075	0	FALSE	0.900874103143512
"fgl1"	0.995837489046324	0	FALSE	0.900129819334774
"twsg1a"	0.995279584825359	0	FALSE	0.899625534015988
"apoa1a"	0.993803182322941	0	FALSE	0.898291025190617
"galnt1"	0.992935722513518	0	FALSE	0.897506934964928
"c1ql1l2_ChrAur2"	0.992115246604159	0	FALSE	0.896765313123831
"ntn1a"	0.991686890083993	0	FALSE	0.896378124971799
"fstl3"	0.991335569791726	0	FALSE	0.896060569271512
"lamb2l"	0.990800306299143	0	FALSE	0.895576748732342
"rbp4"	0.988545373886293	0	FALSE	0.893538532730518
"c1qtnf6a"	0.988485714260267	0	FALSE	0.893484606855074
"srpx2"	0.987727680613418	0	FALSE	0.89279942609306
"rnaset2"	0.98721980758822	0	FALSE	0.892340363585929
"loxl3b"	0.986843147221973	0	FALSE	0.891999903188374
"c7a"	0.986051901052228	0	FALSE	0.891284701883286
"tac1"	0.984923435760294	0	FALSE	0.890264690816694
"sparc"	0.98428464063253	0	FALSE	0.88968728883166
"wnt6b"	0.98012765216088	0	FALSE	0.885929819040534
"chrdl2"	0.978571233799264	0	FALSE	0.884522984497689
"wnt7bb"	0.978037404538914	0	FALSE	0.884040460349964
"col4a2"	0.974018326897349	0	FALSE	0.880407647093597
"igfbp7"	0.973472469595353	0	FALSE	0.879914250891875
"sfrp1a"	0.973316694007832	0	TRUE	0.879773446540769
"c1qtnf2"	0.973022098997369	0	FALSE	0.879507164384833
"hmgb2a"	0.972154872668885	0	FALSE	0.878723285200762
"tinagl1"	0.971169312995823	0	FALSE	0.87783244541996
"olfml3a"	0.969718190529465	0	FALSE	0.876520787024044
"hspg2"	0.967366260601656	1	FALSE	0.874394895717186
"fetub"	0.965874583904818	0	TRUE	0.873046580665383
"col1a1b"	0.960387763129446	0	FALSE	0.868087085720091
"nxph4"	0.960342835033575	0	FALSE	0.868046475561039
"naxe"	0.959968598298235	0	FALSE	0.867708205864753
"pdgfrl"	0.959654366766613	0	FALSE	0.867424174408919
"nampt1"	0.953893966442539	0	FALSE	0.862217393021355
"c1ql1l2_ChrAur1"	0.953229927823012	0	FALSE	0.861617173638975
"fgf2"	0.948922001728822	0	FALSE	0.857723272495944
"pltp"	0.944672316751403	0	FALSE	0.85388201504879
"lum"	0.944334669214598	0	FALSE	0.853576818046623
"spon2b"	0.943762335008134	0	FALSE	0.853059489575331
"col9a3"	0.943355050838201	0	FALSE	0.852691348558014
"qrfp"	0.943315283233371	0	FALSE	0.85265540292698
"pxdn"	0.943191562745167	0	FALSE	0.852543572932709
"loxl4_ChrAur2"	0.943093183788551	0	FALSE	0.852454648953225
"pla2g12a"	0.942376505941084	0	FALSE	0.85180684937904
"postnb_ChrAur2"	0.942289333272582	0	FALSE	0.85172805467688
"plat"	0.941795172156639	0	FALSE	0.85128138625868
"ntn2"	0.940420180676794	0	FALSE	0.850038542073807
"fgf8b"	0.940326888141837	0	FALSE	0.849954215671598
"scg3"	0.940325250552985	0	FALSE	0.849952735467676
"impg1b"	0.937628262788624	0	FALSE	0.84751494904591
"tgm8_ChrAur2"	0.934648147311588	1	FALSE	0.844821245670161
"adamtsl3"	0.931193053508233	0	FALSE	0.84169821305168
"tgm2b"	0.930982426266541	0	FALSE	0.841507828713776
"mgat5_ChrAur1"	0.930936851711344	0	FALSE	0.841466634225131
"adamtsl2"	0.930564740091192	0	FALSE	0.841130285404059
"c1qb_ChrAur2"	0.929566840366071	0	TRUE	0.840228291545455
"scube2"	0.927446167934043	0	TRUE	0.838311432103923
"efemp1"	0.927067591030259	0	FALSE	0.837969239362883
"enpp2"	0.926765389343835	0	FALSE	0.837696081591263
"olfm3a"	0.926543614480069	0	FALSE	0.837495621003817
"metrn"	0.925656880515479	0	FALSE	0.836694109018053
"adamtsl5"	0.924978168966636	0	FALSE	0.836080626888126
"spink4"	0.923089021988023	2	TRUE	0.834373041516758
"c8g"	0.922368573344343	0	TRUE	0.833721833548983
"kazald3"	0.919311369991494	0	FALSE	0.83095845103734
"mdkb"	0.919285620021309	0	FALSE	0.830935175838057
"tgfbr3"	0.918041763365183	0	FALSE	0.829810863408095
"epd"	0.917771805464084	0	FALSE	0.829566850545136
"ggh"	0.915848888173927	0	FALSE	0.827828740449841
"eys"	0.91449155710602	0	FALSE	0.826601859374996
"cilp"	0.914451926320929	0	FALSE	0.826566037414267
"col4a6"	0.91340115428235	0	FALSE	0.825616252679658
"entpd5a"	0.913056768150129	0	FALSE	0.82530496471311
"zgc:113531"	0.912886063852114	0	FALSE	0.825150666415825
"frzb"	0.9127543363456	0	FALSE	0.825031598939511
"fgf14_ChrAur1"	0.911351722477358	0	FALSE	0.823763787090987
