"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"	"X"
"hmgb2b"	2.70511318	3450	FALSE	2.5864076598766	1.167519227
"angptl2a"	2.678580828	3136	FALSE	2.56103959803183	NA
"vegfaa"	2.674347793	3272	FALSE	2.55699231667241	NA
"bdnf"	2.596913658	3248	FALSE	2.48295613904382	NA
"loxa"	2.57423982	3163	FALSE	2.46127727225349	NA
"col22a1"	2.458334987	2691	FALSE	2.35045856414756	NA
"ccn4a"	2.457305206	2763	FALSE	2.34947397189978	NA
"edn2_ChrAur2"	2.429779359	2331	FALSE	2.32315601150842	NA
"arsk"	2.402513383	2563	FALSE	2.29708651848247	NA
"lipg"	2.401279148	2488	FALSE	2.29590644406574	NA
"nsun2"	2.37416625	2533	FALSE	2.2699833116855	NA
"calr"	2.354337723	2333	FALSE	2.2510248982276	NA
"angptl1a_ChrAur1"	2.313224007	2246	FALSE	2.21171533041558	NA
"prg4b"	2.293446857	2065	FALSE	2.19280603943703	NA
"loxl2b"	2.273381682	2073	FALSE	2.17362136254423	NA
"asah1b"	2.271677806	2015	FALSE	2.17199225586933	NA
"angptl3_ChrAur1"	2.249619175	2066	FALSE	2.15090159962375	NA
"timp2a"	2.241104706	2007	FALSE	2.14276076174524	NA
"nrg2b"	2.187468127	1615	FALSE	2.09147785802024	NA
"scg5"	2.176164215	1607	FALSE	2.08066998321503	NA
"ntn4_ChrAur2"	2.175324618	1662	FALSE	2.07986722933099	NA
"dkk3b"	2.154152444	1638	FALSE	2.05962413066336	NA
"lamb2"	2.080251598	999	FALSE	1.98896619458182	NA
"mgat4a"	2.057447002	1107	FALSE	1.96716230770165	NA
"vwa1"	2.035221436	1017	FALSE	1.94591204188191	NA
"matn3a_ChrAur2"	2.013345153	816	FALSE	1.92499573185867	NA
"tinagl1"	2.013304418	761	FALSE	1.92495678438808	NA
"igfbp1a"	1.98989679	1067	FALSE	1.90257632770096	NA
"sxph"	1.986081102	561	FALSE	1.89892807936005	NA
"loxl3b"	1.976112224	718	FALSE	1.88939665471941	NA
"c6.2"	1.971479452	727	FALSE	1.88496717758113	NA
"ltbp4"	1.961519934	555	FALSE	1.87544470220586	NA
"dag1_ChrAur2"	1.960675795	62	FALSE	1.87463760563343	NA
"cpe"	1.950773317	307	FALSE	1.86516966723429	NA
"hmgb2a"	1.941742589	398	FALSE	1.85653522478428	NA
"angptl2b"	1.924548559	556	FALSE	1.84009570157877	NA
"sost"	1.921225097	307	FALSE	1.83691807942319	NA
"reln"	1.919186608	446	FALSE	1.83496904320424	NA
"pamr1b"	1.913734665	481	FALSE	1.82975634185013	NA
"anxa2a_ChrAur2"	1.900278955	224	FALSE	1.81689109404077	NA
"col4a1"	1.885411521	115	FALSE	1.80267607137014	NA
"fam3a"	1.883930526	529	FALSE	1.80126006525234	NA
"paplnb"	1.874896991	305	FALSE	1.79262293897884	NA
"ca6"	1.871599284	62	FALSE	1.78946994164479	NA
"a2ml_ChrAur1"	1.858417528	596	FALSE	1.77686662621197	NA
"il1fma"	1.856054147	804	FALSE	1.77460695487297	NA
"igfbp6b"	1.837494858	0	FALSE	1.75686208283347	NA
"nid2a"	1.815433125	0	FALSE	1.73576846070955	NA
"col5a1_ChrAur1"	1.812389596	9	FALSE	1.7328584875606	NA
"si:ch211-136a13.1"	1.776846645	0	FALSE	1.69887522896696	NA
"pla2g12a"	1.76990567	0	FALSE	1.69223883717391	NA
"scg2b"	1.763569548	21	FALSE	1.68618075627886	NA
"apoeb_ChrAur1"	1.755095211	0	TRUE	1.67807828933174	NA
"wnt7bb"	1.751144971	227	FALSE	1.67430139338894	NA
"fbln7"	1.75059868	35	FALSE	1.67377907467881	NA
"tg_ChrAur1"	1.744327194	0	TRUE	1.66778279343294	NA
"eda"	1.738087353	0	FALSE	1.66181676854417	NA
"bmp1a_ChrAur1"	1.735995592	8	FALSE	1.65981679800208	NA
"fgf11a"	1.732382907	0	FALSE	1.65636264450277	NA
"naxe"	1.729232154	4	FALSE	1.65335015254723	NA
"rnaset2"	1.722940169	0	FALSE	1.64733427183652	NA
"st3gal2"	1.713833692	0	FALSE	1.63862740439696	NA
"enpp2"	1.709085718	6	FALSE	1.63408778054192	NA
"adamts15a_ChrAur1"	1.690295418	2	FALSE	1.61612203470522	NA
"cxcl12a"	1.687227261	45	FALSE	1.61318851427984	NA
"clcf1"	1.685244651	34	FALSE	1.61129290498391	NA
"ybx1"	1.682561277	0	FALSE	1.6087272825474	NA
"fbln1"	1.661889003	0	FALSE	1.58896214731536	NA
"igfbp2a"	1.659489667	42	FALSE	1.58666809875026	NA
"a2ml_ChrAur2"	1.650721314	0	FALSE	1.57828451778538	NA
"pm20d1.2"	1.647360445	0	FALSE	1.57507113012023	NA
"frzb"	1.647025883	0	FALSE	1.5747512493382	NA
"col1a2"	1.643228306	1	TRUE	1.5711203172521	NA
"tac3a"	1.640932126	1	FALSE	1.56892489800519	NA
"pdgfrl"	1.636508422	0	FALSE	1.56469531456476	NA
"sparcl1"	1.634556704	1	FALSE	1.56282924166901	NA
"c1ql1l2_ChrAur2"	1.631794272	0	FALSE	1.56018803044816	NA
"f5"	1.62516575	0	FALSE	1.55385038062219	NA
"acp7"	1.623822892	0	FALSE	1.55256644978964	NA
"st3gal1l3"	1.622035269	0	FALSE	1.55085727109267	NA
"col27a1b_ChrAur2"	1.613448796	0	FALSE	1.54264758888686	NA
"loxl4_ChrAur2"	1.611771536	1	FALSE	1.54104393025118	NA
"angptl7"	1.59722582	0	FALSE	1.52713650798178	NA
"pcsk2"	1.58884943	0	FALSE	1.51912768993369	NA
"bag6"	1.570495738	0	FALSE	1.50157939290612	NA
"qpct"	1.564290302	0	FALSE	1.49564626326041	NA
"c8g"	1.56388587	0	TRUE	1.49525957850709	NA
"tgfb3_ChrAur2"	1.55721049	0	FALSE	1.48887712689943	NA
"htra1b"	1.540397277	1	FALSE	1.47280170971843	NA
"hspg2"	1.533849139	0	FALSE	1.46654091648939	NA
"cd9a_ChrAur2"	1.533133135	1	FALSE	1.46585633210904	NA
"lipib"	1.532393895	1	FALSE	1.46514953136864	NA
"smpdl3a"	1.531507491	2	FALSE	1.46430202446494	NA
"col9a3"	1.53108601	0	FALSE	1.46389903885423	NA
"ghra"	1.523685235	0	FALSE	1.45682302396119	NA
"fgf12a"	1.522048787	0	FALSE	1.4552583864172	NA
"metrn"	1.51653001	1	FALSE	1.44998178386634	NA
"lama4"	1.498748466	0	FALSE	1.43298052789448	NA
"fstl3"	1.493921263	3	FALSE	1.42836515175891	NA
"dkk3a"	1.492950376	1	FALSE	1.4274368691302	NA
"fgfbp1a"	1.48967791	0	FALSE	1.42430800517299	NA
"luzp2"	1.488557416	0	FALSE	1.42323668058448	NA
"igfbp7"	1.486259575	0	FALSE	1.42103967322541	NA
"fgfbp3"	1.484239473	2	FALSE	1.41910821714987	NA
"hhipl1"	1.480388936	0	FALSE	1.41542664904948	NA
"il1b_ChrAur1"	1.477350346	1	FALSE	1.4125213981678	NA
"pgrmc1"	1.475570869	0	FALSE	1.41082000800882	NA
"calub"	1.475508181	0	FALSE	1.4107600708777	NA
"hapln2"	1.475267856	4	FALSE	1.41053029179656	NA
"sparc"	1.471497445	0	FALSE	1.40692533361464	NA
"tnfsf10l"	1.469121593	0	FALSE	1.40465373852687	NA
"col1a1a"	1.468946897	1	TRUE	1.40448670852018	NA
"ogna"	1.465155433	1	FALSE	1.400861621184	NA
"col4a2"	1.457508999	0	FALSE	1.39355072727592	NA
"mmrn2a_ChrAur1"	1.456774262	0	FALSE	1.3928482319353	NA
"rbp4"	1.452802611	0	FALSE	1.38905086454798	NA
"nmbb"	1.450797763	0	FALSE	1.38713399309785	NA
"ppfibp2b"	1.450050444	0	FALSE	1.38641946787937	NA
"tac1"	1.445975981	0	FALSE	1.38252380007848	NA
"epoa"	1.443190484	1	FALSE	1.37986053599377	NA
"prss12"	1.44280678	2	FALSE	1.37949366965633	NA
"adamts6"	1.441568663	0	FALSE	1.37830988358915	NA
"lgi3"	1.437056299	0	FALSE	1.37399553071843	NA
"cd74a"	1.425774682	0	TRUE	1.36320897256614	NA
"manba"	1.423198457	0	FALSE	1.36074579722737	NA
"odc1"	1.422545242	0	FALSE	1.36012124654607	NA
