"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"
"cart1"	Inf	4	FALSE	Inf
"adamts6"	2.45458005801551	2555	FALSE	2.33140814240449
"psap"	2.31659247322156	2202	FALSE	2.20034483579577
"col5a1_ChrAur2"	2.28125072081028	1824	FALSE	2.16677654819014
"nrg2b"	2.28062643099046	2142	FALSE	2.16618358551027
"olfm1b"	2.26422627755758	1861	FALSE	2.15060639904807
"anxa2a_ChrAur2"	2.26019237160779	1770	FALSE	2.14677491628738
"nid2a"	2.24808445577993	1936	FALSE	2.13527458104411
"fetub"	2.24326132740385	1703	TRUE	2.1306934793884
"cbln18_ChrAur2"	2.22897186183686	1716	FALSE	2.11712106553915
"a2ml_ChrAur1"	2.19684531828231	1544	FALSE	2.08660664618428
"hmgb2b"	2.18680996682745	1776	FALSE	2.07707487311485
"si:dkey-225n22.4"	2.17632576259711	1156	FALSE	2.06711677090123
"qsox1"	2.13429248810777	1426	FALSE	2.02719274476227
"nsun2"	2.09871241401596	1258	FALSE	1.99339809456371
"mgat4a"	2.06625138985883	1175	FALSE	1.96256597899119
"gas6"	2.04678725268782	835	FALSE	1.94407856085334
"arsk"	2.0418475560674	1355	FALSE	1.93938674039947
"tinagl1"	2.03683427493284	1411	FALSE	1.93462502793501
"kitlga"	2.03021044448226	1266	FALSE	1.92833358423328
"pla1a"	2.00946652815588	848	FALSE	1.90863060682549
"si:ch73-52e5.2"	2.00769605918577	935	FALSE	1.90694898077329
"pla2g12a"	1.98862987397929	1139	FALSE	1.88883954519394
"svep1"	1.98292273237924	990	FALSE	1.88341879048978
"cbln20_ChrAur2"	1.97682107931842	549	FALSE	1.87762332108488
"nxpe3_ChrAur1"	1.9629593387628	11	FALSE	1.86445716881629
"tnfsf13b"	1.96061838712257	647	FALSE	1.86223368716729
"cd9a_ChrAur2"	1.9593487133004	651	FALSE	1.86102772614046
"olfml2bb"	1.95520536088521	1211	FALSE	1.85709228898652
"fbln2_ChrAur2"	1.94833194864535	308	FALSE	1.85056378762036
"scube3"	1.92303279223946	0	FALSE	1.82653415409993
"vwa1"	1.91633709498274	947	FALSE	1.82017444990026
"matn3a_ChrAur2"	1.91406373230388	960	FALSE	1.81801516556858
"itih3a.1"	1.90475901649394	972	FALSE	1.80917736452346
"scg5"	1.89925307552774	882	FALSE	1.80394771411614
"habp2_ChrAur3"	1.89373323758555	0	FALSE	1.79870486408925
"adamts1"	1.89083956895188	593	FALSE	1.7959564010306
"ntn2"	1.88426004739105	0	FALSE	1.78970704277889
"cd9a_ChrAur1"	1.87365544657465	614	FALSE	1.77963458553327
"hpse"	1.85641585257659	259	FALSE	1.76326008200564
"lamb2l"	1.84132382730265	326	FALSE	1.74892538125137
"zgc:113531"	1.83633370595044	364	FALSE	1.74418566640111
"nxph1_ChrAur2"	1.832232636319	837	FALSE	1.74029039026209
"igfbp7"	1.82693535076137	110	FALSE	1.73525892484243
"cpamd8"	1.82334434619385	16	FALSE	1.73184811847627
"chga"	1.81240616459377	582	FALSE	1.7214588196786
"pros1"	1.81064091667295	0	FALSE	1.71978215268111
"scube2"	1.80621827814437	504	FALSE	1.71558144411478
"fbn2b"	1.80558011820703	0	FALSE	1.71497530732604
"fgf18a"	1.80276892638886	619	FALSE	1.71230518235972
"bmp5"	1.78094498207241	322	FALSE	1.69157637324527
"igfbp3_ChrAur1"	1.77912865602104	742	FALSE	1.68985119124047
"sostdc1a"	1.76859305925828	291	FALSE	1.67984427539449
"ism1"	1.76808760666492	157	TRUE	1.67936418663637
"creld2"	1.76738338027773	0	FALSE	1.67869529864152
"emilin1a_ChrAur2"	1.76320705980998	214	FALSE	1.67472854778652
"odc1"	1.75344426998466	0	FALSE	1.66545565908321
"sema3ab"	1.7346476849615	0	TRUE	1.64760229503045
"col4a1"	1.73061070974281	1	FALSE	1.64376789701813
"galnt1"	1.73013324356058	570	FALSE	1.64331439030062
"wnt4b"	1.72074425955058	335	FALSE	1.63439654967109
"angptl4"	1.71421356060479	326	FALSE	1.62819356409395
"rbp4"	1.70851153840078	1	FALSE	1.62277767189227
