"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"
"ccl20b"	Inf	6	FALSE	Inf
"ecm1a"	Inf	14	FALSE	Inf
"fgf8b"	Inf	6	FALSE	Inf
"prss59.1_ChrAur7"	Inf	20	FALSE	Inf
"zp2.5_ChrAur2"	Inf	9	FALSE	Inf
"pcsk9"	2.53200840282959	2914	TRUE	2.4236942227986
"lhb"	2.09603337702129	1343	TRUE	2.0063693236572
"spx"	1.97631909776815	1	TRUE	1.89177617827582
"nxph2a"	1.86718843865442	4	FALSE	1.78731390724679
"lamb1b"	1.82650122996191	10	FALSE	1.74836721475571
"pla1a"	1.82591962760003	732	FALSE	1.74781049216234
"emilin1a_ChrAur2"	1.80096949572056	829	FALSE	1.72392767628118
"prl"	1.71006587074612	0	FALSE	1.636912723868
"cga"	1.70947963712525	4	FALSE	1.6363515681315
"galnt1"	1.67839365962021	438	FALSE	1.60659538564616
"pcsk2"	1.67549265532969	0	FALSE	1.60381848043076
"hmcn1"	1.67177816424735	0	FALSE	1.60026288773729
"cpamd8"	1.66647085957258	33	FALSE	1.5951826187838
"thbs4b"	1.66245070760258	58	FALSE	1.59133444075502
"ptn"	1.65363363807184	0	FALSE	1.58289454756201
"matn3a_ChrAur2"	1.6525038698557	0	FALSE	1.58181310853697
"alkal2b_ChrAur1"	1.64606088455359	9	FALSE	1.57564574106818
"psap"	1.64073269103853	195	FALSE	1.57054547685659
"ccbe1"	1.63155631313877	0	FALSE	1.56176164577727
"calub"	1.62599856958545	0	FALSE	1.55644165121212
"arsk"	1.62353992513181	2	FALSE	1.55408818257768
"fgf18a"	1.61684468377479	42	FALSE	1.54767935005599
"a2ml_ChrAur1"	1.61202001737563	100	FALSE	1.54306107309233
"lama4"	1.60734037227633	0	FALSE	1.53858161371169
"olfm1b"	1.59917590854506	110	FALSE	1.5307664091667
"gdf5"	1.58299284041898	0	FALSE	1.51527561984685
"anxa2a_ChrAur2"	1.56672528416605	39	FALSE	1.49970395663072
"olfm3a"	1.55929078512409	0	FALSE	1.49258749036731
"hmgb2a"	1.55429077945413	5	FALSE	1.48780137479096
"ahsg2"	1.55383869915699	0	FALSE	1.4873686335713
"ggh"	1.55309927918978	0	FALSE	1.48666084448942
"calr"	1.54832665797803	67	FALSE	1.4820923863257
"uts1"	1.54556920652514	152	FALSE	1.47945289304892
"hbegfa"	1.54333877686506	0	FALSE	1.47731787664239
"tgfbr3"	1.52568383930308	0	FALSE	1.46041818147352
"si:dkey-225n22.4"	1.49622763514155	0	FALSE	1.43222205393615
"pnoca"	1.49364970283784	0	FALSE	1.42975440034374
"adma"	1.48928962070476	0	FALSE	1.42558083367427
"spon2a"	1.48491207550555	0	FALSE	1.42139055097319
"fgf24"	1.48297172249941	0	FALSE	1.41953320233014
"dag1_ChrAur2"	1.46935590542092	0	FALSE	1.40649984226904
"tfpi2"	1.46643788815139	0	FALSE	1.40370665185534
"mgat4a"	1.46347283217476	1	FALSE	1.40086843495495
"qsox1"	1.45883784990125	2	FALSE	1.39643172781507
"tshba"	1.45451555408805	1	FALSE	1.39229433104341
"prf1.5"	1.45269510378198	0	TRUE	1.3905517559063
"nrg2b"	1.4519557511365	11	FALSE	1.38984403126627
"tsku"	1.43340319948808	0	FALSE	1.37208512011961
"enpp1"	1.43251175164891	0	FALSE	1.37123180660955
"lgi2a"	1.42882147271892	0	FALSE	1.3676993903217
"nampt2"	1.42755807608065	1	FALSE	1.36649003922718
"agrp"	1.42616046418653	1	TRUE	1.36515221433304
"tnca"	1.41895528658594	0	FALSE	1.35825525960521
"kitlga"	1.41630914302856	0	FALSE	1.3557223126981
"olfml2a"	1.41270618289837	0	FALSE	1.35227347988904
"cbln18_ChrAur2"	1.39951579418448	4	FALSE	1.33964734923062
"chid1"	1.38532255853255	0	FALSE	1.32606127139061
"mif"	1.38397309093103	0	FALSE	1.32476953127395
"svep1"	1.38135575700429	10	FALSE	1.32226416157996
"fgf8a"	1.37820307679353	0	FALSE	1.31924634662935
"olfml2bb"	1.37171398919832	0	FALSE	1.31303484902998
"fga"	1.36733291672516	0	FALSE	1.30884118994457
"lamb2l"	1.36158231463433	0	FALSE	1.30333658693868
"cd9a_ChrAur2"	1.36095761898835	1	FALSE	1.30273861450444
"nrg2a"	1.36083514753528	0	FALSE	1.30262138213154
"col11a1b"	1.35754311650648	0	FALSE	1.29947017750802
"nid2a"	1.3521912284092	1	FALSE	1.29434723232034
"pla2g12a"	1.35142958716739	1	FALSE	1.29361817254488
"pdgfab"	1.35121276882636	0	FALSE	1.29341062925239
"lgi1b_ChrAur2"	1.34467926763725	0	FALSE	1.28715661798252
"epd"	1.34403447402003	0	TRUE	1.28653940732745
"tnfsf13b"	1.34122638993711	0	FALSE	1.28385144738178
"tg_ChrAur1"	1.3401413897627	0	TRUE	1.28281286131251
"lamc2"	1.33884614332666	1	FALSE	1.28157302288993
"c3a.1_ChrAur1"	1.33590979706162	0	FALSE	1.27876228755794
"sema3d"	1.33552665523151	1	FALSE	1.27839553575763
"bag6l"	1.3352765396959	0	FALSE	1.27815611965695
"nell2a"	1.33286057263501	0	FALSE	1.27584350276302
"bmp5"	1.33129037060154	0	FALSE	1.27434047078537
"c1qtnf5"	1.3280304431207	0	FALSE	1.27121999638519
"zgc:113531"	1.32630644407103	0	FALSE	1.26956974651551
"angptl2b"	1.31628491182032	0	FALSE	1.2599769150729
"vwa1"	1.3116567978712	0	FALSE	1.25554678244443
"adamts1"	1.31163407040873	0	FALSE	1.25552502721667
"edn2_ChrAur2"	1.30602848077355	4	FALSE	1.25015923332792
"igfbp7"	1.30344833606858	0	FALSE	1.24768946197628
"pnocb"	1.30139659961467	0	FALSE	1.24572549464328
"scube1"	1.29912742278785	0	FALSE	1.24355338859516
"st3gal8"	1.29717487893331	0	FALSE	1.24168437060346
"vwc2"	1.29615126426822	0	FALSE	1.24070454409603
"mmp9"	1.29599810239572	0	FALSE	1.24055793417755
"fgf13a"	1.29364028331879	0	FALSE	1.23830097781485
"net1_ChrAur1"	1.29165370509127	11	FALSE	1.23639938137157
"apoa1a"	1.29141588693062	0	FALSE	1.23617173658911
"a2ml_ChrAur2"	1.29017018987984	0	FALSE	1.23497932792966
"scg2b"	1.28850820369443	0	FALSE	1.23338843813978
"scg5"	1.2875463761504	0	FALSE	1.23246775562578
"tmem98"	1.28472767206638	0	FALSE	1.2297696299811
"col5a1_ChrAur2"	1.28447940047587	6	FALSE	1.22953197894529
"adamts6"	1.28373251786646	1	FALSE	1.2288170464579
"inhbab"	1.28131136297445	1	FALSE	1.22649946365774
"col12a1b"	1.27507764281237	0	TRUE	1.22053240939106
"nrg3b"	1.27366977138243	1	FALSE	1.21918476384321
"dkk3a"	1.27262369586318	0	FALSE	1.21818343731136
"efemp2a"	1.27249425674882	0	FALSE	1.21805953533958
"ybx1"	1.27180504612483	0	FALSE	1.21739980774713
"ifi30b"	1.27143358827391	0	FALSE	1.21704424010909
"gatd1"	1.26526053918556	0	FALSE	1.21113526153076
"s100b"	1.26483134809179	0	FALSE	1.21072443036081
"tgm8_ChrAur1"	1.25948028863212	0	FALSE	1.20560227836331
"pm20d1.2"	1.25796413883085	0	FALSE	1.20415098637307
"angptl6"	1.25578492996681	0	FALSE	1.2020649996409
"tinagl1"	1.25375444410376	1	FALSE	1.20012137384161
"adamtsl3"	1.25339139760818	1	FALSE	1.19977385773821
"cd9a_ChrAur1"	1.25120731923304	0	FALSE	1.19768320980274
"grp"	1.25002342037918	0	FALSE	1.19654995573878
"wnt7bb"	1.24422732986485	0	FALSE	1.19100181021182
