"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"gal"	3.52193336758472	7851	TRUE	3.07143413285238
"nmbb"	3.16900165839586	5778	TRUE	2.76364679418618
"tgm2a"	3.11017520079184	5865	FALSE	2.71234497471885
"col5a1_ChrAur2"	3.08616201656648	6036	TRUE	2.69140337646288
"lama5"	2.81323392821993	3391	FALSE	2.45338619701334
"emilin1a_ChrAur2"	2.788936977918	4002	FALSE	2.43219712990366
"thbs4b"	2.73160400212906	2142	FALSE	2.38219775728722
"apodb"	2.68541233655578	4009	FALSE	2.3419145822559
"ccn1l2"	2.34983648185116	7	FALSE	2.04926306766813
"loxl5a"	2.26490216084462	0	FALSE	1.97519290637799
"lama4"	2.16496731185005	1	FALSE	1.88804097185009
"mmp13a_ChrAur1"	2.12408130896541	4	TRUE	1.8523847990299
"tg_ChrAur1"	2.11023413814197	0	FALSE	1.8403088541804
"nog2"	2.0613626290962	0	FALSE	1.79768862110367
"cbln1"	2.04202869813354	0	FALSE	1.78082774121665
"ntn1a"	2.01729677221766	1	FALSE	1.75925933730295
"xylt2"	2.01215324579652	0	FALSE	1.75477373210709
"pgrmc1"	2.00737754671593	0	FALSE	1.75060890454409
"myoc_ChrAur1"	1.9984163155151	0	TRUE	1.74279392665838
"timp2a"	1.99040675620087	0	FALSE	1.73580888994723
"b2m_ChrAur2"	1.98131447327856	0	FALSE	1.72787962349086
"amh"	1.97740874346628	0	FALSE	1.72447348526873
"fgfbp3"	1.97149724982335	0	FALSE	1.71931814544369
"ccn2a"	1.96756662025424	0	TRUE	1.7158902924544
"creld2"	1.95475933782479	0	FALSE	1.70472122129453
"comtb"	1.94280009850277	0	FALSE	1.69429171794427
"col28a1b"	1.92653571430506	0	FALSE	1.68010775148016
"scg3"	1.91923750912434	0	FALSE	1.67374307783047
"c1ql4l_ChrAur1"	1.91833135431117	0	FALSE	1.67295283152756
"spock2_ChrAur2"	1.89302446638765	0	FALSE	1.65088301042306
"col20a1"	1.88015908941515	0	FALSE	1.63966327573726
"col12a1a"	1.87904967936697	0	FALSE	1.63869577308072
"cpe"	1.83497821804562	0	FALSE	1.60026160171538
"tsku"	1.82195839228053	0	FALSE	1.58890717416523
"nrg3b"	1.81931708824969	0	FALSE	1.58660372588587
"cart1"	1.81428154245661	0	TRUE	1.58221228924804
"adamts8a"	1.81364076250215	0	FALSE	1.58165347304729
"olfml1"	1.81126972044907	0	FALSE	1.57958571686562
"col9a3"	1.81033809563673	0	TRUE	1.57877325849433
"mfap5"	1.80560332822435	0	FALSE	1.57464412692831
"lama1"	1.80318207957895	0	FALSE	1.5725325862041
"prf1.8"	1.78306366970787	0	FALSE	1.55498757205208
"igfbp3_ChrAur2"	1.77947069103081	0	FALSE	1.55185418019155
"bag6l"	1.77796291939937	0	FALSE	1.55053927137017
"f5"	1.7779352604032	0	FALSE	1.55051515030482
"admp"	1.77724146510799	2	FALSE	1.54991010008708
"tgfb3_ChrAur1"	1.76618882233406	0	FALSE	1.54027122827124
"col27a1b_ChrAur1"	1.76044666318736	0	FALSE	1.53526356294691
"tfpia"	1.74912235818318	0	FALSE	1.52538777789067
"ntn4_ChrAur1"	1.74474444354307	0	FALSE	1.52156985317349
"c1qtnf6b"	1.74415749939766	0	FALSE	1.52105798650989
