"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"tgm2a"	1.66727438658089	301	FALSE	1.62388842833046
"apoc2"	1.63238961833974	18	FALSE	1.58991143454483
"gnrh3"	1.59982828739277	15	FALSE	1.55819741736722
"mfap5"	1.57204425313851	6	FALSE	1.5311363816547
"agrp"	1.54718415259804	7	FALSE	1.50692319280005
"creld2"	1.54700457651197	0	FALSE	1.50674828965842
"lgi1b_ChrAur1"	1.54522472055875	21	FALSE	1.50501474927071
"smpd1"	1.54222903865014	8	FALSE	1.50209702125575
"apoa1a"	1.53037128634284	0	TRUE	1.49054783240429
"b2m_ChrAur2"	1.51233456813711	1	FALSE	1.47298046723928
"emilin3"	1.50701922227353	0	FALSE	1.46780343776535
"col20a1"	1.50656369743047	0	FALSE	1.46735976662915
"olfml3b_ChrAur1"	1.5018067594259	10	FALSE	1.46272661407665
"f5"	1.49768867930772	0	FALSE	1.45871569499538
"adamts1"	1.48109168528341	0	FALSE	1.44255058938465
"c1qtnf12"	1.47855967633329	0	FALSE	1.44008446859036
"a2ml_ChrAur1"	1.47739655894517	0	TRUE	1.43895161794348
"emilin1a_ChrAur1"	1.460808206053	8	FALSE	1.4227949286046
"anxa2a_ChrAur2"	1.45588063251991	0	FALSE	1.41799558081606
"tfa"	1.45070462676991	2	FALSE	1.41295426553524
"apoeb_ChrAur3"	1.44183375723663	0	FALSE	1.40431423453598
"nid2a"	1.43434824902072	0	FALSE	1.39702351486211
"clcf1"	1.42818240344589	0	FALSE	1.39101811745397
"tcn2"	1.42410138475494	0	FALSE	1.38704329538426
"tsku"	1.42218881732159	2	FALSE	1.38518049694603
"ccn2a"	1.41939941260516	0	TRUE	1.38246367836032
"fgfbp1a"	1.41925348866535	0	FALSE	1.38232155166589
"si:ch73-52e5.2"	1.41824485275531	1	FALSE	1.38133916256672
"xylt2"	1.41759399562812	0	FALSE	1.38070524209997
"epd"	1.41672809516299	0	FALSE	1.37986187417161
"tgfb1a"	1.41591154011968	0	FALSE	1.37906656759424
"c7a"	1.40591952576019	0	FALSE	1.36933456629639
"vwc2"	1.40129021395109	1	FALSE	1.36482571883946
"c1qtnf6b"	1.39987597217278	1	FALSE	1.36344827858299
"rbp4"	1.3931654156084	1	TRUE	1.35691234470177
"emid1"	1.38713482464387	0	FALSE	1.35103868229676
"fndc4a"	1.38449236520505	0	FALSE	1.34846498516594
"angptl4"	1.38141738210515	4	FALSE	1.34547001954215
"col9a3"	1.37641952790525	0	TRUE	1.34060221993638
"bglap"	1.37244391084436	0	FALSE	1.33673005672641
"hmgb2a"	1.3689142957758	1	FALSE	1.33329228960635
"farp1_ChrAur1"	1.36135806390327	0	FALSE	1.32593268665297
"lpla"	1.35836862781316	0	FALSE	1.32302104192728
"emilin1a_ChrAur2"	1.35275705756044	0	FALSE	1.31755549644089
"calr"	1.34878604551115	1	FALSE	1.3136878184105
"ntn4_ChrAur2"	1.34703834015926	0	FALSE	1.3119855919984
"col1a1a"	1.33515344788494	0	TRUE	1.30040996941848
"ptn"	1.3339960128943	0	FALSE	1.29928265330124
