"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"tgm2a"	1.98305870339308	1103	FALSE	1.88733189995182
"emilin1a_ChrAur2"	1.80189581395274	62	FALSE	1.71491415974919
"col5a1_ChrAur2"	1.77233673129179	250	TRUE	1.68678196197619
"gal"	1.6860495516955	206	TRUE	1.60466006294703
"creld2"	1.66842289994539	6	FALSE	1.58788429020747
"b2m_ChrAur2"	1.66314357432726	3	FALSE	1.58285980977616
"smpd1"	1.65861465069167	80	FALSE	1.57854950769823
"f5"	1.64797609776811	43	FALSE	1.56842450218649
"col28a1b"	1.64786776577583	15	FALSE	1.56832139962858
"ccn2a"	1.64405309998662	1	TRUE	1.56469087652842
"lama4"	1.62372931804854	17	FALSE	1.54534817027682
"col9a3"	1.62231770900101	0	TRUE	1.54400470284386
"apoa1a"	1.61628511420877	47	TRUE	1.53826331527354
"col20a1"	1.59836880790232	0	FALSE	1.52121187026911
"timp2a"	1.59712042786628	2	FALSE	1.52002375240792
"nog2"	1.56792351280259	0	FALSE	1.4922362395695
"agrp"	1.56440567548489	0	FALSE	1.48888821634801
"rbp4"	1.56128732388834	33	TRUE	1.48592039475333
"xylt2"	1.54021651749483	0	FALSE	1.46586672463447
"anxa2a_ChrAur2"	1.53698896075214	5	FALSE	1.46279496947717
"tcn2"	1.53404895570628	1	FALSE	1.4599968852351
"nid2a"	1.53285997055155	7	FALSE	1.45886529512773
"gnrh3"	1.5309139007123	0	FALSE	1.45701316655439
"emilin1a_ChrAur1"	1.51740104161021	19	FALSE	1.44415260423252
"lama5"	1.51391307567783	5	FALSE	1.44083301043589
"cxcl11.1"	1.50410012793452	0	TRUE	1.43149375624396
"a2ml_ChrAur1"	1.50326615853489	6	TRUE	1.43070004446487
"comtb"	1.50016294371976	0	FALSE	1.42774662896437
"sema3d"	1.49856392666097	13	FALSE	1.42622480013578
"fgfbp1a"	1.49540172533751	36	FALSE	1.42321524554134
"emilin3"	1.49387420649141	0	FALSE	1.42176146354231
"epd"	1.49024834955467	0	FALSE	1.41831063505717
"c1qtnf12"	1.48451631002159	0	FALSE	1.41285529425255
"lama2"	1.48413038563068	0	FALSE	1.41248799931938
"fndc4a"	1.48071726473994	0	FALSE	1.40923963762214
"lgi1b_ChrAur1"	1.4721728071694	23	FALSE	1.40110764066559
"wnt2bb"	1.47036450845307	0	FALSE	1.39938663268628
"c7a"	1.46476322194329	42	FALSE	1.39405573315588
"mdkb"	1.4599057203845	0	FALSE	1.38943271436663
"apoeb_ChrAur3"	1.45582423075524	7	FALSE	1.38554824762672
"tsku"	1.45447463785585	0	FALSE	1.38426380267982
"edn2_ChrAur1"	1.45436089475378	0	TRUE	1.38415555021883
"pthlha"	1.44857955355518	1	FALSE	1.37865328765345
"tgfb1a"	1.44851932245737	1	FALSE	1.37859596404923
"apoeb_ChrAur1"	1.44659134832648	11	FALSE	1.3767610576628
"cfd"	1.44217349615603	0	FALSE	1.37255646537499
"si:ch73-52e5.2"	1.43989010792319	0	FALSE	1.37038330154256
"c1qtnf5"	1.43940022266973	0	FALSE	1.36991706417672
"olfml3b_ChrAur1"	1.43737013280766	10	FALSE	1.36798497142026
"cpe"	1.43657430452301	0	FALSE	1.36722755959683
"hmcn1"	1.43400997036595	1	FALSE	1.36478701174594
"manba"	1.42710293141022	0	FALSE	1.35821339144259
"crhb"	1.4239050873854	0	FALSE	1.35516991470195
"adamts1"	1.42280237878852	0	FALSE	1.3541204363846
"tfa"	1.41727412056983	1	FALSE	1.34885903990175
"gatd1"	1.41431306843212	0	FALSE	1.34604092455935
"sparc"	1.41026514390278	0	FALSE	1.3421884026548
"myoc_ChrAur1"	1.40300863959521	0	TRUE	1.33528218649571
"ntn1a"	1.40286374166255	0	FALSE	1.33514428311943
"clcf1"	1.39765365754496	0	FALSE	1.33018570174222
"c8g"	1.39629665128351	0	FALSE	1.3288942012933
"prf1.8"	1.39585557305187	1	FALSE	1.32847441492211
"vegfaa"	1.3954067095147	4	FALSE	1.32804721906
"gdf10a_ChrAur2"	1.39515915175404	0	FALSE	1.32781161148167
"emid1"	1.39346447462622	0	FALSE	1.32619874031554
"paplnb"	1.3893330907016	0	FALSE	1.32226678779263
"grnb"	1.38055666592273	0	FALSE	1.31391402121827
"pcolcea"	1.37832403575819	0	TRUE	1.31178916524547
"pgrmc1"	1.37623938542787	0	FALSE	1.30980514578002
"angptl4"	1.35890227902793	0	FALSE	1.2933049413708
"hmgb2b"	1.35029523856121	0	FALSE	1.28511338253837
"galnt1"	1.34766451120486	0	FALSE	1.28260964644058
"ntn5"	1.34714743903914	0	FALSE	1.28211753453725
"ptn"	1.34385185524437	0	FALSE	1.27898103615009
"odc1"	1.33755959195942	0	FALSE	1.27299251488228
"col1a2"	1.33751416805572	1	TRUE	1.27294928369486
"bglap"	1.3366176970401	0	FALSE	1.2720960873965
"c1qtnf6b"	1.33547848744969	0	FALSE	1.27101187007251
"vwa1"	1.33357855538646	1	FALSE	1.26920365209866
"gphb5"	1.33245495115844	0	FALSE	1.26813428683033
"hspg2"	1.32913362028434	0	FALSE	1.26497328423457
"prg4b"	1.3262143474507	2	FALSE	1.26219493141316
"apoc1_ChrAur1"	1.32552853226351	0	FALSE	1.26154222210201
"nampt2"	1.32308381331825	0	FALSE	1.25921551536161
"selenop"	1.32227320553578	0	FALSE	1.2584440374807
"cart1"	1.32182011919862	0	TRUE	1.25801282266286
"tgm2b"	1.32177980160693	0	FALSE	1.25797445129403
"olfm3b"	1.32019321143294	0	FALSE	1.25646444947593
"olfml2ba"	1.32011800058767	0	FALSE	1.2563928692311
"angptl1a_ChrAur1"	1.31936645307322	0	FALSE	1.25567760064327
"ncana"	1.3179262793643	0	FALSE	1.2543069474308
"sst7"	1.31519895064802	0	FALSE	1.25171127314286
"coch"	1.31456689295711	0	TRUE	1.25110972633003
"gdf10a_ChrAur1"	1.31441570630107	0	FALSE	1.25096583780152
"cbln1"	1.31394572128792	0	FALSE	1.25051854004563
"efemp2a"	1.31094927510737	2	FALSE	1.24766673921222
"pdyn"	1.30879338715477	2	FALSE	1.24561492092832
"spock2_ChrAur2"	1.30717788540193	0	FALSE	1.24407740315976
"farp1_ChrAur1"	1.30587280429977	0	FALSE	1.2428353213233
"ngrn"	1.30491617652801	0	FALSE	1.24192487217374
"mgat5_ChrAur1"	1.30353780802332	0	FALSE	1.24061304068618
"wu:fj39g12"	1.2998763147112	0	FALSE	1.23712829607545
"lipg"	1.29570867527501	2	FALSE	1.23316183817788
"lama1"	1.2955325386503	0	FALSE	1.23299420407305
"olfml1"	1.28973048754908	0	FALSE	1.22747223131967
"thbs4b"	1.28823451017188	0	FALSE	1.22604846821031
"ccn1l2"	1.28695442404842	0	FALSE	1.22483017478744
"qsox1"	1.27840968675825	1	FALSE	1.21669791161397
"endouc"	1.27759602253194	0	FALSE	1.21592352483079
"col11a1b"	1.27738282992009	0	FALSE	1.21572062351653
"lpla"	1.27599773333717	0	FALSE	1.21440238873055
"scg3"	1.27578646431227	2	FALSE	1.21420131814727
"col12a1b"	1.27573271711357	0	FALSE	1.21415016544944
"bpifcl"	1.27370161843755	0	FALSE	1.2122171125768
"calr"	1.26789712966255	0	FALSE	1.20669281982176
"mmp13a_ChrAur1"	1.26349604370179	0	TRUE	1.20250418440015
"tfpia"	1.26257462305162	0	FALSE	1.20162724284347
"emilin2a"	1.25647722513518	0	FALSE	1.19582418034476
"vwc2"	1.25587226958837	0	FALSE	1.19524842739322
"lhb"	1.24747483646182	0	FALSE	1.18725635767268
"nbl1"	1.24608182298076	1	FALSE	1.18593058815543
"col1a1b"	1.24440672209611	0	TRUE	1.1843363482422
"ccn4a"	1.24023215507021	0	FALSE	1.1803632971656
"tgfbi"	1.23941401111401	1	FALSE	1.1795846468994
"myoc_ChrAur2"	1.23856809124824	0	FALSE	1.17877956153065
"nampt1"	1.23114260717251	0	FALSE	1.17171252264536
"dipk2ab"	1.22935312239822	0	FALSE	1.17000942041585
"c1qc"	1.22767966149818	0	FALSE	1.16841674132139
"nid1a"	1.22714535542052	0	FALSE	1.16790822742668
"ecrg4a"	1.22588774351743	1	FALSE	1.1667113233419
"col11a1a_ChrAur1"	1.22282525079978	0	FALSE	1.1637966641896
"igf2b"	1.22281454496337	0	FALSE	1.16378647514853
"tub"	1.22189602567581	1	FALSE	1.16291229489901
"spock3"	1.22011728102883	0	FALSE	1.16121941434617
"proca1"	1.22005741205099	0	FALSE	1.16116243538156
"nrg2b"	1.21472165376317	0	FALSE	1.15608424641529
"col1a1a"	1.20938618711002	0	TRUE	1.15100633500581
"hmgb2a"	1.20441542628356	0	FALSE	1.14627552423417
"amh"	1.20377971683758	0	FALSE	1.14567050194489
"col12a1a"	1.20258728058306	0	FALSE	1.14453562733026
"cbln12_ChrAur2"	1.20244554865175	0	FALSE	1.14440073712517
"prf1.5"	1.20142901439339	0	FALSE	1.14343327331287
"col27a1b_ChrAur1"	1.19490584508288	0	FALSE	1.1372249923843
"tg_ChrAur1"	1.18971356779403	0	FALSE	1.13228335825926
"adamts10"	1.1880743272436	0	FALSE	1.13072324761945
"nxpe3_ChrAur1"	1.18636013883182	0	FALSE	1.1290918070239
"hamp_ChrAur13"	1.18618280708431	0	FALSE	1.1289230354876
"ccn1"	1.18097515886977	0	FALSE	1.1239667724268
"sftpba"	1.18076767264823	0	FALSE	1.12376930204226
"nmbb"	1.17965852678693	1	TRUE	1.12271369720205
"cckb"	1.17840563180594	0	FALSE	1.12152128234269
"itih5"	1.17803237456461	1	TRUE	1.12116604308666
"mmp2"	1.17714806611188	0	FALSE	1.12032442223632
"cd74a"	1.17613636505129	0	FALSE	1.11936155831222
"lum"	1.17327431390531	0	FALSE	1.11663766495603
"hapln1a"	1.17291650140096	0	FALSE	1.11629712488402
"adgrl2b.1"	1.17247238725175	0	FALSE	1.11587444914598
"draxina_ChrAur2"	1.1703885369998	0	FALSE	1.11389119113728
"loxl1"	1.17017767477791	0	FALSE	1.1136905077197
"wnt8b"	1.1697004683047	0	FALSE	1.11323633710023
"ncanb"	1.16950070470078	0	FALSE	1.11304621654481
"c1qb_ChrAur2"	1.16912738474022	0	FALSE	1.11269091759715
"farp1_ChrAur2"	1.16828733960767	0	FALSE	1.11189142337474
"adgrb2"	1.16675489515139	0	FALSE	1.11043295353606
"dao.2"	1.1667386334163	0	FALSE	1.11041747679231
"cyb5d2"	1.16425531861413	0	FALSE	1.10805403730576
"anxa2a_ChrAur1"	1.1627816776575	0	FALSE	1.10665153238658
"habp2_ChrAur3"	1.16246229606458	2	FALSE	1.10634756807753
"itih3a.1"	1.16217590051836	0	FALSE	1.10607499750287
"igfbp7"	1.16201393344195	0	FALSE	1.10592084894966
"prss12"	1.16166731118212	0	FALSE	1.10559095894333
"lgi3"	1.16081470176495	0	FALSE	1.10477950694321
"lamb1b"	1.15880684964783	0	FALSE	1.10286857846462
"adamts8a"	1.1572556575275	0	FALSE	1.10139226595474
"st3gal2"	1.15572474608955	0	FALSE	1.09993525513206
"col5a2b"	1.15451318815319	0	FALSE	1.09878218188314
"nxph1_ChrAur2"	1.1541210197704	0	FALSE	1.09840894436993
"c1qtnf4"	1.15369431682498	0	FALSE	1.09800283935685
"grna.1"	1.15347746837523	0	FALSE	1.09779645868039
"scube1"	1.15329476040142	0	FALSE	1.09762257044059
"tnfrsf1b"	1.15228371525043	0	FALSE	1.09666033076383
"bag6l"	1.15179956637631	0	FALSE	1.09619955286911
"abcb6a"	1.14987570994543	0	FALSE	1.09436856541185
"fga"	1.14975085847367	0	FALSE	1.09424974080771
