Gene_symbol	score_df_2	n_cor	is_deg	Ssec_norm
tgfb3_ChrAur1	2.03103549850057	683	False	1.77124070902214
cfd	1.94164103262344	0	True	1.69328091105713
emilin1a_ChrAur1	1.92469250170876	15	True	1.67850030877994
ccn1l2	1.85419767769049	175	False	1.61702265259486
creld2	1.84400245801149	273	True	1.60813152875867
sparc	1.80344496626802	0	True	1.57276184640457
frzb	1.79692420155933	0	False	1.56707516888735
lgi1b_ChrAur1	1.77153652210051	2	False	1.54493489049327
col11a1b	1.76373685255276	1	True	1.53813289602784
gsdf	1.74895454010133	1	False	1.52524142583601
rln3a	1.73422358239679	23	False	1.512394741478
c8g	1.72886808558413	0	False	1.50772427954928
apodb	1.72740427359129	62	True	1.50644770738007
dag1_ChrAur1	1.72375006493962	0	True	1.50326091762288
tfpi2	1.72317684539624	53	False	1.50276102001341
ahsg2	1.71258824721485	89	False	1.49352683569502
optc	1.67516349619663	0	False	1.46088917742788
mmp2	1.66231402722859	0	True	1.44968331591423
pdgfrl	1.66024315503083	0	False	1.44787733411698
clu	1.64080356736006	8	True	1.43092431233352
amh	1.63097784650143	0	True	1.42235542380688
srpx2	1.63041599699594	1	False	1.42186544186555
lgi1b_ChrAur2	1.62764693880346	7	False	1.41945058077632
wnt6b	1.62015472586768	21	False	1.41291671538484
lama4	1.61884270889932	0	True	1.41177252176193
creg1	1.61694408440382	0	False	1.41011675503601
hpxb	1.61581942684963	269	False	1.40913595521978
draxina_ChrAur2	1.61545140650877	0	False	1.40881500927376
metrn	1.61022801942481	0	False	1.40425975859058
hmgb2b	1.60452983700136	0	False	1.39929044481773
abcb6a	1.60337230689799	3	False	1.39828097726164
tinagl1	1.59596231081001	95	True	1.39181881215699
efemp1	1.58061662259888	4	True	1.37843602899658
lamb2l	1.57687339479641	3	True	1.37517160674903
lpla	1.5748844812868	0	True	1.3734371001008
fgb	1.56684652165011	0	False	1.36642729582288
farp1_ChrAur1	1.55689382714558	1	False	1.35774767516441
spaw	1.53244238893043	0	False	1.33642388107376
col5a1_ChrAur1	1.52739062315499	0	True	1.33201829919176
col4a2	1.5157518392973	0	True	1.32186826105236
lamb1b	1.51434132397415	0	True	1.32063816824359
emilin2b	1.51340168964974	0	False	1.31981872487679
