Gene_symbol	score_df_1	n_cor	is_deg	Ssec_norm
hpxb	1.86894535079827	932	False	1.6484378350756
lgi1b_ChrAur2	1.72154677655186	374	False	1.51843008149404
scube3	1.71977915769045	292	True	1.51687101514258
abcb6a	1.70468777522403	369	False	1.50356018942442
gas6	1.68011361178006	407	False	1.48188540863478
clu	1.65441296212975	359	True	1.45921705011295
qsox1	1.64343100995368	124	True	1.44953080355561
pthlha	1.63859286434621	0	False	1.44526348655378
comtb	1.6240209835312	302	True	1.4324108690851
wnt9b	1.58144887146339	91	False	1.39486162762564
ahsg2	1.55010280545767	3	False	1.3672139271926
asip2b	1.54450327080402	112	False	1.36227505363059
fgf17	1.52992632246745	0	False	1.34941796653188
fbln7	1.51208073979296	46	False	1.333677894915
tgfb5	1.50749355209765	146	True	1.32963192655626
mstnb	1.50542914193404	0	False	1.32781108582416
wnt6b	1.49963768134889	13	False	1.32270293071152
col5a3b	1.49152200809333	1	True	1.31554478515855
lamb2l	1.48526053557225	0	True	1.31002207246787
farp1_ChrAur2	1.48207069868218	33	False	1.30720858848073
ache	1.47970783744959	13	False	1.30512450942878
vegfc	1.47603525975084	0	False	1.30188524080689
olfm3a	1.47454110212328	0	False	1.30056737136582
apodb	1.47201481542717	85	True	1.29833914860354
si:ch73-52e5.2	1.47025899403776	0	True	1.29679048779936
nell2a	1.45692880807935	2	False	1.28503306382061
tnxba_ChrAur1	1.45297183456592	0	False	1.28154295382401
pcsk2	1.44919125777826	2	False	1.27820842838562
c8g	1.44877286585335	13	False	1.27783940043164
net1_ChrAur1	1.44580903726734	25	False	1.27522525915899
apoc1_ChrAur3	1.43581180940115	1	False	1.26640755421461
tmem98	1.43285200815111	0	False	1.2637969651127
creld2	1.43166029446567	1	True	1.26274585576548
ccdc126	1.43093844012263	0	True	1.26210916940653
ntn4_ChrAur1	1.42118776218046	1	True	1.25350892519359
spock1	1.41551722054619	0	True	1.24850742240951
tfpi2	1.41542295660468	0	False	1.24842428019906
bmp5	1.41509129871808	0	False	1.24813175296795
il12ba	1.40923873985973	0	False	1.24296970826183
penka	1.40518603958617	0	False	1.23939516582681
tulp3	1.40418866297293	0	False	1.23851546469249
ltbp4	1.40138986573884	15	True	1.23604688354783
loxl4_ChrAur1	1.39830372045741	3	True	1.23332485711497
them6	1.39601670299973	0	True	1.23130767341021
tfpia	1.3949988160406	0	False	1.23040988184314
tgfbi	1.39379019141737	0	True	1.22934385679512
spon1a_ChrAur2	1.38874486231424	27	False	1.22489380084219
fam3c	1.38468005973792	1	False	1.2213085839946
pdgfaa	1.38247493979774	9	True	1.2193636351288
col20a1	1.37703297356987	2	True	1.21456373928198
matn3a_ChrAur2	1.37292402914216	0	False	1.2109395886593
adamts17	1.36110082900075	0	True	1.20051134877714
prss59.1_ChrAur3	1.35940029426121	0	False	1.19901145162749
nxpe3_ChrAur3	1.35258566386654	2	False	1.19300084539449
fstl3	1.3490933785998	8	True	1.18992059740216
col4a5_ChrAur3	1.34708006916504	0	False	1.18814482827946
vwc2l	1.33928337080908	0	False	1.1812680233728
chrdl2	1.33654736115754	0	False	1.17885482181782
igfbp5b	1.33302476188492	0	False	1.17574783641757
igfbp7	1.33265607772933	0	True	1.17542265146178
hmcn2	1.33001229228959	4	False	1.17309079304504
hhipl2	1.32992616738605	0	False	1.17301482958817
emilin2b	1.32862950379198	0	False	1.17187115284722
c3a.1_ChrAur2	1.32286485196794	0	True	1.16678664346404
col5a1_ChrAur1	1.32229162240424	0	True	1.16628104638995
col5a2a	1.31690222858967	2	True	1.16152752020029
agr2	1.30988702943602	3	False	1.15534000931319
ybx1	1.30742702585916	1	False	1.15317024925638
plaub	1.29961502729071	0	False	1.1462799493328
clcf1	1.29793723924662	0	False	1.14480011510975
pcsk9	1.29279896414997	0	True	1.14026807939628
vwc2	1.28753046322234	2	False	1.13562118254639
matn1	1.28185826799094	6	False	1.13061822126484
igf3	1.27957149740542	5	False	1.12860125530503
bmp1a_ChrAur2	1.27843400078887	0	True	1.12759796622588
spock2_ChrAur2	1.27549609793673	0	False	1.1250066918394
tgfb3_ChrAur2	1.27356021780786	2	True	1.12329921652599
mmrn2a_ChrAur1	1.27145403560412	0	False	1.12144153222788
emid1	1.26923764498672	2	True	1.11948664245571
col2a1a	1.26760018662164	0	True	1.11804237961452
proca1	1.26661418300512	1	False	1.11717270963391
farp1_ChrAur1	1.25518585678237	0	False	1.10709275447143
dkk3a	1.25436949725264	0	False	1.10637271312017
stc2a	1.25158644895529	0	False	1.10391802277396
col28a2a	1.25113181207978	0	False	1.10351702622984
srpx2	1.24774896714883	0	False	1.10053330625537
lama2	1.24559287082415	0	True	1.09863159695384
meltf	1.24506188692655	0	False	1.09816326119097
lama3	1.24182466468402	0	False	1.09530798261215
prozb	1.24083163729631	3	False	1.09443211755998
ndr2	1.24075948662206	0	False	1.09436847958298
gfod2	1.23810889750533	1	True	1.09203062022107
net1_ChrAur2	1.23763823516512	0	False	1.09161548897669
enpp2	1.23635342887797	0	False	1.09048227055831
eda	1.23495743790281	0	False	1.08925098557724
hmgb2b	1.23456800097156	1	False	1.08890749636201
prss12	1.23316057673728	0	False	1.08766612707489
pros1	1.23181076418889	0	True	1.08647557215894
cyb5d2	1.23175599606267	0	True	1.08642726585005
ccl19a.2	1.22915640417479	0	False	1.08413438680899
metrn	1.22693833335578	0	False	1.08217801507379
gdf9	1.2255162761678	0	True	1.080923739302
pamr1b	1.22540041805762	0	True	1.08082155071086
tgfb3_ChrAur1	1.22489880670013	0	False	1.08037912196898
insl3	1.22221128348108	0	False	1.07800868617479
creg1	1.22137155633107	0	False	1.0772680342319
adamts15a_ChrAur1	1.22097480636996	0	False	1.07691809481463
angptl2b	1.22037586041235	0	False	1.07638981549535
tgfbr3	1.21936170368908	0	True	1.07549531405227
col11a1b	1.21753024788967	0	True	1.07387994256389
inhbaa_ChrAur2	1.21558238240231	1	False	1.0721618959845
egfl6	1.21516530452799	0	False	1.07179402704285
chga	1.21387204418894	0	False	1.07065335202387
galnt1	1.21255837959997	0	False	1.06949468015039
spock2_ChrAur1	1.21162789978031	0	False	1.06867398299151
col8a2_ChrAur2	1.20086828714488	20	False	1.05918384324428
nsun2	1.19927148372861	0	True	1.05777543867781
mfap5	1.19734920806644	0	False	1.0560799627081
rnaset2	1.19563819179345	0	True	1.05457082068872
tfa	1.19482832770082	0	False	1.05385650841041
fgf22	1.19476210873187	1	False	1.05379810228646
pla1a	1.19423256100615	0	False	1.05333103324874
mmp2	1.19349545238211	0	True	1.05268089238511
olfml3b_ChrAur2	1.19325214584656	0	False	1.05246629237097
gdf10a_ChrAur2	1.19074354652125	0	False	1.05025367013505
