Gene_symbol	score_df_1	n_cor	is_deg	Ssec_norm
wnt6b	1.87771984926689	655	False	1.71379274622636
tfpi2	1.86005446946195	644	False	1.69766957440131
abcb6a	1.85842151092755	546	False	1.69617917502558
col5a3b	1.85797789685692	672	True	1.69577428897367
gas6	1.80676028630412	307	False	1.64902803474479
them6	1.79383478801295	437	True	1.63723094732442
pros1	1.79226527965271	643	True	1.63579845884965
farp1_ChrAur1	1.78997020596947	338	False	1.6337037477393
fstl3	1.78915622975749	511	True	1.63296083258705
ahsg2	1.78804391485133	196	False	1.63194562405185
hpxb	1.78704867653422	560	False	1.63103727118478
comtb	1.78334482465615	245	True	1.62765676983672
bmp5	1.78115246236399	132	False	1.62565580329484
clu	1.7769969692838	441	True	1.62186308954118
olfm3a	1.77636651074867	250	False	1.62128767076147
farp1_ChrAur2	1.77060169362504	401	False	1.6160261288048
lgi1b_ChrAur2	1.76802074110263	101	False	1.61367049640682
c8g	1.76698562492681	218	False	1.61272574706399
ntn4_ChrAur1	1.76006969053385	23	True	1.60641358169988
net1_ChrAur1	1.75707251165779	508	False	1.60367805998777
fbln7	1.74861539279408	412	False	1.59595925733025
col20a1	1.73089109900673	151	True	1.57978231478123
fam3c	1.72900593891097	233	False	1.57806173133059
ccdc126	1.71775079511898	161	True	1.56778917453998
emid1	1.71200134193377	447	True	1.56254165523223
pdgfaa	1.71077707551966	220	True	1.56142426868451
vegfc	1.70715723913482	13	False	1.55812044818046
tgfb3_ChrAur2	1.70304321503746	293	True	1.55436558311973
emilin2b	1.70067349125568	19	False	1.55220273895032
spon1a_ChrAur2	1.69565348855611	334	False	1.54762098826162
apoc1_ChrAur3	1.69551692500411	16	False	1.54749634686482
loxl4_ChrAur1	1.69330695222074	20	True	1.54547930724787
tshba	1.69109862786462	14	False	1.54346377214858
tgfb5	1.68628737025267	221	True	1.53907254286121
cyb5d2	1.68521313650059	281	True	1.53809209095152
apodb	1.68390673359985	135	True	1.53689973852695
scube3	1.68252118819068	16	True	1.53563515282598
asip2b	1.67810179349898	224	False	1.53160157637511
il12ba	1.66158404229798	148	False	1.5165258438566
fgf17	1.65935991108566	2	False	1.51449588185784
nxpe3_ChrAur3	1.65707643578045	36	False	1.51241175657377
chrdl2	1.65686317251453	32	False	1.51221711143631
lamb2l	1.65669979093247	3	True	1.51206799325432
col5a1_ChrAur1	1.65340647895538	7	True	1.50906219120158
mstnb	1.65308651088258	9	False	1.50877015670964
stc2a	1.65231125626602	313	False	1.50806258271299
vwc2l	1.64798061336536	15	False	1.50411000991969
tnxba_ChrAur1	1.63910151423903	0	False	1.49600606636194
si:ch73-52e5.2	1.63320393743866	0	True	1.49062335480104
clcf1	1.63279762602027	26	False	1.49025251483691
srpx2	1.62961298566906	2	False	1.48734589725209
col11a1b	1.62907806771998	0	True	1.48685767825535
vwc2	1.62873045768585	0	False	1.48654041497711
nid2a	1.6281653990059	270	True	1.48602468656998
dag1_ChrAur1	1.62412011199695	95	True	1.48233255777076
tulp3	1.62351440155602	38	False	1.48177972654816
col27a1b_ChrAur2	1.62153385232892	260	True	1.47997208154708
igf3	1.6195627647333	214	False	1.47817307216617
nell2a	1.61302970928719	0	False	1.47221035997638
chid1	1.60923654379019	199	True	1.46874834219107
lama5	1.60437326556873	218	True	1.46430963375324
qsox1	1.60291535564577	0	True	1.46297900104379
wnt9b	1.60117480972154	1	False	1.46139040678113
ccl19a.2	1.59815143855927	0	False	1.45863097939953
matn1	1.59111186460512	98	False	1.45220596835017
net1_ChrAur2	1.58979813786779	111	False	1.45100693146837
igfbp7	1.5865850177366	0	True	1.44807432042112
matn3a_ChrAur2	1.58339811327725	0	False	1.44516563638741
pcsk2	1.58165764919954	0	False	1.44357711682598
inhbaa_ChrAur1	1.58095201101288	266	False	1.44293308166481
col5a2a	1.57387672001636	60	True	1.43647547171196
col28a2a	1.57275066779448	6	False	1.43544772514451
ybx1	1.56883353663135	0	False	1.43187256403833
bmp2b	1.56287829108158	16	False	1.4264372182762
adamts12	1.55768934902479	74	True	1.42170127683052
lama3	1.55292523744665	0	False	1.41735307767396
nrg2b	1.54830212162425	142	True	1.41313356518147
pxdn	1.54752771139814	127	True	1.41242676185901
scube2	1.54590631058489	9	False	1.41094691120207
eda	1.54251623689309	68	False	1.40785279484364
kcp	1.54017104924702	129	True	1.40571234477706
sema3ab	1.53843259926365	141	False	1.40412566347722
gdf9	1.53229596138409	72	True	1.39852476114436
lamb1b	1.53210084644566	128	True	1.39834667996452
adamtsl3	1.53189999930049	133	False	1.39816336700619
insl3	1.53129386869918	55	False	1.39761015230369
lama2	1.53062366703968	0	True	1.39699846002009
cfd	1.51818257325913	0	True	1.38564348803928
ifi30b	1.51782606272715	0	True	1.38531810128689
bmp1a_ChrAur2	1.51532296566187	0	True	1.38303352747506
pcsk9	1.5116410701997	1	True	1.37967306572253
nbl1	1.51041179606919	35	False	1.37855110863782
ccl36.1_ChrAur2	1.50617938193743	182	False	1.37468818912889
fgf8b	1.50458910589971	119	True	1.37323674601878
mmp2	1.50410215394104	0	True	1.3727923055263
fgf20b	1.5027862610635	1	False	1.37159129161083
col4a5_ChrAur3	1.50189760257026	0	False	1.37078021402639
hmcn2	1.49951853964601	43	False	1.36860884603239
penka	1.49946941855593	0	False	1.36856401326999
gfod2	1.49329873423819	0	True	1.36293203679217
smpd1	1.49191860544538	152	True	1.36167239483073
arsk	1.48889104140355	100	True	1.35890914061277
creld2	1.48517472055436	0	True	1.35551725884911
odc1	1.47815532167233	2	False	1.34911066156487
pla1a	1.47700304597554	0	False	1.34805898086203
fbln2_ChrAur2	1.47642033839258	13	True	1.34752714432143
rnaset2	1.47436026830587	0	True	1.34564692072327
c3a.1_ChrAur2	1.47340919088606	0	True	1.34477887345636
qpct	1.47321751604723	0	False	1.34460393205147
chrd	1.47055326113949	0	False	1.34217226966224
col12a1a	1.4693981166997	39	True	1.34111797066096
agr2	1.46863624065387	0	False	1.34042260727043
tgfb3_ChrAur1	1.46813392442651	0	False	1.3399641438276
proca1	1.46643240960678	0	False	1.33841117320912
st3gal2	1.46558919784113	0	True	1.33764157480067
edn1	1.46365589696405	0	False	1.3358770533143
twsg1a	1.46087409487679	3	True	1.33333810574955
tgfbr3	1.45639075452099	0	True	1.32924616616461
fgb	1.45094832964434	3	False	1.32427887124087
adamts3	1.44889580101232	27	False	1.32240553071973
spx	1.44793944949399	0	False	1.32153266978917
ache	1.44618314776082	1	False	1.31992969521782
nxpe3_ChrAur1	1.44562490875944	0	False	1.31942019112348
cd9a_ChrAur2	1.44488185161675	0	True	1.31874200372419
ltbp4	1.4439845063306	0	True	1.31792299771386
adamts17	1.44364763260347	0	True	1.31761553345066
