"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"
"habp2_ChrAur3"	2.11315226228596	913	FALSE	2.05816363140058
"cyb5d2"	1.9345387831602	8	FALSE	1.88419804767265
"tgm8_ChrAur1"	1.84285860024665	0	FALSE	1.79490357440612
"bmp1a_ChrAur2"	1.79209200190193	0	FALSE	1.74545802887311
"calr"	1.71533176600965	164	FALSE	1.67069525447639
"cxcl8a"	1.70198763445941	9	FALSE	1.65769836507116
"col5a2a"	1.66844582436125	50	FALSE	1.62502938285561
"creld2"	1.638977655639	1	FALSE	1.59632803736785
"lamb1b"	1.63858809766347	0	FALSE	1.59594861650364
"efemp1"	1.63760996793211	209	FALSE	1.59499593974873
"edn3b_ChrAur2"	1.63575686794381	0	FALSE	1.59319106128855
"pgrmc1"	1.62956082566006	0	FALSE	1.58715625295286
"ntn4_ChrAur1"	1.6264200146019	2	FALSE	1.58409717235163
"bmp1a_ChrAur1"	1.61707233621572	1	FALSE	1.57499274006067
"bag6l"	1.58224309185761	2	FALSE	1.5410698253108
"tg_ChrAur1"	1.58139210093917	0	FALSE	1.54024097895162
"sema3aa"	1.56841125340766	0	FALSE	1.52759792015698
"efemp2a"	1.55677454823376	0	FALSE	1.5162640263313
"odc1"	1.55125123347813	0	FALSE	1.51088443974982
"pla1a"	1.53638402549678	5	FALSE	1.49640410754007
"cd9a_ChrAur1"	1.53381170728882	0	FALSE	1.49389872641893
"fgl1"	1.52630141032413	0	FALSE	1.48658386305125
"eda"	1.51868954622227	0	FALSE	1.47917007553521
"metrn"	1.51626649578738	0	FALSE	1.47681007792825
"cxcl12a"	1.51025225694047	10	FALSE	1.47095234212464
"pcsk2"	1.49109982165708	0	FALSE	1.45229829316824
"elna"	1.48321706613285	0	FALSE	1.44462066338985
"nxph4"	1.48089217461873	0	FALSE	1.44235627040373
"tnfsf10_ChrAur1"	1.47677892969952	0	FALSE	1.43835006069947
"fam3a"	1.47272683633741	1	FALSE	1.4344034112612
"ltbp4"	1.46815393513378	0	FALSE	1.42994950648809
"tsku"	1.45958274277866	0	FALSE	1.42160135444155
"itih5"	1.45948204888476	0	FALSE	1.42150328081286
"ccka"	1.45025239620389	0	FALSE	1.41251380295211
"sost"	1.44480148091892	0	FALSE	1.407204731856
"c1ql1l2_ChrAur1"	1.44302400842128	0	FALSE	1.40547351290139
"hmgb2a"	1.43912622017179	32	FALSE	1.40167715323475
"bmp6"	1.43910580187433	0	FALSE	1.401657266264
"col27a1b_ChrAur1"	1.43229736510495	0	FALSE	1.39502599922493
"igfbp5b"	1.43037609569123	1	FALSE	1.39315472525002
"col5a3a"	1.42605756377324	0	FALSE	1.388948570543
"tgfb3_ChrAur1"	1.42554199757196	0	FALSE	1.38844642044999
"fgf2"	1.42494981352662	0	FALSE	1.38786964626908
"gh1"	1.42480197547913	0	FALSE	1.38772565527605
"ntn1b"	1.42170846348374	0	FALSE	1.38471264291729
"pdgfaa"	1.41912137344013	0	FALSE	1.38219287435449
"lgi3"	1.41704952152443	0	FALSE	1.38017493634848
"cbln12_ChrAur2"	1.41443697520958	0	FALSE	1.37763037393973
"manba"	1.41328782654626	3	FALSE	1.37651112852229
"c1ql2_ChrAur2"	1.40553658428823	1	FALSE	1.36896158976052
"hmgb2b"	1.40508980288976	0	FALSE	1.36852643454624
"prss12"	1.40211345791881	0	FALSE	1.36562754028147
"ndnfl"	1.40091716414683	1	FALSE	1.36446237656947
"myoc_ChrAur1"	1.39512833767077	0	FALSE	1.3588241874365
"lgi1b_ChrAur1"	1.39282975099969	0	FALSE	1.35658541478653
"nrg2a"	1.39017429897238	1	FALSE	1.35399906316148
"asah1b"	1.38170636008877	0	FALSE	1.34575147771569
"tub"	1.36828269996919	0	FALSE	1.33267712924043
"stc2a"	1.36533442265792	0	FALSE	1.32980557225628
"adgrl2b.1"	1.36234089272004	8	FALSE	1.32688994021329
"vegfaa"	1.36158221790731	2	FALSE	1.32615100770213
"inhbb_ChrAur2"	1.35569136439562	1	FALSE	1.32041344648988
"gfod2"	1.35446941974056	0	FALSE	1.31922329938429
"fbn2b"	1.34978260577478	0	FALSE	1.31465844609678
"gatd1"	1.34188888805967	0	FALSE	1.30697013938659
"trh"	1.34061787609428	0	FALSE	1.30573220180447
"pla2g12a"	1.33739508856635	0	FALSE	1.30259327793225
"nsun2"	1.33347290359932	0	FALSE	1.29877315640157
"fgfbp1b"	1.32689368284244	0	FALSE	1.29236514069611
"kitlgb"	1.3244656479188	0	FALSE	1.29000028830719
"luzp2"	1.31729227987836	0	FALSE	1.28301358627015
"chid1"	1.31492760032889	0	FALSE	1.28071044061638
"nrg3b"	1.31363920894581	0	FALSE	1.27945557586528
"col14a1a"	1.31340555534088	0	FALSE	1.27922800241466
"srpx2"	1.31233269819525	0	FALSE	1.27818306325044
"ucn3l"	1.30563720339111	0	FALSE	1.27166179919102
