"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"
"sst1.1"	4.10717158199415	8363	TRUE	3.62258694616974
"cbln12_ChrAur2"	3.32185388835004	6699	FALSE	2.92992495998362
"col14a1a"	3.29895259769874	7070	FALSE	2.90972567809154
"lgi1b_ChrAur2"	3.15878327206413	6008	FALSE	2.78609423023008
"adcyap1b"	3.12474010184936	5755	FALSE	2.75606764342594
"ntn4_ChrAur1"	2.97758447467813	5517	FALSE	2.62627417280909
"asah1b"	2.88999713589302	4094	FALSE	2.54902082612065
"scg2b"	2.80367430041261	4094	FALSE	2.47288279031552
"proza"	2.78440037376005	4214	FALSE	2.45588289788368
"pcsk2"	2.71926166524569	2417	FALSE	2.39842957984142
"dkk3a"	2.71334874394867	0	FALSE	2.39321429455891
"tgm2a"	2.71069218510635	4229	FALSE	2.39087116980948
"prss12"	2.6744586837583	3884	FALSE	2.35891267808907
"c1qb_ChrAur2"	2.65685695857655	921	FALSE	2.34338769243884
"bmper"	2.62914116146164	1605	FALSE	2.31894194362442
"pyyb"	2.61853223678122	3680	FALSE	2.30958471291395
"nxph1_ChrAur1"	2.50437328853727	2467	FALSE	2.20889480808748
"eda"	2.47305257289267	6	FALSE	2.18126946705321
"pdgfab"	2.44419078993679	0	FALSE	2.15581294153635
"hmgb2a"	2.4144644680787	286	FALSE	2.12959387973897
"cyb5d2"	2.4055880003528	215	FALSE	2.12176470205063
"tmem98"	2.35486488640775	2187	FALSE	2.07702615466391
"ndnf"	2.32153159545023	0	FALSE	2.04762569201342
"naxe"	2.25762212767359	0	FALSE	1.99125658274141
"tgfb2"	2.24049703453845	0	FALSE	1.97615199370616
"c1ql4l_ChrAur1"	2.22411578962388	0	FALSE	1.96170348995976
"lgi1b_ChrAur1"	2.1968022741988	0	FALSE	1.93761255963032
"ccn2a"	2.19219076629794	0	TRUE	1.93354514048546
"bmp6"	2.15938899810246	1	FALSE	1.90461348888435
"nrg2a"	2.13302205409596	138	FALSE	1.88135744874542
"npy"	2.12169948919521	0	FALSE	1.87137077665545
"c1ql2_ChrAur2"	2.12128916140446	0	FALSE	1.87100886138876
"loxa"	2.09882316116894	7	FALSE	1.8511935121731
"b3gat1a_ChrAur2"	2.09409831404077	1	FALSE	1.84702612612958
"lamb1b"	2.06147642628998	0	FALSE	1.81825313177904
"calr"	2.05871441496848	232	FALSE	1.8158169963611
"nell2a"	2.0560919889273	0	FALSE	1.8135039772543
"olfml2bb"	2.0486237771795	0	FALSE	1.8069169024636
"tgfb1a"	2.0184340236333	2	FALSE	1.78028908696546
"tac1"	2.01627206932164	0	FALSE	1.77838221083154
"nrg2b"	2.00556412329564	0	FALSE	1.76893764180887
"bmp1a_ChrAur2"	1.99822963946657	0	FALSE	1.76246851704852
"nicol1"	1.95941736383069	0	FALSE	1.72823550772257
"pcolce2b"	1.95804919714423	0	FALSE	1.72702876418152
"ccdc126"	1.93252704071714	0	FALSE	1.70451783936012
"mgat4a"	1.92334745125589	0	FALSE	1.69642130375413
"emilin1a_ChrAur1"	1.90533876424063	1	FALSE	1.680537371662
"cart2"	1.88711100980041	0	FALSE	1.66446021881486
"adamts6"	1.87418141957077	0	FALSE	1.65305612627815
"pla1a"	1.85130621244772	0	FALSE	1.63287985044926
"cxcl11.1"	1.83899043014717	1	FALSE	1.62201714571361
"efemp1"	1.82688059696372	46	FALSE	1.61133609118865
"scube2"	1.81917488079773	0	FALSE	1.60453953393836
"elna"	1.81450874436511	0	FALSE	1.60042393160902
"col4a2"	1.80397973191616	0	FALSE	1.59113718468545
"tgfb3_ChrAur2"	1.79268796757114	0	FALSE	1.58117767914767
"ecrg4a"	1.77577943678636	0	FALSE	1.56626410135404
"manf"	1.76438478042774	0	FALSE	1.5562138435168
"sfrp1a"	1.75559596100033	0	FALSE	1.54846197294252
"nxph2a"	1.74846081799593	0	FALSE	1.5421686697798
"col5a3a"	1.72923484186431	0	FALSE	1.52521107042673
"tgfb3_ChrAur1"	1.72461735069204	0	FALSE	1.52113837394674
"scg5"	1.71999424223081	0	FALSE	1.51706072293362
"zp3b_ChrAur1"	1.7194933059111	0	FALSE	1.51661888958519
"fbn2b"	1.71740864548694	0	FALSE	1.51478018781951
"hapln2"	1.7008896820772	0	FALSE	1.50021021429449
"col8a2_ChrAur2"	1.69489151771045	0	FALSE	1.49491974334576
"ndnfl"	1.6912946742998	0	FALSE	1.49174727350205
"igfbp6b"	1.6899776284484	2	FALSE	1.49058561930437
"bag6l"	1.68604355326853	5	FALSE	1.48711570598146
"cpe"	1.6784994655418	0	FALSE	1.48046170743915
"ccl19a.2"	1.67574703464326	0	FALSE	1.47803402209798
"ccka"	1.66481863033588	0	FALSE	1.46839500556408
"grna.1"	1.66096924092935	0	FALSE	1.46499978636361
"c1ql1l2_ChrAur1"	1.65654605461113	0	FALSE	1.46109846967962
"col2a1a"	1.63570826134014	0	FALSE	1.44271922343108
"mmp13a_ChrAur1"	1.63452757189979	0	TRUE	1.44167783763341
"f5"	1.63180141290247	0	FALSE	1.43927332450321
"comtb"	1.63156845790113	0	FALSE	1.43906785469752
"c8g"	1.62447977277664	0	FALSE	1.43281552808178
"wnt2bb"	1.62437206921936	0	FALSE	1.43272053192862
"col4a1"	1.60497924322036	0	FALSE	1.41561576848964
"olfml2ba"	1.59902574386042	0	FALSE	1.41036469274693
"a2ml_ChrAur1"	1.59208934351134	0	FALSE	1.40424668358751
"il12ba"	1.58252711323986	0	FALSE	1.39581265304698
"crp1"	1.58186427893841	0	FALSE	1.39522802325005
"proca1"	1.57959068352723	0	FALSE	1.39322267799165
"fgf12a"	1.57951211854881	0	FALSE	1.39315338250214
"fam3c"	1.57889197872261	0	FALSE	1.39260640987284
"ntn4_ChrAur2"	1.57765407448475	0	FALSE	1.3915145597655
"tg_ChrAur2"	1.5517281651048	0	FALSE	1.36864751878306
"spock1"	1.54438962640909	0	FALSE	1.3621748175695
"pgrmc1"	1.53891601022687	0	FALSE	1.35734700598818
"ybx1"	1.52957670132614	0	FALSE	1.34910959544065
"bmp5"	1.52471708730362	0	FALSE	1.3448233429747
"mstnb"	1.51637840329916	0	FALSE	1.33746849859585
"b3gat1a_ChrAur1"	1.51083774745754	0	FALSE	1.33258155702928
"adamts17"	1.51004480614486	0	FALSE	1.33188217089675
"col4a5_ChrAur3"	1.49751964057471	2	FALSE	1.3208347869764
"ppfibp2b"	1.45499041762177	0	FALSE	1.28332337435962
"cela1.6_ChrAur2"	1.45439817414575	7	FALSE	1.28280100672965
"fgf14_ChrAur2"	1.45234702746552	0	FALSE	1.28099186458885
"vegfaa"	1.45217684124529	0	FALSE	1.28084175778968
"egfl6"	1.43679930830281	0	FALSE	1.26727854305915
"vegfc"	1.43506438749375	0	FALSE	1.26574831688036
"eys"	1.43419888823906	0	FALSE	1.26498493355454
"smtla"	1.43121401830893	8	FALSE	1.26235223350074
"fam3a"	1.42868816463859	0	FALSE	1.26012439267368
"ccdc80"	1.42699462029435	0	FALSE	1.25863066115754
"wnt11"	1.42664433962204	0	FALSE	1.25832170835007
"farp1_ChrAur1"	1.41671892566579	0	FALSE	1.24956734435153
"tub"	1.41441929701112	0	FALSE	1.24753903738185
"si:ch211-196i2.1"	1.41432086678471	0	FALSE	1.24745222044562
"cxcl8a"	1.41232667203773	0	FALSE	1.24569331076427
"adamts8a"	1.38884066798104	0	FALSE	1.22497830287747
"c1qc"	1.3883420645723	0	FALSE	1.22453852719152
"tac4"	1.38126359368071	0	FALSE	1.21829520968242
"nucb1"	1.37785151260667	0	FALSE	1.21528570299118
"wnt6b"	1.37762537472948	0	FALSE	1.21508624599125
"crhb"	1.37406583102909	0	FALSE	1.21194667505151
"itih2"	1.37233065076336	0	FALSE	1.21041622002805
"pomca_ChrAur1"	1.36859727815571	0	FALSE	1.20712332938453
"fstl3"	1.36660743142171	0	FALSE	1.20536825471586
"tg_ChrAur1"	1.35709239493949	0	FALSE	1.1969758498054
"igfbp5b"	1.35556815234622	0	FALSE	1.19563144497328
"lum"	1.35406743611635	0	FALSE	1.19430779074659
"manba"	1.35087625341447	0	FALSE	1.19149311973325
"pamr1b"	1.34510021947367	1	FALSE	1.18639857115234
"nsun2"	1.3436183149925	0	FALSE	1.1850915091702
"hapln4"	1.34134923345239	0	FALSE	1.18309014521379
"hapln1b"	1.33891128816672	0	FALSE	1.18093984090071
"wnt10a"	1.33636747556671	0	FALSE	1.17869616002828
"apoc1_ChrAur1"	1.33033535016033	0	FALSE	1.17337573493316
"mmp9"	1.33014453644829	0	TRUE	1.17320743437678
"wnt9b"	1.32938976473088	0	FALSE	1.17254171439985
"ntn1a"	1.32785790517528	0	FALSE	1.17119059129269
"gdf5"	1.326657816732	0	FALSE	1.17013209528343
"prl"	1.32575058130442	0	FALSE	1.16933190002705
"sost"	1.32368444972146	0	FALSE	1.16750954097726
"draxina_ChrAur2"	1.3156951357559	0	FALSE	1.16046284621355
"pnocb"	1.31488371644275	0	FALSE	1.15974716220742
"col5a2a"	1.31405219284983	0	FALSE	1.15901374592494
"habp2_ChrAur3"	1.31377205001062	0	FALSE	1.1587666557384
"matn1"	1.31236390487369	0	FALSE	1.15752465060432
"loxl1"	1.31061884119928	0	FALSE	1.15598547826615
"igfbp1a"	1.3091081013963	0	FALSE	1.15465298309761
"tfpi2"	1.30281320931238	0	FALSE	1.14910079385119
"chrdl2"	1.30257131103296	0	FALSE	1.14888743594008
"tnfsf10l"	1.2950334089442	0	FALSE	1.14223889322324
"cckb"	1.29454296148477	0	FALSE	1.14180631120692
"sst1.2"	1.29387433188006	0	FALSE	1.14121656986559
"odc1"	1.29255979671459	0	FALSE	1.14005713013057
"adamts12"	1.29032178021737	0	FALSE	1.13808316600799
"fgf2"	1.272451632923	0	FALSE	1.12232142802789
"net1_ChrAur1"	1.27024926574342	0	FALSE	1.12037890713823
"prg4b"	1.26028313804705	0	FALSE	1.11158863301017
"hmgb2b"	1.25870579477189	0	FALSE	1.11019739258007
"col5a2b"	1.24701199084983	0	FALSE	1.09988328210442
"ndr2"	1.24373339542476	0	FALSE	1.09699151175796
"fndc5b_ChrAur1"	1.24273483866089	0	FALSE	1.09611076971308
"timp2a"	1.23901677987759	0	FALSE	1.09283138609236
"c1qa"	1.23747214880486	0	FALSE	1.09146899831552
"bmp15"	1.23301029522126	1	FALSE	1.08753357652342
"trh"	1.23014875173223	0	FALSE	1.08500965224066
"creg2"	1.22734072913694	0	FALSE	1.08253293418903
"cartl"	1.21311778516796	0	FALSE	1.06998808425288
"bmp3"	1.20851777384019	0	FALSE	1.06593080525795
"tcn2"	1.20710841009087	0	FALSE	1.06468772528947
"ncanb"	1.20447997818234	0	FALSE	1.06236940891757
"emid1"	1.2003326919089	0	FALSE	1.05871144021179
"tnr"	1.19768914807638	0	FALSE	1.05637979489624
"mgat5_ChrAur1"	1.19630813883108	0	FALSE	1.05516172402565
"otomp"	1.19218539606766	0	FALSE	1.05152540306388
"wu:fj39g12"	1.19140061014549	0	FALSE	1.05083321010811
"map4l"	1.18528146267498	0	FALSE	1.04543603024703
"col9a3"	1.18233938329451	0	FALSE	1.04284107209991
"bdnf"	1.18171097644194	0	FALSE	1.04228680782934
"gal"	1.18017800042861	0	FALSE	1.04093469998972
"spock2_ChrAur2"	1.17857395117398	0	FALSE	1.03951990448512
"sema3aa"	1.17804438444886	0	FALSE	1.03905281868964
"plg"	1.17037807196777	0	FALSE	1.03229101608051
"pi15a"	1.16684012221155	0	FALSE	1.02917049132346
"mgp"	1.16036855392075	0	FALSE	1.02346247101229
"kcp"	1.1538620616339	0	FALSE	1.01772364721271
"npnta"	1.15083102956717	0	FALSE	1.01505023146195
"pomca_ChrAur2"	1.15052599201511	0	FALSE	1.01478118376523
"creld2"	1.14981215019156	1	FALSE	1.01415156456866
"col4a5_ChrAur2"	1.14820594593759	0	FALSE	1.01273486832231
"edn1"	1.1446778039388	0	FALSE	1.00962299415444
"c3a.1_ChrAur2"	1.13972870444626	0	FALSE	1.00525781416157
"fgf22"	1.13353204273366	0	FALSE	0.999792265576191
"ada2a"	1.1315610382549	0	FALSE	0.998053810059285
