"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"	"X"
"calr"	1.840158471	513	FALSE	1.80435645225612	1.051250561
"efemp1"	1.805666705	524	FALSE	1.77053575609728	NA
"cbln12_ChrAur2"	1.753594242	48	FALSE	1.71947641198119	NA
"tgfb3_ChrAur1"	1.736037311	195	FALSE	1.702261067634	NA
"lgi1b_ChrAur1"	1.703455571	79	FALSE	1.67031323611774	NA
"ntn4_ChrAur1"	1.686928399	202	FALSE	1.65410761583791	NA
"bmp6"	1.677869996	23	FALSE	1.64522545261242	NA
"sst1.1"	1.651265822	53	TRUE	1.61913888791141	NA
"nrg2a"	1.640493136	24	FALSE	1.60857579467865	NA
"hmgb2a"	1.640144767	68	FALSE	1.60823420352614	NA
"nrg2b"	1.629369829	30	FALSE	1.59766890210816	NA
"myoc_ChrAur1"	1.619562478	0	FALSE	1.58805236237244	NA
"ccn2a"	1.618052045	35	TRUE	1.58657131627114	NA
"adcyap1b"	1.611677472	4	FALSE	1.58032076660154	NA
"cetp"	1.607614119	0	FALSE	1.57633646996682	NA
"lgi1b_ChrAur2"	1.604256339	22	FALSE	1.57304401874388	NA
"fam3a"	1.595385267	8	FALSE	1.56434554181709	NA
"bag6l"	1.589615773	99	FALSE	1.55868829876481	NA
"vegfaa"	1.559975822	11	FALSE	1.52962502096878	NA
"eda"	1.5593096	0	FALSE	1.52897176094619	NA
"sost"	1.554956678	0	FALSE	1.5247035291495	NA
"c1ql2_ChrAur2"	1.554621733	0	FALSE	1.5243751008204	NA
"col14a1a"	1.530922018	0	FALSE	1.50113648612998	NA
"naxe"	1.523725364	0	FALSE	1.49407984982164	NA
"tub"	1.522008142	0	FALSE	1.49239603799539	NA
"hmgb2b"	1.521923977	7	FALSE	1.49231351050485	NA
"creld2"	1.514900384	0	FALSE	1.48542656813152	NA
"bmp1a_ChrAur2"	1.512036747	0	FALSE	1.48261864589042	NA
"fbn2b"	1.509296753	3	FALSE	1.47993196105813	NA
"scube2"	1.508295217	0	FALSE	1.47894991088569	NA
"prss12"	1.499631631	0	FALSE	1.47045488312306	NA
"asah1b"	1.498654909	0	FALSE	1.46949716417085	NA
"ndnfl"	1.492941712	3	FALSE	1.46389512280733	NA
"elna"	1.481420537	0	FALSE	1.45259810313406	NA
"proza"	1.477319569	0	FALSE	1.44857692333465	NA
"pdgfab"	1.474922866	0	FALSE	1.44622685045216	NA
"scg2b"	1.47453404	2	FALSE	1.44584558942874	NA
"bmper"	1.473828555	0	FALSE	1.44515383030485	NA
"cyb5d2"	1.466662647	0	FALSE	1.43812734180408	NA
"odc1"	1.464733108	0	FALSE	1.43623534380532	NA
"adma"	1.461191433	0	FALSE	1.43276257543306	NA
"ybx1"	1.444785974	0	FALSE	1.416676300112	NA
"col2a1a"	1.438283556	0	FALSE	1.41030039278746	NA
"col5a2a"	1.436420445	0	FALSE	1.40847353036931	NA
"ccka"	1.431604949	0	FALSE	1.4037517243861	NA
"mmp13a_ChrAur1"	1.429507889	0	TRUE	1.40169546466641	NA
"tgm2a"	1.427628924	1	FALSE	1.39985305670278	NA
"apoc1_ChrAur1"	1.426527521	0	FALSE	1.39877308253702	NA
"pamr1b"	1.407992087	1	FALSE	1.38059827288865	NA
"metrn"	1.40760919	1	FALSE	1.38022282551094	NA
"npy"	1.403438343	0	FALSE	1.37613312627339	NA
"col5a3a"	1.402324041	0	FALSE	1.37504050406984	NA
"pgrmc1"	1.386598334	0	FALSE	1.35962075553247	NA
"cxcl11.1"	1.379718089	0	FALSE	1.35287437218859	NA
"nxph1_ChrAur1"	1.3787222	0	FALSE	1.35189785914843	NA
"habp2_ChrAur3"	1.374322591	1	FALSE	1.34758384869137	NA
"b3gat1a_ChrAur2"	1.370149053	0	FALSE	1.34349151080976	NA
"pcsk2"	1.369396976	0	FALSE	1.34275406617717	NA
"pomca_ChrAur1"	1.367519776	0	FALSE	1.3409133888738	NA
"pyyb"	1.366735123	0	FALSE	1.34014400203802	NA
"manf"	1.365879348	0	FALSE	1.33930487694784	NA
"wnt4b"	1.359619707	0	FALSE	1.33316702316777	NA
"tgfb2"	1.358465541	0	FALSE	1.33203531255594	NA
"hapln2"	1.357147057	0	FALSE	1.3307424809058	NA
"lgi3"	1.348818968	0	FALSE	1.32257642273258	NA
"pla1a"	1.346686502	0	FALSE	1.32048544587002	NA
"c1ql1l2_ChrAur1"	1.345959826	0	FALSE	1.31977290803702	NA
"loxl1"	1.33980083	0	FALSE	1.31373374111354	NA
"tfpi2"	1.337657307	0	FALSE	1.31163192237534	NA
"manba"	1.33639239	0	FALSE	1.31039161552868	NA
"pnocb"	1.334645191	0	FALSE	1.30867840993323	NA
"angpt2a"	1.332978461	0	FALSE	1.30704410773749	NA
"mmp9"	1.328451995	0	TRUE	1.30260570840302	NA
"ncanb"	1.312384383	0	FALSE	1.28685070694991	NA
"abcb6a"	1.312231317	2	FALSE	1.28670061899332	NA
"pomca_ChrAur2"	1.312172763	1	FALSE	1.28664320421662	NA
"cd9a_ChrAur2"	1.305974936	0	FALSE	1.28056596178687	NA
"cxcl8a"	1.304504068	1	FALSE	1.27912371091118	NA
"lamb1b"	1.296987685	0	FALSE	1.27175356623211	NA
"ntn4_ChrAur2"	1.292063742	0	FALSE	1.26692542318758	NA
"lipib"	1.290770063	0	FALSE	1.26565691393276	NA
"crp1"	1.288372235	0	FALSE	1.2633057379382	NA
"tgm8_ChrAur1"	1.288338973	0	FALSE	1.26327312308179	NA
"vwa1"	1.286480243	0	FALSE	1.26145055642714	NA
"nsun2"	1.284319002	0	FALSE	1.25933136440934	NA
"comtb"	1.283432115	0	FALSE	1.25846173263247	NA
"cart2"	1.281971088	0	FALSE	1.25702913129083	NA
"tmem98"	1.279042739	0	FALSE	1.25415775608273	NA
"igfbp6b"	1.27867473	0	FALSE	1.25379690704494	NA
"sema3aa"	1.271573219	0	FALSE	1.2468335626398	NA
"c1qb_ChrAur2"	1.263262915	0	FALSE	1.23868494344264	NA
"tnfsf10_ChrAur1"	1.262715577	0	FALSE	1.23814825441969	NA
"cckb"	1.262097009	0	FALSE	1.23754172124358	NA
"paplna"	1.260349568	1	FALSE	1.23582827835648	NA
"tnr"	1.258358509	0	FALSE	1.23387595728734	NA
"egfl6"	1.254698122	0	FALSE	1.23028678656901	NA
"b3gat1a_ChrAur1"	1.253218597	0	FALSE	1.22883604712342	NA
"fgf12a"	1.250301286	0	FALSE	1.22597549516061	NA
"spock1"	1.249533081	0	FALSE	1.22522223631348	NA
"anxa2a_ChrAur2"	1.246133635	4	FALSE	1.22188892974187	NA
"vegfc"	1.245592313	1	FALSE	1.22135813967197	NA
"spock3"	1.243162707	0	FALSE	1.21897580394837	NA
"ognb"	1.24278109	0	FALSE	1.21860161166706	NA
"trh"	1.242027362	0	FALSE	1.21786254815624	NA
"adgrl2b.1"	1.235324428	0	FALSE	1.21129002605961	NA
"pla2g12a"	1.234735854	2	FALSE	1.21071290332194	NA
"col8a2_ChrAur2"	1.232234498	0	FALSE	1.20826021356227	NA
"a2ml_ChrAur1"	1.232027999	0	FALSE	1.20805773219509	NA
"gatd1"	1.228788134	0	FALSE	1.2048809018246	NA
"igfbp5b"	1.227867933	0	FALSE	1.20397860420302	NA
"zp3b_ChrAur1"	1.224848115	0	FALSE	1.20101753961059	NA
"olfml2ba"	1.224628054	0	FALSE	1.20080176010491	NA
"dkk3a"	1.223111735	0	FALSE	1.19931494252129	NA
"tgfb3_ChrAur2"	1.222827785	3	FALSE	1.19903651703637	NA
"inhbb_ChrAur1"	1.220093796	1	FALSE	1.19635572037114	NA
"tcn2"	1.218738161	0	FALSE	1.19502646052874	NA
"stc2a"	1.217147191	0	FALSE	1.19346644435074	NA
"proca1"	1.213876789	0	FALSE	1.19025967110639	NA
"xylt2"	1.212692157	0	FALSE	1.18909808723933	NA
"pi15a"	1.212370214	0	FALSE	1.18878240794406	NA
"adamts17"	1.207558091	0	FALSE	1.18406390933596	NA
"fgf2"	1.203749827	0	FALSE	1.18032973870414	NA
"fam3c"	1.194949693	0	FALSE	1.17170081961165	NA
"ndnf"	1.193271576	0	FALSE	1.17005535196073	NA
"igfbp7"	1.191864044	0	FALSE	1.16867520482342	NA
"draxina_ChrAur2"	1.191768733	0	FALSE	1.16858174818882	NA
"sfrp1a"	1.191131064	0	FALSE	1.16795648564069	NA
"olfml2bb"	1.189222977	0	FALSE	1.16608552227303	NA
"ltbp4"	1.187942662	0	FALSE	1.16483011700899	NA
"gh1"	1.187450672	0	FALSE	1.1643476991385	NA
"c1ql4l_ChrAur1"	1.183415198	0	FALSE	1.16039073909154	NA
"sst1.2"	1.176712821	0	FALSE	1.15381876315795	NA
"emilin1a_ChrAur1"	1.173517316	0	FALSE	1.15068542972182	NA
"adgrb2"	1.172956137	0	FALSE	1.15013516898859	NA
"mgat4a"	1.169472235	0	FALSE	1.14671904958811	NA
"bmp5"	1.168311552	0	FALSE	1.14558094877067	NA
"nrg3b"	1.163484996	1	FALSE	1.1408482979702	NA
"enpp2"	1.159302977	0	FALSE	1.13674764409444	NA
"adamts12"	1.156116395	0	FALSE	1.13362306005293	NA
"npnta"	1.14845562	0	FALSE	1.12611133265642	NA
"sparc"	1.147971629	0	FALSE	1.12563675815784	NA
"tnfsf10l"	1.147092579	0	FALSE	1.12477481090473	NA
"fgf22"	1.14593381	0	FALSE	1.12363858684861	NA
"smpd1"	1.145434607	0	FALSE	1.12314909631384	NA
"pnoca"	1.144249339	0	FALSE	1.12198688882076	NA
"crhb"	1.141058597	0	FALSE	1.11885822571597	NA
"adamts1"	1.139310737	0	FALSE	1.1171443719809	NA
"uts1"	1.135245547	0	FALSE	1.11315827408675	NA
"dkk2"	1.134946607	0	FALSE	1.11286515024642	NA
"lum"	1.134253032	0	FALSE	1.11218506940225	NA
"si:dkey-225n22.4"	1.131101762	0	FALSE	1.10909511033247	NA
"c1qtnf6a"	1.130661016	0	FALSE	1.10866293946162	NA
