"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"
"c7b"	2.28827067530329	1811	FALSE	2.17781058817609
"pyyb"	2.1404687954624	701	TRUE	2.03714344492952
"draxina_ChrAur2"	2.10046628866184	786	FALSE	1.99907195111365
"tmem98"	2.00702995874573	93	FALSE	1.9101460076893
"si:ch211-196i2.1"	1.97884376341963	526	FALSE	1.88332042482269
"prss12"	1.96628509456878	32	TRUE	1.87136799179457
"ndnfl"	1.95388775411601	122	FALSE	1.85956909947179
"wnt4b"	1.92210234844639	76	TRUE	1.82931804842094
"qpct"	1.91759792390141	0	FALSE	1.82503106280618
"svep1"	1.90990769176153	0	FALSE	1.81771205585455
"bmp1a_ChrAur1"	1.90321236654701	0	FALSE	1.81133992938331
"pla2g12a"	1.89986982078187	255	FALSE	1.80815873598807
"scg5"	1.84311917210913	0	FALSE	1.75414757161873
"nxph2a"	1.81633251226652	120	FALSE	1.72865396543974
"emilin1a_ChrAur2"	1.81010510308489	104	FALSE	1.72272716761856
"igfbp2a"	1.78543898244583	0	FALSE	1.69925173733982
"edn3b_ChrAur2"	1.78374941244412	11	FALSE	1.69764372676707
"smpdl3a"	1.78273501169161	297	FALSE	1.69667829347139
"adm2a_ChrAur1"	1.76981301219148	2	FALSE	1.68438006859987
"smtla"	1.74682281275357	14	TRUE	1.6624996589523
"hmgb2b"	1.74671759277723	428	FALSE	1.66239951818616
"cbln20_ChrAur2"	1.73330496477928	313	TRUE	1.64963434858255
"tgfbi"	1.72118532787937	197	FALSE	1.63809975442359
"nucb1"	1.71215268013715	9	FALSE	1.62950313335748
"nsun2"	1.70928703632056	31	FALSE	1.62677582075716
"cart4"	1.69621124675234	0	TRUE	1.61433122961776
"cbln20_ChrAur1"	1.66211189957547	276	FALSE	1.58187793633687
"gpc1b"	1.64433363026926	29	FALSE	1.56495786496927
"lgi1b_ChrAur2"	1.63618197848642	0	FALSE	1.55719971216183
"twsg1a"	1.635821167812	3	FALSE	1.55685631864831
"pthlha"	1.61514053815381	0	FALSE	1.53717399053658
"tnfsf13b"	1.6140270702249	0	FALSE	1.5361142722649
"calr"	1.60849524705133	1	FALSE	1.53084948291574
"col5a2a"	1.60505137849797	44	FALSE	1.52757185781626
"tac4"	1.60335035915001	13	TRUE	1.52595295058353
"naxe"	1.60206018339056	0	FALSE	1.52472505457461
"dkk3a"	1.60059860166508	6	TRUE	1.52333402675977
"npc2.1"	1.59975025892254	0	FALSE	1.52252663547208
"prl"	1.59891213611947	1	FALSE	1.52172897078389
"st3gal2"	1.59228069384634	1	FALSE	1.51541764347757
"bmp1a_ChrAur2"	1.58709862860267	164	FALSE	1.51048572843881
"pyya"	1.58597103832412	0	FALSE	1.50941256953577
"sparc"	1.58062564750059	3	FALSE	1.50432521301844
"bag6l"	1.57145804766503	2	FALSE	1.49560015430685
"adgrb2"	1.56513258297147	46	FALSE	1.48958003433876
"fshb"	1.5597555374125	1	TRUE	1.48446255113286
"olfml2bb"	1.55874482355753	10	FALSE	1.4835006267597
"c7a"	1.55721949392109	22	FALSE	1.48204892829214
"grp"	1.5569810473725	0	FALSE	1.48182199210673
"c1qc"	1.5544259199932	0	FALSE	1.47939020660127
"bmp3"	1.53912021877142	0	FALSE	1.46482334677126
"igfbp7"	1.53427104217621	0	FALSE	1.46020825108046
"gatd1"	1.53418120862125	2	FALSE	1.46012275399776
"cd74a"	1.53365761982311	17	FALSE	1.45962444003484
"gnrh3"	1.53126217158229	0	FALSE	1.45734462558868
"ybx1"	1.52880094664808	0	FALSE	1.45500220964136
"il1fma"	1.52858916910399	22	TRUE	1.45480065508628
"fgf12b"	1.52594165008088	0	FALSE	1.4522809378941
"fgf16"	1.52462328953764	0	TRUE	1.45102621764571
"tinagl1"	1.52197737237584	1	FALSE	1.44850802498931
"cbln1"	1.4901716758393	0	FALSE	1.41823766255834
"sost"	1.48785812624134	0	FALSE	1.41603579331923
"lgi3"	1.48612937105007	0	FALSE	1.41439048911613
"bpifcl"	1.48242588458416	0	FALSE	1.41086577845769
"fbln5"	1.48032316462822	0	FALSE	1.408864561629
"hhipl1"	1.47492073971145	0	FALSE	1.40372292418526
