"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"	"X"
"cga"	3.913485884	8286	TRUE	3.57183406410547	1.264156713
"lum"	3.721026664	8105	FALSE	3.39617675542379	NA
"lhb"	3.579989022	7488	TRUE	3.2674518618254	NA
"fshb"	3.522677533	7626	TRUE	3.21514373174839	NA
"prf1.5"	3.393575675	7318	TRUE	3.09731261447542	NA
"lipg"	3.368150657	6679	TRUE	3.07410722979672	NA
"pcsk9"	3.342669862	6920	TRUE	3.05085093751428	NA
"ecrg4a"	3.278468254	6218	TRUE	2.99225420375263	NA
"hspg2"	3.247649841	5809	FALSE	2.96412627366219	NA
"loxa"	3.200474707	6162	FALSE	2.92106958313244	NA
"col16a1"	3.190248644	5717	FALSE	2.91173626719679	NA
"inhbaa_ChrAur2"	3.181538457	6400	FALSE	2.90378648954241	NA
"calr"	3.15053017	5875	FALSE	2.87548526167061	NA
"adma"	3.147187488	5919	FALSE	2.87243439965476	NA
"mif"	3.122732407	5903	FALSE	2.8501142753601	NA
"adamts17"	3.016016548	5212	FALSE	2.75271483362074	NA
"paplna"	2.949397039	3926	FALSE	2.69191128439803	NA
"wnt4b"	2.918799061	4833	TRUE	2.66398454507849	NA
"angptl4"	2.857081939	4726	FALSE	2.60765539883079	NA
"ptn"	2.832364281	3361	FALSE	2.58509562081032	NA
"frzb"	2.781088685	4464	FALSE	2.53829644333049	NA
"igfbp3_ChrAur1"	2.686089331	3	FALSE	2.45159064222552	NA
"itih2"	2.664111278	1717	FALSE	2.4315312985368	NA
"lgi1b_ChrAur2"	2.641336151	2137	FALSE	2.41074446632526	NA
"nucb1"	2.63454487	796	FALSE	2.40454607196951	NA
"lgi1b_ChrAur1"	2.620425193	1920	FALSE	2.39165905901541	NA
"gfod2"	2.58180219	703	FALSE	2.35640788861067	NA
"ndnfl"	2.577374313	14	FALSE	2.35236657036676	NA
"si:ch211-136a13.1"	2.568174236	2269	TRUE	2.34396967067298	NA
"pdgfd"	2.561041771	2804	FALSE	2.33745987807293	NA
"lamc3"	2.546660594	2	FALSE	2.32433419436968	NA
"c8g"	2.538726513	0	TRUE	2.31709276776865	NA
"ndnf"	2.523572217	2149	FALSE	2.30326145924352	NA
"tgfbr3"	2.523126986	0	FALSE	2.30285509742203	NA
"pnocb"	2.493084212	0	FALSE	2.27543509215457	NA
"gh1"	2.480533024	0	FALSE	2.26397963730633	NA
"sfrp5"	2.448087385	1188	FALSE	2.23436653991771	NA
"smtla"	2.442176941	0	TRUE	2.2289720844785	NA
"abcb6a"	2.433204186	0	FALSE	2.2207826613126	NA
"cbln20_ChrAur1"	2.425606029	592	FALSE	2.2138478321599	NA
"ngrn"	2.420864125	1	FALSE	2.20951990183437	NA
"gpx3"	2.403396746	5	FALSE	2.1935774451162	NA
"proza"	2.394612573	614	FALSE	2.18556014052474	NA
"tgm2b"	2.392780958	0	FALSE	2.1838884276214	NA
"itih5"	2.367366887	0	FALSE	2.160693034257	NA
"adm2a_ChrAur1"	2.359286554	25	FALSE	2.15331812362382	NA
"nbl1"	2.344879626	1	FALSE	2.1401689370125	NA
"pcolce2b"	2.321516322	1	TRUE	2.11884527632972	NA
"col4a6"	2.319920764	1142	FALSE	2.11738901237871	NA
"emilin1a_ChrAur1"	2.313762084	0	FALSE	2.11176799222789	NA
"naxe"	2.267780481	0	FALSE	2.06980063606875	NA
"uts1"	2.259576628	0	FALSE	2.06231298887367	NA
"col8a2_ChrAur2"	2.25877497	0	FALSE	2.06158131653933	NA
"dkk3a"	2.237687909	30	TRUE	2.04233518022398	NA
"anxa2a_ChrAur2"	2.233301083	285	FALSE	2.03833132918055	NA
"cela1.6_ChrAur2"	2.227412432	0	FALSE	2.03295676418737	NA
"olfml3b_ChrAur2"	2.213976841	0	FALSE	2.02069411573848	NA
"loxl4_ChrAur1"	2.203353239	496	FALSE	2.01099796641487	NA
"npc2.1"	2.18479194	35	FALSE	1.99405709017119	NA
"sftpba"	2.150732937	0	FALSE	1.96297147731585	NA
"tac4"	2.137903779	93	TRUE	1.95126231956839	NA
"igfbp1a"	2.131049938	0	FALSE	1.94500682677261	NA
"prozb"	2.118839943	0	FALSE	1.93386277838295	NA
"col5a3a"	2.118202205	0	FALSE	1.93328071564402	NA
"bmp5"	2.111617507	1	FALSE	1.92727086935471	NA
"col1a2"	2.095166297	87	FALSE	1.9122558689138	NA
"cart4"	2.083795279	0	TRUE	1.90187755386685	NA
"creg2"	2.070517951	0	FALSE	1.88975935187598	NA
"col1a1b"	2.04056399	39	FALSE	1.86242040613145	NA
"chga"	2.040437754	0	FALSE	1.86230519067947	NA
"tnfsf13b"	2.038029878	0	FALSE	1.86010752502439	NA
"c1ql1l2_ChrAur1"	2.036099452	0	FALSE	1.85834562743502	NA
"fbln2_ChrAur3"	2.028896911	0	FALSE	1.85177187655039	NA
"creld2"	2.018659501	2	FALSE	1.8424282042209	NA
"nell2a"	2.002458958	0	FALSE	1.82764198726251	NA
"nrg2b"	2.001644299	2	FALSE	1.82689844893042	NA
"nsun2"	1.985204541	0	FALSE	1.81189390071674	NA
"col1a1a"	1.977473701	144	FALSE	1.80483797194259	NA
"fam3a"	1.962995698	0	FALSE	1.79162391526053	NA
"cd74b"	1.959395391	0	FALSE	1.78833791920356	NA
"pyyb"	1.948866181	0	TRUE	1.77872792134976	NA
"dipk2ab"	1.943061314	2	FALSE	1.77342982591699	NA
"smpdl3a"	1.932271843	0	FALSE	1.76358228814791	NA
"cbln20_ChrAur2"	1.925191249	33	TRUE	1.75711983814989	NA
"tinagl1"	1.912737365	0	FALSE	1.7457531925505	NA
"fgf16"	1.91156158	0	TRUE	1.74468005493367	NA
"alkal1"	1.897835078	0	FALSE	1.73215189234975	NA
"spx"	1.893198843	0	TRUE	1.72792040599895	NA
"tgfb3_ChrAur2"	1.893188449	1	FALSE	1.72791091940711	NA
"tgm2a"	1.878808883	0	FALSE	1.71478670606171	NA
"col4a2"	1.873950557	0	FALSE	1.71035251751071	NA
"tgfb3_ChrAur1"	1.872482204	0	FALSE	1.70901235341685	NA
"lama1"	1.870683824	0	FALSE	1.70737097405978	NA
"olfml3b_ChrAur1"	1.870412669	0	FALSE	1.70712349120323	NA
"gdf11"	1.855460372	0	FALSE	1.69347654693301	NA
"igfbp2a"	1.855300515	0	FALSE	1.69333064563302	NA
"plat"	1.853659536	0	FALSE	1.69183292598756	NA
"emilin2a"	1.842732993	0	FALSE	1.68186028276177	NA
"adamts8a"	1.840067415	0	FALSE	1.67942741278775	NA
"scg5"	1.839751013	0	FALSE	1.67913863304635	NA
"hmgb2b"	1.838888826	131	FALSE	1.67835171596334	NA
"st3gal2"	1.833685024	0	FALSE	1.67360221186459	NA
"nid1a"	1.830499822	0	FALSE	1.67069508166357	NA
"col14a1a"	1.823373241	1	FALSE	1.66419065938355	NA
"mmp2"	1.81868711	0	FALSE	1.65991363301095	NA
"draxina_ChrAur2"	1.799520947	0	FALSE	1.64242069809033	NA
"prss12"	1.795106959	0	TRUE	1.63839205632075	NA
"kcp"	1.791871019	0	FALSE	1.63543861760549	NA
"lamb1a"	1.790701252	0	FALSE	1.63437097261034	NA
"bmp3"	1.78014424	0	FALSE	1.62473559990312	NA
"bmp1a_ChrAur2"	1.762525383	65	FALSE	1.60865488938862	NA
"prl"	1.744922823	0	FALSE	1.59258905312726	NA
"inhbab"	1.736205343	0	TRUE	1.58463261916018	NA
"gpc1b"	1.735760958	0	FALSE	1.58422702948192	NA
"gphb5"	1.724001986	0	FALSE	1.57349462926548	NA
"htra1b"	1.716288623	1	FALSE	1.56645465172912	NA
"spink4"	1.711536898	0	TRUE	1.56211775778819	NA
"b2m_ChrAur2"	1.698421911	0	FALSE	1.55014772424126	NA
"fetub"	1.692064043	0	TRUE	1.54434490543199	NA
"endouc"	1.681035735	3	TRUE	1.53427938140777	NA
"pla2g12a"	1.672757313	1	FALSE	1.52672367517218	NA
"myoc_ChrAur2"	1.667374892	0	FALSE	1.52181114571762	NA
"fbln7"	1.666189329	0	FALSE	1.52072908373144	NA
"bag6"	1.665467038	0	FALSE	1.52006984956669	NA
"adamtsl4"	1.662273404	0	FALSE	1.51715502348896	NA
"col28a1b"	1.660935758	0	FALSE	1.51593415552364	NA
"cbln18_ChrAur2"	1.658794356	0	TRUE	1.51397970038179	NA
"il1fma"	1.639250037	0	TRUE	1.49614162291501	NA
"thbs4b"	1.635884952	0	FALSE	1.49307031370683	NA
"ltbp4"	1.630568264	0	FALSE	1.48821777868575	NA
"fgf8a"	1.61840671	4	FALSE	1.47711794234106	NA
"sema3c"	1.613326216	0	TRUE	1.47248098131205	NA
"bag6l"	1.609597693	2	FALSE	1.46907796265938	NA
"cpe"	1.60761828	0	FALSE	1.46727135469147	NA
"myoc_ChrAur1"	1.601027703	0	FALSE	1.46125614264562	NA
