"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"	"X"
"hmgb2b"	1.905150946	949	FALSE	1.86808443735222	1.074205057
"bmp1a_ChrAur2"	1.792948475	484	FALSE	1.75806497125813	NA
"col16a1"	1.748431196	390	FALSE	1.71441381791106	NA
"col1a2"	1.744528627	501	FALSE	1.71058717707197	NA
"si:ch73-52e5.2"	1.738804892	448	FALSE	1.70497480273519	NA
"col1a1a"	1.737292401	345	FALSE	1.70349173867422	NA
"cbln20_ChrAur1"	1.729686422	478	FALSE	1.69603374116984	NA
"gphb5"	1.718130855	64	FALSE	1.68470299862537	NA
"emilin1a_ChrAur2"	1.717669913	12	FALSE	1.68425102468675	NA
"cbln18_ChrAur2"	1.717420954	367	TRUE	1.68400690941892	NA
"calr"	1.693844206	107	FALSE	1.66088886928953	NA
"anxa2a_ChrAur2"	1.679060066	134	FALSE	1.64639236867806	NA
"nrg2b"	1.664059123	205	FALSE	1.63168328317345	NA
"a2ml_ChrAur1"	1.654240611	178	FALSE	1.62205579958551	NA
"dkk3a"	1.65247563	10	TRUE	1.62032515795565	NA
"cbln20_ChrAur2"	1.652386166	303	TRUE	1.62023743456215	NA
"igfbp7"	1.650166292	12	FALSE	1.61806075030467	NA
"tinagl1"	1.644454452	28	FALSE	1.61246003953944	NA
"fgf2"	1.640954732	4	FALSE	1.60902840989308	NA
"prl"	1.636699839	0	FALSE	1.60485629984973	NA
"bag6l"	1.626976633	84	FALSE	1.59532226799367	NA
"col1a1b"	1.620537892	106	FALSE	1.58900879877303	NA
"pla2g12a"	1.600704033	1	FALSE	1.56956082620775	NA
"thbs4b"	1.597453627	0	FALSE	1.56637365992235	NA
"col5a1_ChrAur2"	1.596044443	1	FALSE	1.56499189292626	NA
"smpdl3a"	1.591023114	162	FALSE	1.56006825861821	NA
"tgfbi"	1.589706144	123	FALSE	1.55877691151177	NA
"cd74a"	1.589295393	8	FALSE	1.55837415205991	NA
"col20a1"	1.589094156	3	FALSE	1.55817683031555	NA
"chga"	1.577976382	0	FALSE	1.54727536309533	NA
"endouc"	1.570573945	15	TRUE	1.54001694748936	NA
"scube2"	1.56745605	0	FALSE	1.53695971407747	NA
"sparc"	1.549595836	0	FALSE	1.51944698738711	NA
"fstl1b"	1.544193682	13	FALSE	1.51414993738865	NA
"adm2a_ChrAur1"	1.531483792	0	FALSE	1.50168733028693	NA
"nsun2"	1.525590849	0	FALSE	1.49590904005139	NA
"adgrb2"	1.52379997	2	FALSE	1.49415300429154	NA
"wnt4b"	1.521592868	0	TRUE	1.49198884354276	NA
"angptl4"	1.511890818	0	FALSE	1.48247555607676	NA
"lum"	1.508883683	10	FALSE	1.4795269277246	NA
"psap"	1.508818878	0	FALSE	1.479463383567	NA
"itih3a.1"	1.50547876	1	FALSE	1.47618825071319	NA
"nucb1"	1.503650216	2	FALSE	1.47439528276144	NA
"plat"	1.50311249	0	FALSE	1.47386801872797	NA
"col4a2"	1.493169317	0	FALSE	1.46411829953737	NA
"lama4"	1.480980231	2	FALSE	1.4521663637026	NA
"ltbp3"	1.479838271	1	FALSE	1.45104662161153	NA
"qsox1"	1.478433273	0	FALSE	1.44966895917286	NA
"cxcl11.1"	1.472338385	0	FALSE	1.44369265296777	NA
"c7a"	1.466566836	0	FALSE	1.43803339489746	NA
"sostdc1a"	1.461462189	2	FALSE	1.43302806361969	NA
"scg5"	1.455155253	7	FALSE	1.42684383500846	NA
"olfml2bb"	1.455066167	3	FALSE	1.42675648226061	NA
"col4a1"	1.453799603	21	FALSE	1.42551456045789	NA
"draxina_ChrAur2"	1.451993753	3	FALSE	1.42374384497297	NA
"acp7"	1.446897705	0	FALSE	1.41874694539355	NA
"col22a1"	1.440936033	0	FALSE	1.41290126334554	NA
"loxl3b"	1.440083167	0	FALSE	1.41206499065801	NA
"angptl2b"	1.437360125	0	FALSE	1.40939492800857	NA
"tcn2"	1.434849324	0	FALSE	1.40693297701029	NA
"bpifcl"	1.430483106	0	FALSE	1.40265170789982	NA
"tac4"	1.420309948	1	TRUE	1.39267647828433	NA
"ecrg4a"	1.420010882	0	TRUE	1.39238323089545	NA
"fgf12b"	1.41662554	0	FALSE	1.38906375391721	NA
"fbln2_ChrAur2"	1.408862415	1	FALSE	1.38145166783649	NA
"tgfb1a"	1.407157035	0	FALSE	1.37977946761295	NA
"nid2a"	1.40318529	0	FALSE	1.37588499665819	NA
"cd74b"	1.403068542	0	FALSE	1.37577052010065	NA
"sftpba"	1.388968587	0	FALSE	1.36194489302466	NA
"fbln2_ChrAur1"	1.384997814	0	FALSE	1.35805137515872	NA
"fndc4a"	1.383244421	0	FALSE	1.35633209607339	NA
"hspg2"	1.382790325	3	FALSE	1.35588683493939	NA
"proza"	1.379042589	0	FALSE	1.35221201467824	NA
"olfml3b_ChrAur2"	1.377959654	0	FALSE	1.35115014920012	NA
"c1qtnf6a"	1.376598456	0	FALSE	1.34981543459113	NA
"tsku"	1.375577549	0	FALSE	1.34881439029976	NA
"draxina_ChrAur1"	1.371058697	0	FALSE	1.34438345682774	NA
"hmgb2a"	1.367612277	0	FALSE	1.3410040901796	NA
"vegfc"	1.36576541	0	FALSE	1.3391931557191	NA
"mmrn2a_ChrAur1"	1.362599169	0	FALSE	1.33608851692425	NA
"ndnfl"	1.361301276	0	FALSE	1.33481587565677	NA
"gh1"	1.35723873	0	FALSE	1.33083237032111	NA
"emid1"	1.35230922	0	FALSE	1.32599876858782	NA
"mmp13a_ChrAur1"	1.347902674	0	FALSE	1.32167795609663	NA
"cart4"	1.346992697	2	TRUE	1.32078568355748	NA
"tnfsf13b"	1.346709325	0	FALSE	1.32050782482703	NA
"hapln2"	1.346031739	0	FALSE	1.31984342190177	NA
"col4a6"	1.33989299	0	FALSE	1.31382410805381	NA
"ccn1"	1.333004413	1	FALSE	1.30706955481685	NA
"farp1_ChrAur1"	1.330849148	0	FALSE	1.30495622253034	NA
"gpc1b"	1.327398191	0	FALSE	1.30157240715381	NA
"hyal1"	1.322781184	0	FALSE	1.29704522837989	NA
"il1fma"	1.31894033	0	TRUE	1.29327910181727	NA
"lhb"	1.316084507	1	TRUE	1.29047884154743	NA
"adamtsl5"	1.314013101	0	FALSE	1.28844773670497	NA
"net1_ChrAur1"	1.310708469	0	FALSE	1.28520739943755	NA
"ntn4_ChrAur1"	1.307824245	0	FALSE	1.28237929073596	NA
"dcn"	1.307779491	0	FALSE	1.28233540746724	NA
"creld2"	1.305443474	1	FALSE	1.28004483988137	NA
"lipg"	1.304036107	0	TRUE	1.27866485453383	NA
"fshb"	1.303221113	1	TRUE	1.27786571701082	NA
"olfml3b_ChrAur1"	1.296741559	0	FALSE	1.27151222884559	NA
"pcsk9"	1.295481873	0	TRUE	1.2702770512249	NA
"pyyb"	1.295456612	0	TRUE	1.27025228170148	NA
"col14a1a"	1.29327713	0	FALSE	1.26811520357954	NA
"loxa"	1.293197244	1	FALSE	1.26803687183702	NA
"cga"	1.292550775	1	TRUE	1.26740298050118	NA
"col11a1b"	1.289519677	0	FALSE	1.26443085537179	NA
"col5a2a"	1.286973738	0	FALSE	1.26193445001644	NA
"smtla"	1.286937613	2	TRUE	1.26189902786239	NA
"col5a3a"	1.286765164	0	FALSE	1.26172993402034	NA
"mdkb"	1.283166778	1	FALSE	1.25820155801407	NA
"dkk3b"	1.281565199	0	FALSE	1.25663113924418	NA
"grna.1"	1.269584759	0	FALSE	1.24488379000467	NA
"spon1a_ChrAur2"	1.26929662	0	FALSE	1.2446012570207	NA
"mgat5_ChrAur1"	1.268123639	0	FALSE	1.24345109747244	NA
"ngrn"	1.268110703	0	FALSE	1.24343841315452	NA
"frzb"	1.267546909	2	FALSE	1.24288558829858	NA
"si:ch211-136a13.1"	1.26151298	0	TRUE	1.23696905507865	NA
"asah1b"	1.24439905	0	FALSE	1.22018809272915	NA
"angptl1a_ChrAur2"	1.242212232	0	FALSE	1.21804382133601	NA
"olfm3a"	1.238248845	0	FALSE	1.21415754576848	NA
"hmcn2"	1.235376563	0	FALSE	1.21134114672401	NA
"bmp6"	1.230186412	0	FALSE	1.20625197500721	NA
"dipk2ab"	1.227802933	0	FALSE	1.20391486883933	NA
"b2m_ChrAur2"	1.227692946	1	FALSE	1.20380702174015	NA
"efemp2a"	1.224646312	0	FALSE	1.2008196628783	NA
"scg2b"	1.223715019	0	FALSE	1.19990648906203	NA
"edn2_ChrAur1"	1.219661213	0	FALSE	1.19593155368143	NA
"kitlga"	1.218250305	0	FALSE	1.19454809622738	NA
"penka"	1.217465358	0	FALSE	1.19377842111165	NA
"anxa2a_ChrAur1"	1.213215195	0	FALSE	1.18961094904169	NA
"ndnf"	1.212960481	1	FALSE	1.18936119074281	NA
"spink4"	1.208493425	0	TRUE	1.18498104553075	NA
"pdgfrl"	1.204105469	0	FALSE	1.18067846135358	NA
"lpla"	1.203593366	0	FALSE	1.18017632180047	NA
"pnocb"	1.202147978	0	FALSE	1.17875905518734	NA
"spock2_ChrAur1"	1.193754333	2	FALSE	1.17052871646795	NA
"kcp"	1.190077715	0	FALSE	1.16692363053903	NA
"inhbaa_ChrAur1"	1.188663511	0	FALSE	1.16553694121177	NA
"ybx1"	1.18655136	1	FALSE	1.16346588410171	NA
"olfml1"	1.179839065	1	FALSE	1.15688418313217	NA
"bgnb"	1.178157611	0	FALSE	1.15523544340574	NA
"hbegfa"	1.176816417	0	TRUE	1.15392034360006	NA
"pthlha"	1.174674857	1	FALSE	1.15182044966984	NA
"timp2a"	1.17395955	0	FALSE	1.15111905964222	NA
"abcb6a"	1.17381537	0	FALSE	1.15097768480012	NA
"lamb1a"	1.171468951	1	FALSE	1.14867691759497	NA
"fgf14_ChrAur2"	1.167897627	0	FALSE	1.14517507707197	NA
"mfap5"	1.162279729	0	FALSE	1.13966648057652	NA
"inhbb_ChrAur1"	1.161937005	0	FALSE	1.13933042459521	NA
"prf1.5"	1.161838152	0	TRUE	1.13923349487357	NA
"inhbaa_ChrAur2"	1.16177624	0	FALSE	1.13917278742992	NA
"galnt1"	1.161181528	1	FALSE	1.13858964611283	NA
