"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"inhbaa_ChrAur1"	3.54248239076957	9767	FALSE	3.00142567814769
"luzp2"	3.39697182808604	7947	FALSE	2.87813949317806
"nucb1"	3.01661003339358	6070	FALSE	2.55587179170664
"edn2_ChrAur2"	2.68286487238007	215	FALSE	2.27310078941921
"col12a1b"	2.64747777217632	128	FALSE	2.24311849465792
"nampt2"	2.58802291670131	2631	FALSE	2.19274440377233
"epoa"	2.56214919345032	775	FALSE	2.1708224719775
"qsox1"	2.55392796722017	0	FALSE	2.16385690467438
"cbln12_ChrAur2"	2.54663896060018	0	FALSE	2.15768117556012
"svep1"	2.49169423948486	0	FALSE	2.11112836918234
"dag1_ChrAur1"	2.48373783340424	0	FALSE	2.1043871750473
"hmgb2a"	2.45964362274138	0	FALSE	2.08397296416325
"gal"	2.4461263073524	0	TRUE	2.07252019939755
"tmem98"	2.39845620384065	0	FALSE	2.03213093080643
"col1a1a"	2.33428033405312	7	TRUE	1.9777568839517
"anxa2a_ChrAur2"	2.29761668299538	78	FALSE	1.94669301076885
"st3gal1l3"	2.23041875766395	0	FALSE	1.88975847832529
"svbp"	2.21547248146834	1	FALSE	1.87709500333299
"tpo"	2.20992913815105	0	FALSE	1.87239831577325
"loxl3b"	2.20664357169374	0	FALSE	1.86961456628788
"col27a1b_ChrAur1"	2.14144289843101	1	FALSE	1.81437223806257
"igf2b"	2.13491759812678	0	FALSE	1.80884357151457
"wnt6b"	2.09613489534032	0	FALSE	1.77598429737546
"chid1"	2.08259260658508	0	FALSE	1.76451037352004
"f8"	2.06973660903349	0	FALSE	1.75361792102117
"b2m_ChrAur1"	2.06222475672218	0	FALSE	1.74725338227953
"mmp13a_ChrAur1"	2.0585889594592	49	TRUE	1.74417289406198
"fbln7"	2.05249548996714	0	FALSE	1.73901010317553
"nsun2"	2.01713121645873	0	FALSE	1.70904714870221
"b3gat1a_ChrAur1"	1.99720023120914	0	FALSE	1.69216029809294
"adamts1"	1.98286157298094	1	FALSE	1.6800116372814
"angptl4"	1.97785880405426	2	FALSE	1.67577296014429
"c6.2"	1.97710748018374	0	FALSE	1.67513638880565
"angptl3_ChrAur1"	1.93309960375625	0	FALSE	1.63785000152695
"ltbp4"	1.92187271389412	0	FALSE	1.62833783694831
"gldn"	1.91125800814849	0	FALSE	1.61934435529433
"dag1_ChrAur2"	1.87722179223952	0	FALSE	1.59050661916829
"ndnf"	1.8750087860927	0	FALSE	1.588631613807
"nxph1_ChrAur1"	1.86929909162263	0	FALSE	1.58379398253423
"mgat5_ChrAur1"	1.86713624144663	0	FALSE	1.58196147263294
"ifi30b"	1.85443851216281	0	FALSE	1.57120311549165
"col5a3b"	1.84412714445327	0	FALSE	1.56246664191005
"bgnb"	1.80896600288382	0	FALSE	1.53267579426758
"fgf9"	1.80119959351014	0	FALSE	1.52609557792497
"col9a3"	1.78909355040227	0	TRUE	1.51583853649566
"igfbp2a"	1.78312439162303	0	FALSE	1.51078106987744
"ache"	1.77878338734336	0	FALSE	1.50710308357385
"gfod2"	1.75746793966736	0	FALSE	1.48904322471254
"hmgb2b"	1.75089550539457	0	FALSE	1.48347462314499
"alkal1"	1.74272409940689	0	FALSE	1.47655126685057
"col1a2"	1.7387927485211	0	TRUE	1.47322036603109
"scg3"	1.7303019463131	0	FALSE	1.46602639610718
"penka"	1.69528279268467	0	FALSE	1.43635585005133
"adamts6"	1.69255372801969	0	FALSE	1.43404360573809
"igfbp6b"	1.68683697028663	0	FALSE	1.42919999000116
"grnb"	1.68475677501273	0	FALSE	1.42743751080665
"mif"	1.67830526475582	0	FALSE	1.42197136407339
"dkk3b"	1.67629487729852	0	FALSE	1.42026803068404
"pm20d1.2"	1.6753640452876	0	FALSE	1.41947936816115
"loxl4_ChrAur2"	1.65959047812346	0	FALSE	1.40611495747394
