"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"hmgb2b"	2.99053083304411	4031	FALSE	2.8928295748617
"lgi1b_ChrAur1"	2.79494995859451	3657	FALSE	2.70363836785809
"asah1b"	2.72882839202362	3256	FALSE	2.63967700648408
"anxa2a_ChrAur2"	2.6639075572888	3156	FALSE	2.57687714878978
"nsun2"	2.58560917774161	2953	FALSE	2.50113679342708
"calr"	2.5470510836022	2830	FALSE	2.46383840016382
"vegfaa"	2.51329143114415	2624	FALSE	2.431181682504
"loxl2b"	2.39166639084264	2415	FALSE	2.31353015731648
"col12a1b"	2.34456232820184	2277	FALSE	2.26796499410272
"a2ml_ChrAur1"	2.33508820739563	2191	TRUE	2.25880039477434
"fgfbp3"	2.31366233624173	2186	FALSE	2.23807451124346
"nid2a"	2.30989232074238	2131	FALSE	2.23442766292687
"si:ch73-52e5.2"	2.29080482261537	2075	FALSE	2.21596375729452
"vwc2"	2.21482849572827	1802	FALSE	2.14246959265331
"bdnf"	2.20199833253443	1772	FALSE	2.13005859353325
"pla2g12a"	2.19257769217011	1702	FALSE	2.12094572742971
"tgfb3_ChrAur2"	2.16401819609663	1747	FALSE	2.09331927597446
"cd9a_ChrAur2"	2.16360226055005	1616	FALSE	2.09291692912784
"angptl4"	2.16340473332915	1490	FALSE	2.09272585516193
"thbs4b"	2.16205257475565	1635	FALSE	2.09141787188749
"lgi3"	2.13903315218922	1366	FALSE	2.0691504985969
"inhbab"	2.13548267712692	1626	FALSE	2.06571601828607
"qsox1"	2.09503179031311	1273	FALSE	2.02658667027488
"wnt5a"	2.08029312887314	1226	FALSE	2.01232952393942
"angptl1a_ChrAur1"	2.07650933249676	1224	FALSE	2.00866934496988
"farp1_ChrAur1"	2.06837318009481	1135	FALSE	2.00079900234246
"angptl2a"	2.04592712615729	1064	FALSE	1.97908626560959
"nrg2b"	2.03670098263297	1051	FALSE	1.97016154209423
"ccn4a"	2.0355470359551	1184	FALSE	1.96904529509197
"st3gal2"	2.03322076842013	950	FALSE	1.96679502719644
"grem2b"	2.03321273417186	1154	FALSE	1.96678725542872
"scg3"	1.9970422807087	1133	FALSE	1.9317984981291
