"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"hmgb2b"	3.35989527088713	4913	FALSE	3.18581937934348
"vegfaa"	3.05680794066862	4297	FALSE	2.89843497822533
"nsun2"	3.02795915025388	4299	FALSE	2.87108084121688
"anxa2a_ChrAur2"	2.98409991271516	4235	FALSE	2.82949394708813
"asah1b"	2.92387345738246	4071	FALSE	2.77238781934343
"col12a1b"	2.79322589497949	3759	FALSE	2.64850909616601
"lgi1b_ChrAur1"	2.75553987075467	3557	FALSE	2.61277558168829
"calr"	2.73777448134608	3327	FALSE	2.59593061561156
"a2ml_ChrAur1"	2.65314882155306	3365	TRUE	2.51568940413858
"bdnf"	2.55119432998461	3014	FALSE	2.41901716620774
"cd9a_ChrAur2"	2.54188707940349	3098	FALSE	2.41019212349684
"nid2a"	2.54005103223044	3010	FALSE	2.40845120177348
"ccn4a"	2.52234796708045	2791	FALSE	2.39166533094075
"pla2g12a"	2.48066703028936	2833	FALSE	2.35214387998101
"scg3"	2.40830167210952	2503	FALSE	2.28352776492526
"tgfb3_ChrAur2"	2.39291664625717	2522	FALSE	2.26893983596901
"angptl2a"	2.39181503747976	2493	FALSE	2.26789530144976
"loxl2b"	2.37391317191408	2419	FALSE	2.25092093003416
"fgfbp3"	2.35967181101738	2418	FALSE	2.23741741284835
"il1fma"	2.35845074489477	2080	FALSE	2.23625961005891
"thbs4b"	2.35653284984574	2232	FALSE	2.23444108099115
"nmbb"	2.3506990555843	2164	TRUE	2.22890953511999
"ntn4_ChrAur2"	2.32911433622637	2044	FALSE	2.20844311825753
"gnrh3"	2.31763606262918	2085	FALSE	2.19755953305052
"angptl4"	2.29888607232765	2145	FALSE	2.17978097817034
"abcb6a"	2.2884971513905	2075	FALSE	2.16993030635363
"epoa"	2.24800783937277	1913	FALSE	2.1315387421879
"tinagl1"	2.24274258516964	1980	FALSE	2.12654628036243
"lgi3"	2.23954541147313	1879	FALSE	2.12351475196637
"vwa1"	2.20898404709598	1858	FALSE	2.09453676930854
"si:ch73-52e5.2"	2.16189652868966	1615	FALSE	2.04988885127256
"rspo3"	2.16068878283229	1549	FALSE	2.04874367862653
"ccn2a"	2.10320443321429	1243	TRUE	1.99423758832997
"inhbab"	2.10142090013237	1354	FALSE	1.99254645994709
"ppfibp2b"	2.07279543063129	1340	FALSE	1.96540407361454
"vwc2"	2.06252429927941	1137	FALSE	1.95566508871458
"c1qtnf6b"	2.05539247140873	1374	FALSE	1.94890276024636
"wnt5a"	2.04119250116222	1055	FALSE	1.93543848926464
"naxe"	2.0355823517616	985	FALSE	1.93011900123286
"angptl1a_ChrAur1"	2.02805604591558	1009	FALSE	1.92298263266005
"creld2"	2.01096037281588	971	FALSE	1.90677268494654
"igfbp1a"	1.98511614184577	1165	FALSE	1.88226744141046
"coch"	1.98289107360315	747	TRUE	1.88015765376645
"dkk3b"	1.96938680654089	936	FALSE	1.86735304164548
"ngrn"	1.95598623370576	478	FALSE	1.85464675136245
"cxcl12a"	1.95142292856097	700	FALSE	1.85031987067361
"loxl1"	1.94867474144208	826	FALSE	1.84771406689833
"clcf1"	1.93672928751433	638	FALSE	1.83638750593441
"grp"	1.92898059783985	550	FALSE	1.8290402752206
"emilin3"	1.92562148651279	585	FALSE	1.82585519916902
"timp2a"	1.92467151103492	654	FALSE	1.8249544418408
"sost"	1.91085614741482	389	FALSE	1.8118548510485
