Gene_symbol	score_df_1	n_cor	is_deg	Ssec_norm
loxl4_ChrAur1	2.06208675185936	1487	True	1.81079654870141
bmp5	1.89453851084392	625	False	1.66366608665941
dag1_ChrAur2	1.8921323820129	603	False	1.66155317371867
pthlha	1.81900377010191	430	False	1.59733616735832
wnt6b	1.7658083140265	222	False	1.55062322078558
fam3c	1.74033461360925	52	False	1.52825379876364
impg1b	1.72148085103645	312	False	1.51169759511892
comtb	1.71991643126454	158	True	1.51032381881143
emilin2b	1.70236776434875	78	False	1.49491366913815
asip2b	1.63357694226065	0	False	1.43450584046308
adamts12	1.61901370020592	2	True	1.42171730553513
cyb5d2	1.58732196082801	105	True	1.39388758778144
scg5	1.57383883592777	17	False	1.38204754467315
net1_ChrAur1	1.5433049352397	312	True	1.35523456896565
vwc2	1.53674047511328	97	False	1.34947006767574
c8g	1.51984947275817	0	True	1.33463743818468
col22a1	1.51909063594431	80	False	1.3339710748116
ctrb.2_ChrAur1	1.51646676597893	71	False	1.3316669551264
pcolce2b	1.51334932023771	19	False	1.32892940784141
tfa	1.50971217287292	6	False	1.32573549085933
mfap5	1.50457898534677	43	False	1.321227844298
cpamd8	1.50017629531558	79	True	1.31736167527951
fgf22	1.49092790351574	4	False	1.30924031184167
vwc2l	1.48670874448592	19	False	1.30553530835298
nxpe3_ChrAur3	1.48438713800835	1	False	1.30349661769497
lama2	1.45978130468418	0	True	1.28188930266753
gdf3	1.45720112512661	15	True	1.2796235491857
meltf	1.45560020329036	49	False	1.27821771903175
gatd1	1.45153823322135	1	False	1.27465074912844
cd9a_ChrAur2	1.42982670565982	7	True	1.25558503371176
arsk	1.42747408442859	24	True	1.25351910782282
calca	1.41784629321476	0	False	1.24506457937686
agr2	1.41756591543377	8	False	1.2448183690185
ndnf	1.40999397822217	2	True	1.23816916390752
hpse	1.40596237422649	4	False	1.23462885960435
ppfibp2b	1.40550121300718	2	True	1.23422389645546
si:dkey-225n22.4	1.40200217813418	8	False	1.23115126128815
col5a3b	1.4009373561656	0	True	1.23021620075108
wnt11	1.39552299841073	6	False	1.22546164795299
penka	1.3876604457995	0	False	1.21855724244262
ccl20b	1.38340642022837	0	False	1.21482162132224
