"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"
"hmgb2b"	2.67230628091824	3068	FALSE	2.58500148438862
"bmp1a_ChrAur1"	2.6705088766851	3067	FALSE	2.58326280172193
"timp2a"	2.6033695557775	2912	FALSE	2.51831693625499
"bmp1a_ChrAur2"	2.39725435722958	1989	FALSE	2.31893556369078
"calr"	2.37097684869093	2343	FALSE	2.29351654676765
"vegfaa"	2.23417016544511	1950	FALSE	2.1611793660373
"si:ch211-136a13.1"	2.2231570433903	1444	FALSE	2.15052604494805
"luzp2"	2.21813453461051	1480	FALSE	2.14566762256443
"fam3a"	2.21550342354737	1913	FALSE	2.14312247044157
"nrg2b"	2.15217442181295	1825	FALSE	2.08186244023572
"nsun2"	2.15216238714562	1715	FALSE	2.08185079874345
"igfbp7"	2.14887648236123	1454	FALSE	2.07867224514506
"tg_ChrAur1"	2.14277534926269	1151	TRUE	2.07277043732132
"anxa2a_ChrAur2"	2.13885874970647	1459	FALSE	2.06898179387918
"loxa"	2.1212595777125	1201	FALSE	2.05195759045861
"enpp2"	2.10940289072111	1183	FALSE	2.04048826387298
"qpct"	2.10906308715519	975	FALSE	2.04015956175954
"ybx1"	2.08649660441136	1273	FALSE	2.01833033065427
"asah1b"	2.05788439453082	1447	FALSE	1.99065288756289
"scg5"	2.05768705894098	757	FALSE	1.99046199896741
"pla2g12a"	2.03528734012465	1204	FALSE	1.96879408357779
"cd9a_ChrAur2"	2.02017621941937	1020	FALSE	1.95417664629792
"sost"	2.01127462201518	1342	FALSE	1.94556586591411
"wnt7aa_ChrAur1"	2.00514591299417	174	FALSE	1.93963738307895
"prg4b"	1.95938154552195	489	FALSE	1.89536814691672
"col4a1"	1.9452342906456	317	FALSE	1.88168308577065
"cxcl12a"	1.93982106923404	651	FALSE	1.8764467154174
"angptl2a"	1.93669804604714	1076	FALSE	1.87342572204117
"hhipl1"	1.93615752887042	379	FALSE	1.87290286367192
"matn3a_ChrAur2"	1.90973348794035	9	FALSE	1.84734210160078
"gatd1"	1.89780447419906	526	FALSE	1.83580281119507
"ntn4_ChrAur2"	1.88546053724687	750	FALSE	1.8238621532052
"col5a2a"	1.86129060667766	35	FALSE	1.80048185924522
"bdnf"	1.85584137228622	797	FALSE	1.79521065246356
"ca6"	1.85442312232517	112	FALSE	1.79383873702081
"reln"	1.85338006201808	245	FALSE	1.79282975370876
"cxcl8a"	1.85156007684079	1	FALSE	1.79106922782201
"angptl3_ChrAur1"	1.82437357502971	843	FALSE	1.76477091462386
"ghra"	1.81819500850232	186	FALSE	1.75879420313733
"dag1_ChrAur2"	1.8174822260274	333	FALSE	1.75810470741266
"loxl2b"	1.81432989748667	756	FALSE	1.75505536609454
"hmgb2a"	1.79871757150761	753	FALSE	1.7399530980204
"manba"	1.79480458482908	608	FALSE	1.73616794942249
"naxe"	1.78007732969231	474	FALSE	1.72192183674396
"paplnb"	1.77102287671495	128	FALSE	1.71316319461003
"cpe"	1.77007034418905	33	FALSE	1.71224178151792
"a2ml_ChrAur1"	1.75079591849239	579	FALSE	1.69359705527812
"rnaset2"	1.745075388522	87	FALSE	1.68806341619995
"dipk2ab"	1.72881588349687	0	FALSE	1.67233511255245
"ltbp4"	1.72624429458396	382	FALSE	1.66984753797892
"igfbp6b"	1.72490553568292	78	FALSE	1.66855251660688
"fbln2_ChrAur3"	1.71362627099172	19	FALSE	1.65764174781598
"angptl1a_ChrAur1"	1.71236264006692	501	FALSE	1.65641939997372
"ccn4a"	1.69723489340376	446	FALSE	1.64178587990944
"nmbb"	1.69371267999293	0	FALSE	1.63837873793611
"c1ql2_ChrAur2"	1.69353135472459	4	FALSE	1.63820333660162
"pdgfrl"	1.68539497605333	5	FALSE	1.63033277509715
"nrg2a"	1.6850743631838	251	FALSE	1.6300226367161
"prss12"	1.68162385541081	3	FALSE	1.62668485774264
"paplna"	1.6779258284085	75	FALSE	1.62310764604407
"pamr1b"	1.67095080458498	96	FALSE	1.61636049768529
"fgfbp3"	1.66786051540309	0	FALSE	1.61337116888738
"st3gal1l3"	1.66283715777492	0	FALSE	1.60851192538743
"spock3"	1.66188427313243	3	FALSE	1.60759017168245
"apoeb_ChrAur1"	1.63374328561497	119	TRUE	1.58036855602251
"loxl3b"	1.62614228508047	206	FALSE	1.57301588174081
"arsk"	1.61942245822694	190	FALSE	1.56651559301446
"ccka"	1.61772268639509	3	FALSE	1.56487135307841
"odc1"	1.6111004742363	147	FALSE	1.55846548995462
"wnt4b"	1.60791850118655	0	FALSE	1.55538747261969
"lamb2"	1.59625179329748	111	FALSE	1.54410191847999
"lamb1b"	1.58958748814778	0	FALSE	1.53765533755197
"smpd1"	1.5843863142101	0	FALSE	1.53262408703796
"adamts10"	1.57321703117861	0	FALSE	1.5218197067833
"draxina_ChrAur2"	1.5705198141128	2	TRUE	1.51921060835449
"fgf12a"	1.56705332489366	111	FALSE	1.51585737005203
"cyb5d2"	1.56256175641839	0	FALSE	1.51151254204383
"npnta"	1.56139627655728	0	TRUE	1.5103851386498
"adcyap1b"	1.5597628837827	5	TRUE	1.50880510915355
"loxl4_ChrAur2"	1.55881327686609	65	FALSE	1.50788652609046
"abcb6a"	1.55253740878309	168	FALSE	1.50181569191018
"sst1.1"	1.55251672655826	38	TRUE	1.5017956853779
"pla1a"	1.54825403809511	8	FALSE	1.49767225982469
