"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"col5a1_ChrAur2"	4.06220538252601	11398	FALSE	3.45005518863206
"epoa"	3.16149897323751	5882	FALSE	2.6850798788737
"fga"	2.89112118685869	1763	FALSE	2.45544641701091
"anxa2a_ChrAur2"	2.7629274789069	935	FALSE	2.34657073850101
"efemp2a"	2.73729811257467	0	FALSE	2.32480356526152
"calub"	2.71859171375985	0	FALSE	2.30891610950428
"inhbb_ChrAur2"	2.44429533931871	0	FALSE	2.07595456749698
"lgi2a"	2.33627774096894	0	FALSE	1.98421457885602
"gldn"	2.20634133514093	0	FALSE	1.87385881667632
"il1b_ChrAur1"	2.20515892439017	0	FALSE	1.8728545881941
"mgat5_ChrAur1"	2.19667910012689	0	FALSE	1.86565262301921
"pcolce2b"	2.18696674973907	0	FALSE	1.85740386607712
"lamc2"	2.18462162340409	0	FALSE	1.85541213633474
"reln"	2.17715174069258	0	FALSE	1.84906792052572
"tgm2a"	2.14288062674135	0	FALSE	1.81996125964239
"mmp9"	2.13307274429269	0	TRUE	1.81163136675291
"cxcl12a"	2.13077541667633	0	FALSE	1.80968023274652
"dkk3a"	2.09610641268903	360	FALSE	1.78023564148936
"c1qtnf4"	2.07573862925652	0	FALSE	1.76293716189635
"ccdc126"	2.05025282881733	0	FALSE	1.74129192002357
"fgf9"	2.04773786185154	0	FALSE	1.73915594362344
"c3a.1_ChrAur1"	2.01598991533667	0	FALSE	1.71219222384866
"emilin1a_ChrAur2"	2.00441965100921	0	FALSE	1.70236552954893
"bmp1a_ChrAur2"	1.94689053016446	0	FALSE	1.65350570509947
"cbln1"	1.94412182952099	0	FALSE	1.65115423117797
"ccn1"	1.94003403162721	0	FALSE	1.64768244011734
"manf"	1.92317660394872	1	FALSE	1.63336532654171
"gpc1b"	1.90616209164942	0	FALSE	1.61891480006347
"mmp13a_ChrAur1"	1.90614525515911	0	TRUE	1.61890050073212
"gfod2"	1.8775870614644	0	FALSE	1.59464585699643
"vegfc"	1.86619253580945	0	FALSE	1.58496841859635
"adamts15a_ChrAur1"	1.84074914420815	0	FALSE	1.56335919480179
"lpla"	1.84034834249673	0	TRUE	1.56301879152478
"creg1"	1.82940549918702	0	FALSE	1.55372496962659
"col5a2b"	1.8114047674158	0	FALSE	1.53843684108597
"loxl4_ChrAur2"	1.79947209027165	0	FALSE	1.52830234742582
"chrdl2"	1.78937809286386	0	FALSE	1.51972945540008
"col1a1a"	1.76033150178408	0	TRUE	1.49506001286082
"meltf"	1.75969554678708	0	FALSE	1.49451989249995
"nid2a"	1.74422007921778	0	FALSE	1.48137648586334
"spock2_ChrAur2"	1.71990627665043	0	FALSE	1.46072662875279
"angptl3_ChrAur1"	1.66796846762848	0	FALSE	1.41661553868503
"ccl36.1_ChrAur1"	1.65250549903349	0	FALSE	1.40348274750163
"c1ql4a_ChrAur1"	1.63579921835236	0	TRUE	1.3892940039697
"hapln1b"	1.62098194505765	0	FALSE	1.37670960564467
"olfm3b"	1.60125451757711	0	FALSE	1.35995498416975
"spock3"	1.59072901907953	0	FALSE	1.35101561570239
"nrg2a"	1.58792438365273	0	FALSE	1.34863362215571
"adcyap1b"	1.58199286314766	0	TRUE	1.343595946517
"clcf1"	1.57282377254972	0	FALSE	1.33580858334513
"tmem98"	1.5570029653081	0	FALSE	1.32237187767114
"qpct"	1.5414907996706	0	FALSE	1.30919730314697
"vwa1"	1.54081755372912	0	FALSE	1.30862551136519
"lamb2l"	1.53148592623279	0	FALSE	1.30070010463893
"dipk2ab"	1.52627698597986	0	FALSE	1.29627612070543
"adamts1"	1.51418768234571	0	FALSE	1.28600860323589
"zgc:113531"	1.49364732402259	0	FALSE	1.268563554762
"nbl1"	1.49353217055079	0	FALSE	1.2684657542336
"twsg1a"	1.48304375179904	0	FALSE	1.25955787781488
"pdgfrl"	1.47772973563579	0	FALSE	1.25504465228587
"fam3a"	1.47394657649932	0	FALSE	1.25183159273345
"pdgfaa"	1.46615098382915	0	FALSE	1.2452107495196
"mstnb"	1.45602294754393	0	FALSE	1.23660894807283
"cyb5d2"	1.44160196289002	1	FALSE	1.22436112004709
"wnt7bb"	1.43654480632148	1	FALSE	1.22006604689937
"loxl3b"	1.43188663151249	0	FALSE	1.21610983133272
"col9a3"	1.43130785517389	0	FALSE	1.21561827314646
"srpx2"	1.42310004032384	0	FALSE	1.20864732718381
"ccl19a.2"	1.41639057305059	0	FALSE	1.20294893672857
"bmp1a_ChrAur1"	1.41538552381494	0	FALSE	1.20209534243587
"dkk2"	1.40736884100333	0	FALSE	1.19528672605011
"c7b"	1.39884583563438	0	FALSE	1.18804808690538
"apoc1_ChrAur1"	1.39657980173927	0	TRUE	1.18612353084254
"col22a1"	1.39588458092821	0	FALSE	1.18553307567334
"tfpia"	1.3926169185981	0	FALSE	1.18275783062414
"adamts6"	1.39052389196855	0	FALSE	1.18098021066079
"scg2b"	1.38148134887899	20	FALSE	1.17330032504034
"loxl1"	1.38029302596337	0	FALSE	1.17229107532135
"sst1.1"	1.3759542663337	49	TRUE	1.16860614096599
"col5a1_ChrAur1"	1.36441304088759	0	FALSE	1.15880410956088
"inhbaa_ChrAur1"	1.35800359847443	0	FALSE	1.15336053200351
"c6.2"	1.35468016428285	0	FALSE	1.1505379195807
"htra1b"	1.35432925532056	0	FALSE	1.15023989051223
"inhbaa_ChrAur2"	1.35224394413937	0	FALSE	1.14846882332505
"bpifcl"	1.35060224403919	0	TRUE	1.14707451766705
"c1qtnf2"	1.35010408556702	0	FALSE	1.14665142871417
"hapln2"	1.3485193089454	0	FALSE	1.14530546850503
"pcolcea"	1.34848153190948	0	FALSE	1.14527338424377
"scg5"	1.33675947064593	11	FALSE	1.13531776790351
"lamb2"	1.33031440244595	0	FALSE	1.12984393315353
"loxl4_ChrAur1"	1.32691210073807	0	FALSE	1.12695433808011
"igfbp6b"	1.31460625932508	1	FALSE	1.11650291378728
"fgf12b"	1.3135282750772	0	FALSE	1.11558737535497
"cxcl11.1"	1.30952694082526	0	FALSE	1.11218901837953
"psap"	1.3079594373153	0	FALSE	1.11085772832684
"impg1b"	1.3071294996562	0	FALSE	1.11015285733747
"tpo"	1.30345017149567	0	FALSE	1.10702798205039
"prozb"	1.29745985151301	0	FALSE	1.10194036766569
"qrfp"	1.29736412898085	0	FALSE	1.10185906994988
"draxina_ChrAur2"	1.2938688822082	0	TRUE	1.09889053608022
"matn3a_ChrAur2"	1.29250878311409	0	FALSE	1.09773539583131
"bag6l"	1.28216605484078	3	FALSE	1.08895125520232
"wnt9b"	1.27901617933943	5	FALSE	1.08627604720725
"igfbp7"	1.27370145394591	0	FALSE	1.08176221932475
"igfbp5b"	1.27175130535945	0	FALSE	1.08010594653307
