"Gene_symbol"	"score_df_1"	"n_cor"	"is_deg"	"Ssec_norm"
"hmgb2b"	3.56315541451272	5237	FALSE	3.42377607371554
"calr"	3.00534599575126	4143	FALSE	2.8877863905628
"vegfaa"	2.99725440222154	4154	FALSE	2.88001131451294
"nrg2b"	2.78739665496282	3579	FALSE	2.67836253685318
"nsun2"	2.76941339054528	3644	FALSE	2.66108272071345
"angptl2a"	2.65929731485438	3188	FALSE	2.55527403671769
"asah1b"	2.65030362154231	3326	FALSE	2.54663214816835
"fam3a"	2.63397398089856	3113	FALSE	2.53094127128413
"angptl3_ChrAur1"	2.57025268942947	2919	FALSE	2.46971255467258
"anxa2a_ChrAur2"	2.55623409854652	2880	FALSE	2.45624232661103
"sost"	2.55314176619198	3058	FALSE	2.45327095649219
"bdnf"	2.50810821693579	2739	FALSE	2.40999897687832
"hmgb2a"	2.48148040193843	2624	FALSE	2.38441275756497
"ntn4_ChrAur2"	2.45263071010087	2614	FALSE	2.35669157418768
"ybx1"	2.38894845451477	2474	FALSE	2.29550036649915
"loxa"	2.37912302035567	2423	FALSE	2.28605927216721
"timp2a"	2.37412702174109	2425	FALSE	2.28125870117577
"pamr1b"	2.29096822989449	2092	FALSE	2.20135281756378
"a2ml_ChrAur1"	2.2674084289164	1981	FALSE	2.17871460129015
"naxe"	2.25133419827907	1891	FALSE	2.16326914358283
"ccn4a"	2.22889657375617	1759	FALSE	2.14170920777996
"loxl2b"	2.20404874626781	1767	FALSE	2.11783334850873
"odc1"	2.1669604717995	1545	FALSE	2.08219584972807
"dag1_ChrAur2"	2.14910492292577	1527	FALSE	2.06503875330506
"cxcl12a"	2.12730189588622	1400	FALSE	2.04408859154436
"angptl1a_ChrAur1"	2.12267025411775	1420	FALSE	2.0396381249146
"igfbp6b"	2.1224187744536	1364	FALSE	2.03939648233746
"angptl2b"	2.10948674700693	1315	FALSE	2.02697031479612
"cd9a_ChrAur2"	2.1065667450846	1352	FALSE	2.02416453408946
"igfbp7"	2.08625961396046	1241	FALSE	2.00465175353954
"ltbp4"	2.08052424474165	1303	FALSE	1.99914073377731
"pla2g12a"	2.07379804809363	1245	FALSE	1.99267764461292
"scg5"	2.049636226474	1089	FALSE	1.9694609568362
"nrg2a"	2.04050190029844	1014	FALSE	1.96068393653503
"vwa1"	2.0199815719536	1197	FALSE	1.94096629836362
"il1fma"	2.01955907753523	1226	FALSE	1.94056033058714
"tg_ChrAur1"	2.01361409416107	1025	TRUE	1.93484789611061
"arsk"	2.00569999339934	929	FALSE	1.9272433698745
"pdgfrl"	2.00202369439075	946	FALSE	1.92371087602533
"paplnb"	1.98380601562443	971	FALSE	1.90620581508279
"loxl3b"	1.95869956195498	687	FALSE	1.88208144626655
"prg4b"	1.94172833803625	759	FALSE	1.86577408281056
"lgi1b_ChrAur1"	1.94162582714569	627	FALSE	1.86567558182097
"tgfb3_ChrAur1"	1.94150368480146	552	FALSE	1.86555821729793
"abcb6a"	1.94049986325361	773	FALSE	1.86459366206584
"manba"	1.93727322721105	701	FALSE	1.86149324179337
"loxl4_ChrAur2"	1.93671249546664	468	FALSE	1.86095444409668
"si:ch211-136a13.1"	1.92897942884283	542	FALSE	1.85352387051709
"lamb2"	1.92138677678858	355	FALSE	1.84622821893437
"wnt7bb"	1.91507829608522	719	FALSE	1.84016650599148
"col4a1"	1.90791881062335	733	FALSE	1.83328707689765
"pyyb"	1.90644269022355	633	FALSE	1.831868697647
"igfbp1a"	1.88653800804672	958	FALSE	1.81274262351777
"pm20d1.2"	1.88464053574739	256	FALSE	1.81091937431777
"lgi1b_ChrAur2"	1.88337143805771	618	FALSE	1.80969991970531
"qpct"	1.88297981700943	359	FALSE	1.80932361763058
"enpp2"	1.86878554262178	588	FALSE	1.79568457824593
"f5"	1.86267056119428	115	FALSE	1.78980879550083
"sst1.1"	1.85637033271901	863	TRUE	1.78375501198504
"il1b_ChrAur1"	1.85468718111743	379	FALSE	1.78213769993672
"sparc"	1.85464856025166	356	FALSE	1.78210058979675
"reln"	1.85306558177901	39	FALSE	1.78057953242222
"calca"	1.84248866915374	325	FALSE	1.77041635507871
"angptl7"	1.83908173392324	319	FALSE	1.76714268835079
"igfbp2a"	1.83694845787229	354	FALSE	1.76509285929418
"fgf12a"	1.83093842177414	149	FALSE	1.75931791674994
"metrn"	1.82795530750946	667	FALSE	1.75645149245563
"col5a1_ChrAur1"	1.81972196022495	51	FALSE	1.74854020760836
"ghra"	1.8104372162269	11	FALSE	1.73961865335293
"htra1b"	1.80654345765947	175	FALSE	1.73587720627328
"crhb"	1.80542816507735	145	FALSE	1.7348055404003
"c1ql1l2_ChrAur2"	1.80330052991515	226	FALSE	1.73276113157876
"cpe"	1.80322997625429	325	FALSE	1.73269333775338
"pgrmc1"	1.79796767540639	269	FALSE	1.72763688142752
"rnaset2"	1.79791904389256	0	FALSE	1.7275901522243
"hhipl1"	1.79785320012492	78	FALSE	1.72752688405606
"c8g"	1.79716542399321	4	TRUE	1.72686601154563
"clcf1"	1.7959306471259	30	FALSE	1.72567953523381
"ppfibp2b"	1.79111282591942	3	FALSE	1.72105017191527
"col1a2"	1.76187217851838	74	TRUE	1.69295332591639
"c6.2"	1.75749132118574	280	FALSE	1.6887438338306
"mgat4a"	1.7490405531994	314	FALSE	1.6806236330899
"ntn4_ChrAur1"	1.74664039532712	579	FALSE	1.67831736178251
"st3gal1l3"	1.74459243462213	173	FALSE	1.67634951080607
"lgi3"	1.73963284226907	70	FALSE	1.67158392197864
"hpse"	1.72400091225727	58	FALSE	1.65656346349895
"mfap5"	1.7230679881193	165	FALSE	1.65566703239488
"calub"	1.71795910858267	6	FALSE	1.65075799602511
"adamts15a_ChrAur1"	1.71051577964627	91	FALSE	1.64360582651338
"ca6"	1.70832102530929	78	FALSE	1.64149692400634
"apoeb_ChrAur1"	1.70228796229823	0	TRUE	1.635699855289
"bmp1a_ChrAur1"	1.69191002115231	57	FALSE	1.62572786629152
"bmp6"	1.69137205594328	6	FALSE	1.62521094457554
"spock3"	1.68996128351964	161	FALSE	1.62385535709545
"lipg"	1.68253790684408	38	FALSE	1.61672235937539
"tub"	1.67634302343873	324	FALSE	1.61076980016444
"col1a1a"	1.67286981689917	2	TRUE	1.60743245445092
"tgfb1a"	1.66708529642153	6	FALSE	1.60187420607124
"luzp2"	1.66318987898174	2	FALSE	1.59813116500905
"fgf16"	1.65399401332963	6	FALSE	1.58929501246051
"lama4"	1.64740760081328	0	FALSE	1.58296623951582
"st3gal2"	1.64101198326542	7	FALSE	1.57682079824548
"tgfb3_ChrAur2"	1.62834843485408	282	FALSE	1.56465260769098
"mmp9"	1.62492284050803	0	TRUE	1.56136101173294
"smpd1"	1.62265321449854	3	FALSE	1.5591801662958
"col22a1"	1.6194913103458	0	FALSE	1.55614194580689
"dkk3b"	1.61902507120012	15	FALSE	1.55569394445811
"cbln12_ChrAur2"	1.61687117340639	281	TRUE	1.55362430031591
"nxph1_ChrAur1"	1.61684991635778	191	TRUE	1.55360387477563
"pdgfab"	1.61645993492131	0	FALSE	1.5532291481763
"matn3a_ChrAur2"	1.61400227774159	8	FALSE	1.55086762675205
"tac1"	1.61370129105216	200	FALSE	1.55057841370746
"acp7"	1.60853951093172	1	FALSE	1.54561854605696
"itih3a.1"	1.60582491902564	0	TRUE	1.54301014037808
"si:ch73-52e5.2"	1.60286627316039	0	FALSE	1.540167227357
"hapln2"	1.60240687102207	311	FALSE	1.53972579557354
"col2a1a"	1.59552097083831	6	FALSE	1.53310924996929
"loxl1"	1.59497630290094	17	FALSE	1.53258588771445
"ccn2a"	1.59445620205045	6	TRUE	1.53208613155995
"scg2b"	1.59381730740577	231	FALSE	1.53147222844779
"bmper"	1.58939493416774	0	FALSE	1.52722284442717
"tinagl1"	1.58672005907947	1	FALSE	1.52465260197014
"col5a3a"	1.58533677911732	1	FALSE	1.52332343153363
"creld2"	1.58320779876447	2	FALSE	1.52127773014103
"fbln1"	1.58261653192601	22	FALSE	1.52070959178635
"b3gat1a_ChrAur2"	1.57953075231442	262	FALSE	1.51774451808793
"epoa"	1.57730399563235	0	FALSE	1.51560486506606
"nid2a"	1.57315192688559	0	FALSE	1.51161521208217
"fgf2"	1.56743996353294	0	FALSE	1.50612668262284
"col10a1b"	1.56690977590608	0	FALSE	1.50561723425468
"tgm2a"	1.56477365433298	205	FALSE	1.50356467098372
"crp1"	1.5635509178887	0	FALSE	1.50238976411176
"b3gat1a_ChrAur1"	1.55050929331499	0	FALSE	1.48985828653546
"frzb"	1.55038194860526	0	FALSE	1.48973592314695
"hspg2"	1.54706699210207	0	FALSE	1.48655063723021
"fbln7"	1.54494585518576	0	FALSE	1.48451247246379
"fbn2b"	1.54460192024388	2	TRUE	1.48418199116619
"apoc1_ChrAur1"	1.53700443409379	0	TRUE	1.47688169458212
"efemp2a"	1.53601461153123	0	FALSE	1.47593059073941
"fgf11a"	1.53561296034207	0	FALSE	1.47554465087111
"adcyap1b"	1.53182186075346	89	TRUE	1.47190184707656
"trh"	1.53025448947783	10	FALSE	1.47039578639499
