"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"
"hmgb2b"	2.75182847173054	3273	FALSE	2.60925646993561
"nrg2b"	2.64246223313099	3050	FALSE	2.50555648696431
"habp2_ChrAur3"	2.62485921270326	3209	FALSE	2.48886547754519
"anxa2a_ChrAur2"	2.62317562719479	3019	FALSE	2.48726911846039
"col5a1_ChrAur2"	2.59394351325923	2908	FALSE	2.45955151789051
"cbln18_ChrAur2"	2.57195788531925	2933	TRUE	2.43870496348593
"cbln20_ChrAur2"	2.53291410462873	2704	TRUE	2.40168403779087
"psap"	2.41450662731667	2507	FALSE	2.28941124192473
"qsox1"	2.34578261307636	2267	FALSE	2.2242478130851
"olfml2bb"	2.3375063452588	2378	FALSE	2.21640033800744
"itih3a.1"	2.29240672923572	2179	FALSE	2.17363732929934
"nid2a"	2.29178370630443	2211	FALSE	2.17304658513374
"si:ch73-52e5.2"	2.29148606150487	2203	FALSE	2.17276436128623
"olfm1b"	2.27205599128864	2048	FALSE	2.15434096137456
"scg5"	2.25488192572368	2128	FALSE	2.13805668270283
"pla2g12a"	2.25303363019325	2028	FALSE	2.13630414720846
"a2ml_ChrAur1"	2.25250848487277	2039	FALSE	2.13580620962289
"nsun2"	2.24707003249991	1992	FALSE	2.13064952301029
"tinagl1"	2.2221665655605	2038	FALSE	2.10703630259957
"chga"	2.17945252293497	1730	FALSE	2.06653527093182
"adamts6"	2.16730722802475	1433	FALSE	2.05501922272994
"kitlga"	2.16487466347668	1708	FALSE	2.05271268914661
"lamb2l"	2.10894723364291	1229	FALSE	1.99968285475113
"igfbp7"	2.10622348964049	1564	FALSE	1.99710022769652
"fgf18a"	2.09908450094357	883	FALSE	1.99033110940386
"arsk"	2.09777730471947	1449	FALSE	1.98909163890625
"loxl1"	2.09723001896961	1327	FALSE	1.98857270798508
"pomca_ChrAur1"	2.09672502813152	500	FALSE	1.98809388067986
"vwa1"	2.09041682236787	1441	FALSE	1.98211250252654
"wu:fj39g12"	2.08366607366081	2	FALSE	1.97571150954251
"scube3"	2.08106421125044	130	FALSE	1.9732444494049
"cd74a"	2.06460692885583	1501	FALSE	1.95763981742772
"tnfsf13b"	2.06114449016822	1543	FALSE	1.95435676739745
"emilin1a_ChrAur2"	2.05768357320164	1557	FALSE	1.95107516024798
"col4a1"	2.04083221919375	1211	FALSE	1.93509687347467
"mgat4a"	2.03410004160336	1019	FALSE	1.92871348943932
"sostdc1a"	2.0207597270176	1306	FALSE	1.91606433543082
"fbln2_ChrAur2"	2.01561164760339	1424	FALSE	1.9111829775783
"lama1"	1.99494525715735	6	FALSE	1.89158731108401
"tac4"	1.98640867400557	1226	TRUE	1.88349300758771
"bag6l"	1.98600210561805	1330	FALSE	1.88310750347417
"pla1a"	1.98391297437491	877	FALSE	1.88112660994512
"hpse"	1.9753181476082	1181	FALSE	1.8729770804307
"wnt4b"	1.97274251074287	1162	TRUE	1.87053488709484
"scube2"	1.97242740331123	1248	FALSE	1.87023610535275
"cpamd8"	1.96614255576053	644	FALSE	1.86427687522533
"zgc:113531"	1.95247687632563	1115	FALSE	1.85131921349318
"ndnf"	1.94882424854967	514	FALSE	1.84785582805525
"svep1"	1.94680396893411	1166	FALSE	1.84594021895674
"fbn2b"	1.9450017961074	17	FALSE	1.84423141655268
"draxina_ChrAur2"	1.94326300418023	1190	FALSE	1.84258271128909
"igfbp3_ChrAur1"	1.93226476263142	1129	FALSE	1.83215428771039
"draxina_ChrAur1"	1.92181965922466	1032	FALSE	1.82225034423309
"odc1"	1.90858581515167	964	FALSE	1.80970214450905
"fstl1b"	1.90353109107383	743	FALSE	1.80490930526078
"lipg"	1.89433635425674	952	TRUE	1.79619094698525
"nucb1"	1.88790664061419	942	FALSE	1.79009435626602
"adamts1"	1.88271341796092	701	FALSE	1.78517019404186
"proza"	1.88131370250934	1060	FALSE	1.78384299773016
"col11a1b"	1.85149994802967	0	FALSE	1.75557389136387
"st3gal2"	1.83574665160469	0	FALSE	1.74063677190241
"gas6"	1.83014221631284	548	FALSE	1.7353227019319
"tgfbi"	1.8290256871928	939	FALSE	1.73426402009171
"si:dkey-225n22.4"	1.81124196613942	233	FALSE	1.71740167213117
"nampt2"	1.80681321650535	727	FALSE	1.71320237564335
"galnt1"	1.79906460675171	789	FALSE	1.70585522070968
"asah1b"	1.79659381043125	791	FALSE	1.70351243613888
"sema3ab"	1.7935734668858	286	TRUE	1.70064857633862
"cd9a_ChrAur1"	1.79296671853186	188	FALSE	1.70007326356589
"nrg3b"	1.79018248446085	0	FALSE	1.69743328042805
"col4a2"	1.78970006161798	738	FALSE	1.69697585187212
"lgi1b_ChrAur2"	1.78939377909727	436	FALSE	1.69668543782306
"creld2"	1.78787873388229	290	FALSE	1.69524888697331
"nxph1_ChrAur2"	1.78614361084262	783	FALSE	1.69360366051247
"hyal1"	1.78335333231141	662	FALSE	1.6909579460774
"angptl4"	1.78090692561212	706	FALSE	1.68863828750355
"col16a1"	1.77547173671439	727	TRUE	1.68348469528572
"dkk1a"	1.77459495679757	3	FALSE	1.68265334126268
"angptl3_ChrAur1"	1.77047115646923	3	FALSE	1.6787431946827
"col1a2"	1.75715758571015	341	FALSE	1.66611939890547
"nbl1"	1.75377957169296	1	FALSE	1.66291639951055
"fgf14_ChrAur2"	1.74015469149739	194	FALSE	1.64999742321257
"adm2a_ChrAur1"	1.73285819167079	568	FALSE	1.64307895442863
"adgrb2"	1.7254605879828	277	FALSE	1.63606461996585
