"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"
"fshb"	7.0252923239229	13706	TRUE	6.16917551228501
"lama1"	4.45832898856985	9919	FALSE	3.91502769619091
"prf1.5"	3.85254409059205	8898	TRUE	3.38306501250433
"dag1_ChrAur2"	3.83432289840289	9220	FALSE	3.36706429289367
"gfod2"	3.49877264382079	8470	FALSE	3.07240489393033
"ecrg4a"	3.4074812209357	7957	TRUE	2.99223843471745
"bmp5"	3.32038470415214	6778	FALSE	2.91575568157751
"draxina_ChrAur2"	3.25389955597102	6346	FALSE	2.85737255256623
"fgf13a"	3.19097794376608	5571	FALSE	2.80211869958613
"col14a1a"	3.07871434385953	6813	FALSE	2.70353577669393
"adamts8a"	3.01696741095655	6922	FALSE	2.64931345413995
"lamb1b"	2.93855591020317	4609	FALSE	2.58045734281743
"lipg"	2.88343708293772	3723	TRUE	2.53205541108942
"col5a1_ChrAur1"	2.86582982965307	0	FALSE	2.51659381450469
"egfl6"	2.68331987831478	0	FALSE	2.35632490744293
"igfbp3_ChrAur1"	2.66300488260606	680	FALSE	2.3384855395875
"st3gal8"	2.65969261935142	0	FALSE	2.33557691565861
"nrg3b"	2.62018793580887	14	FALSE	2.30088635545212
"ccn1"	2.55941742708243	0	FALSE	2.24752146798293
"dkk3b"	2.51238907391114	0	FALSE	2.20622408825975
"myoc_ChrAur2"	2.5102548667975	12	TRUE	2.20434996008735
"draxina_ChrAur1"	2.46429019373351	0	FALSE	2.16398663818956
"fgf8a"	2.42959430885865	73	FALSE	2.13351886639049
"tgfbr3"	2.42610399464893	1354	FALSE	2.1304538891682
"lama2"	2.40261408457521	0	FALSE	2.10982650865065
"bmp4"	2.38877369370599	0	FALSE	2.09767273675135
"scube3"	2.34725294972716	0	FALSE	2.06121179744868
"nsun2"	2.30108361435986	94	FALSE	2.02066875382379
"apoeb_ChrAur1"	2.28725170586609	0	FALSE	2.00852243061994
"cpb1"	2.26812595252718	2	FALSE	1.99172738157257
"angptl4"	2.2565622012262	0	FALSE	1.98157281318354
"cetp"	2.25601725495433	0	FALSE	1.98109427520378
"loxa"	2.25303377944625	624	FALSE	1.9784743722592
"alkal1"	2.25188439969425	0	FALSE	1.977465058327
"nrg2b"	2.21809029562481	153	FALSE	1.94778917443888
"col5a2a"	2.2141175107159	0	FALSE	1.94430052140559
"lama3"	2.18858298853763	0	FALSE	1.92187768948959
"pcsk9"	2.17495291310658	537	TRUE	1.90990860354942
"hhipl1"	2.16971770172192	0	FALSE	1.9053113659703
"ndnfl"	2.16860551339662	31	FALSE	1.90433471123977
"sema3d"	2.00321427786878	0	FALSE	1.75909839748661
"tpo"	2.00113939903994	0	FALSE	1.75727636773018
"arsk"	2.00110859131698	30	FALSE	1.75724931430075
"kitlga"	1.99831821149459	4	FALSE	1.75479897599787
"col1a2"	1.98436377786769	1	FALSE	1.74254505882979
"pcolce2b"	1.94872276822406	0	TRUE	1.71124733714242
"pdgfaa"	1.94741716955418	0	FALSE	1.7101008414563
"col4a1"	1.93770272854528	1	FALSE	1.70157022254048
"spock2_ChrAur1"	1.87527960851817	0	FALSE	1.64675411443914
"grnb"	1.86447513198397	0	FALSE	1.63726629400626
"mmp13a_ChrAur1"	1.8400961245472	0	FALSE	1.61585816338932
"ngrn"	1.83776703007915	0	FALSE	1.613812897243
"lamc1"	1.8160112944412	0	FALSE	1.59470836103853
"gal"	1.81447932419209	0	FALSE	1.59336307988714
"c1qtnf6b"	1.79356223108849	1	FALSE	1.57499498748428
"emilin1a_ChrAur2"	1.7923585183834	7	FALSE	1.57393796172626
"lhb"	1.78779842307013	154	TRUE	1.56993356916247
"dkk1a"	1.78712326594384	0	FALSE	1.56934068809527
"mstnb"	1.78454470228503	0	FALSE	1.56707635359539
"tgfb1a"	1.77820512520364	0	FALSE	1.56150933063243
"svbp"	1.76480814752918	0	FALSE	1.54974493666886
"entpd5a"	1.75551670216298	0	FALSE	1.54158576626228
"pxdn"	1.75420949649472	0	FALSE	1.54043785940996
"gpc1b"	1.7333988881453	0	FALSE	1.52216327530649
"tfpia"	1.72565181021869	0	FALSE	1.51536027249423
"hyal1"	1.72038372712209	0	FALSE	1.51073416901872
"calr"	1.71446917678938	18	FALSE	1.50554037815617
"dao.2"	1.70974732248186	0	FALSE	1.50139393888739
"matn1"	1.70652528033357	0	FALSE	1.4985645415322
"wnt10a"	1.70336291249122	1	FALSE	1.49578754644725
"lum"	1.69655818127003	0	FALSE	1.48981205400055
"hmcn1"	1.68975729116843	0	FALSE	1.48383993458658
"cbln20_ChrAur2"	1.68830469883491	6	TRUE	1.48256435819202
"tinagl1"	1.6752555935089	1	FALSE	1.47110544412515
"ptn"	1.67419599465654	0	FALSE	1.47017497020443
"cpamd8"	1.66980837712501	0	FALSE	1.46632203691928
"nucb1"	1.66594042035895	8	FALSE	1.46292543745216
"fgf18a"	1.66302097104428	0	FALSE	1.4603617583352
"col4a2"	1.66159877086344	0	FALSE	1.45911287044205
"fstl1b"	1.62044879267435	0	FALSE	1.42297751463475
"eys"	1.61710699613756	0	FALSE	1.42004295641123
"col5a3a"	1.61453902429487	0	FALSE	1.41778792298661
"tgfbi"	1.61360631424972	1	FALSE	1.41696887493775
"si:dkey-225n22.4"	1.60434549056512	0	FALSE	1.40883659459063
"tnfsf13b"	1.60338434832206	0	FALSE	1.40799257915094
"prss59.1_ChrAur6"	1.59453245159362	342	FALSE	1.40021939306608
"plat"	1.59332789615095	0	FALSE	1.39916162726824
"metrn"	1.5892939915066	0	FALSE	1.39561930267826
"bmp15"	1.58752987272785	0	FALSE	1.39407016310245
"col16a1"	1.57621785750122	0	TRUE	1.38413665370341
"fgf22"	1.56183640405268	0	FALSE	1.371507754242
"pnoca"	1.55874010043439	0	FALSE	1.36878877265664
"vwa1"	1.55866672645201	0	FALSE	1.36872434018117
"svep1"	1.55639591312489	0	FALSE	1.36673025291409
"npc2.1"	1.55006013578813	1	FALSE	1.36116656665094
"fgf8b"	1.5490866458106	1	FALSE	1.36031170819752
"myoc_ChrAur1"	1.54648328248617	0	FALSE	1.35802559617113
"mgat5_ChrAur1"	1.53918119898678	0	FALSE	1.35161335983475
"lgi1b_ChrAur2"	1.53538340370899	4	FALSE	1.34827837183025
"vtna"	1.52766242829003	0	FALSE	1.34149829061948
"apoc1_ChrAur3"	1.52478502401584	0	FALSE	1.33897153284645
"nxph4"	1.51357637489441	0	FALSE	1.3291287931429
"loxl2b"	1.50670382021768	0	TRUE	1.32309374234876
"prf1.8"	1.49764784929417	0	FALSE	1.31514135097694
"xylt2"	1.49694172316939	1	FALSE	1.31452127485815
"tshba"	1.48810784294787	0	FALSE	1.30676390975101
"edn2_ChrAur2"	1.48718830718899	3	FALSE	1.30595643054235
"farp1_ChrAur2"	1.48610154282664	0	FALSE	1.30500210155749
"nampt1"	1.48465220231057	0	FALSE	1.30372938070711
"adamts17"	1.48012801995252	0	FALSE	1.29975652467073
"mif"	1.46577899278639	5	FALSE	1.28715609995716
"chrdl2"	1.46024861476691	0	FALSE	1.28229966536649
"dkk3a"	1.45561658862039	0	TRUE	1.2782321076112
"ccl36.1_ChrAur1"	1.45407150519428	0	FALSE	1.27687531128198
"sparcl1"	1.45129355091204	0	FALSE	1.27443588431694
"adma"	1.45026383488207	61	FALSE	1.2735316516354
"chga"	1.44801204436176	0	FALSE	1.27155426901612
"cd9a_ChrAur1"	1.44763508439981	0	FALSE	1.27122324618331
"ggh"	1.44360223057028	0	FALSE	1.26768184435366
"adgrb2"	1.44194471236414	0	FALSE	1.26622631478179
"frzb"	1.44014140559461	0	TRUE	1.2646427627457
"vegfaa"	1.43964742714628	0	FALSE	1.26420898154393
"adamts3"	1.43911598217723	0	FALSE	1.26374229957
"nampt2"	1.43159766403088	0	FALSE	1.25714017939286
"alkal2b_ChrAur1"	1.42913392712837	5	FALSE	1.25497667862067
"fgf14_ChrAur2"	1.42273369530326	0	FALSE	1.24935639242789
"nxpe3_ChrAur1"	1.42108815450856	0	FALSE	1.24791138067506
"odc1"	1.42054764705634	0	FALSE	1.2474367405911
"col15a1b"	1.4108259453705	0	FALSE	1.23889974579961
"col1a1a"	1.40634792587773	1	FALSE	1.23496742712523
"wnt4b"	1.40271163759825	1	TRUE	1.23177426453853
"c1qb_ChrAur1"	1.40010283639115	0	FALSE	1.22948337730122
"itih2"	1.3835970708712	1	FALSE	1.21498903887911
"cfbl_ChrAur2"	1.37757637340652	0	FALSE	1.20970203619603
"tulp3"	1.37053674939849	0	FALSE	1.20352027548863
"col5a1_ChrAur2"	1.36793452061845	0	FALSE	1.20123515974868
"fetub"	1.36527672354838	0	TRUE	1.1989012473867
"apoa1a"	1.36336816340643	0	TRUE	1.19722526837422
"tcn2"	1.35915828440843	0	FALSE	1.19352841403327
"pltp"	1.35846186393248	0	FALSE	1.19291686081265
"comtb"	1.35538767766256	0	FALSE	1.19021730130934
"matn3a_ChrAur2"	1.35438388020125	0	FALSE	1.18933582870548
"map4l"	1.35398374945912	0	FALSE	1.18898445873221
"reln"	1.34817800398998	0	FALSE	1.18388621354506
"hyal6"	1.34794336285717	3	FALSE	1.1836801662713
"efemp2a"	1.34617393838531	3	FALSE	1.18212636756524
"pthlha"	1.33818212047294	0	FALSE	1.1751084492936
"pdgfd"	1.3379762990638	0	FALSE	1.17492770971173
"sema3c"	1.32713371306003	0	TRUE	1.16540642390893
"olfml2bb"	1.32649167258146	0	FALSE	1.16484262382551
"tfpi2"	1.32318071988939	0	FALSE	1.1619351507513
"smpd1"	1.32274311180175	0	FALSE	1.1615508705002
"spon1a_ChrAur1"	1.32231314190162	0	FALSE	1.16117329763112
"si:ch211-196i2.1"	1.31995523629113	0	FALSE	1.15910273132842
"col2a1a"	1.31448765127578	0	FALSE	1.15430143765511
"adgrl2b.1"	1.31264543739749	0	FALSE	1.15268371981187
"elna"	1.31197027811438	0	FALSE	1.15209083685068
"col12a1b"	1.30869236423567	0	TRUE	1.14921237641095
"col4a5_ChrAur1"	1.30747318745384	0	FALSE	1.14814177106091
"vwc2"	1.30353469543128	0	FALSE	1.14468323191114
"dipk2ab"	1.30058462919783	0	FALSE	1.14209266691713
"agrp"	1.29992291681687	0	TRUE	1.14151159219047
"smoc1"	1.29027348068472	0	FALSE	1.1330380565212
"pm20d1.2"	1.28064565327683	0	FALSE	1.12458349629187
"emid1"	1.27857168732581	0	FALSE	1.12276226816806
"col10a1b"	1.27426040547426	0	TRUE	1.11897636813731
"c3a.1_ChrAur2"	1.27350549661575	2	FALSE	1.11831345405072
"itih5"	1.27055038635042	0	FALSE	1.11571845970111
"mdkb"	1.25580489378975	0	TRUE	1.10276988369494
"npnta"	1.25131894371173	0	FALSE	1.09883060087301
"lgi1b_ChrAur1"	1.24690591742923	0	FALSE	1.09495535520041
"anxa2a_ChrAur1"	1.24535478184063	0	FALSE	1.09359324423787
"ccl19a.2"	1.23899062305461	0	FALSE	1.08800463514821
"c3a.1_ChrAur3"	1.23306579892991	0	FALSE	1.08280182247944
"qsox1"	1.23031728736515	1	FALSE	1.08038825028077
"bmp2b"	1.22963049062998	0	FALSE	1.07978514803176
"col20a1"	1.22534930627376	0	FALSE	1.07602567775263
"nid1a"	1.2171216380633	0	FALSE	1.06880065039337
"loxl1"	1.21384529810196	0	FALSE	1.06592357207015
"inhbaa_ChrAur2"	1.21341097661818	0	FALSE	1.0655421779105
"fgf2"	1.21224160500527	0	FALSE	1.06451530836735
"gatd1"	1.2107390953091	0	FALSE	1.06319589764433
"hmgb2b"	1.20915609737976	0	FALSE	1.06180580715252
"tnn"	1.20679170258802	0	FALSE	1.05972954245376
"hpse"	1.18946805308693	0	FALSE	1.04451698910255
"igf2b"	1.18723685911863	0	FALSE	1.04255769309639
"col28a1b"	1.18633948309854	0	FALSE	1.04176967319441
"inhbab"	1.18624180127184	0	TRUE	1.04168389507935
"tgfb3_ChrAur2"	1.18577235696926	0	FALSE	1.04127165824104
"acana"	1.18242089418678	0	FALSE	1.03832861172074
"cga"	1.18185100082013	0	TRUE	1.03782816675133
"bmp1a_ChrAur2"	1.17647944510395	0	FALSE	1.033111200046
"tac4"	1.17646200336845	0	TRUE	1.03309588379686
"ctrb.2_ChrAur1"	1.16973455034698	1	FALSE	1.02718825226688
"olfml3b_ChrAur2"	1.15818623239032	0	TRUE	1.01704723648257
"lama4"	1.15796927074801	1	FALSE	1.01685671423963
"apela"	1.15573752877893	0	FALSE	1.01489693701321
"tfa"	1.15374055176232	0	FALSE	1.01314331579128
"galnt1"	1.15279407099266	0	FALSE	1.01231217514719
"s100b"	1.1476334319335	0	FALSE	1.00778042235406
"twsg1a"	1.14561576402582	0	FALSE	1.00600863167631
"wnt11"	1.14453615249527	0	FALSE	1.00506058386421
"ucmaa"	1.14320958744874	0	FALSE	1.00389567680794
"ccn4a"	1.14175510577947	0	FALSE	1.00261844131604
"thbs4b"	1.14077763762514	0	FALSE	1.00176008947476
"nrg2a"	1.14061602828024	0	FALSE	1.00161817418254
"inhbaa_ChrAur1"	1.13951136865768	0	FALSE	1.00064813069129
"c1qtnf5"	1.13834713188608	0	FALSE	0.99962577024696
"col1a1b"	1.13764610868444	1	FALSE	0.999010175198427
"cd74a"	1.13416025227762	0	FALSE	0.99594911254185
"col11a2"	1.1339518423776	0	FALSE	0.995766099908007
"lamc3"	1.13036222461854	2	FALSE	0.992613920474527
"pla1a"	1.12843208518727	0	FALSE	0.990918991870042
"creld2"	1.12762722916175	0	FALSE	0.990212217282649
"pcsk2"	1.12757603953684	0	FALSE	0.990167265732462
"itih3a.1"	1.12392386609806	0	FALSE	0.986960153785189
"adamts15a_ChrAur2"	1.1198871235974	0	FALSE	0.983415337166004
"fam3a"	1.1188715200532	0	FALSE	0.982523497193206
"col28a1a"	1.1146753498086	0	FALSE	0.978838681028302
"gh1"	1.10863753952752	0	FALSE	0.973536650932412
"col28a2a"	1.10772554573353	0	FALSE	0.972735794609028
"nid2a"	1.10595791908431	0	FALSE	0.971183574639177
"bmp3"	1.1053432963237	0	FALSE	0.970643851093278
"spx"	1.1007713043901	0	TRUE	0.966629011656194
"paplna"	1.1005947012768	0	FALSE	0.966473929767536
"scg2b"	1.09801067078307	0	FALSE	0.96420479463267
"calca"	1.09462406790371	0	FALSE	0.96123089026117
"dcn"	1.08691175014417	0	FALSE	0.95445841166934
"gdf5"	1.08358744067496	0	FALSE	0.951539209502781
"c1qtnf12"	1.08232533843813	0	FALSE	0.950430909683436
"a2ml_ChrAur3"	1.07885061377965	1	FALSE	0.947379622237071
"prl"	1.06863075329466	0	FALSE	0.938405175319286
"col5a2b"	1.06800747502723	0	FALSE	0.937857851044725
"cckb"	1.0673324405854	0	FALSE	0.937265077711393
"anxa2a_ChrAur2"	1.05696959527822	1	FALSE	0.928165070400814
"sema3aa"	1.05694145559068	0	FALSE	0.928140359874434
"c7a"	1.05391618389247	0	FALSE	0.925483754110849
"sst1.2"	1.05309467447395	0	FALSE	0.924762355547747
"mfap5"	1.05077001484775	0	FALSE	0.922720983804181
"loxl4_ChrAur1"	1.0486951307844	0	FALSE	0.920898949451125
"adm2a_ChrAur1"	1.0486751015113	0	FALSE	0.920881360987123
"bmp7b"	1.04628897524784	0	FALSE	0.918786013059233
"mmp9"	1.0443007651853	0	FALSE	0.917040090432023
