"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0060271","cilium assembly",122,0.621096072993782,4.08437581623833,1e-10,5.68266055977453e-09,4.36644769809915e-09,1173,"tags=76%, list=22%, signal=61%","nphp3/g17435/tbc1d32/ift70/traf3ip1/ift140/cep63/agbl5/ift81/nphp1/cep97/ift88/tmem67/rfx2/ofd1/atmin/kifap3a/cc2d2a/dnaaf11/rab3ip/odad1/cplane2/ift172/ttc21b/odf2a/mapre1b/g6122/haus5/wdr19/mks1/dync2i1/g8350/pcm1/g11028/ehd1b/cenpj/wdr35/cluap1/fxr2/g4485/dnah7/cep72/poc1a/odad2/dnah6/cdk1/hyls1/LOC119031171_fusion_2/fam161a/oscp1b/bbs7/dync1i2b/cpeb4b/g1356/g802/odad4/cfap36/cfap46/ift20/ift27/dnai2b/dync2li1/ulk4/rsph9/dnah10/g700/g4091/rab23/rab28/nek1/sfi1/b9d2/ift57/rsph4a/cep152/cfap298/cep135/tmem216/bbs4/ehd3/hspb11/g5657/septin7b/cfap410/ccdc103/ift56/fnbp1l/tubg1/bbs5/dync2i2/fmr1/fxr1/cep162"
"GO:0044782","cilium organization",127,0.616934148268364,4.07350095882769,1e-10,5.68266055977453e-09,4.36644769809915e-09,1173,"tags=76%, list=22%, signal=60%","nphp3/g17435/tbc1d32/ift70/traf3ip1/ift140/cep63/kif19/agbl5/ift81/nphp1/cep97/ift88/tmem67/rfx2/ofd1/atmin/kifap3a/cc2d2a/dnaaf11/rab3ip/odad1/cplane2/ift172/ttc21b/odf2a/mapre1b/g6122/haus5/wdr19/mks1/dync2i1/g8350/pcm1/g11028/ehd1b/lca5/cenpj/wdr35/cluap1/fxr2/g4485/dnah7/cep72/poc1a/odad2/dnah6/cdk1/hyls1/LOC119031171_fusion_2/fam161a/oscp1b/bbs7/dync1i2b/cpeb4b/g1356/g802/odad4/cfap36/cfap46/ift20/ift27/dnai2b/dync2li1/ulk4/rsph9/dnah10/g700/g4091/rab23/rab28/nek1/sfi1/b9d2/ift57/rsph4a/cep152/cfap298/cep135/tmem216/bbs4/ehd3/hspb11/g5657/nme7/septin7b/cfap410/ccdc103/ift56/fnbp1l/tubg1/bbs5/dync2i2/fmr1/fxr1/cep162"
"GO:0005929","cilium",141,0.556266484773443,3.73733539676928,1e-10,5.68266055977453e-09,4.36644769809915e-09,1173,"tags=67%, list=22%, signal=53%","nphp3/g17435/ift70/traf3ip1/ift140/kif19/LOC119018635/ift81/nphp1/ift88/cep128/tmem67/ofd1/kifap3a/cc2d2a/dnaaf11/mdm1/cfap91/rab3ip/odad1/cplane2/inpp5e/ift172/ttc21b/odf2a/mapre1b/g6122/rab10/wdr19/mks1/dync2i1/g8350/efcab7/pcm1/g11028/ehd1b/flcn/lca5/cenpj/septin4a/wdr35/cluap1/g4485/dnah7/poc1a/toporsa/odad2/dnah6/hyls1/LOC119031171_fusion_2/fam161a/g20850/agbl2/bbs7/dync1i2b/grk3/fam49bb/g802/cfap36/cfap46/ift20/daam1b/ift27/dnai2b/dync2li1/rsph9/dnah10/g700/rab28/tbc1d30/b9d2/ift57/rsph4a/cep152/cep135/tmem216/bbs4/ehd3/cfap418/hspb11/g5657/septin6/nme7/septin7b/cfap410/rp2/tapt1b/ccdc103/ift56/tubg1/bbs5/dync2i2/enkur/cep162"
"GO:0120031","plasma membrane bounded cell projection assembly",149,0.534789485051077,3.61846452292091,1e-10,5.68266055977453e-09,4.36644769809915e-09,1173,"tags=64%, list=22%, signal=52%","nphp3/g17435/tbc1d32/ift70/traf3ip1/ift140/cep63/agbl5/ift81/nphp1/cep97/ift88/tmem67/rfx2/ofd1/atmin/kifap3a/cc2d2a/dnaaf11/rab3ip/odad1/cplane2/ift172/ttc21b/odf2a/mapre1b/g6122/haus5/wdr19/mks1/dync2i1/g8350/pcm1/g11028/ehd1b/cenpj/wdr35/cluap1/fxr2/g4485/ppp1r9bb/dnah7/cep72/poc1a/odad2/dnah6/cdk1/hyls1/LOC119031171_fusion_2/fam161a/oscp1b/bbs7/dync1i2b/cpeb4b/g1356/g802/odad4/cfap36/cfap46/ift20/ift27/dnai2b/dync2li1/ulk4/rsph9/dnah10/g700/g4091/rab23/rab28/nek1/sfi1/b9d2/ift57/rsph4a/cep152/cfap298/cep135/tmem216/bbs4/ehd3/hspb11/g5657/septin7b/wasf3b/cfap410/abl2/ccdc103/ift56/fnbp1l/tubg1/bbs5/dync2i2/fmr1/fxr1/cep162"
"GO:0005813","centrosome",139,0.536948615555495,3.60523078758496,1e-10,5.68266055977453e-09,4.36644769809915e-09,1910,"tags=82%, list=36%, signal=54%","g17435/ift70/traf3ip1/ift140/cep63/ift81/cep97/cep85/ift88/ttk/tmem67/ofd1/kifap3a/mdm1/rab3ip/kiz/odf2a/mapre1b/g6122/haus5/poc5/cdc27/akna/g7768/mks1/dync2i1/dlgap5/pcm1/tbc1d31/ccdc77/cenpj/ppp4r3b/slain2/wdr35/gpsm2/cluap1/g4485/mknk1/cep72/poc1a/ccdc92/hook1/cdk1/hyls1/LOC119031171_fusion_2/fam161a/g20850/cep350/bbs7/dync1i2b/espl1/g3834/g802/ift20/ift27/dync2li1/g5991/ccdc15/spice1/dnm2a/kifc1/rab23/nek1/txndc9/b9d2/ift57/cep152/dnajb6b/cep135/ckap2l/bbs4/LOC119009472/aurka/hspb11/nme7/ccdc61/ankfn1a/hmmr/aurkb/tapt1b/ift56/hook3/tubg1/bbs5/cep162/g270/ruvbl2/melk/sdccag8/dync1li2/aspm/kif20bb/fignl1/slf1/LOC119029135/cetn3/cep120/tapt1a/cdc20/dctn2/ccnb1/cep76/mad2l1/ist1/g10590/pibf1/mzt2b/apc/actr1b/cep19/skp1/cep192/g10605/tbccd1"
"GO:0005815","microtubule organizing center",178,0.521916753130459,3.60189151810787,1e-10,5.68266055977453e-09,4.36644769809915e-09,1921,"tags=80%, list=36%, signal=53%","g17435/ift70/traf3ip1/ift140/cep63/ift81/cchcr1/nphp1/cep97/cep85/ift88/cep128/ttk/tmem67/ofd1/kifap3a/mdm1/rab3ip/cplane2/ift172/kiz/odf2a/mapre1b/g6122/haus5/poc5/cdc27/kif18a/akna/g7768/mks1/dync2i1/dlgap5/pcm1/tbc1d31/ccdc77/lca5/cenpj/ppp4r3b/slain2/wdr35/gpsm2/cluap1/g4485/mtus1a/mknk1/sytl4/cep72/poc1a/ccdc92/toporsa/hook1/cdk1/hyls1/LOC119031171_fusion_2/fam161a/g20850/cep350/agbl2/bbs7/dync1i2b/espl1/g3834/g802/ift20/daam1b/ift27/dync2li1/g5991/ccdc15/spice1/dnm2a/kifc1/rab23/rab28/nek1/tbc1d30/ccdc146/txndc9/b9d2/ift57/cep152/dnajb6b/cep135/ckap2l/bbs4/LOC119009472/aurka/hspb11/nme7/cfap410/ccdc61/ankfn1a/hmmr/aurkb/rp2/tapt1b/ruvbl1/ift56/hook3/tubg1/bbs5/dync2i2/cep162/evi5b/g2081/g270/ruvbl2/birc5a/melk/sdccag8/dync1li2/aspm/kif20bb/fignl1/slf1/bub1ba/LOC119029135/cetn3/cep120/tapt1a/cdc20/dctn2/ccnb1/cep76/mad2l1/ist1/dnaaf2/g10590/pibf1/trappc14/tbc1d7/LOC119029789/mzt2b/apc/actr1b/cep19/skp1/cep192/g10605/tbccd1/herc2"
"GO:0030031","cell projection assembly",152,0.52627755822373,3.56954128554004,1e-10,5.68266055977453e-09,4.36644769809915e-09,1173,"tags=63%, list=22%, signal=51%","nphp3/g17435/tbc1d32/ift70/traf3ip1/ift140/cep63/agbl5/ift81/nphp1/cep97/ift88/tmem67/rfx2/ofd1/atmin/kifap3a/cc2d2a/dnaaf11/rab3ip/odad1/cplane2/ift172/ttc21b/odf2a/mapre1b/g6122/haus5/wdr19/mks1/dync2i1/g8350/pcm1/g11028/ehd1b/cenpj/wdr35/cluap1/fxr2/g4485/ppp1r9bb/dnah7/cep72/poc1a/odad2/dnah6/cdk1/hyls1/LOC119031171_fusion_2/fam161a/oscp1b/bbs7/dync1i2b/cpeb4b/g1356/g802/odad4/cfap36/cfap46/ift20/ift27/dnai2b/dync2li1/ulk4/rsph9/dnah10/g700/g4091/rab23/rab28/nek1/sfi1/b9d2/ift57/rsph4a/cep152/cfap298/cep135/tmem216/bbs4/ehd3/hspb11/g5657/septin7b/wasf3b/cfap410/abl2/ccdc103/ift56/fnbp1l/tubg1/bbs5/dync2i2/fmr1/fxr1/cep162"
"GO:0007017","microtubule-based process",235,0.493369056723239,3.53165283889027,1e-10,5.68266055977453e-09,4.36644769809915e-09,1860,"tags=74%, list=35%, signal=50%","ptbp1b/dlg1a/strip1/ranbp9/srpk1b/g17435/tbc1d32/ift70/traf3ip1/ift140/cep63/kif19/ift81/LOC119024341/cep97/clip1b/ift88/ttk/ofd1/kif9/kifap3a/cc2d2a/ap3b1a/dnaaf11/cfap91/odad1/mast3b/ift172/kiz/g18688/lin9/kif16ba/ttc21b/odf2a/mapre1b/haus5/kif18a/wdr19/mks1/dync2i1/dlgap5/casc3/g8350/zyg11/pcm1/lca5/cenpj/pi4kb/pacsin1b/elmo2/slain2/dnai3/wdr35/gpsm2/cluap1/fxr2/ttf2/g4485/dnah7/mknk1/cep72/poc1a/toporsa/odad2/dnah6/hook1/cdk1/LOC119031171_fusion_2/xrn2/arl8a/g20850/bbs7/dync1i2b/cops3/cpeb4b/espl1/vrk1/atl3/g1356/gle1/g802/cfap46/myb/ift20/ift27/dnai2b/dync2li1/ulk4/racgap1/rsph9/dnah10/g700/spice1/g4091/kifc1/rab28/g4474/map9/txndc9/b9d2/ift57/rsph4a/cep152/pelo/LOC119009792/cep135/g13042/bbs4/LOC119009472/kpnb1/psd2/aurka/pacsin2/ppp1r2/hspb11/g5657/nme7/g3880/ankfn1a/xpo1a/aurkb/map7d3/ruvbl1/ccdc103/ift56/hook3/tubg1/dync2i2/fmr1/fxr1/g11298/ttll11/ruvbl2/g7590/rhot2/birc5a/sdccag8/ube2b/dync1li2/aspm/kif22/kif20bb/kif14/fignl1/LOC119029135/cetn3/cep120/cdc20/mcrs1/hormad1/dctn2/ccnb1/degs1/dock7/zw10/uchl1/sybl1/mlh1/pip5k1ab/anapc1/dnaaf2/cdc42bpab/g10590/pibf1/gadd45ab/g2221/cks2/kif20a/apc/actr1b/cep19/skp1/cep192"
"GO:0005930","axoneme",38,0.698190265375231,3.528121403158,1e-10,5.68266055977453e-09,4.36644769809915e-09,1173,"tags=87%, list=22%, signal=68%","ift70/traf3ip1/ift140/ift88/kifap3a/cfap91/odad1/inpp5e/ift172/dync2i1/g8350/lca5/wdr35/dnah7/odad2/dnah6/g20850/bbs7/cfap46/ift20/dnai2b/dync2li1/rsph9/dnah10/rab28/ift57/rsph4a/g5657/septin7b/ccdc103/bbs5/dync2i2/cep162"
"GO:0097014","ciliary plasm",38,0.698190265375231,3.528121403158,1e-10,5.68266055977453e-09,4.36644769809915e-09,1173,"tags=87%, list=22%, signal=68%","ift70/traf3ip1/ift140/ift88/kifap3a/cfap91/odad1/inpp5e/ift172/dync2i1/g8350/lca5/wdr35/dnah7/odad2/dnah6/g20850/bbs7/cfap46/ift20/dnai2b/dync2li1/rsph9/dnah10/rab28/ift57/rsph4a/g5657/septin7b/ccdc103/bbs5/dync2i2/cep162"
