"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"dre04060","Cytokine-cytokine receptor interaction",28,-0.509297180218744,-3.13995854446984,4.85495988275113e-07,3.76546434370277e-05,2.87627458019215e-05,1621,"tags=96%, list=40%, signal=58%","100000764/114447/777717/493624/101886252/100134935/557567/559725/100535903/562247/30457/30739/30742/436866/497643/797527/799556/100534674/768248/100331351/406471/559723/796370/100270764/369195/100001424/567241"
"dre04120","Ubiquitin mediated proteolysis",51,0.471790888020835,2.53514645932333,6.66453866142083e-07,3.76546434370277e-05,2.87627458019215e-05,2040,"tags=96%, list=50%, signal=48%","406335/324237/30450/323951/393934/445100/335444/406260/393223/415162/323883/556864/100037384/368425/30637/406606/334133/572370/492364/565498/324243/321695/557513/437020/406672/324015/436873/406353/406794/550576/692325/393313/114445/568795/562014/406255/393716/192341/558479/393933/566441/503534/321875/30100/563708/336598/100331274/393907/796547"
"dre04814","Motor proteins",73,0.420738416022675,2.47791751810541,1.8876527732414e-06,7.11015877920927e-05,5.43114131248403e-05,1506,"tags=67%, list=37%, signal=43%","100101641/565913/553438/447906/100334507/393209/100334351/553797/100535326/100333131/561639/799461/100148193/566459/561612/550267/101884977/100317899/393452/569992/30453/767754/393796/195818/394163/569394/449979/100536916/393882/556023/30627/447926/100332402/573266/561788/100007502/562052/373083/100005529/767746/100136875/100001191/394141/334108/555454/325449/336681/406681/573988"
"dre04110","Cell cycle",67,0.410983401079901,2.3634024049542,4.21373583123747e-06,0.000119038037232458,9.09279837267032e-05,2051,"tags=88%, list=51%, signal=44%","317763/566753/327226/30450/794669/565969/406610/393223/80973/30639/406685/797406/323883/791138/30637/404206/322060/323055/57925/799015/791894/100307086/550585/571082/373878/767751/445386/402908/406353/280649/100307076/570900/550576/58025/550434/568795/100141368/562014/431763/323299/324475/415165/393716/406740/406582/560751/117604/492353/368316/30678/445392/100333252/445395/563708/449996/393907/192295/406695/564533"
"dre04621","NOD-like receptor signaling pathway",38,-0.365432156281176,-2.57587193877058,2.81706060016538e-05,0.000530546413031147,0.000405261349497476,582,"tags=84%, list=14%, signal=73%","777696/57933/322425/562317/563560/368359/796425/393551/565155/563887/564854/393650/562720/563907/560841/403013/564497/100536675/403145/565200/431715/387298/393132/406529/323099/557302/30280/100330810/100149388/562585/100334178/562867"
"dre03013","Nucleocytoplasmic transport",30,0.508590692904319,2.34215665269714,2.79530492410038e-05,0.000530546413031147,0.000405261349497476,1617,"tags=83%, list=40%, signal=50%","406783/100319138/322969/569006/553305/403025/327214/192339/445408/406491/333980/798071/570700/767677/558395/100005536/393635/777756/436607/563448/114445/321744/445027/556400/393693"
"dre04020","Calcium signaling pathway",48,-0.324294611716594,-2.4766691718636,4.38408270183269e-05,0.000707716207581562,0.000540593656466587,1743,"tags=77%, list=43%, signal=44%","30682/556199/554230/570245/100333254/563904/571825/561747/561350/402892/559529/561682/793359/798565/562289/60658/394123/352940/30121/386856/568671/562064/493781/794574/58129/378478/100126126/387298/436815/406529/570108/245950/393953/560100/100149388/562585/100001113"
"dre04330","Notch signaling pathway",20,-0.495561357178944,-2.56237773456973,6.69219381679032e-05,0.000945272376621632,0.000722052490758955,881,"tags=70%, list=22%, signal=55%","58066/794892/497616/30288/563920/570481/563942/334026/30206/555517/58008/565013/393500/101885597"
"dre03015","mRNA surveillance pathway",33,0.483797865593711,2.27181138627217,8.00603549847226e-05,0.00100520223480818,0.000767830305116638,1695,"tags=85%, list=42%, signal=50%","406783/393701/566032/436657/569006/403025/406610/192339/406685/445408/394111/100003223/432372/324238/562801/553261/406326/550585/393856/373878/327625/563448/450021/406582/266989/394058/393693/571753"
"dre04010","MAPK signaling pathway",80,-0.229513545781282,-2.15043196871636,0.000108655504940599,0.00122780720582877,0.000937868568960958,1410,"tags=64%, list=35%, signal=42%","563560/30671/557063/563904/393854/373121/560211/406304/559529/30739/100535196/402991/561924/404626/100004261/564873/568718/321378/245699/678610/406728/562720/403065/352940/550513/30121/768248/555703/100331351/386856/100148645/406471/405892/559723/493781/794574/245701/403145/58129/369195/378478/798771/393132/795414/777728/393953/503589/559247/563727/406523/100009657"
